User,Followers,Following
mhs1202,['reeceq'],['reeceq']
stardrop,"['kingdedede', 'sydsquid', 'julesmastandrea', 'akristofick', 'wjacobson124', 'parkerryane']","['sydsquid', 'julesmastandrea', 'akristofick', 'kingdedede', 'wjacobson124', 'parkerryane']"
nperlyperl,"['emaculit', 'brian007', 'samblum155', 'jamesfeinberg', 'wjacobson124', 'benjaminwilson']","['brian007', 'wjacobson124']"
midnightanthony,['alessandrosassi'],['alessandrosassi']
megwest,"['imsrychrisj', 'thefrogmam', 'kaleknndy', 'looseygoosey', 'jppw95', 'jrode1105', 'adammanson', 'gfgarcia', 'jcicco', 'dosofsky', 'alampietti', 'jjlev', 'sherwinyu99', 'drac_ula', 'allisonhsu', 'jakerogers', 'reginea', 'chrischennn', 'emaculit', 'arpp', 'keithc12', 'theomatza', 'tophatattack', 'minujun', 'lucieplasse', 'nsellman', 'swaxxy', 'helly', 'hanroco', 'anniening', 'alicegoldberg', 'akacatalina', 'jonnypong', 'bigal2001', 'arip', 'wjacobson124', 'mshooster', 'hjonesyfresh', 'audioelis', 'zenzelesol', 'babehoward', 'kim12601', 'suss_man', 'irice', 'kiranewmark']","['gfgarcia', 'allisonhsu', 'drac_ula', 'kaleknndy', 'alampietti', 'dosofsky', 'thefrogmam', 'sherwinyu99', 'helly', 'arpp', 'jakerogers', 'keithc12', 'theomatza']"
919haroun,"['tadpaul', 'iammcmm']",[]
jonnypong,"['thefrogmam', 'drac_ula', 'sherwinyu99', 'krittikarc', 'irice', 'justinayam', 'chrischennn', 'keithc12', 'kim12601', '2n6', 'aadl_42', 'mshooster', 'lucieplasse', 'zenzelesol', 'mattgrowly', 'swaxxy', 'megwest', 'kiranewmark', 'hanroco', 'tophatattack', 'minujun', 'bigal2001', 'arip', 'audioelis', 'anniening']",[]
creampuffbat,[],['maddyrussell']
biancapsmith,"['timfinch', 'carolynlalonde', 'rachelannebartz', '_supersonick', 'bagglebones', 'oliviacrandall']","['timfinch', 'rachelannebartz', 'bagglebones', '_supersonick', 'lzbthvdngrnd', 'oliviacrandall']"
qtucker,"['orzoelso', 'natekrieger', 'jcicco', 'maxheff', 'maggieod', 'amygeiger', 'mannyunger', 'thefrogmam', 'chelseaeisen', 'sherwinyu99', 'anniening', 'morgmab', 'lurobinson', 'slucente', 'drac_ula', 'cyeoman', 'dosofsky', 'chasemayo', 'tophatattack', 'theomatza', 'nathancheng', 'wjacobson124', 'gmb', 'lucieplasse', 'akacatalina', 'litzard', 'anikbernstein']","['orzoelso', 'natekrieger', 'jcicco', 'maxheff', 'maggieod', 'amygeiger', 'thefrogmam', 'mannyunger', 'chelseaeisen', 'anniening', 'sherwinyu99', 'morgmab', 'lurobinson', 'slucente']"
antsnmypants,"['chelseaeisen', 'hgoodwinpier', 'lepelstat', 'sciolino', 'nik300', 'broberts8', 'gabriel_ballard', 'cinephiles', 'sophgilb', 'frizzyisy']","['lilililicaplan', 'sammyosmond', 'davidmovies123', 'maheyg', 'ggarrison', 'hgoodwinpier', 'baizluhrmann']"
beccamayo,['yonibrande'],[]
