Movie,Date Watched,Rating,Liked,Review
Magnolia,12 Jan 2024,,False,
Our Home Out West,05 Jan 2024,,False,
Angel's Egg,05 Jan 2024,,True,
The Kids Are All Right,02 Jan 2024,,False,
13 Going on 30,31 Dec 2023,,False,
Poor Things,26 Dec 2023,,False,
Matt Rogers: Have You Heard of Christmas?,25 Dec 2023,,False,
Anatomy of a Fall,19 Dec 2023,,False,give that little boy the Oscar now!!!!
May December,16 Dec 2023,,True,
Saltburn,02 Dec 2023,,False, Fell apart completely in the third act. Abandoned the interesting premise of why a middle class person might pretend to be impoverished to gain favor amongst Uber rich aristocracy in favor of a boring psychopath story. Felt like the filmmaker had no idea what to do with Oliver’s character after the big twist.Really wish this had stayed the course and continued to examine the mysterious ways in which high society and its values can turn someone psychopathic (and the… 
Death at a Funeral,28 Nov 2023,,False,
The Secret of Kells,28 Nov 2023,,True,
Five Nights at Freddy's,30 Oct 2023,★★,False,dissapointing ! needed more animatronic goofy fun scary and less custody battle child kidnapping boring dream sequence sad real world scary :( another one bites the dust with the bad adaptations of great weird funny franchises.... none this year can live up to the dungeons & dragons movie sigh
House,24 Oct 2023,,True,
Ginger Snaps,16 Oct 2023,,True,
No One Will Save You,09 Oct 2023,,False,
Practical Magic,08 Oct 2023,,True,
Annihilation,28 Sep 2023,,False,
Farewell My Concubine,27 Sep 2023,,True,
21 Bridges,04 Sep 2023,,False,
Chaos,03 Sep 2023,,False,
Medusa Deluxe,01 Sep 2023,,False,
Past Lives,28 Aug 2023,,False,
Barbie,25 Jul 2023,★½,False,After watching this it’s clear Greta Gerwig & Noah Baumbach never played with dolls.
Evil Dead Rise,15 Jul 2023,,False,
The Wolf House,27 Jun 2023,,True,
Drop Dead Gorgeous,25 Jun 2023,,False,
Weathervane,23 Jun 2023,,False,
D.E.B.S.,21 Jun 2023,,False,
The Ex-Boyfriend and Other Impossible Pleasures,19 Jun 2023,,False,
Showing Up,22 Apr 2023,,False,Ecstatic to see Andre 3000 load and unload that kiln !!!!
Suzume,18 Apr 2023,,True,
Dungeons & Dragons: Honor Among Thieves,12 Apr 2023,,True,
Alucarda,07 Mar 2023,,True,
Saint Omer,20 Feb 2023,,False,
Aftersun,04 Feb 2023,,True,
The Banshees of Inisherin,17 Jan 2023,,True,
Batman Returns,15 Jan 2023,,True,
M3GAN,14 Jan 2023,,True,When M3gan sang “Titanium” it was the best 2010s edm pop cover by a kid in a movie since Raffey Cassidy’s seminal performance of Ellie Goulding’s “Burn” in Killing Of a Sacred Deer
The Lobster,10 Jan 2023,,False,
The Banshees of Inisherin,28 Dec 2022,,True,
Die Hard,19 Dec 2022,,False,
Last Will and Testament,06 Dec 2022,,True,
The Hollow Coin,06 Dec 2022,,True,
TÁR,18 Nov 2022,,True,
Nope,04 Nov 2022,,True,
Which Way Is East: Notebooks from Vietnam,27 Oct 2022,,True,
The House of Science: A Museum of False Facts,27 Oct 2022,,False,
The Task of the Translator,27 Oct 2022,,False,
Figure and I,27 Oct 2022,,False,
Window Work,27 Oct 2022,,False,
"Carolee, Barbara and Gunvor",27 Oct 2022,,False,
Fiorucci Made Me Hardcore,27 Oct 2022,,False,
My Father,11 Oct 2022,,False,
Video Girls and Video Songs for Navajo Sky,11 Oct 2022,,False,
Rachel,06 Oct 2022,,False,
Scary Car,06 Oct 2022,,True,
Stars at Noon,04 Oct 2022,,False,
Umma,01 Oct 2022,,False,
Moonage Daydream,25 Sep 2022,,False,
Daisies,17 Sep 2022,,True,
Funny Pages,06 Sep 2022,,False,
The Absent Director,23 Aug 2022,,True,
Bodies Bodies Bodies,02 Aug 2022,,False,
Scanners,18 Jul 2022,,False,
A Pilot for a Show About Nowhere,17 Jul 2022,,False,
Diva,03 Jul 2022,,False,
Executioners: The Heroic Trio 2,28 Jun 2022,,False,
Beneath the Skin,26 Jun 2022,,False,
Not a Jealous Bone,26 Jun 2022,,False,
Pulling Up Roots,26 Jun 2022,,False,
Suburbs of Eden,26 Jun 2022,,False,
Possibly in Michigan,26 Jun 2022,,True,
La Ricotta,29 May 2022,,True,
Lux Æterna,29 May 2022,,True,
Vampire Hunter D: Bloodlust,06 May 2022,,True,
The Wobblies,30 Apr 2022,,False,
My Lenin,29 Apr 2022,,False,

Followers
jarkjarkjark,planettmina,kvnesnce,joeymovietalk,boothe_,charlet,wjacobson124,coolfilmguy,parkzy,lovingonmoon,noabee,345chan,chobitsfan,eccofinn,ostcgl,nitrospredator,wenefreds,rejrej,emapel,bloodcafe,laythtbaileh,jaden2798,pspspsppsssps,khalid247,annoyingjewboy,rashar,harry_rs16,ksbr,ohheyimsean,boygeorgeii,loch_raven,libyhays

Following
ariavelz,jarkjarkjark,boys,kvnesnce,marg_mp3,boothe_,moeblackx,joeymovietalk,charlet,wtchr,wjacobson124,annablum224,noabee,coolfilmguy,felt,bitchvibrations,345chan,blairbroll,chobitsfan,chobits,riotglasses,menzayd,tfredsa,eccofinn,ostcgl
