Movie,Date Watched,Rating,Liked,Review
Half Baked,02 Jan 2024,★★½,False,
Everything Everywhere All at Once,27 Dec 2023,★★★★½,False,The 2nd act with all the 1v1 fights got a little tiring on my second watch
Freaky Friday,26 Dec 2023,,False,
The Super Mario Bros. Movie,10 Dec 2023,★★★,False,Oh I know that song!
Dream Scenario,17 Nov 2023,★★★★½,False,☠️☠️☠️
The Texas Chain Saw Massacre,28 Oct 2023,★★★★½,False,
The Streetz,26 Oct 2023,½,False,Lmao
Office Space,24 Oct 2023,★★★½,False,
Castle in the Sky,21 Oct 2023,★★★,False,
Bodies Bodies Bodies,15 Oct 2023,★★★★,False,This movie is a good time
Dumb Money,11 Oct 2023,★★★,False,Felt like an Apple commercial
Adaptation.,10 Oct 2023,★★★★½,False,
Wolves,29 Sep 2023,★½,False,
The Rundown,07 Sep 2023,★★,False,on in the background
No Hard Feelings,28 Aug 2023,★★★,False,
Southland Tales,25 Aug 2023,,False,This movie was always one step ahead of me
Barbie,24 Aug 2023,★★★★★,False,Lmao it was so good
The Godfather,15 Aug 2023,★★★★★,False,"I remember wanting to take off half a star for how long this movie is, but I wasn’t sure if that’s ethical"
Jaws,11 Aug 2023,★★★½,False,"The score set a much different tone than what I expected. There were also a few shot discontinuities, and I wanted more of a conclusion with the mayor and townspeople, but it had good jump scares and was kinda fun"
Oppenheimer,02 Aug 2023,★★★★,False,
Spider-Man: Across the Spider-Verse,01 Aug 2023,★★★½,False,
Seven Samurai,26 Jul 2023,,False,"Tough to get through for the modern viewer, especially since I was watching by myself (spread over 3 days). Definitely a lot of interesting framing, moving shots, and moving people. It has a fairly simple plot, and I’d only recommend this if you’re studying film or have time to kill and specifically want to watch an old Japanese movie"
The Sweetest Thing,08 Jul 2023,★,False,
Paprika,02 Jul 2023,★★★★,False,
Fahrenheit 451,28 Jun 2023,★★½,False,
Bama Rush,17 Jun 2023,★★★,False,
How to Lose a Guy in 10 Days,17 Jun 2023,★★★½,False,
It Follows,15 Jun 2023,★★★½,True,
Dune,13 Jun 2023,★★★★,False,
BEEF,15 May 2023,★★★★½,False,
The Menu,12 Apr 2023,★★★★½,False,
Barbarian,24 Mar 2023,★★★★,False,
Titanic,14 Mar 2023,★★★★½,False,
Dirty Dancing,22 Jan 2023,,False,
M3GAN,20 Jan 2023,★★★,False,
The Menu,03 Jan 2023,★★★★½,False,
Glass Onion,01 Jan 2023,★★★★½,False,
Puss in Boots: The Last Wish,31 Dec 2022,★★★★½,False,
Home Alone,25 Dec 2022,★★★★,False,
(500) Days of Summer,18 Dec 2022,,False,
10 Things I Hate About You,15 Dec 2022,,False,
Howl's Moving Castle,10 Dec 2022,★★★★½,False,
Shrek 2,02 Nov 2022,★★★★★,False,
Bodies Bodies Bodies,28 Oct 2022,,False,This movie is a good time
The Ring,27 Oct 2022,★★★★,False,
The Birds,24 Oct 2022,★★★,False,
The Cabin in the Woods,08 Oct 2022,★★★,False,
No Strings Attached,22 Sep 2022,,False,
Luck,18 Aug 2022,★½,False,
Something's Gotta Give,14 Aug 2022,★★★,False,
Minions: The Rise of Gru,13 Aug 2022,★★★½,False,
Nope,07 Aug 2022,★★★★,False,
The Worst Person in the World,29 Jul 2022,★★★★★,False,
The Northman,12 Jul 2022,★★½,False,
Lamb,01 Jul 2022,★★★,False,
Lucy,01 Jul 2022,★★½,False,
Doctor Strange in the Multiverse of Madness,27 Jun 2022,★★½,False,
Blade Runner,25 Jun 2022,★★★★★,False,
Hustle,20 Jun 2022,★★★½,False,
"Crazy, Stupid, Love.",11 Jun 2022,★★★,False,
Princess Mononoke,01 Jun 2022,★★★★★,False,
A Nightmare on Elm Street,13 May 2022,★★★½,False,
Don't Think I've Forgotten: Cambodia's Lost Rock and Roll,25 Apr 2022,,False,
Everything Everywhere All at Once,23 Apr 2022,★★★★★,False,The 2nd act with all the 1v1 fights got a little tiring on my second watch
Alien,25 Mar 2022,★★★★½,False,
Mad Max: Fury Road,21 Mar 2022,★★★★★,True,
Encanto,16 Mar 2022,★★★½,False,
The Handmaiden,21 Feb 2022,★★★★★,False,
The Bourne Supremacy,12 Feb 2022,★★★★,False,
The Bourne Identity,29 Jan 2022,★★★★★,False,
Bless Their Little Hearts,16 Jan 2022,,False,
The Green Knight,14 Jan 2022,★★★★½,False,
Don't Look Up,08 Jan 2022,★★★½,False,
Four Lions,29 Dec 2021,★★★½,False,
No Time to Die,28 Dec 2021,★★★★,False,
The Matrix Resurrections,23 Dec 2021,,False,
Eternal Sunshine of the Spotless Mind,17 Dec 2021,★★★★,False,
Spider-Man: No Way Home,16 Dec 2021,★★★★½,False,
The Graduate,21 Nov 2021,★★★★,False,
Come and See,01 Nov 2021,,False,
Lamb,16 Oct 2021,★★★,False,
The Ritual,04 Oct 2021,★★½,False,
Adaptation.,09 Sep 2021,★★★★,False,
The Suicide Squad,18 Aug 2021,★★★½,False,
I'm Thinking of Ending Things,13 Aug 2021,★★★★,True,
Her,06 Aug 2021,★★★★★,False,
Minari,02 Aug 2021,★★★½,False,
The Avengers,29 Jul 2021,★★★,False,
Victoria,18 Jul 2021,★★★★½,False,
The Visit,16 Jul 2021,★★½,False,
Gravity,04 Jul 2021,★★★★½,False,
Zola,03 Jul 2021,★★★★½,False,
Evil Dead II,02 Jul 2021,★★½,False,
Dinner for Schmucks,01 Jul 2021,★★★,False,
Knocked Up,29 Jun 2021,★★,False,
Inception,28 Jun 2021,★★★★★,True,
Inside Out,22 Jun 2021,★★★★½,True,
Being John Malkovich,15 Jun 2021,★★★★½,True,
Bo Burnham: Inside,13 Jun 2021,★★★,False,
"O Brother, Where Art Thou?",31 May 2021,★★★★,True,
A Quiet Place Part II,31 May 2021,★★★,False,
Accepted,19 May 2021,★★,False,
Always Be My Maybe,17 May 2021,★★★½,False,
Shutter Island,12 May 2021,★★★½,False,
Ted,04 May 2021,★★★,False,
Mortal Kombat,23 Apr 2021,★★½,False,
In the Earth,13 Apr 2021,★★½,False,
The Night Before,06 Apr 2021,★★½,False,
Friends with Benefits,04 Apr 2021,★★★,False,
The Tale of the Princess Kaguya,01 Apr 2021,★★★★★,False,
Doctor Strange,08 Feb 2021,★★★★,False,
Napoleon Dynamite,30 Jan 2021,★★★★★,False,
The Princess Bride,27 Jan 2021,★★★,False,
Avengers: Infinity War,08 Jan 2021,★★★★½,True,
Captain America: Civil War,06 Jan 2021,★★★★½,False,
Guardians of the Galaxy,01 Jan 2021,★★★½,False,
Stranger Than Fiction,29 Dec 2020,★★★★,False,
Soul,25 Dec 2020,★★★★½,False,
It's a Wonderful Life,27 Nov 2020,,True,
Being John Malkovich,06 Nov 2020,★★★★½,True,
Psycho,30 Oct 2020,★★★★,True,
22 Jump Street,28 Oct 2020,★★★★,True,
Ready or Not,22 Oct 2020,★★★½,False,
The Lighthouse,16 Oct 2020,★★★★½,False,
21 Jump Street,09 Oct 2020,★★★½,False,
Logan,03 Oct 2020,★★★★★,True,
The Matrix,30 Sep 2020,★★★★,False,
This Is the End,19 Sep 2020,★★★★,False,
Pineapple Express,07 Sep 2020,★★★½,True,
The Silence of the Lambs,01 Sep 2020,★★★★★,False,
That's My Boy,27 Aug 2020,★,False,
Sorry to Bother You,19 Aug 2020,★★★★★,True,
Wreck-It Ralph,13 Aug 2020,★★,False,
Fantastic Four,06 Aug 2020,★★½,False,
The Kissing Booth 2,24 Jul 2020,★★,False,
The Florida Project,23 Jul 2020,★★★★½,False,
X-Men: Apocalypse,22 Jul 2020,★★★,False,
Shadow,05 Jul 2020,★★★,False,
I Lost My Body,21 Jun 2020,,True,
Just Mercy,18 Jun 2020,,True,
Drive,15 Jun 2020,★★★½,False,
The Martian,27 May 2020,★★★★,False,
Nathan for You: Finding Frances,26 May 2020,★★★★,True,
Pan's Labyrinth,17 May 2020,★★★★★,True,
Being John Malkovich,11 May 2020,★★★★½,True,
Coco,08 May 2020,★★★★½,True,
The Perks of Being a Wallflower,06 May 2020,,True,
Inception,02 May 2020,★★★★★,True,
The Lego Movie 2: The Second Part,23 Apr 2020,★★★★★,False,
Long Shot,16 Apr 2020,★★★★,False,
Avengers: Endgame,07 Apr 2020,★★★★,False,
Train to Busan,02 Apr 2020,★★★½,False,
Snowpiercer,01 Apr 2020,★★★★,False,
Spider-Man: Far from Home,26 Mar 2020,★★★★,False,
Uncut Gems,23 Mar 2020,★★★½,False,
Knives Out,19 Mar 2020,★★★★★,False,
Sonic the Hedgehog,15 Mar 2020,★★★,False,
The Thing,14 Mar 2020,★★★★½,False,
Parasite,29 Feb 2020,★★★★★,True,
Moonlight,09 Feb 2020,★★★★,False,
Dinner for Schmucks,06 Jan 2020,★★★,False,
Ex Machina,04 Jan 2020,★★★★★,True,
Frozen II,27 Dec 2019,,False,
Once Upon a Time… in Hollywood,25 Dec 2019,★★★★½,True,
