Movie,Date Watched,Rating,Liked,Review
Jojo Rabbit,20 Nov 2019,★★★★,False,"slow in the middle, impressive ending"
Midsommar,01 Nov 2019,★★★½,False,
Kano,25 Sep 2019,★½,False,
Revolutions Happen Like Refrains in a Song,08 Sep 2019,★★★★,False,
Nick and Norah's Infinite Playlist,03 Sep 2019,★★★,False,
The Ballad of Buster Scruggs,03 Sep 2019,★★,False,
Yi Yi,18 Aug 2019,★★★½,False,
Parasite,15 Aug 2019,★★★★★,False,
The Disappearance of Haruhi Suzumiya,13 Aug 2019,★½,False,
Us,13 Aug 2019,★★★,False,
Raise the Red Lantern,12 Aug 2019,★★★★,False,
The Lion King,28 Jul 2019,★★★½,False,
How to Train Your Dragon: The Hidden World,26 Jul 2019,★★,False,
Shazam!,26 Jul 2019,★★★,False,
Free Solo,26 Jul 2019,★★★★,False,
Spider-Man: Far from Home,02 Jul 2019,★★★★,False,
Aladdin,12 Jun 2019,★★★,False,
The Favourite,10 Jun 2019,★★★½,False,
Captain Marvel,29 May 2019,★★★,False,
Pokémon Detective Pikachu,29 May 2019,★★★,False,
The Wandering Earth,11 May 2019,★★★,False,
Aquaman,11 May 2019,★★,False,
Penguin Highway,03 May 2019,★★★,False,
Captain America: The First Avenger,02 May 2019,★★★,False,
Avengers: Endgame,26 Apr 2019,★★★★★,False,long disney
Maquia: When the Promised Flower Blooms,13 Apr 2019,★★★★½,False,
Fyre,01 Apr 2019,★★★,False,
High Life,27 Mar 2019,½,False,One of the most vile and sickeningly pointless movies I've ever had the displeasure of watching
Ant-Man and the Wasp,17 Mar 2019,★★★,False,
Batman: Mask of the Phantasm,15 Mar 2019,★★★½,False,
Batman: Under the Red Hood,15 Mar 2019,★★★,False,
Alita: Battle Angel,12 Mar 2019,★★,False,
Shoplifters,06 Mar 2019,★★★★½,False,
Liz and the Blue Bird,22 Jan 2019,★★½,False,
Mirai,22 Jan 2019,★★★★★,True,
I Want to Eat Your Pancreas,18 Jan 2019,★★★,False,"I liked the premise and most of it but it was lacking in emotional impact and characterization, which is kind of disappointing. Also, the fps was kind of low, which is a bit jarring. Maybe we can have 4k60 anime one day"
Roma,26 Dec 2018,★★★★½,False,
An Elephant Sitting Still,26 Dec 2018,★★★,False,
Flavors of Youth,24 Dec 2018,★★★★½,False,
Master Z: Ip Man Legacy,23 Dec 2018,★★★★½,False,
"Night Is Short, Walk on Girl",19 Dec 2018,★★★,False,
A Simple Favor,19 Dec 2018,★★★★,False,
Miracle in Cell No. 7,19 Dec 2018,★★★★½,False,
Sorry to Bother You,19 Dec 2018,★★★★½,False,
The Beguiled,19 Dec 2018,★★★,False,
Red Cliff II,19 Dec 2018,★★½,False,
Red Cliff,19 Dec 2018,★★,False,
To All the Boys I've Loved Before,17 Dec 2018,★★★½,False,
BlacKkKlansman,17 Dec 2018,★★★★,False,
Hereditary,17 Dec 2018,★★★½,False,
Spider-Man: Into the Spider-Verse,17 Dec 2018,★★★★★,True,
Ralph Breaks the Internet,27 Nov 2018,★★★★,False,
A Star Is Born,04 Nov 2018,½,False,atrocious
Eighth Grade,29 Sep 2018,★★★★½,False,
Searching,25 Sep 2018,★★★★½,False,
Crazy Rich Asians,09 Sep 2018,★★★★,False,
Solo: A Star Wars Story,29 Aug 2018,★★,False,
"Love, Simon",29 Aug 2018,★★★★,False,
Mission: Impossible – Fallout,18 Aug 2018,★★★★,False,
PK,16 Aug 2018,★★★★,False,
Ocean's Eight,04 Aug 2018,★★★,False,
IMPOSSIBILITY DEFENSE,01 Aug 2018,★,False,
Kids on the Slope,01 Aug 2018,★★½,False,
Paddington 2,30 Jul 2018,★★,False,
Isle of Dogs,30 Jul 2018,★★,False,
Incredibles 2,28 Jul 2018,★★,False,
The Florida Project,03 Jul 2018,★★,False,
The Red Turtle,03 Jul 2018,★★½,False,
Guardians of the Galaxy Vol. 2,28 Jun 2018,★★★★,False,
Captain America: Civil War,20 Jun 2018,★★★½,False,
Psychokinesis,20 Jun 2018,★½,False,
When Marnie Was There,02 Jun 2018,★★★½,False,
Thor: Ragnarok,25 May 2018,★★★★½,False,
Icarus,21 May 2018,★★★★★,True,
Deadpool 2,20 May 2018,★★★★,False,
Doctor Strange,11 May 2018,★★★½,False,
High School Musical 2,10 May 2018,★★★,False,
High School Musical 3: Senior Year,10 May 2018,★★½,False,
High School Musical,10 May 2018,★★½,False,
Moana,10 May 2018,★★,False,
Avengers: Infinity War,29 Apr 2018,★★★★★,False,
Joshua: Teenager vs. Superpower,23 Apr 2018,★★★½,False,
A Quiet Place,03 Apr 2018,★★★★★,False,
Annihilation,01 Mar 2018,★★★,False," it was really good (the alien noise was amazing) all the way until the ending...the reveal that he was her husband could have been done through a dream of him, that would be revealed to be being done by the paranoid woman instead of who we expect to be doing that dream. (refraction of memories)i also thought her husband should have revealed that he knew she was cheating on him (i.e. she was not cheating while he was… "
Black Panther,25 Feb 2018,★★★,False,
Coco,23 Feb 2018,★★★★,False,
The Greatest Showman,24 Jan 2018,★★,False,the decidedly average showman reviewed by the nonpareil snowman
Star Wars: The Last Jedi,24 Jan 2018,★★★★★,True,
The Post,24 Jan 2018,★★★,False,
Phantom Thread,24 Jan 2018,★★★★,False,
Selma,14 Jan 2018,★½,False,
Wind River,14 Jan 2018,★★★½,False,
The Death of Stalin,03 Jan 2018,★★★★½,True,
Call Me by Your Name,26 Nov 2017,★★★★,False,
Lady Bird,26 Nov 2017,★★★★,False,
The Square,26 Nov 2017,★★★,False,
