Movie,Date Watched,Rating,Liked,Review
The Makanai: Cooking for the Maiko House,15 Jan 2024,★★★★★,True,
Society of the Snow,15 Jan 2024,★★★½,False,
The Boy and the Heron,10 Jan 2024,★★★★★,False,
Inside the Yellow Cocoon Shell,09 Jan 2024,,False,
Past Lives,07 Jan 2024,★★★★½,True,
Fallen Leaves,05 Jan 2024,★★★★,False,
Rewind,02 Jan 2024,★½,False,(filipino) CINEMA IS BACK BABY!
Perfect Days,01 Jan 2024,★★★★½,True,
Phantom Thread,31 Dec 2023,★★★★★,True,
The Holdovers,29 Dec 2023,★★★★½,False,
GomBurZa,27 Dec 2023,★★★★,False,
Asako I & II,27 Dec 2023,★★★★½,True,
Firefly,25 Dec 2023,★★★★,False,"Filled with pure, beautiful moments, both heartwarming and heartwrenching. Captures the essence and magic of shared stories in the most endearing manner."
Little Women,25 Dec 2023,★★★★½,False,
Eyes Wide Shut,24 Dec 2023,★★★★★,True,
Elf,24 Dec 2023,,False,
Aquaman and the Lost Kingdom,22 Dec 2023,★★★,False,
Showing Up,22 Dec 2023,★★★½,False,
Maestro,20 Dec 2023,★★★★½,False,
Priscilla,17 Dec 2023,★★★★½,False,
The Andy Warhol Diaries,13 Dec 2023,,False,
Between Revolutions,12 Dec 2023,★★★★½,False,
Saltburn,11 Dec 2023,★★★★,False,
Wonka,07 Dec 2023,★★★★,True,this movie feels like enjoying a cup of hot chocolate by the fireplace on a snowy day.
Yuki's Sun,06 Dec 2023,,False,
May December,02 Dec 2023,★★★★,False,
The Hunger Games: The Ballad of Songbirds & Snakes,02 Dec 2023,★★★½,False,
Yellow Door: '90s Lo-fi Film Club,25 Nov 2023,★★★½,False,
Rookie,18 Nov 2023,★★½,False,
Third World Romance,16 Nov 2023,★★★,False,
Hamilton,13 Nov 2023,,False,
The Killer,11 Nov 2023,★★★★,False,
Man in Love,10 Nov 2023,★★½,False,
La La Land,03 Nov 2023,★★★★★,True,
La La Land,01 Nov 2023,★★★★★,True,
When Cinema Reflects the Times: Hou Hsiao-Hsien and Edward Yang,28 Oct 2023,★★★★,False,
Rebels of the Neon God,27 Oct 2023,★★★★½,True,
Suspiria,26 Oct 2023,★★★★★,True,
Killers of the Flower Moon,24 Oct 2023,★★★★½,False," ""Can you find the wolves in this picture?"" "
Passages,23 Oct 2023,★★★★★,True,What if the films of Rainer Werner Fassbinder and Éric Rohmer had a baby? I think it would look a little something like this.
A Brighter Summer Day,19 Oct 2023,★★★★★,True,
Ode to Nothing,15 Oct 2023,★★★★½,False,
Anatomy of a Fall,14 Oct 2023,★★★★,False,
Monster,11 Oct 2023,★★★★½,True,
Ballerina,10 Oct 2023,★★★,False,
The Creator,09 Oct 2023,★★★★,False,
Passages,08 Oct 2023,★★★★½,True,What if the films of Rainer Werner Fassbinder and Éric Rohmer had a baby? I think it would look a little something like this.
In Water,30 Sep 2023,★★★★,False,
The Rat Catcher,30 Sep 2023,★★★½,False,i'd like to start a petition for wes anderson to make a horror film.
The Swan,29 Sep 2023,★★★½,False,
The Wonderful Story of Henry Sugar,27 Sep 2023,★★★★,False,
