Movie,Date Watched,Rating,Liked,Review
The Curse,14 Jan 2024,★★★★,True, This was fucking bonkers. That finale had me mouth wide open staring at the screen the entire time what the fuck. This is a lot to process.Still think the scene with Asher pouring the drink on the guys back in the casino was the best part. I was laughing so hard.I loved the cinematography of this so much. Always slowly zooming in showing characters from behind glass or from afar but always slightly obscured. It feels like the… 
This Is 40,07 Jan 2024,★★½,False,Stupid movie. Made me laugh though. Leslie Mann and Paul Rudd are good together.
The Equalizer 3,07 Jan 2024,★★★,False,Damn that food looked good. They made me want to visit or live there too. I’d stop equalizing too if I found a nice Italian village with free fish and a nice doctor guy who lets me live at his house. Decent movie all things considered. Much more violent than I thought it would be although it’s kind of underwhelming for a final chapter of an action franchise.
Cinderella Man,06 Jan 2024,★★★,False,"A perfectly fine, safe, American ass, feel good movie. It goes exactly as you expect. Crowe is crowing it up. Giamatti is also giamatting. Nothing wrong with it it’s just not exciting. The choppy slow mo stuff and the overall shot on a soundstage look feels so lame and lacking any style."
The Iron Claw,02 Jan 2024,★★★★,True," Great movie. Everyone is ripped but Zac Efron is a literal monster holy shit. All around really well done. Love the silly wrestling visuals and that warm film glow. The way they depict this family cursed with tragedy after tragedy and the toxic masculine pride from their father’s tyrannical relentless search for perfection is pretty brilliant, although the out comes are a little hard to believe in a 2 hour runtime regardless of it being true. But the ending hits… "
Inside,02 Jan 2024,★★½,False, Willem Dafoe poop mountain bathtub. Poetry.Well made but very bland and useless.Thoughts while watching:- Building a tower of furniture like marv in home alone 2.- A pocket knife and a dream.- This could be the same character from the Florida project.- Fire alarm for sure would have made the whole building go off.- What kind of security system malfunction turns off the water in the toilet but leaves it on for the plant… 
Maestro,31 Dec 2023,★★★,False, Ehhhh big shrug. Objectively a very well crafted movie in terms of photography and attention to detail with some wildly striking images (him conducting and her being literally in his giant shadow) and clearly a shit load of effort to make this feel right but it’s so hollow underneath and just a myriad of vignettes of his life with no real takeaway other than boo hoo white rich man is sad and shitty and Bradley cooper sounds like he needs… 
The Lobster,30 Dec 2023,★★★★½,True, First rewatch since 2015 and I really loved it. Poor Things made me want to revisit his older work that I saw years ago and I think I saw this first. I didn’t remember this being so funny but I was laughing a lot. The whole part with the hand signals was hilarious. This one feels very similar to dogtooth with the sudden shifts in tone from comedy to uncomfortable violence. Also the entire concept resonated with me more this… 
The Creator,30 Dec 2023,★★★,True, I’m torn on this one.On one hand it’s a visually stunning epic with some pretty fresh 2010s era Neill Blomkamp meets cyberpunk 2077 meets Star Wars art direction that really won me over by the end. I loved the way things looked and felt in this world. Ex: the suicide robot running on the bridge after saying it’s been a pleasure to serve you. The attention to detail in logos and patches and little illustrations on papers in the… 
Rebel Moon - Part One: A Child of Fire,29 Dec 2023,½,False, Slowwwwwww mooooooootion. This is spartaaaa.This is sort of a movie yeah. Technically a motion picture. It’s all boring regurgitated A.I. scripted blurry background bright light cgi garbage with characters named like general boobo and alasanadi spinky. I can’t imagine Zack Snyder or anyone for that matter can legitimately sit down and be enthralled or even entertained by this. Especially in this day and age where we have of course Star Wars and new blade runner and now new dune… 
Anatomy of a Fall,28 Dec 2023,★★★★★,True," Wow this is really something. Makes sense this won the palme. Up there with the best of 2023 for me.Probably the best courtroom drama ever? Just impeccably written through and through. Characters feel like fully realized people with lives and intricacies and things you can’t ever know about them. The child acting from Milo Machado Graner is incredible. The fucking dog’s acting is incredible. The reoccurring score/music and having it played by a character, sometimes off beat, sometimes with… "
Kodachrome,24 Dec 2023,★★★,False,"Incredibly Netflix cheesy coded but still got me a bit by the end, I’m a sucker for a paternal sad movie. Jason Sudeikis is the least cool guy ever with these fits trying to act like he’s a cool music guy. Also that band he’s trying to recruit is hilariously lame. Cold play and arcade fire are mentioned as cool music. Live lighting crashes has a feature though and that’s sick. Elizabeth Olsen is so god damn likeable. Ed Harris is a total asshole."
National Lampoon's Christmas Vacation,24 Dec 2023,★★★★★,True,
Asteroid City,23 Dec 2023,★★★★,True,
Leave the World Behind,23 Dec 2023,★★½,False,
Blue Beetle,23 Dec 2023,★½,False,
The Marvels,21 Dec 2023,½,False,
BlackBerry,17 Dec 2023,★★★,False,
Poor Things,15 Dec 2023,★★★★★,True,
All the Light We Cannot See,10 Dec 2023,★,False,
The Discovery,10 Dec 2023,★★★,False,
Godzilla Minus One,09 Dec 2023,★★★½,True,
May December,08 Dec 2023,★★★★½,True,
Normal People,02 Dec 2023,★★★★,True,
Wings of Desire,27 Nov 2023,★★★½,True,
Spider-Man: Across the Spider-Verse,27 Nov 2023,★★★★,True,
Tommy Boy,26 Nov 2023,★★★½,True,
Lessons in Chemistry,25 Nov 2023,★★★½,True,
Oldboy,23 Nov 2023,★★★½,False,
Room 237,19 Nov 2023,★,False,
The Wrong Trousers,18 Nov 2023,★★★★½,True,
Tomboy,14 Nov 2023,★★★½,True,
Past Lives,12 Nov 2023,★★★★½,True,
Trouble Every Day,12 Nov 2023,★★★★,True,
Cure,11 Nov 2023,★★★,True,
The Nice Guys,09 Nov 2023,★★★½,True,
The Social Network,07 Nov 2023,★★½,False,
Road House,04 Nov 2023,★★½,False,
The Holdovers,01 Nov 2023,★★★½,True,
Over the Garden Wall,29 Oct 2023,★★★★,True,
The Bikeriders,22 Oct 2023,★★★½,True,
The Mummy,22 Oct 2023,★★★★,True,
Killers of the Flower Moon,21 Oct 2023,★★★★½,True,
The Killer,17 Oct 2023,★★★★,True,
Dream Scenario,14 Oct 2023,★★★★½,True,
Heaven Adores You,14 Oct 2023,★★★½,True,
Sicario: Day of the Soldado,13 Oct 2023,★★,False,
Sicario,10 Oct 2023,★★★★★,True,
To Catch a Killer,09 Oct 2023,★★½,False,
Crash,07 Oct 2023,★★½,False,
Blade,01 Oct 2023,★★★,False,
Reptile,30 Sep 2023,★★★★,True,
The Wonderful Story of Henry Sugar,30 Sep 2023,★★½,False,
No One Will Save You,29 Sep 2023,★,False,
Bottoms,27 Sep 2023,★★★,False,
When Harry Met Sally...,23 Sep 2023,★★★½,True,
Bodies Bodies Bodies,18 Sep 2023,★½,False,
Heartworn Highways,17 Sep 2023,★★★,True,
I Know This Much Is True,16 Sep 2023,★★★★★,True,
The Last Voyage of the Demeter,10 Sep 2023,★½,False,
Holy Spider,02 Sep 2023,★★★½,False,
Certain Women,01 Sep 2023,★★★½,True,
Maid,27 Aug 2023,★★★★★,True,
RoboCop,21 Aug 2023,★★★★,True,
No Hard Feelings,18 Aug 2023,★★★,False,
Naked Gun 33⅓: The Final Insult,14 Aug 2023,★★★½,True,
The Way Back,13 Aug 2023,★★★½,True,
Jules,11 Aug 2023,★★★,False,
Close Encounters of the Third Kind,10 Aug 2023,★★★½,True,
The Covenant,07 Aug 2023,★★★½,True,
"Synecdoche, New York",06 Aug 2023,★★★★½,True,
Ronin,05 Aug 2023,★★½,False,
Talk to Me,30 Jul 2023,★★★★,True,
Zack Snyder's Justice League,29 Jul 2023,★★½,False,
The English,29 Jul 2023,★★★,False,
Requiem for a Dream,28 Jul 2023,★★★★½,True,
Reality,28 Jul 2023,★★★,False,
Barbie,24 Jul 2023,★★★★,True,
Oppenheimer,24 Jul 2023,★★★★½,True,
Rams,23 Jul 2023,★★★★,True,
Cunk on Shakespeare,21 Jul 2023,,True,
Thief,20 Jul 2023,★★★½,True,
The Flash,20 Jul 2023,★½,False,
Mission: Impossible – Dead Reckoning Part One,16 Jul 2023,★★★½,True,
Indiana Jones and the Temple of Doom,15 Jul 2023,★★★½,True,
Helvetica,06 Jul 2023,★★★½,True,
Fantastic Mr. Fox,04 Jul 2023,★★★★,True,
Sanctuary,03 Jul 2023,★★★★½,True,
The Pale Blue Eye,02 Jul 2023,★★½,False,
Evil Dead Rise,25 Jun 2023,★½,False,
John Wick: Chapter 4,25 Jun 2023,★★,False,
Zygote,24 Jun 2023,★★★,False,
Air,24 Jun 2023,★★,False,
Kindergarten Cop,19 Jun 2023,★★★★,True,
65,18 Jun 2023,★★,False,
Ready Player One,16 Jun 2023,★,False,
Arnold,11 Jun 2023,★★★★,True,
Sisu,11 Jun 2023,★½,False,
Avatar: The Way of Water,10 Jun 2023,★★★★,True,
The Super Mario Bros. Movie,07 Jun 2023,★★★½,True,
The Rider,02 Jun 2023,★★★★,True,
Shazam! Fury of the Gods,01 Jun 2023,½,False,
Shazam!,31 May 2023,★,False,
Jerry Maguire,28 May 2023,★★★★½,True,
Austin Powers: The Spy Who Shagged Me,27 May 2023,★,False,
STILL: A Michael J. Fox Movie,26 May 2023,★★★★,True,
Ricky Gervais: SuperNature,26 May 2023,★★★½,True,
The Insider,25 May 2023,★★★★★,True,
Wrongfully Accused,23 May 2023,★★½,False,
Tetris,19 May 2023,½,False,
Dio: Dreamers Never Die,18 May 2023,★★★★★,True,
How to Blow Up a Pipeline,13 May 2023,★★★½,True,
Enys Men,07 May 2023,★★,False,
Unforgiven,04 May 2023,★★★,False,
WALL·E,24 Apr 2023,★★★★★,True,
Ratatouille,24 Apr 2023,★★★★,False,
Cunk on...,22 Apr 2023,★★★★★,True,
2nd Chance,16 Apr 2023,★★★½,False,
BEEF,13 Apr 2023,★★★★½,True,
Your Honor,08 Apr 2023,★★★,True,
Aphotic Zone,26 Mar 2023,★★,False,
In the Fade,26 Mar 2023,★★★★,True,
Holy Moses,26 Mar 2023,★★,False,
Hardcore,22 Mar 2023,★★★★,True,
Skin & Bone,21 Mar 2023,★★★½,True,
Aspirational,21 Mar 2023,,False,
Cop Land,21 Mar 2023,★★★½,True,
Smile,20 Mar 2023,★★½,False,
Miami Vice,18 Mar 2023,★★,False,
Eternals,16 Mar 2023,★★½,False,
45 Years,16 Mar 2023,★★★½,True,
Cocaine Bear,15 Mar 2023,★★,False,
Misery,14 Mar 2023,★★★½,True,
Body Double,12 Mar 2023,★★★,False,
The Bourne Ultimatum,10 Mar 2023,★★½,False,
Babylon,09 Mar 2023,★★★½,True,
The Bourne Supremacy,08 Mar 2023,★★½,False,
The Bourne Identity,06 Mar 2023,★★½,False,
Spectre,02 Mar 2023,★★★,False,
Skyfall,02 Mar 2023,★★★,False,
Quantum of Solace,01 Mar 2023,★★½,False,
Ciao Alberto,01 Mar 2023,,True,
Close,28 Feb 2023,★★★★★,True,
Knock at the Cabin,28 Feb 2023,★★★★,True,
A Close Shave,26 Feb 2023,★★★★½,True,
A Grand Day Out,26 Feb 2023,★★★★½,True,
M3GAN,26 Feb 2023,★★,False,
The Integrity of Joseph Chambers,25 Feb 2023,★★★,False,
Casino Royale,25 Feb 2023,★★★,False,
No Time to Die,24 Feb 2023,★★½,False,
Babel,22 Feb 2023,★★★½,True,
Blow Out,21 Feb 2023,★★★★,True,
Mikey and Nicky,21 Feb 2023,★★★½,True,
Airplane!,19 Feb 2023,★★★★½,False,
Brian and Charles,19 Feb 2023,★★★,False,
Luca,18 Feb 2023,★★★★½,True,
The Staggering Girl,18 Feb 2023,★★,False,
The Making of Requiem for a Dream,17 Feb 2023,,True,
Polytechnique,17 Feb 2023,★★★½,True,
Cunk on...,17 Feb 2023,★★★★,True,
The Raid,14 Feb 2023,★★★,False,
Terminator 2: Judgment Day,12 Feb 2023,★★★★★,True,
Persona,11 Feb 2023,★★★½,True,
Please Speak Continuously and Describe Your Experiences as They Come to You,11 Feb 2023,★★★★,True,
The Terminator,11 Feb 2023,★★★★,True,
Alps,10 Feb 2023,★★★,False,
The Kingdom: Exodus,09 Feb 2023,★★★½,True,
Mission: Impossible – Fallout,07 Feb 2023,★★★½,True,
Mission: Impossible – Rogue Nation,06 Feb 2023,★★½,False,
The Whale,05 Feb 2023,★★★★,True,
Mission: Impossible – Ghost Protocol,05 Feb 2023,★★★½,True,
The Kingdom II,05 Feb 2023,★★★★★,True,
Mission: Impossible III,04 Feb 2023,★★★,True,
Mission: Impossible II,04 Feb 2023,★½,False,
Mission: Impossible,02 Feb 2023,★★★★,True,
Elvis,01 Feb 2023,★★,False,
Tuesday,31 Jan 2023,★★★★,True,
Attenberg,29 Jan 2023,★★★★,True,
A Hidden Life,29 Jan 2023,★★★½,False,
Top Gun: Maverick,29 Jan 2023,★★★½,True,
Sometimes I Think About Dying,27 Jan 2023,★★★★★,True,
Infinity Pool,26 Jan 2023,★★½,True,
The Kingdom,26 Jan 2023,★★★★½,True,
Fair Play,25 Jan 2023,★★★★,True,
Bad Behaviour,25 Jan 2023,★★★,False,
The Accidental Getaway Driver,24 Jan 2023,★★★★★,True,
Divinity,24 Jan 2023,★★★,True,
Trainwreck: Woodstock '99,23 Jan 2023,★★★,False,
Decision to Leave,21 Jan 2023,★★½,False,
Marcel the Shell with Shoes On,21 Jan 2023,★★★★★,True,
Leave No Trace,19 Jan 2023,★★★★★,True,
Amsterdam,18 Jan 2023,★★★,False,
This Place Rules,16 Jan 2023,★★½,False,
Hold Me Tight,15 Jan 2023,★★★½,False,
Heat,15 Jan 2023,★★★★½,True,
Supersonic,13 Jan 2023,★★★★,True,
John Wick: Chapter 3 – Parabellum,12 Jan 2023,★★★,False,
Black Adam,11 Jan 2023,★½,False,
A Short Story,10 Jan 2023,★★★½,True,
John Wick: Chapter 2,10 Jan 2023,★★½,False,
John Wick,08 Jan 2023,★★,False,
Prometheus,07 Jan 2023,★★★★,True,
The Menu,05 Jan 2023,★★,False,
Nanny,01 Jan 2023,★★½,False,
The Informer,29 Dec 2022,★★★,False,
They Come Knocking,29 Dec 2022,½,False,
Glass Onion,27 Dec 2022,★,False,
Home Alone,25 Dec 2022,★★★★★,True,
Fall,24 Dec 2022,★,False,
Avatar,24 Dec 2022,★★½,False,
Lot 36,22 Dec 2022,★★½,False,
Aftersun,13 Dec 2022,★★★★½,True,
Guillermo del Toro's Pinocchio,11 Dec 2022,★★★★,True,
Bones and All,11 Dec 2022,★★★★,True,
Bullet Train,09 Dec 2022,★★½,False,
Force Majeure,04 Dec 2022,★★★★½,True,
Triangle of Sadness,03 Dec 2022,★★★★★,True,
National Lampoon's Christmas Vacation,27 Nov 2022,★★★★★,True,
The Stranger,27 Nov 2022,★★★,True,
The House,26 Nov 2022,★★★½,True,
Making 1899,22 Nov 2022,★★★½,True,
Pearl,20 Nov 2022,★★★,True,
Fire of Love,18 Nov 2022,★★★½,True,
Office Space,15 Nov 2022,★★½,False,
The Banshees of Inisherin,11 Nov 2022,★★★★½,True,
After Yang,10 Nov 2022,★★★,True,
Licorice Pizza,09 Nov 2022,★★½,False,
Causeway,06 Nov 2022,★★★★,True,
Marcel the Shell with Shoes On,06 Nov 2022,★★★★★,True,
Invisible Demons,05 Nov 2022,★★★,False,
Great Freedom,02 Nov 2022,★★★★,True,
The Night House,31 Oct 2022,★★★½,True,
The Autopsy,31 Oct 2022,★★★½,True,
All Quiet on the Western Front,31 Oct 2022,★★★,True,
It Chapter Two,29 Oct 2022,★,False,
Nope,27 Oct 2022,★★★½,True,
Barbarian,25 Oct 2022,★★★½,True,
Crimes of the Future,24 Oct 2022,★★½,False,
White Noise,23 Oct 2022,★★★★,True,
Raymond & Ray,23 Oct 2022,★½,False,
Godland,20 Oct 2022,★★★★½,True,
The Wrestler,18 Oct 2022,★★★★★,True,
Hellraiser,12 Oct 2022,★★,False,
Shiva Baby,09 Oct 2022,★★★★,True,
Hot Mother,08 Oct 2022,★★★½,True,
A Painter,08 Oct 2022,★★★½,False,
The Patient,05 Oct 2022,★★,False,
Dahmer – Monster: The Jeffrey Dahmer Story,02 Oct 2022,★★★★,False,
Blonde,29 Sep 2022,★½,False,
Voyage of Time: The IMAX Experience,25 Sep 2022,★★★½,False,
Five Days at Memorial,20 Sep 2022,★★★½,False,
The Black Phone,19 Sep 2022,★★,False,
On the Count of Three,18 Sep 2022,★★★,False,
Thor: Love and Thunder,18 Sep 2022,★★,False,
The Golden Glove,11 Sep 2022,★★★★,True,
Nest,30 Aug 2022,★★★★,True,
The Gray Man,26 Aug 2022,★,False,
Funny Pages,25 Aug 2022,★★★★,True,
Morbius,24 Aug 2022,½,False,
Sonic the Hedgehog 2,23 Aug 2022,★★★½,True,
She-Hulk: Attorney at Law,22 Aug 2022,½,False,
Thirteen Lives,17 Aug 2022,★★★★,True,
Belfast,15 Aug 2022,★★½,False,
Lightyear,14 Aug 2022,★★★½,True,
Luck,14 Aug 2022,½,False,
Prey,08 Aug 2022,★★★½,True,
Black Bird,05 Aug 2022,★★★½,True,
The Shadow in My Eye,25 Jul 2022,★★★,False,
