Movie,Date Watched,Rating,Liked,Review
Mean Girls,12 Jan 2024,,True,
Pitch Black,09 Jan 2024,,True,
Speed,04 Jan 2024,,True,
Sonic the Hedgehog 2,04 Jan 2024,,False,
Transformers: Revenge of the Fallen,03 Jan 2024,,False,
Poor Things,02 Jan 2024,,True,
The Iron Claw,30 Dec 2023,,True,
The Muppet Christmas Carol,25 Dec 2023,,True,
Aliens,21 Dec 2023,,True,
Moonstruck,21 Dec 2023,★★★★★,True,
The Boy and the Heron,19 Dec 2023,,True,
Die Hard,18 Dec 2023,,True,
In the Mouth of Madness,16 Dec 2023,,True,
Grand Illusion,16 Dec 2023,,True,
Event Horizon,14 Dec 2023,,True,
Black Panthers,13 Dec 2023,,True,
Donnie Darko,13 Dec 2023,,True,
The Sting,12 Dec 2023,★★★★½,True,
Transformers,09 Dec 2023,,True,
Black Narcissus,07 Dec 2023,,True,
Godzilla Minus One,05 Dec 2023,,True,
Tropical Malady,03 Dec 2023,,True,
The Raid 2,02 Dec 2023,,True,
Space Jam: A New Legacy,30 Nov 2023,,False,
May December,28 Nov 2023,,True,
The Hunger Games: Catching Fire,26 Nov 2023,,False,
The Naked Gun: From the Files of Police Squad!,25 Nov 2023,,False,
Napoleon,24 Nov 2023,,True,
All About Eve,23 Nov 2023,,True,
Fantastic Mr. Fox,22 Nov 2023,,True,
The Holdovers,21 Nov 2023,,True,
The Passion of Joan of Arc,20 Nov 2023,★★★★★,True,
The Adventures of Tintin,18 Nov 2023,,True,
Hero,18 Nov 2023,,True,
Fast and Fierce: Death Race,17 Nov 2023,★½,False,
Blue Beetle,15 Nov 2023,,False,
V for Vendetta,15 Nov 2023,★★★★,True,
Five Nights at Freddy's,15 Nov 2023,★★,False,
Bad Boys,13 Nov 2023,,False,
House,11 Nov 2023,★★★★,True,
The Raid,10 Nov 2023,★★★½,True,
Duel,10 Nov 2023,★★★★,True,
Army of Darkness,09 Nov 2023,★★★★,True,
Bullet Train,08 Nov 2023,★★★,True,
Gaslight,05 Nov 2023,★★★★,True,
Battle Royale,05 Nov 2023,★★★½,True,
Sansho the Bailiff,05 Nov 2023,★★★★,True,
What Happened to Monday,04 Nov 2023,★★½,False,
Furious 7,03 Nov 2023,★★★★,True,
Evil Dead II,31 Oct 2023,★★★★,True,
The Evil Dead,31 Oct 2023,★★★★,True,
Killers of the Flower Moon,23 Oct 2023,★★★★,True,
Touch of Evil,18 Oct 2023,★★★½,True,
The Lost Boys,17 Oct 2023,★★★½,True,
Critters,16 Oct 2023,★★½,False,
Friday the 13th,16 Oct 2023,★★★½,True,
Predator,12 Oct 2023,★★★½,True,
August in the Water,09 Oct 2023,★★★★★,True,"Mesmerized by the way objects fall out of the sky. Stuck in fate, stuck in omens, rituals, loves, pains. We're all the same. Some people seem to be born under the right star. A trick of the light? Destiny? It often feels like we can only pray for rain. It's hard to remember that we're made of water. "
The Fog,08 Oct 2023,★★★½,True,
Ip Man,06 Oct 2023,★★★★,True,
Avatar: The Way of Water,06 Oct 2023,★★★★½,True,
Mission: Impossible – Fallout,03 Oct 2023,★★★★,True,
Pride & Prejudice,02 Oct 2023,★★★★½,True,
"Sherlock, Jr.",24 Sep 2023,★★★★★,True,
Mission: Impossible – Rogue Nation,19 Sep 2023,★★★½,True,
The Transporter,15 Sep 2023,★★★★,True,
Scooby-Doo! WrestleMania Mystery,12 Sep 2023,★★★,True,
Scooby-Doo! Adventures: The Mystery Map,12 Sep 2023,★★,False,
Supermarket Woman,10 Sep 2023,★★★★½,True,
Pather Panchali,09 Sep 2023,★★★★★,True," A mother's impossible task is to protect and guide her children. Even in the best of circumstances, a mother can only control so much. In the worst of circumstances what is one to even do? Children will find simple joys where they can. It can't be stopped. Their lives will blossom and extend faster than protections and safeguards can be put up around them. Sarbajaya does everything in her power to try and protect her children. I think most would… "
Aquaman,05 Sep 2023,★★★½,True,
Labyrinth,04 Sep 2023,★★★½,True,
The Bourne Identity,02 Sep 2023,★★½,True,
Casino Royale,31 Aug 2023,★★★½,True,
Batman & Robin,29 Aug 2023,★★★★,True,
Rush Hour,25 Aug 2023,★★★,True,
Blazing Saddles,24 Aug 2023,★★★★,True,
Mission: Impossible – Dead Reckoning Part One,22 Aug 2023,★★★★,True,
The X Files,19 Aug 2023,★★★,True,
Yojimbo,18 Aug 2023,,True,
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,15 Aug 2023,★★★★½,True,
Hercules,14 Aug 2023,,False,
Gulliver's Travels,14 Aug 2023,,False,
Star Trek II: The Wrath of Khan,05 Aug 2023,★★★½,True,
The Duellists,05 Aug 2023,★★★★,True,
Fast & Furious 6,04 Aug 2023,★★★,True,
Barry Lyndon,03 Aug 2023,★★★★½,True,
Asteroid City,01 Aug 2023,★★★★,True,
Twilight,28 Jul 2023,★★★★,True,Way more my thing than I ever could have possibly thought. Beginning to think I'm in the right generation after all.
Barbie,28 Jul 2023,★★★★,True,
Johnny English,24 Jul 2023,★★½,False,
Little Nicky,21 Jul 2023,★★,False,
Blade: Trinity,21 Jul 2023,★★★½,True,
World War Z,20 Jul 2023,★★,False,
Halo: The Fall of Reach,20 Jul 2023,★,False,Vile
Zoolander,17 Jul 2023,★★★,True,
Highlander,15 Jul 2023,★★★★,True,
Spider-Man 3,14 Jul 2023,★★★½,True,
Terminator 2: Judgment Day,04 Jul 2023,★★★★,True,
Mission: Impossible – Ghost Protocol,03 Jul 2023,★★★½,True,
Indiana Jones and the Last Crusade,30 Jun 2023,★★★★½,True,
Little Miss Sunshine,30 Jun 2023,★★★½,True,
RoboCop,30 Jun 2023,★★★★,True,
Spider-Man: Across the Spider-Verse,28 Jun 2023,★★★★½,True,"J Jonah Jameson said he wanted pictures of Spiderman and we really said ok, huh"
Spider-Man: Across the Spider-Verse,27 Jun 2023,★★★★½,True,"J Jonah Jameson said he wanted pictures of Spiderman and we really said ok, huh"
Mission: Impossible II,26 Jun 2023,★★★½,True,
The Princess Bride,23 Jun 2023,★★★★★,True,
Spider-Man: Across the Spider-Verse,23 Jun 2023,★★★★½,True,"J Jonah Jameson said he wanted pictures of Spiderman and we really said ok, huh"
Late Spring,22 Jun 2023,★★★★,True," Biggest surprise here is actually how powerful Ozu is able to make his singles, particularly when he's contrasting them with his standard knee-level masters. The first time it happens when Noriko mentions her disgust at the man's remarriage made me physically squirm. Being thrust right in the center of such a personal conversation so unexpectedly immediately made marriage feel like the touchiest thing you could possibly discuss for the rest of the film.The film seems to have an obsession… "
Spider-Man: Across the Spider-Verse,20 Jun 2023,★★★★½,True,"J Jonah Jameson said he wanted pictures of Spiderman and we really said ok, huh"
Dog Star Man,17 Jun 2023,★★★★½,True,
Aftersun,30 May 2023,★★★★★,True,
Kimi,30 May 2023,★★★½,True,Hand-waggling on the haters from the comfort of my bedroom
The Meg,26 May 2023,★★½,False,"The default shark-bite shape but instead of it being on like a surf board, it's taken out of the country of China."
Dungeons & Dragons: Honor Among Thieves,20 May 2023,★★★½,True,
Bill & Ted's Excellent Adventure,15 May 2023,★★★★,True,
Jerry Maguire,14 May 2023,★★★½,True,
About Elly,09 May 2023,★★★★,True,
The Rock,06 May 2023,★★★★,True,
On the Waterfront,29 Apr 2023,,False,
Fast Five,28 Apr 2023,★★½,True,
Memento,27 Apr 2023,★★★★½,True,
Source Code,27 Apr 2023,★★★★,True,People who know The Bean is actually called Cloud Gate going absolutely ape for this one
Vantage Point,27 Apr 2023,★★★,True,"Forest with the pinpoint precision with the camcorder. The lens as an extension of the body, the perfect weapon to fight terrorism lmao"
Dungeons & Dragons: Honor Among Thieves,25 Apr 2023,★★★,True,
Brazil,24 Apr 2023,★★★★½,True,
John Wick,10 Apr 2023,★★★½,True,
John Wick: Chapter 4,04 Apr 2023,★★★★,True,Chekhov's gun vs. Eisenstein's stairs
My Neighbor Totoro,28 Mar 2023,★★★★½,True,
John Wick: Chapter 3 – Parabellum,27 Mar 2023,★★★½,False,
Fast & Furious,25 Mar 2023,★★½,False,
Hustlers,24 Mar 2023,★★★½,True,
Johnny Dangerously,20 Mar 2023,★★½,False,"I really like when they say the word ""crime"" in this one. It's used in such a nebulous and generic way. Very similar to when someone would say they're doing ""business"" when one tries to allude to doing mature, productive, adult tasks. Except its just a little more evil. Diabolical even. Anyways, love crime."
The Hitchhiker's Guide to the Galaxy,18 Mar 2023,★★½,False,
The Lego Movie,18 Mar 2023,★★★,True,
The Fast and the Furious: Tokyo Drift,14 Mar 2023,★★½,True,
Pokémon: The First Movie - Mewtwo Strikes Back,07 Mar 2023,★★★½,True,
Magic Mike,25 Feb 2023,★★★★,True,
"Yesterday, Today and Tomorrow",14 Feb 2023,★★★★,True,
Knock at the Cabin,07 Feb 2023,★★★½,True,
The Chosen: Season 3 Finale,02 Feb 2023,,False,
Point Break,31 Jan 2023,★★★★½,True,
Interview with the Vampire,25 Jan 2023,★★★½,True,
A Chinese Ghost Story,24 Jan 2023,★★★★,True,
Plane,17 Jan 2023,★★½,False,
Hereditary,13 Jan 2023,,False,
2001: A Space Odyssey,10 Jan 2023,★★★★★,True,
Knives Out,07 Jan 2023,★★★★,True,
Twins,06 Jan 2023,,True,
Puss in Boots: The Last Wish,04 Jan 2023,★★★,True,
Nope,01 Jan 2023,★★★★½,True,
Resident Evil: Apocalypse,01 Jan 2023,,False,
Babylon,28 Dec 2022,★★★★,True,
Avatar: The Way of Water,27 Dec 2022,★★★★½,True,
Sans Soleil,26 Dec 2022,,True,
The Fabelmans,26 Dec 2022,★★★★,True,
Harry Potter and the Philosopher's Stone,25 Dec 2022,★★★½,True,
Elf,24 Dec 2022,★★★★,True,
Kill Bill: Vol. 1,21 Dec 2022,★★★★,True,
Godzilla: King of the Monsters,18 Dec 2022,★½,False,
The Beach Bum,18 Dec 2022,★★★½,True,
The Banshees of Inisherin,15 Dec 2022,★★★,False,
Big Top Scooby-Doo!,15 Dec 2022,★★½,True,
Adaptation.,09 Dec 2022,★★★½,True,
Riddick,09 Dec 2022,★★,False,
R.I.P.D. 2: Rise of the Damned,09 Dec 2022,★★,False,
Resident Evil,09 Dec 2022,★★★½,True,
Beau Travail,06 Dec 2022,★★★★★,True,
Godzilla,05 Dec 2022,★★,False,
His Girl Friday,04 Dec 2022,★★★½,True,
Ghost Dog: The Way of the Samurai,01 Dec 2022,★★★★,True,
Glass Onion,29 Nov 2022,★★★½,True,
The Fate of the Furious,25 Nov 2022,★★½,False,
The Wind Rises,22 Nov 2022,★★★★½,True,
The Tale of Zatoichi,22 Nov 2022,★★★★,True,
The Mission,19 Nov 2022,★★★★,True,
Redline,19 Nov 2022,★★★★,True,
Scooby-Doo! Music of the Vampire,19 Nov 2022,★½,False,
Spy Kids 3-D: Game Over,18 Nov 2022,★★★½,True,
Spy Kids 2: The Island of Lost Dreams,11 Nov 2022,★★★,True,
"20,000 Leagues Under the Sea",08 Nov 2022,★★½,False,
Sweet Smell of Success,06 Nov 2022,★★★½,True,
Varda by Agnès,06 Nov 2022,★★★★½,True,
Godzilla,04 Nov 2022,★★★½,True,
Scream,31 Oct 2022,★★★★,True,
Scooby-Doo! Legend of the Phantosaur,31 Oct 2022,★★★,False,
