Movie,Date Watched,Rating,Liked,Review
The Menu,16 Dec 2022,★★★★,True,
Smile,03 Dec 2022,★★½,False,
Perfect Blue,25 Sep 2022,★★★★★,False,
Bodies Bodies Bodies,18 Aug 2022,★★★★,True,
The Last Days of Disco,20 Jun 2022,★★★★★,True,
Dressed to Kill,11 Mar 2022,★★★½,False,
Metropolitan,19 Feb 2022,★★★★½,True,
The Scary of Sixty-First,05 Feb 2022,★★★★,True,
Confessions of a Teenage Drama Queen,19 Jan 2022,,True,
Repulsion,18 Jan 2022,★★★½,False,
Spree,10 Jan 2022,★★★★,False,
Uptown Girls,07 Jan 2022,★★★★★,True,
2LDK,02 Jan 2022,★★★★,True,
Wild Things,01 Jan 2022,★★★★,True,
Better Watch Out,25 Dec 2021,★★,False,
All Too Well: The Short Film,16 Nov 2021,,False,
PVT Chat,08 Nov 2021,★★★½,False,
Martyrs,06 Nov 2021,★★★,False,
Highway to Hell,05 Nov 2021,★★★½,False,
Till Death,05 Nov 2021,★★,False,
Ms .45,26 Oct 2021,★★★★,False,
How to Undress in Front of Your Husband,23 Oct 2021,★★★½,False,
Blaze Starr Goes Nudist,21 Sep 2021,★★★,False,
Hunger,07 Aug 2021,★½,False,
Knocked Up,31 Jul 2021,,False,
Pineapple Express,31 Jul 2021,,False,
The Ruins,31 Jul 2021,★½,False,
Polaroid,30 Jul 2021,★,False,look it’s scarf girl! hahahah
"The Wild, Wild World of Jayne Mansfield",25 Jul 2021,★★★½,True,literally a fever dream w/ a narrator that sounds like jennifer coolidge
Old,24 Jul 2021,½,False,honestly really unejoyable and a relatively vapid critique of big pharma
The Task,23 Jul 2021,★,False,
Snuff,23 Jul 2021,★,False,
The Hunt,21 Jul 2021,★★★½,False,
Chopping Mall,21 Jul 2021,★★,False,
House of Wax,20 Jul 2021,★★★½,False,vegan alert: wax 😭
Romance,19 Jul 2021,★★★★½,True,this is my joker film
Duet for Cannibals,18 Jul 2021,★★★★,True,"i resonate with sontag’s need to include the graffiti wall with the names of de Beauvoir, Woolf, Sartre, and Fanon on it. yes she read their work so she has to make sure you know !"
The Hunger,18 Jul 2021,★★★★,True,"i watched this for free with the worst video quality, yet it still was the most beautiful film i’ve seen"
Demons 2,18 Jul 2021,★★★,False,i love a decent stylistic but incoherent entry into the dario argento cinematic universe
Shiva Baby,17 Jul 2021,★★★½,False,shiva baby 💞👩‍❤️‍💋‍👨💞💫💖👯‍♀️💃🏼🌟
Passion Play,17 Jul 2021,½,True,so so bad but i’m obsessed w/ the aesthetic
Dogtooth,16 Jul 2021,★★★★★,True,"this film being released right after the Great Recession, during Greece’s precarious economic crisis, contextualizes this account of forced alienation of the family, as well as the father’s disturbing attempts to keep the house a bubble from society, in a way that makes this film feel ingenious."
Head Count,16 Jul 2021,★★,False,
Blanche,16 Jul 2021,★★★★½,True,i have no clue if i actually think borowczyk’s films are good or if im just too entranced by the costume and set designs… but what is film if not first an foremost a visual medium ?
The Games of Angels,16 Jul 2021,★★★½,False,
Venus on the Half-Shell,16 Jul 2021,★★,False,
Demons,16 Jul 2021,★★★★,False,
Clown,16 Jul 2021,★★,False,
Charlie Says,15 Jul 2021,★★,False,
Funny Games,15 Jul 2021,★★★,False,
Blood Fest,14 Jul 2021,★,False,
Contracted,14 Jul 2021,★★,False,
Opening Night,13 Jul 2021,★★★★★,True,
Marina Abramović: The Artist Is Present,13 Jul 2021,★★★★½,True,
Buffalo '66,13 Jul 2021,★★★★★,True,

Followers
r3iff,laylajadekrantz,johnnymovies,lionellassie,cinephiles,horroradorer,alessandrosassi,neeema,caliaa,blubberbelle,molscotti

Following
r3iff,laylajadekrantz,johnnymovies,cinephiles,alessandrosassi,neeema,caliaa,blubberbelle,molscotti
