Movie,Date Watched,Rating,Liked,Review
The Visitors,06 Jan 2022,,False,
Tampopo,28 Dec 2021,,False,
Licorice Pizza,05 Dec 2021,,False,
The Florida Project,28 Sep 2021,,False,
Fire Music,20 Sep 2021,,False,
Tour de Pharmacy,18 Sep 2021,,False,
Pig,27 Jul 2021,,True,
Bo Burnham: Inside,06 Jun 2021,,False,
Hellraiser,29 May 2021,,False,
The Human Voice,02 May 2021,,False,
Nomadland,30 Apr 2021,,False,
The Producers,17 Apr 2021,,False,
7 Days in Hell,17 Apr 2021,,False,
Fritz the Cat,05 Mar 2021,,False,
Kubo and the Two Strings,27 Feb 2021,,False,
Total Recall,20 Feb 2021,,False,
Mad Max,15 Feb 2021,,False,
Judas and the Black Messiah,14 Feb 2021,,False,
The Master,13 Feb 2021,,False,
Wild Combination: A Portrait of Arthur Russell,08 Jan 2021,,False,
Sound of Metal,02 Jan 2021,,False,
Burning,01 Jan 2021,,False,
The Bee Gees: How Can You Mend a Broken Heart,26 Dec 2020,,False,
Soul,25 Dec 2020,,False,
The Lighthouse,18 Dec 2020,,False,
Borat Subsequent Moviefilm,24 Oct 2020,,False,
My Octopus Teacher,16 Oct 2020,,False,
Ralph Breaks the Internet,16 Oct 2020,,False,
An American Pickle,09 Aug 2020,,False,
The Blues Brothers,08 Aug 2020,,False,
The Elephant 6 Recording Co.,01 Aug 2020,,False,
Hamilton,09 Jul 2020,,False,
Palm Springs,08 Jul 2020,,False,
Middleditch & Schwartz,23 Apr 2020,,False,
Portrait of a Lady on Fire,28 Mar 2020,,False,
Uncut Gems,30 Dec 2019,,False,
Knives Out,25 Dec 2019,,False,
Marriage Story,07 Dec 2019,,False,
Parasite,03 Nov 2019,,False,
Jojo Rabbit,26 Oct 2019,,False,
The Informant!,12 Oct 2019,,False,
Joker,11 Oct 2019,,False,
Taxi Driver,21 Sep 2019,,False,
Midsommar,01 Sep 2019,,False,
Lady Bird,30 Aug 2019,,True,
Once Upon a Time… in Hollywood,07 Aug 2019,,False,
Yesterday,02 Jul 2019,,False,
Late Night,23 Jun 2019,,False,
Toy Story 4,23 Jun 2019,,False,
Always Be My Maybe,19 Jun 2019,,False,
Echo in the Canyon,09 Jun 2019,,False,
Booksmart,05 Jun 2019,,False,
Our Idiot Brother,30 May 2019,★★,False,In an alternate timeline the big Lebowski came out in 2011 and Paul Rudd starred in it and it was mild af
Happy as Lazzaro,11 Apr 2019,,False,cool cinematic movie
Roma,30 Dec 2018,,False,
Pan's Labyrinth,19 Dec 2018,,False,

Followers
10037105,mmmfilm,jcicco,gatorbutchering,nburnham,allisonhsu,litzard,hyunburger,rhysp,wjacobson124,mboussard

Following
10037105,mmmfilm,seanfennessey,jcicco,allisonhsu,megwest,brookekush,litzard,rhysp,nburnham,hyunburger,mboussard,wjacobson124
