Movie,Date Watched,Rating,Liked,Review
The Zone of Interest,15 Jan 2024,★★★½,True,
Heat,14 Jan 2024,★★★★,False,
Ferrari,13 Jan 2024,★★,False,
Whore,13 Jan 2024,★★★,False,
Godzilla Minus One,10 Jan 2024,★★½,False,
The Farewell,10 Jan 2024,★★★½,False,
Touch,10 Jan 2024,★★★,False,
Nani,10 Jan 2024,★★★,False,
The Judge and the Assassin,09 Jan 2024,★★★★,False,
Sexy Beast,09 Jan 2024,★★★½,True,
Acide,09 Jan 2024,★★½,False,
My Name Is Nobody,08 Jan 2024,★★★½,False,
Io Capitano,07 Jan 2024,★★★,False,
Tokyo Fist,07 Jan 2024,★★★,False,
The Volunteers: To the War,05 Jan 2024,★★,False,
Les Indésirables,03 Jan 2024,★★½,False,
The Tower,01 Jan 2024,★★½,False,
Infested,01 Jan 2024,★½,False,
Eraserhead,30 Dec 2023,★★★,False,
Byzance,30 Dec 2023,,False,
Pehlivan,30 Dec 2023,,False,
Misery,28 Dec 2023,★★★½,True,
Golden Horn,28 Dec 2023,,False,
It's a Wonderful Life,27 Dec 2023,★★★★★,True,
Y Tu Mamá También,26 Dec 2023,★★★½,True,
Yannick,24 Dec 2023,★★★,False,
The Three Musketeers: Milady,23 Dec 2023,★½,False,
Mars Express,23 Dec 2023,★★★,False,
Perfect Days,22 Dec 2023,★★★½,True,
The Animal Kingdom,22 Dec 2023,★★,False,
Full Metal Jacket,21 Dec 2023,★★★★,False,
The Goldman Case,18 Dec 2023,★★★,False,
Kidnapped,17 Dec 2023,★★★½,True,
La Chimera,16 Dec 2023,★★½,False,
The Terminator,13 Dec 2023,★★★½,False,
Manhattan,13 Dec 2023,★★★½,False,
"Aguirre, the Wrath of God",13 Dec 2023,★★★★,False,
L'Amour fou,12 Dec 2023,★★½,False,
Signs,11 Dec 2023,★★★,False,
The Boy and the Heron,10 Dec 2023,★★★,False,
Mad Max 2,10 Dec 2023,★★★½,False,
Poor Things,09 Dec 2023,★★★,False,
Concrete Utopia,09 Dec 2023,★★★,False,
The Kid and the Camera,08 Dec 2023,★★★,False,
