Movie,Date Watched,Rating,Liked,Review
Stop Making Sense,13 Jan 2024,★★★★,False,
Mean Girls,11 Jan 2024,★★,False,I don't think I was the target audience.
Society of the Snow,11 Jan 2024,★★★★½,False,
The Pod Generation,09 Jan 2024,★★★,False,
Anatomy of a Fall,09 Jan 2024,★★★★½,False,
Wonka,02 Jan 2024,★★★,False,"Hey, Timothee Chalamet was pretty fun, but that's about it."
Rebel Moon - Part One: A Child of Fire,23 Dec 2023,★,False,"Rebel Moon stumbles in its attempt to deliver a visually appealing experience, marred by an unattractive and blurry aesthetic. The story, unfortunately, fails to break free from familiar sci-fi tropes, lacking the originality one might hope for in a space epic. Additionally, the excessive use of slow-motion scenes, a trademark of Zack Snyder's style, becomes a tiresome distraction rather than a cinematic enhancement. Ultimately, the film falls short of its potential, leaving viewers with a sense of missed opportunities and visual fatigue."
Saltburn,23 Dec 2023,★★★½,False,A little bit too horny for me.
The Boy and the Heron,21 Dec 2023,★★★★★,False,My brain in the first half: I do not know what all the hype is about.
Maestro,21 Dec 2023,★★½,False,"I am supposed to care right, right?"
Five Nights at Freddy's,19 Dec 2023,★★½,False,"Five Nights at Ferdy's is so much better, trust me. I have pizza."
Saw X,18 Dec 2023,★★★½,False,
Godzilla Minus One,14 Dec 2023,★★★★,False,People should probably look into the reason why this movie was so cheap to make before celebrating it..
Leave the World Behind,10 Dec 2023,★★½,False,
Theater Camp,06 Dec 2023,★★★½,False,
The Royal Hotel,03 Dec 2023,★★★½,False,
The Hunger Games: Mockingjay – Part 2,02 Dec 2023,★★★½,False,
The Hunger Games: Mockingjay – Part 1,01 Dec 2023,★★★,False,
The Hunger Games: Catching Fire,30 Nov 2023,★★★★,False,
The Hunger Games,29 Nov 2023,★★★★,False,
Napoleon,28 Nov 2023,★★★,False,The French disliked the English so darn much that some of them started talkin' with an English accent just to mess with 'em!
Hypnotic,27 Nov 2023,★,False,This movie made me physically sick.
Reality,26 Nov 2023,★★★½,False,
Spider-Man: Into the Spider-Verse,25 Nov 2023,★★★★★,True,"I revisited this amazing movie accompanied by a live orchestra, which sounded incredible. However, my experience was somewhat disappointing. Next time, we are picking a more suitable movie for a live orchestra."
It Follows,24 Nov 2023,★★★½,False,
Women Talking,23 Nov 2023,★★★★,False,"""Sometimes I think people laugh as hard as they'd like to cry."""
Mean Girls,22 Nov 2023,★★★,False,I don't think I was the target audience.
The Hunger Games: The Ballad of Songbirds & Snakes,21 Nov 2023,★★★★,False,
Dicks: The Musical,20 Nov 2023,★★★,False,
The Nun II,19 Nov 2023,★★,False,
The Equalizer 3,19 Nov 2023,★★★½,False,
Rustin,18 Nov 2023,★★★,False,
Strange Way of Life,17 Nov 2023,★★★,False,
Killers of the Flower Moon,16 Nov 2023,★★★★,False,
"Are You There God? It's Me, Margaret.",15 Nov 2023,★★★★,False,
The Exorcist: Believer,14 Nov 2023,★½,False,
Past Lives,13 Nov 2023,★★★★,False,
A Haunting in Venice,12 Nov 2023,★★★½,False,
Poison,11 Nov 2023,★★★½,False,
The Rat Catcher,11 Nov 2023,★★★,False,
The Killer,10 Nov 2023,★★★,False,
Expend4bles,09 Nov 2023,½,False,
The Marvels,09 Nov 2023,★★★★,True,
Dumb Money,08 Nov 2023,★★★½,False,
Joy Ride,07 Nov 2023,★★★½,False,
Sisu,06 Nov 2023,★★★½,False,
When Evil Lurks,05 Nov 2023,★★★★,False,
The Covenant,05 Nov 2023,★★½,False,
NYAD,04 Nov 2023,★★★,False,
Quiz Lady,03 Nov 2023,★★★½,False,
65,02 Nov 2023,★,False,
