Movie,Date Watched,Rating,Liked,Review
The Curse,15 Jan 2024,,True,
The Iron Claw,13 Jan 2024,,True,
Godzilla Minus One,12 Jan 2024,,True,
Maestro,01 Jan 2024,,False,
Dream Scenario,31 Dec 2023,,False,
Ferrari,31 Dec 2023,,False,
The Boy and the Heron,26 Dec 2023,,False,
American Fiction,20 Dec 2023,,False,
Singin' in the Rain,15 Dec 2023,,True,
Barbie,15 Dec 2023,,True,
Leave the World Behind,11 Dec 2023,,False,
Mad Max: Fury Road,02 Dec 2023,★★★★★,True,
The Black Hole,02 Dec 2023,,False,
May December,02 Dec 2023,,True,
All That Jazz,30 Nov 2023,,False,
The Killer,19 Nov 2023,,True,
Napoleon Dynamite,19 Nov 2023,,True,
Samsara,13 Nov 2023,,False,
Inception,12 Nov 2023,,True,
The Last Dance,11 Nov 2023,★★★★★,True,
No Hard Feelings,09 Nov 2023,,False,
Notting Hill,04 Nov 2023,,True,
True Lies,04 Nov 2023,,False,
The Peasants,02 Nov 2023,,False,
Killers of the Flower Moon,22 Oct 2023,,False,
Pumping Iron,18 Oct 2023,,True,
Anatomy of a Fall,16 Oct 2023,,True,
The Terminator,15 Oct 2023,,True,
Arnold,15 Oct 2023,,True,
Beckham,07 Oct 2023,,False,
Fintech,07 Oct 2023,,True,
Bottoms,03 Oct 2023,,False,
The Creator,02 Oct 2023,,False,
Avatar,30 Sep 2023,,False,
Air,30 Sep 2023,,False,
BlackBerry,24 Sep 2023,,True,
The Teachers’ Lounge,04 Sep 2023,,True,
Daddio,04 Sep 2023,,False,
El Conde,04 Sep 2023,,False,
Perfect Days,04 Sep 2023,,True,
Anatomy of a Fall,03 Sep 2023,,True,
Rustin,03 Sep 2023,,False,
Wildcat,03 Sep 2023,,False,nepo babies should consider taking acting classes
Fingernails,02 Sep 2023,,False,
All of Us Strangers,02 Sep 2023,,False,
The Pigeon Tunnel,02 Sep 2023,,False,
Janet Planet,01 Sep 2023,,False,
The Zone of Interest,01 Sep 2023,,True,
Saltburn,01 Sep 2023,,False,
The Bikeriders,31 Aug 2023,,False,
The Holdovers,31 Aug 2023,,False,
Poor Things,30 Aug 2023,,False,
"Red, White & Royal Blue",13 Aug 2023,,False,
Oppenheimer,25 Jul 2023,,False,why did anyone like this movie pls explain
Barbie,20 Jul 2023,,True,
Mission: Impossible – Dead Reckoning Part One,15 Jul 2023,,False,
You Hurt My Feelings,25 Jun 2023,,False,
Asteroid City,22 Jun 2023,,False,
The Full Monty,19 Jun 2023,,False,
Grizzly Man,20 Feb 2023,,True,
Signs,27 Jan 2023,,True,
The Menu,15 Jan 2023,,False,
This Place Rules,08 Jan 2023,,True,
White Noise,03 Jan 2023,,False,
Babylon,27 Dec 2022,★,False,
Glass Onion,24 Dec 2022,,False,
Nope,18 Dec 2022,,True,
The Fabelmans,11 Dec 2022,,True,
Don't Worry Darling,02 Dec 2022,,False,
The Menu,01 Dec 2022,,False,
Good Night Oppy,27 Nov 2022,,True,
Barbarian,06 Nov 2022,,True,
Triangle of Sadness,28 Oct 2022,,True,
The Banshees of Inisherin,23 Oct 2022,,True,
Luckiest Girl Alive,11 Oct 2022,,False,
Chinatown,03 Oct 2022,,True,
Do Revenge,30 Sep 2022,,False,
Sarafina!,20 Sep 2022,,False,
One Fine Morning,05 Sep 2022,,True,
The Fire Within: Requiem for Katia and Maurice Krafft,05 Sep 2022,,True,
Women Talking,04 Sep 2022,,True,
Bones and All,03 Sep 2022,,True,
TÁR,03 Sep 2022,,True,
Aftersun,03 Sep 2022,,True,
Empire of Light,03 Sep 2022,,False,
Armageddon Time,02 Sep 2022,,False,
Wildcat,01 Sep 2022,,True,nepo babies should consider taking acting classes
Top Gun: Maverick,29 May 2022,,True,
The Northman,01 May 2022,,True,i’m very down with this movie fucking fight me
District 9,27 Apr 2022,,True,
The Unbearable Weight of Massive Talent,25 Apr 2022,,False,
Ambulance,24 Apr 2022,,True,god bless america
The Batman,24 Apr 2022,,True,incel culture
The Northman,22 Apr 2022,,True,i’m very down with this movie fucking fight me
Benjamin Franklin,21 Apr 2022,,True,
Everything Everywhere All at Once,18 Apr 2022,,False,
Linklater: On Cinema and Time,07 Apr 2022,,True,
Station Eleven,23 Mar 2022,★★½,False,
Annihilation,23 Mar 2022,,True,
Cruel Intentions,21 Mar 2022,,True,
The Dark Knight,17 Mar 2022,,True,
The Batman,17 Mar 2022,,True,incel culture
Batman Begins,16 Mar 2022,,True,
The Batman,11 Mar 2022,,True,incel culture
Fresh,10 Mar 2022,,False,
After Yang,06 Mar 2022,,True,
The Big Short,22 Feb 2022,,False,
Sicario,15 Feb 2022,★★★★½,True,
Deadwood: The Movie,15 Feb 2022,,True,
The Worst Person in the World,11 Feb 2022,,True,
Youth,29 Jan 2022,,False,
Parallel Mothers,29 Jan 2022,,False,
Dick Johnson Is Dead,26 Jan 2022,,True,
Fire of Love,22 Jan 2022,,True,beyond incredible
Bergman Island,20 Jan 2022,★★★★½,True,
The Big Lebowski,10 Jan 2022,,True,
My Summer of Love,07 Jan 2022,,True,
The Power of the Dog,05 Jan 2022,,True,
Spider-Man: No Way Home,02 Jan 2022,,True,ok but like i SCREAMED when Tobey showed up
Harry Potter 20th Anniversary: Return to Hogwarts,01 Jan 2022,,False,
The Rider,26 Dec 2021,,True,
Licorice Pizza,25 Dec 2021,,True,
Don't Look Up,24 Dec 2021,★½,False,
The Godfather,22 Dec 2021,,False,
The Matrix,22 Dec 2021,,True,
Spider-Man: No Way Home,22 Dec 2021,,True,ok but like i SCREAMED when Tobey showed up
The Man Who Wasn't There,19 Dec 2021,★★★,True,
West Side Story,10 Dec 2021,,True,god damnit
The Beatles: Get Back,06 Dec 2021,★★★★★,True,i want MORE
Licorice Pizza,04 Dec 2021,,True,
House of Gucci,01 Dec 2021,★,False,o f f e n s i v e
Paterson,20 Nov 2021,,True,
All Too Well: The Short Film,14 Nov 2021,½,False,
The Last Duel,03 Nov 2021,★★,False,lol i could not take this seriously at all
Bull Durham,31 Oct 2021,,True,
Dune,24 Oct 2021,,True,
Casino Royale,14 Oct 2021,,True,
No Time to Die,13 Oct 2021,,True,
Lamb,07 Oct 2021,,False,
Titane,07 Oct 2021,,True,
The Tragedy of Macbeth,25 Sep 2021,,False,
Mare of Easttown,22 Sep 2021,★★★½,False,
The Power of the Dog,06 Sep 2021,,True,
The Rescue,05 Sep 2021,,True,
Spencer,04 Sep 2021,,False,
The Lost Daughter,04 Sep 2021,,True,
Citizen Ashe,04 Sep 2021,,False,
King Richard,04 Sep 2021,,False,
The French Dispatch,03 Sep 2021,,False,
The Hand of God,03 Sep 2021,,True,
Red Rocket,03 Sep 2021,,True,
Belfast,03 Sep 2021,,False,
Encounter,02 Sep 2021,,False,
Cyrano,02 Sep 2021,,False,
Enemy,28 Aug 2021,,True,
The Green Knight,04 Aug 2021,,True,
Pig,23 Jul 2021,,False,
A Quiet Place Part II,04 Jul 2021,★★★½,False,
F9,30 Jun 2021,,False,
Building a Bridge,16 Jun 2021,,False,
In the Heights,16 Jun 2021,,False,
Bo Burnham: Inside,08 Jun 2021,,True,
Billie Eilish: The World's a Little Blurry,04 May 2021,★★★½,False,
Anna Karenina,01 May 2021,★★,False,
Lars and the Real Girl,10 Apr 2021,,True,
Sound of Metal,07 Apr 2021,,True,
Blue Valentine,02 Apr 2021,★★★★,False,
About Time,31 Mar 2021,,True,
Emma.,21 Mar 2021,,True,
The King of Staten Island,19 Mar 2021,★★½,False,
Sleeping with Other People,15 Mar 2021,★★★,False,
Ma Rainey's Black Bottom,11 Mar 2021,★★★★,False,
WandaVision,05 Mar 2021,,False,
Raising Arizona,14 Feb 2021,,True,
Judas and the Black Messiah,13 Feb 2021,★★★★,False,
Promising Young Woman,11 Feb 2021,,True,
Before Sunset,07 Feb 2021,★★★★,True,
Flee,03 Feb 2021,★★★★,False,
"Summer of Soul (...or, When the Revolution Could Not Be Televised)",03 Feb 2021,★★★★★,True,
CODA,03 Feb 2021,,True,
Pretend It's a City,25 Jan 2021,,False,
The American President,25 Jan 2021,★★★,False,
My Octopus Teacher,24 Jan 2021,,True,
Hunt for the Wilderpeople,02 Jan 2021,★★★★,True,
The Midnight Sky,31 Dec 2020,★★,False,
Death to 2020,28 Dec 2020,★★,False,
Soul,25 Dec 2020,,True,
Four Weddings and a Funeral,17 Dec 2020,★★★½,False,
Homecoming: A Film by Beyoncé,14 Dec 2020,,True,
Happiest Season,06 Dec 2020,★★,False,
Parasite,28 Nov 2020,★★★★★,True,
John Mulaney: Kid Gorgeous at Radio City,28 Nov 2020,,False,
The Truman Show,28 Nov 2020,,True,
The Queen's Gambit,10 Nov 2020,★★★½,False,
Borat Subsequent Moviefilm,24 Oct 2020,,True,
"Yes, God, Yes",22 Oct 2020,★★,False,
One Night in Miami...,15 Oct 2020,★★★½,False,
Minari,12 Oct 2020,★★★★,False,
I May Destroy You,09 Oct 2020,★★★★★,True,
Artemis,01 Oct 2020,,True,
The Social Dilemma,30 Sep 2020,★★★½,False,
Nomadland,27 Sep 2020,★★★★½,True,
On the Rocks,22 Sep 2020,★★★,False,
I'm Thinking of Ending Things,05 Sep 2020,,True,
Face/Off,01 Sep 2020,,False,
Before Sunrise,26 Aug 2020,★★★★½,True,
Jerry Maguire,24 Aug 2020,★★★,False,
National Treasure,22 Aug 2020,★★★,True,
I'm Calling Your Father,16 Aug 2020,,True,
An American Pickle,07 Aug 2020,★½,False,
The Weight of Gold,05 Aug 2020,,False,
Palm Springs,02 Aug 2020,★★★,False,
Contagion,27 Jul 2020,★★★½,False,
Mad Max: Fury Road,25 Jul 2020,★★★★★,True,
Forgetting Sarah Marshall,21 Jul 2020,★★★½,True,
Chicago,15 Jul 2020,★★★★,True,
Midnight in Paris,12 Jul 2020,★★★★½,True,
Hamilton,04 Jul 2020,,True,
The Spectacular Now,01 Jul 2020,★★★,False,
Lost in Translation,28 Jun 2020,★★★★½,False,
The Blair Witch Project,25 Jun 2020,★★★½,True,
The Social Network,21 Jun 2020,★★★½,False,
Fight Club,19 Jun 2020,,True,
Legally Blonde,17 Jun 2020,,True,
I Am Not Your Negro,15 Jun 2020,★★★★★,False,
13th,13 Jun 2020,★★★★,False,
8:46,12 Jun 2020,★★★★★,False,
Spider-Man,11 Jun 2020,★★★½,True,
Call Me by Your Name,11 Jun 2020,★★★★½,True,
Lance,04 Jun 2020,★★★½,False,
Mrs. America,03 Jun 2020,★★★½,False,
"4 Months, 3 Weeks and 2 Days",28 May 2020,★★★★½,False,
Watchmen,24 May 2020,★★★★½,True,
Rosemary's Baby,23 May 2020,★★★★½,False,
The Last Dance,22 May 2020,★★★★,True,
New York New York,10 May 2020,,True,
Normal People,06 May 2020,,True,
School of Rock,04 May 2020,★★★★★,True,
Blocks,29 Apr 2020,,False,
Basic,29 Apr 2020,,False,
TFW No GF,29 Apr 2020,★,False,
Hamlet,27 Apr 2020,,False,
Bad Education,26 Apr 2020,★★★★,False,
Do the Right Thing,24 Apr 2020,★★★★★,True,
"Oh, Hello on Broadway",23 Apr 2020,,True,
Never Rarely Sometimes Always,22 Apr 2020,,True,
National Theatre Live: Fleabag,20 Apr 2020,,True,
Onward,10 Apr 2020,★★★,False,
Lady Macbeth,09 Apr 2020,★★★★,True,
Beach Rats,07 Apr 2020,★★★,False,
Unorthodox,05 Apr 2020,★★★½,True,
Big Time Adolescence,31 Mar 2020,★★★,False,
