Movie,Date Watched,Rating,Liked,Review
The Terminator,14 Jan 2024,★★½,False,After the police station scene I could not keep my eyes open
The Talented Mr. Ripley,13 Jan 2024,★★★★½,True,Honestly no notes. If you liked Saltburn you’ll probably like this (and perhaps even more!).
The Curse,12 Jan 2024,,False,"This show was pretty great, the ending was a lot of fun but not very fulfilling."
BEEF,12 Jan 2024,★★★½,False,"I started watching this when it first came out, couldn’t really get past the absurdity of the premise, and stop watching. Just finished and I really enjoyed episodes 7-9, 10 maybe not as much. Interested to see how I’ll feel on rewatch."
The Zone of Interest,11 Jan 2024,,True,A fascinating and unfortunately relevant film.
All of Us Strangers,11 Jan 2024,★★★½,False,"Ngl I was so bored the first 2/3s of the movie, but the ending won me back"
Sideways,10 Jan 2024,★★★,False,Paul Giamatti was great!
Saltburn,06 Jan 2024,★★★,False,"This was so tame. For the most part this was fun and entertaining with good shots and mostly good acting, but the ending really shattered it quite a bit."
Porco Rosso,06 Jan 2024,★★★½,False,
The Holdovers,05 Jan 2024,★★★★½,True,
The Lobster,03 Jan 2024,★★★½,True,"The first half was great, and honestly could’ve been a great short film. The second half was fine."
Anatomy of a Fall,02 Jan 2024,★★★½,False,"This unfortunately did not live up to the hype for me (except for the dog, the dog was great). I watched it with my gf and her family and they were all on the edge of their seat and in suspense and I just was not. I also expected the ending, and it wasn’t executed in a way that felt memorable or interesting. "
Thin Watermelon,01 Jan 2024,,False,What a way to start the new year
Love Actually,31 Dec 2023,★½,False,Just make it about a widower learning to find love again through his son (and yeah just make him his son)??? And I guess you can throw in Hugh Grant as a treat. Also had no idea Andrew Lincoln is British; he’s never been more unattractive than in this movie.
Mission: Impossible II,31 Dec 2023,★★,False,
Barbarian,29 Dec 2023,★★★★½,True,
National Lampoon's Christmas Vacation,26 Dec 2023,★★★,False,
A Christmas Story,25 Dec 2023,★★★★,False,
The Snowman,25 Dec 2023,,False,
A Garfield Christmas Special,24 Dec 2023,,False,
Chicken Run: Dawn of the Nugget,21 Dec 2023,★★★,False,
Howl's Moving Castle,19 Dec 2023,★★★★,True,
Barbie,17 Dec 2023,★★★★,True,
The Iron Claw,13 Dec 2023,★★★★½,True,
May December,11 Dec 2023,★★★★½,False,
BLUE EYE SAMURAI,11 Dec 2023,★★★★★,True,
Poor Things,08 Dec 2023,★★★★★,True,
Godzilla Minus One,07 Dec 2023,★★★★,True,
The Abyss,06 Dec 2023,★★★★½,True,
The Boy and the Heron,04 Dec 2023,★★★★½,False,
Scott Pilgrim Takes Off,02 Dec 2023,★★★★½,True,
Shin Godzilla,28 Nov 2023,★★★,False,
Oppenheimer,25 Nov 2023,★★★★★,True,
Doctor Sleep,19 Nov 2023,★★★★,True,
The Killer,12 Nov 2023,★★★,False,
Drag Me to Hell,06 Nov 2023,,True,
Stop Making Sense,06 Nov 2023,,True,
Scream 3,04 Nov 2023,★★,False,
Edward Scissorhands,01 Nov 2023,★★★★½,True,
In the Mouth of Madness,31 Oct 2023,,False,
Eyes Wide Shut,29 Oct 2023,,False,
Wallace & Gromit: The Curse of the Were-Rabbit,29 Oct 2023,★★★★,True,
Cocaine Bear,27 Oct 2023,★★½,False,
Re-Animator,25 Oct 2023,,False,
The Nightmare Before Christmas,23 Oct 2023,★★★½,True,
The Fall of the House of Usher,22 Oct 2023,★★★★½,True,
Manhunter,21 Oct 2023,,False,
Killers of the Flower Moon,19 Oct 2023,★★★★★,True,
Beetlejuice,18 Oct 2023,★★★★½,True,
Born in Gaza,16 Oct 2023,,False,
Taylor Swift: The Eras Tour,15 Oct 2023,,True,
When Evil Lurks,12 Oct 2023,★★★★,False,
Corpse Bride,10 Oct 2023,★★★½,False,
The Rat Catcher,09 Oct 2023,,True,
BlackBerry,08 Oct 2023,★★★★,True,
American Made,08 Oct 2023,★★★,False,
Tucker and Dale vs. Evil,07 Oct 2023,★★★½,False,
The Fly,07 Oct 2023,★★★★½,True,
The Infernal Cauldron,07 Oct 2023,,False,
The Devil's Backbone,06 Oct 2023,★★★★,False,
Sleepy Hollow,05 Oct 2023,★★★★,True,
Poison,05 Oct 2023,,False,
Frankenweenie,04 Oct 2023,★★★★½,True,
