Movie,Date Watched,Rating,Liked,Review
Windy City Heat,14 Jan 2024,★★½,True,
"Paris, Texas",13 Jan 2024,★★★★½,True,
The Wizard of Oz,13 Jan 2024,★★★★,True,
Bridget Jones's Diary,11 Jan 2024,★★★,True,
Riceboy Sleeps,11 Jan 2024,★★★★,True,
Axis,10 Jan 2024,,True,
Past Lives,06 Jan 2024,★★★★,True,
Lynch/Oz,05 Jan 2024,★★,False,
Talk to Me,04 Jan 2024,★★★,False,
Lawrence of Arabia,04 Jan 2024,★★★★½,True,
Poor Things,02 Jan 2024,★★★½,True,
Never Fuggedaboutit,01 Jan 2024,,True,
Thank You for Smoking,01 Jan 2024,★★½,False,
The Iron Claw,29 Dec 2023,★★★★,True,above all reminded me that Tom Sawyer is a 10/10 song
How to Blow Up a Pipeline,28 Dec 2023,★★★★,True,just now realizing the irony of giving Amazon money to watch this
Maestro,27 Dec 2023,★★½,False,
Home Alone 2: Lost in New York,26 Dec 2023,★★★★,True,
Wonka,23 Dec 2023,★★★,True,my whimsical ass has a soft spot for this stuff deep down
The Zone of Interest,22 Dec 2023,★★★★½,True,
Sexy Beast,21 Dec 2023,★★★★,False,
The Boy and the Heron,18 Dec 2023,★★★★,True," This took its time in winning me over, but by the third act, enough was making sense to me that I found myself quite stirred. Initially, I was reminded of Howl's Moving Castle, as I find in that film Miyazaki introduces too many visual and thematic ideas without spending enough time developing them. The Boy and the Heron is similar in that much of the second act is a grab-bag of dreamy and illogical sequences full of stunning imagery but… "
Elemental,17 Dec 2023,★★★,False,
Dead Poets Society,15 Dec 2023,★★★★,True,
Catch Me If You Can,13 Dec 2023,★★★½,True,
Logan Lucky,12 Dec 2023,★★★½,True,fish bang top ten fictional character name
Casino,10 Dec 2023,★★★,False,
2001: A Space Odyssey,08 Dec 2023,★★★★★,True,yum
Safe,07 Dec 2023,★★★½,False,
Fallen Angels,03 Dec 2023,★★★★★,True,
Monster,02 Dec 2023,★★★½,True,
Dream Scenario,01 Dec 2023,★★★★,True,"great but why is literally every movie and show shot in Toronto. bit disconcerting to see Nic Cage get hunted down with a crossbow on the exact streets you grew up on, ESPECIALLY given this movie’s premise lol"
Saltburn,28 Nov 2023,★★,False,Sure man. whatever dude
Ad Astra,27 Nov 2023,★★★,False,james gray someday I will understand you
Blue Velvet,24 Nov 2023,★★★½,True,
The Terminator,20 Nov 2023,★★★★,True,
May December,19 Nov 2023,★★★½,True,
Hardcore,18 Nov 2023,★★★★½,True,the deeper undercover George C. Scott goes the more fire fits he’s able to get off
Quiz Lady,17 Nov 2023,★★★,True,
Touch of Evil,16 Nov 2023,★★★½,False,
Southland Tales,12 Nov 2023,★★★½,True,the dreamy tangents of mulholland drive meet the comedic sensibilities of south park
Priscilla,12 Nov 2023,★★★,False,
The Holdovers,10 Nov 2023,★★★★½,True,shit was lovely
They Cloned Tyrone,07 Nov 2023,★★★,False,
Marty,05 Nov 2023,★★★,False,
The Monkey Man Halloween Spooktacular,04 Nov 2023,,True,
The Invitation,01 Nov 2023,★★★½,True,
Carrie,31 Oct 2023,★★★★,True,
The Hidden,29 Oct 2023,★★★★★,True,
The Killer,29 Oct 2023,★★★★,True,
The Changeling,28 Oct 2023,★★★,False,
Urban Legend,27 Oct 2023,★★,False,
Halloween III: Season of the Witch,26 Oct 2023,★★★,True,
Mystery Team,26 Oct 2023,★★½,True,
Anatomy of a Fall,25 Oct 2023,★★★★,True,
Totally Killer,23 Oct 2023,★★★,True,
Rabid,22 Oct 2023,★★½,False,
Killers of the Flower Moon,20 Oct 2023,★★★½,False,
Ghostwatch,19 Oct 2023,★★★★,True,
The Texas Chain Saw Massacre,17 Oct 2023,★★★★★,True,
The Creator,17 Oct 2023,★★★,True,
Wake in Fright,15 Oct 2023,★★★½,True,
The Shining,14 Oct 2023,★★★★★,True,
V/H/S/99,13 Oct 2023,★★½,False,
V/H/S/94,12 Oct 2023,★★½,False,
V/H/S/85,10 Oct 2023,★★★★,True,
Ant-Man and the Wasp: Quantumania,09 Oct 2023,★★,False,
Terrified,08 Oct 2023,★½,False,
Dead & Buried,07 Oct 2023,★★★,True,
No One Will Save You,05 Oct 2023,★★★,True,
Cropsey,03 Oct 2023,★★,False,
Stop Making Sense,01 Oct 2023,★★★★½,True,
Poison,30 Sep 2023,,True,
The Rat Catcher,29 Sep 2023,,False,
The Swan,29 Sep 2023,,True,
The Wonderful Story of Henry Sugar,29 Sep 2023,,True,
Sunshine,29 Sep 2023,★★★½,True,
The Fabelmans,27 Sep 2023,★★★★★,True,
Castle in the Sky,20 Sep 2023,★★★★★,True,
Evil Does Not Exist,17 Sep 2023,★★★★½,True,
Rushmore,16 Sep 2023,★★★★,True,
The Babysitter,15 Sep 2023,★★★,False,
Monkey Man 2,15 Sep 2023,★★★★★,True,
Get Smart,13 Sep 2023,★★½,False,
Fantastic Mr. Fox,12 Sep 2023,★★★★,True,
Aggro Dr1ft,12 Sep 2023,★★½,False,
Birth,11 Sep 2023,★★★★½,True,
One Life,10 Sep 2023,★★,False,
Don't Hug Me I'm Scared 6,08 Sep 2023,,True,
Don't Hug Me I'm Scared 5,08 Sep 2023,,True,
Don't Hug Me I'm Scared 4,08 Sep 2023,,True,
Don't Hug Me I'm Scared 3,08 Sep 2023,,False,
Don't Hug Me I'm Scared 2,08 Sep 2023,,True,
Don't Hug Me I'm Scared,08 Sep 2023,,True,
"I Love You, Beth Cooper",07 Sep 2023,★★★★,True,
Alps no Shoujo Heidi: Alm no Yama Hen,06 Sep 2023,,False,
Bottoms,05 Sep 2023,★★★,False,
Django,04 Sep 2023,★★★★,True,
Zoolander,31 Aug 2023,★★★½,True,
Breakfast on Pluto,30 Aug 2023,★★★,False,
The Bling Ring,27 Aug 2023,★★½,False,
PlayTime,26 Aug 2023,★★★★,True,
Poetry,25 Aug 2023,★★★★½,True,
The Blob,24 Aug 2023,★★★★★,True,
Killer Klowns from Outer Space,22 Aug 2023,★★★★,True,
Muppet Treasure Island,21 Aug 2023,,True,
Repo Man,20 Aug 2023,★★★,False,
Ocean's Eleven,19 Aug 2023,★★★,False,
The Mist,18 Aug 2023,★★★★,True,
Werckmeister Harmonies,17 Aug 2023,★★★★,True,
The Apartment,16 Aug 2023,★★★½,True,
Earth Girls Are Easy,15 Aug 2023,★★★,True,
Clue,08 Aug 2023,★★★½,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,08 Aug 2023,★★★,True,
Cruising,07 Aug 2023,★★★½,True,
Capone,04 Aug 2023,★★,False,
Platoon,03 Aug 2023,★★★,False,
Muppets Most Wanted,02 Aug 2023,★★★,True,
Theater Camp,01 Aug 2023,★★★★,True,
Project Wolf Hunting,31 Jul 2023,★★,False,
Talk to Me,31 Jul 2023,★★★,False,
Missing,27 Jul 2023,★★★,True,
Drive,24 Jul 2023,★★★½,True,
Barbie,20 Jul 2023,★★★½,True,
Oppenheimer,20 Jul 2023,★★★★,False,
Inside,19 Jul 2023,★★★,False,
Suicide Club,19 Jul 2023,★★★,True,
F for Fake,17 Jul 2023,★★★,False,
The Elephant Man,16 Jul 2023,★★★★½,True,
The Exorcist III,15 Jul 2023,★★★★★,True,
Mission: Impossible – Dead Reckoning Part One,13 Jul 2023,★★★½,True,
"Are You There God? It's Me, Margaret.",12 Jul 2023,★★★,True,
Neon Genesis Evangelion: The End of Evangelion,10 Jul 2023,★★★★½,True,
The Royal Tenenbaums,10 Jul 2023,★★★½,False,
Three Colours: Red,09 Jul 2023,★★★★,True,
Three Colours: White,08 Jul 2023,★★★½,True,
Dungeons & Dragons: Honor Among Thieves,06 Jul 2023,★★★½,True,
Indiana Jones and the Dial of Destiny,04 Jul 2023,★★½,False,
Three Colours: Blue,28 Jun 2023,★★★★,True,
Asteroid City,26 Jun 2023,★★½,False,
Neon Genesis Evangelion,26 Jun 2023,★★★★,True,
The Moviegoer,25 Jun 2023,,False,
INTRUDr,25 Jun 2023,★★★★★,True,
Mad God,24 Jun 2023,★★½,False,
Boyhood,24 Jun 2023,★★★★,True,
I Like Movies,22 Jun 2023,★★★,True,
Blackhat,20 Jun 2023,★★★,False,
Black Mirror: Demon 79,20 Jun 2023,★★★,False,
The Faculty,19 Jun 2023,★★★½,True,
Black Mirror: Mazey Day,19 Jun 2023,★★,False,
Black Mirror: Beyond the Sea,19 Jun 2023,★★½,False,
Black Mirror: Loch Henry,18 Jun 2023,★★★★,True,
Black Mirror: Joan Is Awful,18 Jun 2023,★★★½,True,
The Wind Rises,17 Jun 2023,★★★★,True,
The Flash,15 Jun 2023,★★,False,
Joyland,15 Jun 2023,★★★★,True,
No Elements,13 Jun 2023,,False,
No conozco la historia del fuego,13 Jun 2023,,False,
Past Lives,13 Jun 2023,★★★★½,True,
The Rocky Horror Picture Show,12 Jun 2023,★★★,False,
Mind Game,11 Jun 2023,★★★★,True,
Amadeus,10 Jun 2023,★★★★,True,
Road House,09 Jun 2023,★★★,False,
Night Moves,07 Jun 2023,★★★½,False,
Forastero,06 Jun 2023,,False,
Father.Son,05 Jun 2023,,False,
"Everything's Fine, Potatoes in Line",05 Jun 2023,,False,
Spider-Man: Across the Spider-Verse,04 Jun 2023,★★★★,True,
The Howling,03 Jun 2023,★★★,False,
Cursed,03 Jun 2023,★★★½,True,
Wolf Guy,03 Jun 2023,★★½,False,
The Bonds of Freedom,01 Jun 2023,,False,
Bitter September,01 Jun 2023,,False,
Adria,01 Jun 2023,,False,
After Life,31 May 2023,★★★½,False,
Freddy vs. Jason,30 May 2023,★★★,True,
Bentuguese,30 May 2023,,False,
Bad Hombrewood,30 May 2023,,False,
En Ciertos Momentos Es Preferible No Moverse,30 May 2023,,False,
Ashes by Name is Man,29 May 2023,,False,
"Andi, Andrea and the Alps",29 May 2023,,False,
Anatomy of Hypomania,29 May 2023,,False,
An Oath,29 May 2023,,False,
Alpha Kings,29 May 2023,,False,
Foreign Correspondent,28 May 2023,★★★½,True,
After the storm,28 May 2023,,False,
Above Water,28 May 2023,,False,
A life in boxes,28 May 2023,,False,
20 Something,27 May 2023,,False,
Remember Our Sister,25 May 2023,,False,
The Muppet Movie,25 May 2023,★★★½,False,
The Adventures of Baron Munchausen,24 May 2023,★★★½,False,
Vacuum Cleaner Salesman,24 May 2023,,False,
One Last Breath,24 May 2023,,False,
"Sammy, Without Strings",24 May 2023,,False,
Sellout,24 May 2023,,False,
Not the 80s,24 May 2023,,False,
Lullaby,24 May 2023,,False,
*batteries not included,23 May 2023,★½,False,
Raging Bull,23 May 2023,★★★★½,True,
Mean Girls,22 May 2023,★★★★,True,
Kunta,22 May 2023,,False,
Kingdom of Strangers,22 May 2023,,False,
Keep Off the Grass,22 May 2023,,False,
It Doesn't Have to Be Today,22 May 2023,,False,
Truth,22 May 2023,,False,
Island of Freedom,22 May 2023,,False,
inert,21 May 2023,,False,
Hussies,21 May 2023,,False,
Mean Streets,20 May 2023,★★★½,False,
Hibernation,20 May 2023,,False,
The Maiden,18 May 2023,★★★★★,True,
The Debit Card,17 May 2023,,False,
Pour t'enlacer,16 May 2023,,False,
Highlander,16 May 2023,★★★½,True,
Dirty Laundry,15 May 2023,,False,
The Devil,14 May 2023,,False,
Encoberto,14 May 2023,,False,
Child's Play,13 May 2023,,False,
Carer,12 May 2023,,False,
BlackBerry,12 May 2023,★★½,False,
Futurama: The Beast with a Billion Backs,11 May 2023,★★½,False,
Breeze,11 May 2023,,False,
Spotlight,10 May 2023,★★★★,True,
Twelve Monkeys,09 May 2023,★★★★,True,
Guardians of the Galaxy Vol. 3,09 May 2023,★★★½,True,
Between Her,08 May 2023,,False,
¡Sé como José!,08 May 2023,,False,
August Nights,07 May 2023,,False,
Animal Behavior,07 May 2023,,False,
Anansi,07 May 2023,,False,
Almost Home,07 May 2023,,False,
A Single Room,06 May 2023,,False,
The Hunger Games: Mockingjay – Part 2,06 May 2023,★★★,True,
Kill List,06 May 2023,★★½,False,
El brillo,05 May 2023,,False,
A Conspiracy Man,05 May 2023,,False,
Addams Family Values,04 May 2023,★★★½,True,
Team America: World Police,03 May 2023,★★★,False,
