Movie,Date Watched,Rating,Liked,Review
The Nice Guys,14 Jan 2024,★★★★½,True,Low key an anti capitalist masterpiece
Mean Girls,13 Jan 2024,★★★½,True,"Renee Rapp, listen to me. Do not quit acting. I know you wanna be a pop star but you can do both! Gaga’s doing it, JLo did it, Barbra crushed it. Do both, Renee, do both!!!!"
Self Reliance,12 Jan 2024,★★★★,True,"Move over Bradley Cooper, a new TV actor turned writer/director has hit the scene"
Kajillionaire,11 Jan 2024,★★★★,False,"Gina Rodriguez is just…so, so charismatic. “Screen presence” is the word that comes to mind when you watch her."
The Stories of West Side Story,08 Jan 2024,,True,God I hope I get to make a musical one day
Ocean's Eleven,06 Jan 2024,★★★★★,True,If you think about it the world kinda all went to hell when George Clooney stopped being a movie star and started directing fake movies
I Want You Back,04 Jan 2024,★★★★,True,Meet cute while crying in the stairwell…biggest “me n who” of all time
Scott Pilgrim vs. the World,03 Jan 2024,★★★★,True,"AITA for dumping my (22M) girlfriend (17F) for the girl of my dreams (24F) and then not wanting to have to defeat her seven evil exes (24M, 24M, 24M, 24F, 24M, 24M, 35M)?"
Mission: Impossible – Fallout,01 Jan 2024,★★★★,False,My mom is not a fan of Tom’s plastic surgeon
Phantom Thread,01 Jan 2024,★★★★½,True,"Guy who has only seen Mrs. Harris Goes to Paris, watching Phantom Thread: Getting a lot of ‘Mrs. Harris Goes to Paris’ vibes from this…"
Mission: Impossible – Rogue Nation,31 Dec 2023,★★★★,False,Do you guys think Ethan & Benji ever explored each other’s bodies?
Hot Rod,31 Dec 2023,★★★★½,True,Perfect companion to a Tom Cruise movie
Anyone But You,30 Dec 2023,★★,False,
Mission: Impossible – Ghost Protocol,29 Dec 2023,★★★½,False,
Mean Girls,29 Dec 2023,★★★★½,True,"Renee Rapp, listen to me. Do not quit acting. I know you wanna be a pop star but you can do both! Gaga’s doing it, JLo did it, Barbra crushed it. Do both, Renee, do both!!!!"
Ferrari,29 Dec 2023,★★★,False,
The Iron Claw,29 Dec 2023,★★★½,False,
BlackBerry,28 Dec 2023,★★★★,False,
Passages,27 Dec 2023,★★★★½,True,
A Thousand and One,27 Dec 2023,★★★★,False,
The Color Purple,26 Dec 2023,★★★½,False,
Mission: Impossible III,25 Dec 2023,★★★,False,
Barbie,24 Dec 2023,★★★★½,True,
