Movie,Date Watched,Rating,Liked,Review
Pier Paolo Pasolini - Agnès Varda - New York - 1967,14 Jan 2024,,True,
Notting Hill,03 Jan 2024,,False,
Charlie's Angels,03 Jan 2024,,False,
Paprika,02 Jan 2024,,False,
A Haunting in Venice,26 Dec 2023,,False,
Jiro Dreams of Sushi,26 Dec 2023,,False,
The Age of Innocence,25 Dec 2023,,True,
Infernal Affairs,21 Dec 2023,,False,
Just the Two of Us,17 Dec 2023,,False,
FAST LIFE,17 Dec 2023,,False,
Memoirs of a Geisha,15 Dec 2023,,False,
"sex, lies, and videotape",12 Dec 2023,,False,
Porco Rosso,08 Dec 2023,,True,
The River That Never Ends,07 Dec 2023,,False,
Golden Dragon,07 Dec 2023,,False,
Did You See The Hole That Mom Dig?,07 Dec 2023,,False,
All This Wasted Space,07 Dec 2023,,False,
Snow in Midsummer,07 Dec 2023,,False,
My Endless Numbered Days,06 Dec 2023,,True,
Music,06 Dec 2023,,True,
The Temple Woods Gang,06 Dec 2023,,True,
Drift,05 Dec 2023,,False,
Crazy Rich Asians,04 Dec 2023,,False,
24 Hours with Gaspar,04 Dec 2023,,False,
Omen,04 Dec 2023,,True,
Napoleon,03 Dec 2023,,False,
The Boy and the Heron,02 Dec 2023,,False,
The Road Less Travelled,02 Dec 2023,,False,
The Shadowless Tower,02 Dec 2023,,True,- tell me a word in Korean- Sarang- what does it mean?- love(Smiles)- there’s a word in Uyghur that sounds just the same- and what does that one mean?- fool
Evil Does Not Exist,01 Dec 2023,,True,
Tiger Stripes,01 Dec 2023,,False,
American Girl,23 Nov 2023,,False,
A Boy and a Girl,22 Nov 2023,,False,
Guras,21 Nov 2023,,False,
The Settlers,20 Nov 2023,,False,
Your Mother's Son,20 Nov 2023,,False,
Days of Heaven,20 Nov 2023,,True,WoW. 
"Orlando, My Political Biography",13 Nov 2023,,True,
Only Yesterday,12 Nov 2023,,False,
Love Is a Gun,31 Oct 2023,,False,
Sumo Didi,29 Oct 2023,,False,
Dwelling by the West Lake,27 Oct 2023,,False,
A Foggy Paradise,25 Oct 2023,,False,
Fly Me to the Moon,25 Oct 2023,,True,
Art College 1994,25 Oct 2023,,False,
Full River Red,24 Oct 2023,,False,
Deep Sea,24 Oct 2023,,False,
Perfect Days,23 Oct 2023,,True,Hits different watching this in Tokyo after having spent the week discovering. Hits harder.
Beckham,15 Oct 2023,,True,
The Movie Emperor,13 Oct 2023,,False,
The Beast,12 Oct 2023,,False,
Flavor of Sisterhood,12 Oct 2023,,False,
MYDEAR,12 Oct 2023,,False,
She Wants True Love,12 Oct 2023,,False,
Cigarette Girl,12 Oct 2023,,False,
Anselm,12 Oct 2023,,True,
Roller Coaster,11 Oct 2023,,False,
21 Weeks Later,11 Oct 2023,,False,
Everybody's Gotta Love Sometimes,11 Oct 2023,,False,
The Witness Tree,11 Oct 2023,,False,
Burning,11 Oct 2023,,True,
Sally,10 Oct 2023,,False,
Christmas in Summer,10 Oct 2023,,True,
Fisher Boy,10 Oct 2023,,True,
The Teachers’ Lounge,09 Oct 2023,,False,
Ryuichi Sakamoto | Opus,09 Oct 2023,,True,"…ars longa, vita brevis…"
The Mother of All Lies,09 Oct 2023,,False,
Doi Boy,08 Oct 2023,,True,
Where the Wild Frangipanis Grow,08 Oct 2023,,False,
Dancing Colors,08 Oct 2023,,False,
Basri & Salma in A Never-Ending Comedy,08 Oct 2023,,False,
The Sea Calls for Me,08 Oct 2023,,False,
Vania on Lima Street,08 Oct 2023,,False,
City of Wind,07 Oct 2023,,False,
Poor Things,07 Oct 2023,,True,
Rather be Ashes Than Dust,06 Oct 2023,,False,
The Plough,06 Oct 2023,,False,
If Only I Could Hibernate,06 Oct 2023,,False,
Elegies,06 Oct 2023,,False,
Filip,21 Sep 2023,,False,
Classified People,11 Sep 2023,,True,
Club Zero,09 Sep 2023,,False,
Priscilla,31 Aug 2023,,False,So mid :(
Catch Me If You Can,28 Aug 2023,,True,How had I never seen this? In my TWA era send me content shot there!
Frances Ha,28 Aug 2023,,True,I left NY yesterday and moved to Paris. Woke up at 3:30AM and somehow ended up watching this. NY I miss u already.
Gone Girl,19 Aug 2023,,False,
The Pass,15 Aug 2023,,False,
Vera,13 Aug 2023,,False,
The Godfather,07 Aug 2023,,True,
Eye Two Times Mouth,03 Aug 2023,,False,
Passages,03 Aug 2023,,True,"I rlly liked this. Was super distracted tho because as I’m sitting in a movie theater in NY Im realizing that the film is shot in the building I grew up in in Paris, in my friend’s apartment."
Bernie,01 Aug 2023,,False,
Don't Look Now,31 Jul 2023,,True,
Twilight,30 Jul 2023,,False,
Hedwig and the Angry Inch,27 Jul 2023,,False,
Theater Camp,25 Jul 2023,,False,
Oppenheimer,21 Jul 2023,,False,
Barbie,20 Jul 2023,,False,
The Wonders,19 Jul 2023,,False,
Afire,17 Jul 2023,,False,
Death in Venice,06 Jul 2023,,True,
Sundown,05 Jul 2023,,False,
My King,05 Jul 2023,,False,
After Yang,04 Jul 2023,,True,
One Day,03 Jul 2023,,False,
Spirited Away,02 Jul 2023,,False,
Match Point,02 Jul 2023,,False,
The Doom Generation,26 Jun 2023,,True,
Amélie,21 Jun 2023,,False,
Another Round,20 Jun 2023,,True,
Quantum of Solace,17 Jun 2023,,False,
Past Lives,13 Jun 2023,,False,
Elle,12 Jun 2023,,False,
Ponyo,11 Jun 2023,,False,
La Chimera,26 May 2023,,True,
The Goldman Case,26 May 2023,,False,
Last Summer,25 May 2023,,False,
Perfect Days,25 May 2023,,True,Hits different watching this in Tokyo after having spent the week discovering. Hits harder.
All to Play For,25 May 2023,,True,
A Brighter Tomorrow,24 May 2023,,False,
Room 999,24 May 2023,,True,
Kidnapped,24 May 2023,,True,
The Feeling That the Time for Doing Something Has Passed,24 May 2023,,False,
I Promise you Paradise,23 May 2023,,False,
The Real Truth About the Fight,23 May 2023,,True,
The Purple Season,23 May 2023,,False,
Crocodile,23 May 2023,,True,
Asteroid City,23 May 2023,,False,
Close Your Eyes,22 May 2023,,True,
Fallen Leaves,22 May 2023,,True,
About Dry Grasses,22 May 2023,,False,
Acide,21 May 2023,,False,Wish I had not seen this lol
Firebrand,21 May 2023,,False,
Anatomy of a Fall,21 May 2023,,True,
May December,21 May 2023,,True,
Creatura,20 May 2023,,True,
Banel & Adama,20 May 2023,,False,
Four Daughters,20 May 2023,,True,
The Zone of Interest,19 May 2023,,True,
Howl's Moving Castle,18 May 2023,,True,
BLACKPINK: Light Up the Sky,03 May 2023,,False,
Air,26 Apr 2023,,False,
Joyland,26 Apr 2023,,False,
Youth,15 Apr 2023,,True,
Sick of Myself,12 Apr 2023,,False,I came with good intentions…and now I feel weird.
The Hunger Games: Catching Fire,09 Apr 2023,,False,
The Hunger Games,08 Apr 2023,,False,
Tótem,31 Mar 2023,,True,Holy shit Lila Avilez what have you done to me?!
Return to Seoul,31 Mar 2023,,True,
John Wick: Chapter 4,23 Mar 2023,,True,The and of an era!
"Night Is Short, Walk on Girl",21 Mar 2023,,True,
Slumdog Millionaire,20 Mar 2023,,False,
RRR,19 Mar 2023,,False,
Cocaine Bear,11 Mar 2023,,False,
The Night of the 12th,10 Mar 2023,,True,
Presidents,08 Mar 2023,,False,
My Neighbor Totoro,05 Mar 2023,,True,
Zazie dans le Métro,04 Mar 2023,,True,
La Dolce Vita,02 Mar 2023,,True,
Suzhou River,23 Feb 2023,,True,
Return to Seoul,22 Feb 2023,,True,
Black Bear,21 Feb 2023,,False,
The Da Vinci Code,21 Feb 2023,,False,
Wild at Heart,14 Feb 2023,,True,
Lost in Translation,13 Feb 2023,,True,
Harry Potter and the Goblet of Fire,06 Feb 2023,,False,
Harry Potter and the Chamber of Secrets,05 Feb 2023,,False,
Knight of Cups,05 Feb 2023,,True,
Navalny,05 Feb 2023,,True,
The Alpinist,05 Feb 2023,,False,
Masquerade,29 Jan 2023,,False,
Gagarine,29 Jan 2023,,False,
The Innocent,29 Jan 2023,,False,
Stardust Memories,24 Jan 2023,,False,
White Noise,22 Jan 2023,,False,
No Bears,21 Jan 2023,,True,
The Aviator's Wife,19 Jan 2023,,True,
The Dinner Game,16 Jan 2023,,False,
The Tall Blond Man with One Black Shoe,15 Jan 2023,,True,
The Menu,14 Jan 2023,,False,
Full Time,10 Jan 2023,,True,
Peter von Kant,06 Jan 2023,,False,
The Super 8 Years,05 Jan 2023,,True,
About a Boy,04 Jan 2023,,False,
One Fine Morning,04 Jan 2023,,True,
Stella in Love,03 Jan 2023,,False,
The Butcher’s Daughter,03 Jan 2023,,False,
The Origin of Evil,02 Jan 2023,,False,
