Movie,Date Watched,Rating,Liked,Review
It Follows,10 Jan 2024,★★★★★,True,this used to be in my letterboxd top 4 and i was so afraid that after 10 years it wouldn’t hit anymore but i’m proud to announce that shit! still! hits!
Confessions of a Teenage Drama Queen,07 Jan 2024,,False,
Whip It,07 Jan 2024,★★★★,False,
Mrs. Harris Goes to Paris,01 Jan 2024,,True,
Phantom Thread,31 Dec 2023,,False,phantom thread omelet scene >>> the bear season 2 omelet scene
The Iron Claw,30 Dec 2023,★★★★★,True,big! meaty! claws!
Christmas in Connecticut,26 Dec 2023,★★★★,False,i’m sooo felix coded running around the house cooking meals and yelling “everything is hunky dunky!”
Wonka,16 Dec 2023,★★★,False,was waiting for him to pull a marmalade sandwich out of that hat and it never happened :(
Saltburn,05 Dec 2023,★★★,False,
Priscilla,07 Nov 2023,★★★½,False,philosophy bro elvis
Foe,08 Oct 2023,★,False,i watched this so you don’t have to (you really don’t have to)
All About Lily Chou-Chou,03 Oct 2023,★★★★,False,best movie soundtrack 🏆 my favorite song is glide
The Prestige,30 Sep 2023,★★★★½,False,watched on the plane with no sound just subtitles like how christopher nolan intended
Ponyo,25 Sep 2023,★★★★,False,
Theater Camp,19 Sep 2023,★★★★,False,and starfish and starfish and starfish and starfish
Passages,23 Aug 2023,★★★,False,academy award for sluttiest little crop tops
M3GAN,06 Aug 2023,★★★★★,False,m3gan/barbie double feature
Barbie,26 Jul 2023,★★★½,False,
Taylor Mac's 24-Decade History of Popular Music,22 Jul 2023,★★★★,False,
Missing,19 Jun 2023,★★★★,False,
Past Lives,12 Jun 2023,★★★★★,True,
Bodies Bodies Bodies,03 Jun 2023,★★★★,False,
Puss in Boots,31 May 2023,,False,
Reality,29 May 2023,★★★★,False,
Joy Ride,17 May 2023,★★★★★,True,
The Last Emperor,07 May 2023,★★★★★,False,
Okja,02 May 2023,★★★★,False,
BEEF,12 Apr 2023,★★★★★,True,
Triangle of Sadness,14 Mar 2023,★★★★,False,
"Lyle, Lyle, Crocodile",19 Feb 2023,,False,
Puss in Boots: The Last Wish,05 Feb 2023,★★★★,False,
Paddington 2,29 Jan 2023,★★★★★,True,
Paddington,29 Jan 2023,★★★★★,False,
The Dark Knight,27 Jan 2023,★★★★★,True,
The Banshees of Inisherin,24 Jan 2023,★★★½,False,
The Menu,06 Jan 2023,★★★★,False,
Harry & Meghan,01 Jan 2023,,False,
Glass Onion,28 Dec 2022,★★★★½,False,
Stick It,25 Dec 2022,,False,
The Hours,14 Dec 2022,★★★★,False,
The Holiday,10 Dec 2022,,False,
The Wonder,29 Nov 2022,★★★,False,
TÁR,19 Nov 2022,★★★★½,False,
Turning Red,12 Nov 2022,★★★★★,True,
Interview with the Vampire,14 Oct 2022,★★½,False,
Life Is Cheap... But Toilet Paper Is Expensive,12 Oct 2022,★★★,False,
Thoroughbreds,05 Sep 2022,★★★★★,True,
Elvis,04 Sep 2022,★★½,False,
Bodies Bodies Bodies,01 Sep 2022,★★★★,False,
Not Okay,06 Aug 2022,★★,False,
Fire Island,24 Jul 2022,★★★★½,True,
Raw,16 Jul 2022,★★★★,False,
Marry Me,10 Jul 2022,½,False,
Minions: The Rise of Gru,06 Jul 2022,,True,
Cha Cha Real Smooth,21 Jun 2022,★★★★★,False,
Doctor Strange in the Multiverse of Madness,05 May 2022,★★½,False,
Everything Everywhere All at Once,03 Apr 2022,★★★★★,True,
Turning Red,11 Mar 2022,★★★★★,True,
The Tinder Swindler,10 Feb 2022,★★★½,False,
In the Mood for Love,02 Feb 2022,★★★★★,False,
Untold: Crime & Penalties,07 Jan 2022,★★★★★,True,
Sing 2,01 Jan 2022,★★★★★,False,
Sing,25 Dec 2021,★★★★,False,
The Power of the Dog,20 Dec 2021,★★★★½,False,
The Donut King,01 Dec 2021,★★★★½,True,
"tick, tick...BOOM!",26 Nov 2021,★★★★,True,
Happy Feet,12 Nov 2021,★★★★★,False,
Cool Runnings,05 Oct 2021,★★★★,True,
Booksmart,02 Oct 2021,★★★★★,True,
LuLaRich,15 Sep 2021,★★★½,False,
Shang-Chi and the Legend of the Ten Rings,14 Sep 2021,★★★★★,True,
Shang-Chi and the Legend of the Ten Rings,05 Sep 2021,★★★★★,True,
Madagascar 3: Europe's Most Wanted,25 Aug 2021,★★★,False,
Plan B,13 Aug 2021,★★★★★,True,
Meru,03 Aug 2021,★★★½,False,
Paddington 2,15 Jul 2021,★★★★★,True,
Brokeback Mountain,11 Jul 2021,★★★★½,False,
Zola,05 Jul 2021,★★★★,False,
The Joy Luck Club,10 Jun 2021,★★★★½,False,
Game Night,04 Jun 2021,★★★★,False,
Plan B,04 Jun 2021,★★★★★,True,
Bo Burnham: Inside,03 Jun 2021,★★★★½,True,
Nomadland,12 May 2021,★★★★★,True,
My Cousin Vinny,29 Apr 2021,★★★★★,False,
Shiva Baby,18 Apr 2021,★★★★,False,
Shrek 2,13 Apr 2021,★★★★★,False,
Disclosure,08 Apr 2021,★★★★★,False,
Operation Varsity Blues: The College Admissions Scandal,24 Mar 2021,★★★,False,
Clueless,19 Mar 2021,★★★★★,True,
Raya and the Last Dragon,13 Mar 2021,★★★½,False,
Oprah with Meghan and Harry: A CBS Primetime Special,11 Mar 2021,★★★★,False,
Jiro Dreams of Sushi,20 Feb 2021,★★★★½,False,
One Hundred and One Dalmatians,17 Feb 2021,★★★★★,True,
Crime Scene: The Vanishing at the Cecil Hotel,13 Feb 2021,★,False,
Spider-Man,26 Jan 2021,★★★,False,
Howl's Moving Castle,26 Jan 2021,★★★★½,False,
My Neighbor Totoro,16 Jan 2021,★★★★★,False,
Emma.,16 Jan 2021,★★★★,False,
Minari,13 Jan 2021,★★★★★,True,
Ocean's Eight,05 Jan 2021,★★★,False,
The First Monday in May,05 Jan 2021,★★★½,False,
Coco,30 Dec 2020,★★★★★,False,
Parasite,28 Dec 2020,★★★★★,True,
Home Alone,26 Dec 2020,★★★★,False,
Soul,25 Dec 2020,★★★★½,False,
Happiest Season,04 Dec 2020,★★,False,
Straight Up,22 Nov 2020,★★★★,False,
Sing Street,12 Nov 2020,★★★★½,True,
Shoplifters,06 Nov 2020,★★★★★,True,
Jennifer's Body,31 Oct 2020,★★★★,False,
Over the Moon,28 Oct 2020,★★★,False,
David Byrne's American Utopia,20 Oct 2020,★★★★★,True,
Justin Bieber: Never Say Never,27 Sep 2020,★★,False,
Boys State,24 Sep 2020,★★★★,False,
Magic Mike,18 Sep 2020,★★,False,
Waiting for Guffman,14 Sep 2020,★★★½,False,
Nine to Five,11 Sep 2020,★★★★★,True,
Hamilton,20 Jul 2020,,False,
Palm Springs,12 Jul 2020,★★★½,False,
Knives Out,26 Jun 2020,★★★★½,False,
Disclosure,23 Jun 2020,★★★★★,False,
Just Mercy,15 Jun 2020,★★★★,False,
Mrs. America,26 May 2020,★★★★★,True,
Bad Education,19 May 2020,★★★★,False,
Tigertail,20 Apr 2020,★★★,False,
"Tiger King: Murder, Mayhem and Madness",02 Apr 2020,,False,
Her Smell,22 Mar 2020,★★★½,False,
Portrait of a Lady on Fire,05 Mar 2020,★★★★★,False,
Frozen II,22 Feb 2020,★★★★,False,
Knowing,16 Feb 2020,★★,False,
To All the Boys: P.S. I Still Love You,13 Feb 2020,★★½,False,
Miss Americana,09 Feb 2020,★★★½,False,
John Mulaney & The Sack Lunch Bunch,24 Jan 2020,★★★★½,False,
Anima,19 Jan 2020,★★★★★,False,
Boy,16 Jan 2020,★★★★½,False,
Okja,15 Jan 2020,★★★★,False,
Clue,12 Jan 2020,★★★★,False,
Knives Out,11 Jan 2020,★★★★½,False,
Blinded by the Light,09 Jan 2020,★★★★,False,
Free Solo,08 Jan 2020,★★★★,False,
The Last Black Man in San Francisco,30 Dec 2019,★★★★½,False,
Marriage Story,28 Dec 2019,★★★★½,False,
Little Women,26 Dec 2019,★★★★½,False,
Ronny Chieng: Asian Comedian Destroys America!,25 Dec 2019,★★★★,False,
John Mulaney & The Sack Lunch Bunch,25 Dec 2019,★★★★½,False,
The Irishman,18 Dec 2019,★★★,False,
Marriage Story,18 Dec 2019,★★★★½,False,
The Feels,10 Oct 2019,★,False,
Unbelievable,20 Sep 2019,★★★★★,False,
Hustlers,19 Sep 2019,★★★★,False,
Step Up 2: The Streets,06 Sep 2019,★★★,False,
Suspiria,31 Aug 2019,★★★,False,
A Simple Favor,24 Aug 2019,★★★★,False,
Life of the Party,17 Aug 2019,★★★½,False,
Before Sunrise,17 Aug 2019,★★½,False,
Book Club,17 Aug 2019,★★★,False,
Vice,12 Aug 2019,,False,
Game Night,12 Aug 2019,★★★★,False,
Bad Moms,12 Aug 2019,★★,False,
Best in Show,12 Aug 2019,,True,
Big Little Lies,23 Jul 2019,★★★½,True,
Madeline's Madeline,21 Jul 2019,★★★½,False,
The Farewell,19 Jul 2019,★★★★★,True,
Toy Story 4,10 Jul 2019,★★★★,False,
Late Night,02 Jul 2019,★★½,False,
Notting Hill,01 Jul 2019,★★★★,False,
Paddington 2,22 Jun 2019,★★★★★,True,
The Grand Budapest Hotel,22 Jun 2019,★★★★½,False,
The Perfection,11 Jun 2019,★★,False,
All in My Family,10 Jun 2019,★★★★½,False,
Black Mirror: Smithereens,09 Jun 2019,★★★,False,
"Black Mirror: Rachel, Jack and Ashley Too",09 Jun 2019,★★★,False,
Captain Marvel,07 Jun 2019,★★★★,False,
Booksmart,04 Jun 2019,★★★★★,True,
Always Be My Maybe,03 Jun 2019,★★★½,False,
Poms,21 May 2019,,True,
Knock Down the House,15 May 2019,★★★★,False,
Someone Great,06 May 2019,★★½,False,
Avengers: Endgame,30 Apr 2019,★★★,False,
Tampopo,25 Apr 2019,★★★★½,False,
Guava Island,16 Apr 2019,★★½,False,
The Perfect Date,15 Apr 2019,★½,False,
Clueless,05 Apr 2019,★★★★★,True,
Nothing Like a Dame,04 Apr 2019,★★★,False,
Cléo from 5 to 7,03 Apr 2019,★★★★½,True,
To All the Boys I've Loved Before,30 Mar 2019,★★★★,False,
High Life,28 Mar 2019,★,False,
Us,22 Mar 2019,★★★★½,False,
The Square,21 Mar 2019,★★★,False,
Shrek Retold,20 Mar 2019,,False,
The Inventor: Out for Blood in Silicon Valley,19 Mar 2019,★★½,False,
Free Solo,14 Mar 2019,★★★½,False,
In the Mood for Love,08 Mar 2019,★★★★½,False,
Girls Just Want to Have Fun,05 Mar 2019,★★★½,False,
Boy,04 Mar 2019,★★★★½,False,
Support the Girls,04 Mar 2019,★★★★½,False,
The Muppets,28 Feb 2019,★★★★★,True,
Sex and the City,25 Feb 2019,★★,False,
Dear Ex,22 Feb 2019,★★★★,False,
SPF-18,21 Feb 2019,★,False,
"Ken Jeong: You Complete Me, Ho",20 Feb 2019,★★★,False,
Paris Is Burning,18 Feb 2019,★★★★½,True,
Velvet Buzzsaw,06 Feb 2019,★★,False,
Short Term 12,05 Feb 2019,★★★★★,True,
Eighth Grade,04 Feb 2019,★★★★,False,
The Edge of Seventeen,03 Feb 2019,★★★★½,True,
Beautiful Boy,03 Feb 2019,★★½,False,
Kal Ho Naa Ho,01 Feb 2019,★★★★,False,
Kill Bill: Vol. 1,29 Jan 2019,★★★★½,False,
Hot Fuzz,27 Jan 2019,★★★★,False,
Catwalk: Tales from the Catshow Circuit,27 Jan 2019,★★½,False,
Yi Yi,25 Jan 2019,★★★★★,True,
A Brighter Summer Day,24 Jan 2019,★★★★½,False,
What We Do in the Shadows,23 Jan 2019,★★★★,True,
Fyre,22 Jan 2019,★★½,False,
Revolutionary Road,20 Jan 2019,★,False,
Hereditary,19 Jan 2019,★★★★½,False,
Annihilation,12 Jan 2019,★★★½,False,
Support the Girls,12 Jan 2019,★★★★½,False,
Spider-Man: Into the Spider-Verse,11 Jan 2019,★★★★,False,
The Little Hours,07 Jan 2019,★★½,False,
Cool Runnings,06 Jan 2019,★★★★,True,
Shrek,04 Jan 2019,★★★★,False,
Cam,02 Jan 2019,★★½,False,
The Wolfpack,31 Dec 2018,★★★,False,
Skate Kitchen,30 Dec 2018,★★★★½,True,
Black Mirror: Bandersnatch,28 Dec 2018,★★★,False,
Tramps,27 Dec 2018,★★★½,False,
Sky Ladder: The Art of Cai Guo-Qiang,26 Dec 2018,,False,
20 Feet from Stardom,26 Dec 2018,★★★½,False,
The Guernsey Literary & Potato Peel Pie Society,26 Dec 2018,★★★★,False,
A Christmas Star,24 Dec 2018,★★,False,
Tower,24 Dec 2018,★★★★,False,
Life Itself,23 Dec 2018,★★★½,False,
Faces Places,22 Dec 2018,★★★½,False,
Icarus,21 Dec 2018,★★½,False,
Newtown,21 Dec 2018,,True,
Three Identical Strangers,19 Dec 2018,★★★½,False,
The Favourite,19 Dec 2018,★★★★,False,
Minding the Gap,18 Dec 2018,★★★★★,False,
Mr. Gaga,17 Dec 2018,★★★½,False,
Blue Velvet,17 Dec 2018,★★★★,False,
Paris Is Burning,16 Dec 2018,★★★★½,True,
Roma,16 Dec 2018,★★★★,False,
Battle,11 Dec 2018,★★★,False,
Life-Size 2,09 Dec 2018,★,False,
Shirkers,04 Dec 2018,★★★★★,True,
Ballet Now,26 Nov 2018,★★★½,False,
RBG,26 Nov 2018,★★★★,False,
Fantastic Mr. Fox,25 Nov 2018,★★★★,False,
Sing,14 Nov 2018,★★★½,False,
The Hate U Give,10 Nov 2018,★★★★½,False,
Set It Up,03 Nov 2018,★★,False,
The Simpsons Movie,01 Nov 2018,★★★½,False,
Whip It,20 Oct 2018,★★★★,False,
Sorry to Bother You,13 Oct 2018,★★★★½,True,
Perfect Blue,05 Oct 2018,★★★★,False,
Maniac,03 Oct 2018,★★★★½,False,
The Atomic Cafe,30 Sep 2018,★★★★,False,
Prozac Nation,26 Sep 2018,★★,False,
Big Little Lies,22 Sep 2018,★★★★★,True,
Godzilla,19 Sep 2018,★★★★,False,
Searching,12 Sep 2018,★★★★,False,
Alex Strangelove,09 Sep 2018,★★★,False,
Frances Ha,08 Sep 2018,★★★★★,True,
Fallen Angels,06 Sep 2018,★★★★,False,
Mommy Dead and Dearest,02 Sep 2018,★★★½,False,
Set It Up,30 Aug 2018,★★★½,False,
Sharp Objects,29 Aug 2018,★★★★,False,
Spirited Away,28 Aug 2018,★★★★½,False,
The Tale,27 Aug 2018,★★★★,False,
To All the Boys I've Loved Before,26 Aug 2018,★★★★,False,
"Oh, Hello on Broadway",25 Aug 2018,★★★★★,True,
BlacKkKlansman,24 Aug 2018,★★★★,False,
Sing Street,21 Aug 2018,★★★★½,True,
Step Up 2: The Streets,21 Aug 2018,★★★,False,
Her,20 Aug 2018,★★★★,False,
Crazy Rich Asians,16 Aug 2018,★★★★½,False,
A Quiet Place,13 Aug 2018,★★★½,False,
Paddington 2,13 Aug 2018,★★★★★,True,
Mamma Mia!,13 Aug 2018,★★★★,False,
Baby Driver,07 Aug 2018,★★★,False,
Isle of Dogs,07 Aug 2018,★★★½,False,
Thoroughbreds,07 Aug 2018,★★★★,True,
Chicago,02 Aug 2018,★★★★½,False,
The Devil Wears Prada,01 Aug 2018,★★★★,False,
Ratatouille,30 Jul 2018,★★★★★,True,
The First Monday in May,30 Jul 2018,★★★½,False,
Garden State,28 Jul 2018,★★★,False,
Mamma Mia! Here We Go Again,25 Jul 2018,★★★½,False,
Won't You Be My Neighbor?,13 Jul 2018,★★★★,False,

Followers
pretao,katmarotta13,bolognagirl,niteshadk,dilfs4life,bennixon74,jarhead007,ravitmishra,chasemayo,amygeiger,pjmartineau,anniecollopy,jcicco,wisestfool,lili_logs_films,rix,neontruck,anniening,ewchapman,_keeschalmers,dan_felix,adammanson,imsrychrisj,luckyfox56,bettrngmyself,eisha,megwest,sherwinyu99,kaleknndy,joblessfahadh,kelsey_,justinayam,wilsonlai,gatorbutchering,theomatza,hanroco,nburnham,brookekush,aveshk,samirving,nhartman,nathancheng,mannyunger,litzard,lwgoldstein,kaylakim,dylanckim8,geoff_minet

Following
katmarotta13,bolognagirl,jarhead007,chasemayo,amygeiger,pjmartineau,jcicco,ziwe,anniecollopy,strawbgrl,rix,fumilayo,anniening,ewchapman,imsrychrisj,sherwinyu99,kaleknndy,joblessfahadh,justinayam,wilsonlai,hanroco,megwest,adammanson,brookekush,samirving
