Movie,Date Watched,Rating,Liked,Review
The Swimmer,14 Jan 2024,★★★★,False,The delulu Olympics
The Holdovers,12 Jan 2024,★★★½,False,Unto every generation a Dead Poets Society is born…. this time it’s Christmas themed!
Sweet Sweetback's Baadasssss Song,06 Jan 2024,★★★★½,True,
Ace in the Hole,03 Jan 2024,★★★★,False,Is there a position in American public life as consistently terrifying as county sheriff? I really don’t think so
"Are You There God? It's Me, Margaret.",02 Jan 2024,★★★,False,"This movie did not resonate with me as a depiction of girlhood (identify much more w boob girl if anything) or as a depiction of finding a religious identity (I found that thread noxious, odious even) but congrats to all with whom it did"
Elf,24 Dec 2023,★½,False,Jon Favreau has released so much darkness on to this earth
Poor Things,14 Dec 2023,★★★½,False,Surgery is the new sex
May December,08 Dec 2023,★★★★½,False,"Despite having literally every critical scene or plot point spoiled by people on Twitter, it still blew my mind. Todd Haynes’s power!"
Maestro,06 Dec 2023,★★★★,False,It’s insane that Bradley Cooper is my favorite director
Priscilla,04 Dec 2023,★★★½,False,Elvis is still the most quirked up white boy of all time (derogatory this time)
Totally Fucked Up,12 Nov 2023,★★★½,False,"What’s in? Bigotry, sexism, Jesus, homophobia, stupidity, violence, spiritual bullshit, making money"
Past Lives,10 Nov 2023,★★★,False,All Greta Lee knows in this movie is cheat on her husband and serve bob
Arsenic and Old Lace,06 Nov 2023,★★½,False,"Did I like this movie? Honestly no, not particularly. Totally lost interest once fake Boris Karloff showed up."
Hocus Pocus,26 Oct 2023,★★,False,
No Hard Feelings,25 Oct 2023,★★★½,False,
Killers of the Flower Moon,23 Oct 2023,★★★★½,False,
Videodrome,11 Oct 2023,★★★★,False,
Stop Making Sense,03 Oct 2023,★★★★½,True,
Cléo from 5 to 7,01 Oct 2023,★★★★,False,
School of Rock,27 Sep 2023,★★★★½,False,
Irma Vep,21 Sep 2023,★★★★,True,
Support the Girls,09 Sep 2023,★★★★½,True,
In the Mood for Love,06 Sep 2023,★★★★,False,
Bottoms,04 Sep 2023,★★★★,False,
Harlan County U.S.A.,31 Aug 2023,★★★★★,False,
Shake! Otis at Monterey,30 Aug 2023,★★★★★,False,
Asparagus,30 Aug 2023,★★★★,False,
Blue Hawaii,29 Aug 2023,★★½,False,
Desperately Seeking Susan,28 Aug 2023,★★★½,False,
Donkey Skin,03 Aug 2023,★★★½,False,
Night Moves,31 Jul 2023,★★★★,False,
Barbie,22 Jul 2023,★★★★½,False,
Bringing Up Baby,19 Jul 2023,★★★,False,
The Rules of the Game,15 Jul 2023,★★★★,False,
Asteroid City,24 Jun 2023,★★★★,False,
Le Bonheur,22 Jun 2023,★★★★,False,
The Green Ray,20 Jun 2023,★★★★,False,
Variety,18 Jun 2023,★★★,False,
Tampopo,29 May 2023,★★★½,False,
You Hurt My Feelings,28 May 2023,★★★★½,False,
Design for Living,22 May 2023,★★★★,True,
The Souvenir: Part II,12 May 2023,★★★★,False,
The Souvenir,12 May 2023,★★★★,False,
The Lovers,10 May 2023,★★★½,False,
White Material,04 May 2023,★★★★,False,
Cane River,02 May 2023,★★★½,False,
Klute,28 Apr 2023,★★★★★,False,
Mystery Train,27 Apr 2023,★★★★,True,
Brief Encounter,25 Apr 2023,★★★★★,False,
Bound,22 Apr 2023,★★★½,False,
Metropolitan,19 Apr 2023,★★★★,True,
Air,15 Apr 2023,★★½,False,
How to Blow Up a Pipeline,13 Apr 2023,★★★★★,False,
Body Double,05 Apr 2023,★★★½,False,
The Last Picture Show,02 Apr 2023,★★★½,False,
I Know Where I'm Going!,29 Mar 2023,★★★★½,False,
One Week,29 Mar 2023,★★★★,False,
"Paris, Texas",24 Mar 2023,★★★★½,True,
Repo Man,17 Mar 2023,★★★★½,False,
Paris Is Burning,10 Mar 2023,★★★★,False,
Mandabi,09 Mar 2023,★★★★,False,
All the Beauty and the Bloodshed,26 Feb 2023,★★★★★,True,
Party Girl,25 Feb 2023,★★★★,False,
Hail the Conquering Hero,20 Feb 2023,★★★½,False,
Women Talking,18 Feb 2023,★★★½,False,
McCabe & Mrs. Miller,17 Feb 2023,★★★★,False,
"sex, lies, and videotape",13 Feb 2023,★★★★½,True,
Chungking Express,05 Feb 2023,★★★★,True,
La Chinoise,02 Feb 2023,★★★★,False,
A Star Is Born,29 Jan 2023,★★★★★,True,
The Banshees of Inisherin,28 Jan 2023,★★★½,False,
Babylon,07 Jan 2023,★★★,False,
His Girl Friday,02 Jan 2023,★★★½,False,
White Noise,01 Jan 2023,★★★½,False,
A Room with a View,28 Dec 2022,★★★★½,False,
Close-Up,21 Dec 2022,★★★★,False,
Sullivan's Travels,19 Dec 2022,★★★★½,True,
Moonstruck,18 Dec 2022,★★★★½,False,
Dead Man,11 Dec 2022,★★★★,False,
Sweet Smell of Success,30 Nov 2022,★★★★,True,
Glass Onion,26 Nov 2022,★★★,False,
Decision to Leave,20 Nov 2022,★★★½,False,
She Said,19 Nov 2022,★★½,False,
My Own Private Idaho,18 Nov 2022,★★★★,False,
Tiny Furniture,11 Nov 2022,★★★★½,True,
The Hero,05 Nov 2022,★★★★,False,
I Married a Witch,04 Nov 2022,★★★½,False,
TÁR,01 Nov 2022,★★★★,False,
Hubie Halloween,31 Oct 2022,★★★,True,
Death Becomes Her,19 Oct 2022,★★★,False,
Bernie,17 Oct 2022,★★★,False,
Charade,10 Oct 2022,★★★★½,False,
Turning Red,01 Oct 2022,★★½,False,
Don't Worry Darling,29 Sep 2022,★★½,False,
Niagara,26 Sep 2022,★★★★,False,
Blue Collar,23 Sep 2022,★★★★,False,
The Last Movie Stars,14 Sep 2022,★★★½,False,
Hud,01 Sep 2022,★★★★,False,
Purple Rain,28 Aug 2022,★★★,False,
Vengeance,19 Aug 2022,★★★,False,
"What's Up, Doc?",05 Aug 2022,★★★★★,False,
A Chorus Line,30 Jul 2022,★★,False,
Mr. Malcolm's List,17 Jul 2022,★★★,False,
C'mon C'mon,16 Jul 2022,★★½,False,
Body Heat,08 Jul 2022,★★★½,False,
Despicable Me,03 Jul 2022,★★★½,False,
Hustle,23 Jun 2022,★★★★,False,
Elvis,21 Jun 2022,,True,
Fire Island,06 Jun 2022,★★★★,False,
Space Jam,01 Jun 2022,½,False,
Merrily We Go to Hell,29 May 2022,★★★★,False,
Mississippi Masala,25 May 2022,★★★½,False,
Gosford Park,23 May 2022,★★★★,False,
American Gigolo,20 Apr 2022,★★★★,False,
The Hand of God,11 Apr 2022,★★★★,False,
Bull Durham,22 Mar 2022,★★★★★,False,
Y Tu Mamá También,19 Mar 2022,★★★★½,False,
Bend It Like Beckham,18 Mar 2022,★★★½,False,
My Best Friend's Wedding,15 Mar 2022,★★★,False,
After Yang,11 Mar 2022,★★★★,False,
The Booksellers,10 Mar 2022,★★★½,False,
The Virgin Suicides,27 Feb 2022,★★★★★,False,
The Player,25 Feb 2022,★★★★,False,
The Worst Person in the World,12 Feb 2022,★★★½,False,
The Souvenir,11 Feb 2022,★★★★,False,
The Long Goodbye,01 Feb 2022,★★★★½,False,
One Direction: This Is Us,31 Jan 2022,,False,
Drive My Car,22 Jan 2022,★★★½,False,
Ghost World,20 Jan 2022,★★★,False,
The Last Duel,18 Jan 2022,★★★½,False,
Licorice Pizza,15 Jan 2022,★★★★,False,
The Lost Daughter,07 Jan 2022,★★★★,False,
Michael Clayton,05 Jan 2022,★★★,False,
Encanto,28 Dec 2021,★★★★,False,
"O Brother, Where Art Thou?",26 Dec 2021,★★★★½,False,
Pride,21 Dec 2021,★★★★★,True,
The Power of the Dog,19 Dec 2021,★★★★,False,
West Side Story,10 Dec 2021,★★★½,False,
Belfast,04 Dec 2021,★★★★,False,
House of Gucci,27 Nov 2021,★★½,False,
"tick, tick...BOOM!",22 Nov 2021,★★★½,False,
The Velvet Underground,11 Nov 2021,★★★,False,
National Treasure,06 Nov 2021,★★★,False,
The French Dispatch,04 Nov 2021,★★★★,False,
The Handmaiden,03 Oct 2021,★★★★★,False,
20th Century Women,29 Sep 2021,★★★★★,False,
Across the Universe,17 Sep 2021,★★★½,False,
The Last Black Man in San Francisco,12 Sep 2021,★★★★★,False,
Sideways,07 Sep 2021,★★★★,False,
The Parent Trap,16 Aug 2021,★★★★½,False,
First Reformed,13 Aug 2021,★★★★,False,
Somewhere,11 Aug 2021,★★★★,False,
Space Jam: A New Legacy,06 Aug 2021,★★,False,
"Summer of Soul (...or, When the Revolution Could Not Be Televised)",01 Aug 2021,★★★½,False,
No Sudden Move,29 Jul 2021,★★★,False,
In the Heights,12 Jun 2021,★★★★½,False,
Inside Llewyn Davis,02 Jun 2021,★★★★½,False,
Broadcast News,18 May 2021,★★★,False,
Trading Places,03 May 2021,★★★★,False,
Another Round,30 Apr 2021,★★★★,False,
Stop Making Sense,21 Apr 2021,★★★★½,True,
The Royal Tenenbaums,09 Apr 2021,★★★½,False,
Moneyball,02 Apr 2021,★★★½,False,
Lapsis,30 Mar 2021,★★★½,False,
David Byrne's American Utopia,21 Mar 2021,★★★★★,False,
When Harry Met Sally...,14 Mar 2021,★★★★,False,
On the Rocks,04 Mar 2021,★★½,False,
Dolemite Is My Name,15 Feb 2021,★★★★½,False,
Minari,12 Feb 2021,★★★★★,False,
Columbus,07 Feb 2021,★★★★,False,
The Piano Lesson,03 Feb 2021,★★★,False,
The Emperor's New Groove,30 Jan 2021,★★★★,False,
My Cousin Vinny,28 Jan 2021,★★★,False,
Never Rarely Sometimes Always,25 Jan 2021,★★★★½,False,
The Bee Gees: How Can You Mend a Broken Heart,22 Jan 2021,★★★★,False,
