Movie,Date Watched,Rating,Liked,Review
The Holdovers,06 Jan 2024,,False,
May December,06 Jan 2024,,False,
The Lord of the Rings: The Two Towers,02 Jan 2024,★★★★★,True,
Doctor Who: Wild Blue Yonder,31 Dec 2023,,False,
Escaping Twin Flames,31 Dec 2023,,False,
Doctor Who: The Church on Ruby Road,31 Dec 2023,,False,
Doctor Who: The Giggle,31 Dec 2023,,False,
"Great Photo, Lovely Life",23 Dec 2023,,False,Cheers to breaking generational trauma cycles.
Love Has Won: The Cult of Mother God,21 Dec 2023,,False,I didn’t understand a word they said. Did they actually say anything?
The King's Speech,13 Dec 2023,,False,
Waitress: The Musical,12 Dec 2023,,False,MORE PROSHOTS!!
Doctor Who: The Star Beast,26 Nov 2023,,False,
Winter's Bone,20 Nov 2023,,False,
The Social Network,18 Nov 2023,,False,
The Kids Are All Right,15 Nov 2023,,False,
True Grit,15 Nov 2023,,False,
Toy Story 3,05 Nov 2023,★★★★★,False,This is literally a perfect movie… but maybe don’t watch this while on your period.
The Social Network,03 Nov 2023,,False,
Hocus Pocus,31 Oct 2023,,False,
The Nightmare Before Christmas,31 Oct 2023,,False,
Hocus Pocus 2,27 Oct 2023,,False,Could have lived without this one.
Love at First Sight,21 Oct 2023,,False,
Scream VI,20 Oct 2023,,False,
Scream,20 Oct 2023,,False,
Inception,09 Oct 2023,,True,I love the way Christopher Nolan films scratch my brain.
It Chapter Two,08 Oct 2023,,False,
It,08 Oct 2023,,True,
Unfriended,04 Oct 2023,★★,False,I watched this because I love Jacob Wysocki. I tried to like it..but they were all terrible people. Kudos to them being early on the “told through the computer screen” thing though.
Rose Red,04 Oct 2023,★★★★,False,"This was one of the first horror movies/series I had ever seen. I remember forcing my sister to watch it with me during the summer, early in the morning when the sun was out so I wouldn’t be so scared. This holds up really well. I was really excited to see it on Hulu, even though this is one of those I have on DVD and will never get rid of."
Theater Camp,23 Sep 2023,★★★½,False,I’m already starting to memorize the Diva Spell. I yearned for this my entire childhood but summer camp is for the rich kids.
The Fighter,20 Sep 2023,,False,
Black Swan,21 Aug 2023,,True,
127 Hours,15 Aug 2023,,False,"Note to self/PSA, I know it seems obvious not to be eating during THAT scene, but specifically, don’t eat Spaghetti or anything red. 🤢"
The Storied Life of A.J. Fikry,08 Aug 2023,,False,I remember being very charmed by this book and I’m glad this is an adequate adaptation. 
Oppenheimer,08 Aug 2023,★★★★½,False,This would have been a three star review if it weren’t for the final act.
We're All Going to the World's Fair,07 Aug 2023,,False,
Barbie,24 Jul 2023,,True,
The Artist,19 Jul 2023,,False,
War Horse,11 Jul 2023,,False,
Scream 4,04 Jul 2023,,False,
Past Lives,30 Jun 2023,★★★★½,True,
The Tree of Life,27 Jun 2023,,False,
Moneyball,19 Jun 2023,,False,
The Menu,16 Jun 2023,★★★½,False,
Missing,10 Jun 2023,,False,
Midnight in Paris,06 Jun 2023,,False,
Reality,02 Jun 2023,,False,
Hugo,21 May 2023,,False,
The Craft,19 May 2023,,False,
The Help,14 May 2023,,False,
Extremely Loud & Incredibly Close,07 May 2023,,False,
The Descendants,25 Apr 2023,,False,
Beau Is Afraid,25 Apr 2023,,False,
Dungeons & Dragons: Honor Among Thieves,18 Apr 2023,★★★★★,False,
Bridesmaids,18 Apr 2023,★★,False,
Fighting with My Family,16 Apr 2023,,False,
Catherine Called Birdy,14 Apr 2023,★★★,False,
Ready or Not,11 Apr 2023,,False,
Searching,11 Apr 2023,,False,
Boston Strangler,18 Mar 2023,,False,
This Is Where I Leave You,18 Mar 2023,,True,
Triangle of Sadness,02 Mar 2023,,False,
Top Gun: Maverick,25 Feb 2023,★★★½,False,
Top Gun,22 Feb 2023,,False,
Enola Holmes 2,16 Feb 2023,,False,
Enola Holmes,16 Feb 2023,,False,
Of an Age,15 Feb 2023,,False,
The Fabelmans,14 Feb 2023,,False,
Your Place or Mine,12 Feb 2023,,False,
Scream,10 Feb 2023,,False,
Everything Everywhere All at Once,06 Feb 2023,★★★★★,False,
Elvis,30 Jan 2023,★★½,False,
All Quiet on the Western Front,30 Jan 2023,★★★,False,
My Year of Dicks,30 Jan 2023,,False,
Newsies,28 Jan 2023,,False,
Ice Merchants,27 Jan 2023,,False,
"The Boy, the Mole, the Fox and the Horse",26 Jan 2023,★★★★★,False,
The Flying Sailor,26 Jan 2023,,False,
Women Talking,24 Jan 2023,,False,
Avatar: The Way of Water,17 Jan 2023,,False,
The Menu,09 Jan 2023,★★★½,False,
The Banshees of Inisherin,03 Jan 2023,★★★★½,False,
Glass Onion,27 Dec 2022,★★★★,False,
Do Revenge,23 Dec 2022,,False,
The Sea Beast,13 Dec 2022,,False,
Wedding Season,24 Nov 2022,,False,
The Noel Diary,24 Nov 2022,,False,
Columbus,18 Nov 2022,★★★★★,False,
Aftersun,18 Nov 2022,★★★★★,False,
Aftersun,16 Nov 2022,,False,
Don't Worry Darling,15 Nov 2022,,False,
Enola Holmes 2,08 Nov 2022,,False,
Decision to Leave,08 Nov 2022,★★★★,False,
