Movie,Date Watched,Rating,Liked,Review
Little Women,01 Jan 2024,,True,
Freaky Friday,26 Dec 2023,★★★½,False,
Home Alone 2: Lost in New York,25 Dec 2023,★★★,False,
Little Women,25 Dec 2023,,True,
Wonka,22 Dec 2023,★★★★,True,
Portrait of a Lady on Fire,21 Nov 2023,,True,
Tomboy,19 Nov 2023,★★★★½,True,
Petite Maman,18 Nov 2023,★★★★½,True,
Phantom of the Paradise,14 Nov 2023,,True,
The House of Ghosts,13 Nov 2023,,False,
The Cabbage-Patch Fairy,13 Nov 2023,,False,
Killers of the Flower Moon,11 Nov 2023,★★★★½,True,
When Evil Lurks,09 Nov 2023,★★★½,False,
Halloween Ends,15 Oct 2023,,True,
The Master,07 Oct 2023,,True,
Close Your Eyes,01 Oct 2023,★★★★,True,
Bottoms,30 Sep 2023,,True,
My Own Private Idaho,30 Sep 2023,★★★★★,True,
The Leopard,27 Sep 2023,★★★★½,True,
Infinity Pool,24 Sep 2023,★★★★,True,
No One Will Save You,24 Sep 2023,★★★½,False,
Bottoms,22 Sep 2023,★★★★½,True,
Walk Up,20 Sep 2023,★★★,False,
Creatura,18 Sep 2023,★★,False,
2001: A Space Odyssey,17 Sep 2023,,True,
Master Gardener,16 Sep 2023,★★★★,True,
Huesera: The Bone Woman,16 Sep 2023,★★★★,True,
Past Lives,15 Sep 2023,★★★½,False,
Pearl,15 Sep 2023,★★½,False,
Talk to Me,13 Sep 2023,★★★,False,
Scarface,10 Sep 2023,★★★½,False,
Evil Dead Rise,09 Sep 2023,★★★,False,
Stars at Noon,09 Sep 2023,★★★★½,True,
Passages,06 Sep 2023,★★★½,False,
The Big Short,02 Sep 2023,★★★★,True,
Blow-Up,30 Aug 2023,,True,
Sole Survivor,28 Aug 2023,★★½,False,
Teeth,28 Aug 2023,★★★,False,
On the Town,27 Aug 2023,★★½,False,
It's Always Fair Weather,27 Aug 2023,★★★½,False,
Back to the Future,22 Aug 2023,★★★★,True,
Shrek 2,22 Aug 2023,★★★½,False,
Back to the Future Part II,17 Aug 2023,★★★★,True,
Shrek,17 Aug 2023,,False,
Before Midnight,15 Aug 2023,★★★★★,True," a closer feeling of what linklater captures in the first film, but now you get a more complex and raw relationship. you don´t a whole picture of how their life has been since the last film, but you get glimpses through pieces and pieces that get revealed in their fight. seeing them fight the whole third act feels devastating. their reunion with their romantic side on the last film becomes a slideshow of bitter and resentful moments throught their relationship… "
Tenebre,15 Aug 2023,★★★½,False,
Sorority Row,13 Aug 2023,★★★,False,
Twin Peaks: The Return,12 Aug 2023,,True,
Made in U.S.A,04 Aug 2023,★★★★★,True,"confusing nonsense. the incredible imagery and the dizzying plot creates a hypnotic experience. kind of noir, kind of a fashion film. style won the battle once again."
Summer of Sam,03 Aug 2023,★★½,False,"I'll always get onboard with this level of unhinged, but many parts of it felt very pointless."
Last Days,02 Aug 2023,★★★★★,True,"it's been a long time since i felt so much empathy with a character. for 90 minutes we watch this poor bastard crawl through life, walking towards his foretold death. van sant really does it like no one else could. we feel the dread, the loudness, the weariness. i loved the use of sound, creating that dazed echoing sensation inside the protagonist's head. the monotony and repetition of moments make this world feel like an inescapable nightmare."
