Movie,Date Watched,Rating,Liked,Review
Batman Forever,14 Jan 2024,★★,False,Drink every time you’re reminded this is a toy commercial for kids
Eileen,11 Jan 2024,★½,False,This movie needed the chemistry and magnetism of its two leads to do a lot of heavy lifting… and they don’t have much chemistry or magnetism.
Spirit: Stallion of the Cimarron,09 Jan 2024,★★★,False,Spirit the stallion of Cimarron for president 2024
Strange Brew,06 Jan 2024,★★★,False,A Canadian Mel brooks film with the two moose from Brother Bear. It’s a good time.
Hidalgo,03 Jan 2024,★★½,False,Can’t believe we watched this at my brothers twelfth birthday party. There’s a lot of human atrocity. 
Mannequin Two: On the Move,31 Dec 2023,★,False,Is this a cult classic? Because if not I’d like to tell HBO not to list it in that category.
Mannequin,31 Dec 2023,★½,False,"For me, it was the mannequin riding a hang glider through the mall, that really made this a GREAT bad film."
The Holdovers,31 Dec 2023,★★★½,False,A little A Separate Peace and a little Dead Poets Society. A nice film to add to the “Christmas movie” canon.
The Suicide Squad,27 Dec 2023,★★½,False,Margot Robbie deserves so much better than this but it’s impossible not to smile when she’s on screen.
The Muppet Christmas Carol,24 Dec 2023,★★★★★,False,No notes
Poor Things,24 Dec 2023,★★★★½,False,"My friend at the end of this movie:  This is literally you’re ideal day, drinking a gin n’tonic, reading a book, smiling at your lesbian gf, while a shithead with goat for brains eats grass."
Gremlins,24 Dec 2023,★★★★,False,DID YOU KNOW GIZMO IS VOICED BY HOWIE MANDEL???
The Batman,17 Dec 2023,★★★,False,
The Holiday,15 Dec 2023,★★,False,
Thanksgiving,04 Dec 2023,★★★,False,
Godmothered,02 Dec 2023,½,False,
Who Framed Roger Rabbit,27 Nov 2023,★★★★,False,
The Whale,19 Nov 2023,★★★,False,
May December,17 Nov 2023,★★★★,False,
Priscilla,13 Nov 2023,★★½,False,
Requiem for a Dream,08 Nov 2023,★★★★,False,
Anatomy of a Fall,03 Nov 2023,★★★★,False,
Trick 'r Treat,31 Oct 2023,★★★,False,
Mr. Boogedy,28 Oct 2023,★,False,
Can of Worms,24 Oct 2023,★,False,
Friday the 13th,23 Oct 2023,★★½,False,
For Keeps,15 Oct 2023,★★½,False,
You Hurt My Feelings,03 Oct 2023,★★★½,False,
Bottoms,26 Sep 2023,★★★½,False,
The Final Girls,25 Sep 2023,★★½,False,
Night at the Museum,25 Sep 2023,★½,False,
Theater Camp,18 Sep 2023,★★★★,False,
The Nun II,13 Sep 2023,★,False,
Star Wars: Episode III – Revenge of the Sith,04 Sep 2023,★★½,False,
Star Wars: Episode II – Attack of the Clones,03 Sep 2023,★½,False,
Star Wars: Episode I – The Phantom Menace,01 Sep 2023,★★½,False,
Holes,27 Aug 2023,★★★★,False,
Teen Wolf,26 Aug 2023,★★½,False,
Irma Vep,25 Aug 2023,★★★★½,False,
Bob Dylan: Shadow Kingdom,22 Aug 2023,★★★★★,False,
Con Air,06 Aug 2023,★★★½,False,
Talk to Me,01 Aug 2023,★★★½,False,
Marcel the Shell with Shoes On,29 Jul 2023,★★★★,False,
I Give It a Year,29 Jul 2023,★★★,False,
The Estate,22 Jul 2023,★★,False,
Barbie,20 Jul 2023,★★★★,False,
Chicken Little,19 Jul 2023,★,False,
Cats & Dogs,19 Jul 2023,★½,False,
It Follows,19 Jul 2023,★★★★½,False,
Puss in Boots,14 Jul 2023,★★,False,
Hamlet 2,05 Jul 2023,★★★,False,
Independence Day,05 Jul 2023,★★★,False,
The Hours,02 Jul 2023,★★★★½,False,
Idiocracy,01 Jul 2023,★★★,False,
Panic Room,01 Jul 2023,★★½,False,
Cruel Intentions,30 Jun 2023,★★★½,False,
Past Lives,28 Jun 2023,★★★★,False,
The Intervention,27 Jun 2023,★★,False,
Aladdin,27 Jun 2023,★★★★,False,
Greenberg,24 Jun 2023,★★½,False,
No Hard Feelings,22 Jun 2023,★,False,
But I'm a Cheerleader,22 Jun 2023,★★★★,True,
Kajillionaire,19 Jun 2023,★★★★½,True,
Elemental,17 Jun 2023,★★★,False,
It's Such a Beautiful Day,14 Jun 2023,★★★½,False,
The Hours,14 Jun 2023,★★★★½,False,
The Little Mermaid,14 Jun 2023,★,False,
Lady Bird,14 Jun 2023,★★★½,False,
The Shining,14 Jun 2023,★★★,False,
The Wizard of Oz,14 Jun 2023,★★★★★,False,

Followers
beepbeepbooks,levinalx101,jayshmoney,fourguysonefilm,tarek_elkhateb,boxedl_moviez33,kafkaaa,valerianknight,yeeeesh,runnertw,astoldbybex,cinematweets,wilkins,saul1233456,resulonrsl,tommyoldone,groovytony96,matthewzeitoun,offthecufff,croy_greg,feeeeeeer,greeralec,blairrussell,calford,salford10

Following
kevinyang,peachbeverage,natekrieger,ghouliasyelps,akirastar,valerianknight,urgrrrlfriend,querelle,apocalypsenow,joppen,bethanyinfilm,emammamia,sophiemrie,astoldbybex,slashfilm,kevthulhu,gemko,donnadb,stk5,cosmonautmarkie,blairrussell,vitaphonegirl,thedexstarr,ingridgoeswest,superpulse
