Movie,Date Watched,Rating,Liked,Review
Killers of the Flower Moon,08 Jan 2024,★★★★½,False,"A harrowing, breathtaking, sweeping, necessary masterpiece."
Gattaca,05 Jan 2024,,True,Oops.The wind caught it. 
When Harry Met Sally...,31 Dec 2023,,True,
The Boy and the Heron,29 Dec 2023,★★★★,False,
Bottoms,01 Dec 2023,★★★★,False,
Farewell My Concubine,18 Sep 2023,★★★★★,True,Phenomenal.
The Darjeeling Limited,25 Aug 2023,★★★,False,
My Cousin Vinny,19 Aug 2023,★★★★★,True,
Shaun of the Dead,13 Aug 2023,★★★★,False,
What's Love Got to Do with It?,04 Aug 2023,★,False,
Oppenheimer,22 Jul 2023,★★★★,False,
Barbie,21 Jul 2023,★★★★½,False,Greta can do no wrong.
Happy Together,09 Jul 2023,,True,
Asteroid City,08 Jul 2023,,False,"Clearly in the minority here, but I was really waiting for an emotional core or thread throughout, and I'm not quite sure it ever hit."
Only Yesterday,04 Jul 2023,★★★½,False,
Hustlers,17 Jun 2023,★★★★,False,
Spider-Man: Across the Spider-Verse,09 Jun 2023,★★★★★,False,"No notes, no comments, this was so joyous."
Past Lives,04 Jun 2023,,True,
You Hurt My Feelings,27 May 2023,★★★½,False,
Ticket to Paradise,16 May 2023,★,False,
John Mulaney: Baby J,07 May 2023,,False,
Millennium Mambo,11 Mar 2023,★★★★,False,
Dirty Dancing,13 Feb 2023,,False,
No Bears,05 Feb 2023,★★★★,False,So powerful. Now excuse me while I go and acquaint myself with the rest of his oeuvre.
Pan's Labyrinth,30 Jan 2023,,False,"“For fantasy is true, of course. It isn’t factual, but it’s true. Children know that. Adults know it too and that’s precisely why many of them are afraid of fantasy. They know that its truth challenges, even threatens, all that is false, all that is phony, unnecessary, and trivial in the life they have let themselves be forced into living. They are afraid of dragons because they are afraid of freedom.”"
Broker,20 Jan 2023,★★★★★,False,Wrecked.
Top Gun: Maverick,07 Jan 2023,★★★,False,
Aftersun,30 Dec 2022,,False,"A double whammy watching this and The Fabelmans practically back to back. Both, to me, devastating and difficult."
The Fabelmans,27 Dec 2022,★★★★,False,
Glass Onion,25 Dec 2022,★★★★,False,Such a delight to watch actors and directors so obviously having a blast with their craft.
Avatar: The Way of Water,22 Dec 2022,★★★½,False,"Awestruck at the genuine wonder, belief in the medium of cinema (and technology), and lack of cynicism James Cameron brings in this giant sequel I don’t think anyone really wanted or thought we needed. "
Falling for Christmas,11 Dec 2022,,False,
Black Panther: Wakanda Forever,19 Nov 2022,,False,
Decision to Leave,06 Nov 2022,★★★★,False,
The Woman King,02 Oct 2022,★★★½,False,
Nope,11 Sep 2022,★★★★,False,
Persuasion,19 Jul 2022,,False,
Petite Maman,16 Jun 2022,,True,
Baby Driver,05 Jun 2022,★★★½,False,
Nothing Serious,24 May 2022,,False,
Pillow Talk,23 May 2022,★★★,False,
To All the Boys: Always and Forever,07 May 2022,,False,
Everything Everywhere All at Once,30 Apr 2022,,True,
Spider-Man: No Way Home,29 Apr 2022,,False,
Chungking Express,06 Apr 2022,★★★★★,True,
West Side Story,30 Mar 2022,★★★★,False,
Drive My Car,28 Mar 2022,★★★★★,False,
Hollow Water,24 Mar 2022,,False,
The French Dispatch,04 Mar 2022,,True,
Soul,04 Mar 2022,★★★,False,
Say Anything...,01 Jan 2022,★★★★★,True,
Sister Act,22 Dec 2021,★★★½,False,
All Too Well: The Short Film,16 Nov 2021,,False,
Dune,04 Nov 2021,★★★★½,False,
View from the Top,03 Nov 2021,,False,
Up for Grabs,13 Oct 2021,,False,
The Assassin,11 Oct 2021,★★★½,False,
Hero,02 Oct 2021,★★★★,False,
The Trial of the Chicago 7,27 Sep 2021,,False,
Mank,24 Sep 2021,★★½,False,
A Summer's Tale,20 Sep 2021,★★★★,False,
Pride & Prejudice,19 Sep 2021,,True,
Shang-Chi and the Legend of the Ten Rings,11 Sep 2021,,True,
The Pearl Button,11 Sep 2021,,True,
After Life,05 Sep 2021,,True,
While We're Young,25 Aug 2021,★★½,False,
"Juliet, Naked",24 Aug 2021,★★½,False,
Kill Bill: Vol. 1,01 Aug 2021,,False,
Almost Famous,26 Jul 2021,★★★★,False,
Nick and Norah's Infinite Playlist,26 Jul 2021,★★,False,
Woman of the Year,26 Jul 2021,★★★,False,
Black Widow,19 Jul 2021,★★★,False,
Up in the Air,14 Jul 2021,★★★★,False,
In the Heights,11 Jul 2021,★★½,False,
"He Said, She Said",17 Jun 2021,★★,False,
The Secret of Kells,14 Jun 2021,★★★½,False,
The Bling Ring,13 Jun 2021,★★★,False,
Cruella,06 Jun 2021,★★★,False,
Nomadland,29 May 2021,,False,
Drop Dead Gorgeous,14 May 2021,★★★½,False,
The English Patient,13 May 2021,★★★,False,
In the Mood for Love,13 May 2021,★★★★★,True,
Josep,05 May 2021,★★★,False,
The Man Who Shot Liberty Valance,12 Apr 2021,,False,
Fallen Angels,07 Apr 2021,★★★★★,True,
Gagarine,28 Mar 2021,★★★½,False,
Antigone,18 Jan 2021,★★★½,False,
The High Note,05 Jan 2021,★★★,False,
Unpregnant,02 Jan 2021,★★★,False,
This Magnificent Cake!,30 Dec 2020,,True,
Holidate,30 Dec 2020,½,False,
Ford v Ferrari,28 Dec 2020,★★★,False,
Wonder Woman 1984,26 Dec 2020,★★,False,
Hot Fuzz,26 Dec 2020,,False,
Ball of Fire,23 Dec 2020,★★★★★,True,
Tenet,23 Oct 2020,★★½,False,
Walk with Me,19 Sep 2020,,False,
RBG,19 Sep 2020,,True,
Nothing Like a Dame,21 Aug 2020,,False,
Hannah Arendt,16 Aug 2020,★★★½,False,
Two Night Stand,15 Aug 2020,½,False,
The Half of It,14 Aug 2020,,True,
Neighbours,14 Aug 2020,,False,
Harriet,14 Aug 2020,★★★,False,
Bombshell,13 Aug 2020,★★,False,
Breathless,13 Aug 2020,★★★★,False,
The Rules of the Game,01 Aug 2020,★★★½,False,
Palm Springs,31 Jul 2020,★★★★,False,
Hannah Gadsby: Douglas,16 Jul 2020,★★★★★,True,
Hamilton,13 Jul 2020,,False,
Yi Yi,13 Jul 2020,★★★★★,True,
Finding Mr. Right,15 May 2020,,False,
I Am Easy to Find,12 May 2020,,False,
Love Is Not Blind,06 May 2020,,False,
Down with Love,01 Apr 2020,★★★★★,False,
Like for Likes,01 Apr 2020,,False,
Crazy Romance,29 Mar 2020,,False,
Battle of the Sexes,28 Mar 2020,★★★,False,
Frozen II,28 Mar 2020,★★,False,
The Life Aquatic with Steve Zissou,19 Mar 2020,★★★,False,
Legally Blonde,14 Mar 2020,,True,
The Little Hours,09 Mar 2020,★★★½,False,
Game Night,08 Mar 2020,★★★★,False,
Emma.,03 Mar 2020,★★★½,False,
Portrait of a Lady on Fire,01 Mar 2020,★★★★★,False,
To All the Boys: P.S. I Still Love You,26 Feb 2020,★★½,False,
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),18 Feb 2020,★★★,False,
I Lost My Body,09 Feb 2020,★★★,False,
1917,04 Feb 2020,★★★½,False,
Klaus,03 Feb 2020,★★,False,
The Irishman,31 Jan 2020,★★★½,False,
In the Time It Takes to Get There,30 Jan 2020,,False,
Little Women,28 Jan 2020,★★★★★,True,
The Two Popes,27 Jan 2020,,False,
Jojo Rabbit,27 Jan 2020,,False,
Knives Out,21 Jan 2020,★★★★½,False,
Marriage Story,19 Jan 2020,,False,
John Mulaney & The Sack Lunch Bunch,19 Jan 2020,,True,
The King,07 Jan 2020,★★★,False,
Ronny Chieng: Asian Comedian Destroys America!,04 Jan 2020,★★★½,False,
"I, Tonya",31 Dec 2019,★★★,False,
Harry Potter and the Philosopher's Stone,25 Dec 2019,,True,
Taxi Driver,23 Nov 2019,,False,
Tune in for Love,09 Nov 2019,★★★,False,
Get Shorty,20 Oct 2019,★★★,False,
The Guernsey Literary & Potato Peel Pie Society,12 Oct 2019,★★½,False,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,07 Oct 2019,★★★½,False,
Mother,29 Sep 2019,★★★★,False,
The Silence of Others,28 Sep 2019,,False,
The Lobster,21 Sep 2019,★★★★★,False,
Logan Lucky,15 Sep 2019,★★★★,False,
Tokyo Story,02 Sep 2019,★★★★★,False,
Booksmart,17 Aug 2019,,True,
The Last Black Man in San Francisco,30 Jul 2019,★★★★,True,
Someone Great,23 Jul 2019,★★½,False,
How to Train Your Dragon: The Hidden World,23 Jul 2019,,True,
The Post,23 Jul 2019,,False,
Spider-Man: Far from Home,15 Jul 2019,★★★,False,
Always Be My Maybe,25 Jun 2019,★★★,False,
Parasite,21 Jun 2019,★★★★,False,
Rocketman,20 Jun 2019,★★★½,False,
Five Feet Apart,12 Jun 2019,,False,
13 Going on 30,10 Jun 2019,★★★½,False,
Bridget Jones's Diary,30 May 2019,,False,
On the Basis of Sex,30 May 2019,,True,
Dumplin',30 May 2019,★★★½,False,
The Incredible Jessica James,24 May 2019,★★★,False,
Avengers: Endgame,09 May 2019,★★★★,True,
Shazam!,05 May 2019,★★★,False,
Homecoming: A Film by Beyoncé,17 Apr 2019,★★★★,False,
The Farewell,09 Apr 2019,★★★★★,True,
Howl's Moving Castle,08 Apr 2019,,True,
Cléo from 5 to 7,05 Apr 2019,★★★★★,True,
The Wife,23 Mar 2019,,False,
Breakfast at Tiffany's,19 Mar 2019,,True,
Captain Marvel,18 Mar 2019,★★★½,False,
Iron Man 2,18 Mar 2019,★★,False,
The Avengers,18 Mar 2019,★★★,False,
Shaolin Temple,07 Mar 2019,★★★,False,
Cold War,16 Feb 2019,★★★★★,False,
Pride & Prejudice,14 Feb 2019,,True,
Trevor Noah: Son of Patricia,09 Feb 2019,★★★★,False,
What We Do in the Shadows,07 Feb 2019,★★★★★,True,
A Star Is Born,27 Jan 2019,★★★½,False,
Juno,24 Jan 2019,★★★★,False,
Ellen DeGeneres: Relatable,21 Jan 2019,★★★½,False,
Kwaidan,20 Jan 2019,★★★★,False,
PlayTime,19 Jan 2019,,False,
Private Life,10 Jan 2019,★★★★,False,
20th Century Women,08 Jan 2019,★★★★,False,
Roma,08 Jan 2019,,False,
If Beale Street Could Talk,03 Jan 2019,★★★★★,True,
Spider-Man: Into the Spider-Verse,03 Jan 2019,★★★★,False,
The Princess Diaries 2: Royal Engagement,01 Jan 2019,,False,
Marie Antoinette,27 Dec 2018,★★★★,False,
Aquaman,25 Dec 2018,★,False,
A Christmas Prince: The Royal Wedding,21 Dec 2018,,False,
Bruce Almighty,20 Dec 2018,★★★,False,
A Christmas Prince,18 Dec 2018,,False,
Widows,15 Dec 2018,★★★★★,True,
The Favourite,15 Dec 2018,,True,
Harry Potter and the Philosopher's Stone,07 Dec 2018,,True,
Master,01 Dec 2018,★★★,False,
Vox Lux,01 Dec 2018,,False,
Workers Leaving the Factory,29 Nov 2018,★★★★,False,
Tout Va Bien,29 Nov 2018,★★★★,False,
Fantastic Beasts: The Crimes of Grindelwald,24 Nov 2018,★★½,False,
The Miseducation of Cameron Post,17 Nov 2018,★★★,False,
Bush Mama,16 Nov 2018,,False,
Green Book,13 Nov 2018,★★★½,False,
Can Dialectics Break Bricks?,08 Nov 2018,,False,
Critique of Separation,08 Nov 2018,★★★★,False,
Working Girls,01 Nov 2018,★★★★,False,
Song of Love,01 Nov 2018,,False,
Fireworks,01 Nov 2018,,False,
Colette,18 Oct 2018,★★★★,False,
mid90s,17 Oct 2018,★★★½,False,
Hanzi,03 Oct 2018,,True,
Dead Pigs,30 Sep 2018,★★★★,True,
BlacKkKlansman,08 Sep 2018,,False,
