Movie,Date Watched,Rating,Liked,Review
Saltburn,16 Jan 2024,,True,
Titane,14 Jan 2024,,False,
Mean Girls,12 Jan 2024,,False,
Half Nelson,06 Jan 2024,,False,
BlackBerry,01 Jan 2024,,False,
John Mulaney: Baby J,31 Dec 2023,,False,
All Your Faces,28 Dec 2023,,False,
Jeanne du Barry,28 Dec 2023,,False,
Wonka,24 Dec 2023,,False,
LOL (Laughing Out Loud),23 Dec 2023,,True,
The Settlers,22 Dec 2023,,True,
Maestro,22 Dec 2023,,False,
Next Goal Wins,21 Dec 2023,,False,
Mommy,20 Dec 2023,,True,
The Boy in the Striped Pyjamas,19 Dec 2023,,False,
The Three Musketeers: D'Artagnan,19 Dec 2023,,False,
How the Grinch Stole Christmas!,18 Dec 2023,,False,
A Charlie Brown Christmas,18 Dec 2023,,False,
Five Feet Apart,09 Dec 2023,,False,
Back to Burgundy,08 Dec 2023,,False,
"Distant Voices, Still Lives",06 Dec 2023,,True,
Heal the Living,03 Dec 2023,,True,
Along Came Love,01 Dec 2023,,True,
Parasite,30 Nov 2023,,False,
Holy Motors,29 Nov 2023,,True,
The Dancing Pig,23 Nov 2023,,False,
My Little Loves,21 Nov 2023,,False,
The Young Girls of Rochefort,16 Nov 2023,,True,
The Hunger Games: The Ballad of Songbirds & Snakes,16 Nov 2023,,False,
All the Light We Cannot See,13 Nov 2023,,False,
Beau Travail,12 Nov 2023,,True,
Running on Empty,09 Nov 2023,,True,
La Dolce Vita,07 Nov 2023,,True,
Grand Expectations,06 Nov 2023,,False,
Marguerite's Theorem,05 Nov 2023,,False,
Flo,04 Nov 2023,,False,
Harry Potter and the Deathly Hallows: Part 2,01 Nov 2023,,False,
Harry Potter and the Deathly Hallows: Part 1,29 Oct 2023,,False,
Harry Potter and the Half-Blood Prince,29 Oct 2023,,False,
Here Comes Mr. Jordan,24 Oct 2023,,False,
Killers of the Flower Moon,22 Oct 2023,,False,
The Goldman Case,19 Oct 2023,,False,
Love at Second Sight,15 Oct 2023,,False,
The Animal Kingdom,14 Oct 2023,,True,
