Movie,Date Watched,Rating,Liked,Review
Anatomy of a Fall,15 Jan 2024,,True,
Misery,13 Jan 2024,,True,never tell this man you’re in his number one fan
A Star Is Born,11 Jan 2024,★★★★,True,still TOO SAD
Kate & Leopold,09 Jan 2024,,False,girl lived in manhattan for 10 years and never went to another borough?? that is crazier than the freakin time portal!
Uptown Girls,07 Jan 2024,,True,
Beckham,07 Jan 2024,,False,
The Cat from Outer Space,06 Jan 2024,,False,
The Iron Claw,05 Jan 2024,,False,
Austin Powers: International Man of Mystery,04 Jan 2024,,False,
Bank of Dave,03 Jan 2024,★★★½,False,love when a movie’s message is just fuck banks :)
The King,03 Jan 2024,,True,you beautiful fool 😭
American Fiction,02 Jan 2024,,True,"“my wife left me, my kids hate me, and i still live in tucson!”"
Gladiator,31 Dec 2023,,True,
Flora and Son,24 Dec 2023,,True,"took me a bit to get into, and not to compare but i didn’t find the music or story as strong as begin again or sing street, but really came to love it and the end left me with that feeling when movies remind me i’m so happy to be alive 🥹"
Maestro,24 Dec 2023,★★★★½,True,still looove it!!
Jojo Rabbit,24 Dec 2023,★★★★½,True,will never not love every second of this movie 🥹😭
The Ides of March,22 Dec 2023,,False,
Sixteen Candles,22 Dec 2023,,False,of course molly ringwald is adorable but omg this movie is fucked up!!
Isle of Dogs,21 Dec 2023,★★★★,True,
The Family Stone,20 Dec 2023,,False,sister swap!!
Rear Window,19 Dec 2023,★★★★½,True,"loved it all - the suspense, the sets, her perfect tiny suitcase for a surprise sleepover! and oooh the little basket for the dog!"
How the Grinch Stole Christmas,18 Dec 2023,,True,
Airplane!,17 Dec 2023,,True,
Wonka,16 Dec 2023,★★★½,True,
The House of Yes,14 Dec 2023,,False,
Leave the World Behind,13 Dec 2023,,True,
Rope,10 Dec 2023,,True,
The Girl Most Likely to...,09 Dec 2023,,True,
Poor Things,08 Dec 2023,★★★★½,True,
Josie and the Pussycats,07 Dec 2023,,False,
The Boy and the Heron,06 Dec 2023,★★★,False,
May December,04 Dec 2023,★★★½,False,
Saltburn,03 Dec 2023,,True,
Napoleon,02 Dec 2023,★★★,False,
Gloria,30 Nov 2023,,True,
Scott Pilgrim Takes Off,28 Nov 2023,,True,
Love & Other Drugs,27 Nov 2023,,False,
Next Goal Wins,26 Nov 2023,★★★,False,
Thoroughly Modern Millie,26 Nov 2023,,True,
Maestro,24 Nov 2023,★★★★½,True,still looove it!!
Troop Beverly Hills,23 Nov 2023,,True,
Priscilla,19 Nov 2023,,True,
Mona Lisa Smile,18 Nov 2023,,False,
The Man Who Knew Too Much,15 Nov 2023,,True,
Easy A,12 Nov 2023,,True,
"What's Up, Doc?",11 Nov 2023,,False,
Dream Scenario,10 Nov 2023,★★★½,False,
The Holdovers,05 Nov 2023,★★★★½,True,
While You Were Sleeping,04 Nov 2023,,False,
Whiplash,03 Nov 2023,,True,
The Quick and the Dead,02 Nov 2023,,True,
Mandy,31 Oct 2023,★★★½,False,
Planet of the Apes,29 Oct 2023,,True,
The Bride of Frankenstein,21 Oct 2023,,False,
The Silence of the Lambs,20 Oct 2023,,True,
Killers of the Flower Moon,19 Oct 2023,★★★★,True,
Vertigo,18 Oct 2023,,True,
Mission: Impossible,17 Oct 2023,,True,
The Swan,17 Oct 2023,,True,
The Rat Catcher,17 Oct 2023,,False,
Poison,17 Oct 2023,,False,
Repo Man,15 Oct 2023,,True,
Pride & Prejudice,14 Oct 2023,★★★★★,True,
The King's Speech,13 Oct 2023,,False,
Stop Making Sense,12 Oct 2023,★★★★,True,
The Firm,12 Oct 2023,,False,
Fair Play,10 Oct 2023,★★★½,False,
20th Century Women,09 Oct 2023,★★★★½,True,
The Woman in the Window,09 Oct 2023,,False,
The Big Short,09 Oct 2023,,False,
Scarface,09 Oct 2023,,False,
The Apple Dumpling Gang,02 Oct 2023,,False,
The Wonderful Story of Henry Sugar,29 Sep 2023,★★★,False,
Fremont,28 Sep 2023,★★★½,True,
Red Rocket,26 Sep 2023,,True,
Blue Velvet,25 Sep 2023,,True,
The Departed,24 Sep 2023,,False,
Suspiria,23 Sep 2023,,False,
The Nice Guys,22 Sep 2023,,False,
Roman Holiday,20 Sep 2023,,False,
Dumb Money,19 Sep 2023,★★★½,False,
Psycho,18 Sep 2023,,True,
Joker,17 Sep 2023,★★★★,True,
Cast Away,16 Sep 2023,,True,
Duel,14 Sep 2023,,False,
Gone Girl,12 Sep 2023,,True,
She-Devil,11 Sep 2023,,False,
Flirting with Disaster,10 Sep 2023,,True,
The Equalizer 3,09 Sep 2023,,False,
School of Rock,08 Sep 2023,,False,
Moneyball,07 Sep 2023,,True,
Telemarketers,07 Sep 2023,,False,
Kids,05 Sep 2023,,True,
D.E.B.S.,04 Sep 2023,,False,
Donnie Darko,03 Sep 2023,,True,
One Hour Photo,02 Sep 2023,,True,
Bottoms,01 Sep 2023,,True,
Scrapper,31 Aug 2023,,True,
Thief,29 Aug 2023,,False,
Good Morning,28 Aug 2023,★★★★½,True,
You Are So Not Invited to My Bat Mitzvah,27 Aug 2023,,False,
Past Lives,24 Aug 2023,,True,
Oldboy,23 Aug 2023,★★★★,False,
White Men Can't Jump,22 Aug 2023,,True,
Step Brothers,21 Aug 2023,,False,
Hot Rod,20 Aug 2023,,False,
Game Night,19 Aug 2023,,False,
John Mulaney: The Comeback Kid,18 Aug 2023,,False,
Bo Burnham: Make Happy,18 Aug 2023,,False,
The Godfather: Part II,16 Aug 2023,,True,
The Godfather,15 Aug 2023,,True,
Dick,14 Aug 2023,★★★★,True,
John Wick,13 Aug 2023,,True,
Men in Black,13 Aug 2023,,False,
Good Will Hunting,11 Aug 2023,,True,
Dick Tracy,09 Aug 2023,★★★,False,
Kick-Ass,07 Aug 2023,,True,
The Italian Job,07 Aug 2023,,True,
Jerry Maguire,06 Aug 2023,,False,
What We Do in the Shadows,04 Aug 2023,,True,
Shortcomings,04 Aug 2023,,False,
The Jerk,04 Aug 2023,,True,
Wham!,03 Aug 2023,,False,
A.I. Artificial Intelligence,02 Aug 2023,,False,
Rosemary's Baby,01 Aug 2023,,True,
Back to the Future,01 Aug 2023,,True,
Speed,31 Jul 2023,★★★½,True,
Oppenheimer,30 Jul 2023,★★★★,True,
Splash,29 Jul 2023,,False,
The Graduate,29 Jul 2023,,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,29 Jul 2023,,True,
Dune,28 Jul 2023,★★★,False,
The Comfort of Strangers,28 Jul 2023,,False,
Jane B. by Agnès V.,27 Jul 2023,★★★½,False,
Serpico,27 Jul 2023,,False,
The 400 Blows,25 Jul 2023,,True,
"Juliet, Naked",24 Jul 2023,★★,False,
The Universe Is Out There: Josh and Benny Safdie,23 Jul 2023,,False,
Johnny Mnemonic,23 Jul 2023,,False,
Saturday Night Fever,22 Jul 2023,,True,
Juno,21 Jul 2023,,True,
"Crazy, Stupid, Love.",21 Jul 2023,,True,
Barbie,20 Jul 2023,★★★★,True,
Inherent Vice,18 Jul 2023,,False,
Theater Camp,17 Jul 2023,★★★★,True,
Mission: Impossible – Dead Reckoning Part One,16 Jul 2023,,False,
Celeste & Jesse Forever,16 Jul 2023,,False,
Harry Potter and the Philosopher's Stone,15 Jul 2023,,False,
Shakespeare in Love,14 Jul 2023,★★★★½,True,
The Usual Suspects,13 Jul 2023,,False,
Fatal Attraction,13 Jul 2023,,False,
Being Mary Tyler Moore,12 Jul 2023,,False,
Escape from New York,10 Jul 2023,,False,
The Bob's Burgers Movie,09 Jul 2023,,True,
Indiana Jones and the Dial of Destiny,07 Jul 2023,,False,
Igby Goes Down,07 Jul 2023,,False,
Gentlemen Prefer Blondes,07 Jul 2023,,True,
Breakfast at Tiffany's,06 Jul 2023,,False,
Dungeons & Dragons: Honor Among Thieves,06 Jul 2023,,False,
American Psycho,06 Jul 2023,,True,
ABBA Voyage,02 Jul 2023,,True,
Pride & Prejudice,29 Jun 2023,★★★★★,True,
Nine to Five,26 Jun 2023,,False,
No Hard Feelings,25 Jun 2023,,True,
Jubilee,21 Jun 2023,,False,
Akira,19 Jun 2023,,False,
M3GAN,18 Jun 2023,,False,
The Royal Tenenbaums,18 Jun 2023,,True,
Superbad,17 Jun 2023,,True,
Asteroid City,16 Jun 2023,★★★½,True,
North by Northwest,11 Jun 2023,,True,
The Plumber,11 Jun 2023,★★★½,False,
The Times of Harvey Milk,10 Jun 2023,,False,
The Doom Generation,09 Jun 2023,,False,
Elvira Madigan,07 Jun 2023,,False,
Past Lives,06 Jun 2023,★★★★½,True,
Portrait of a Lady on Fire,04 Jun 2023,★★★★½,True,
Spider-Man: Across the Spider-Verse,04 Jun 2023,★★★★,True,
Walkabout,03 Jun 2023,★★★★½,True,
Away We Go,03 Jun 2023,,True,
Sing Street,01 Jun 2023,★★★★★,True,
You Hurt My Feelings,31 May 2023,,False,
The Nice Guys,29 May 2023,,False,
Insidious,28 May 2023,,False,
Along Came Polly,27 May 2023,★★,False,
Ocean's Eleven,23 May 2023,,True,
Dangerous Liaisons,21 May 2023,,False,
Under the Skin,20 May 2023,★★★★,False,
Black Swan,20 May 2023,★★★★½,True,
Drop Dead Gorgeous,20 May 2023,,True,
Charade,19 May 2023,,False,
The Fall,17 May 2023,,False,
Guardians of the Galaxy Vol. 3,16 May 2023,★★★,False,
A League of Their Own,16 May 2023,★★★★,True,
Reality Bites,15 May 2023,,False,
Cabaret,15 May 2023,,True,
Sleeping with the Enemy,14 May 2023,,False,
Mike and Dave Need Wedding Dates,14 May 2023,,False,
Sabrina,12 May 2023,,False,
Heaven Can Wait,12 May 2023,,True,
Eat a Bowl of Tea,11 May 2023,,False,
Tenet,10 May 2023,★★★½,True,
Half Nelson,09 May 2023,★★★½,False,
Bridesmaids,06 May 2023,,True,
Miami Blues,05 May 2023,,False,
Cocaine Bear,03 May 2023,,False,
Return of the Jedi,30 Apr 2023,,False,
Spring Breakers,28 Apr 2023,,False,
Dune,27 Apr 2023,★★★★½,True,
The Fall,26 Apr 2023,★★★★½,True,
John Mulaney: Baby J,25 Apr 2023,,False,
You've Got Mail,24 Apr 2023,★★★★,True,
Hannah and Her Sisters,23 Apr 2023,,False,
Close Encounters of the Third Kind,22 Apr 2023,,True,
School Daze,20 Apr 2023,,False,
Beau Is Afraid,17 Apr 2023,,False,
Rye Lane,15 Apr 2023,★★★,False,
Scott Pilgrim vs. the World,15 Apr 2023,,True,
Renfield,13 Apr 2023,★★★½,False,
The Super Mario Bros. Movie,12 Apr 2023,★★★,False,
The Sting,11 Apr 2023,★★★★,True,
Pom Poko,09 Apr 2023,,True,
