Movie,Date Watched,Rating,Liked,Review
The Wolf of Wall Street,13 Jan 2024,,False,
Akeelah and the Bee,13 Jan 2024,★★★★★,False,
Anyone But You,10 Jan 2024,★★½,False,
Dawn of the Planet of the Apes,08 Jan 2024,,False,
Poor Things,04 Jan 2024,★★★★,False,this is the future liberals want!!
The Holdovers,01 Jan 2024,★★★½,False,lots to say about dominic sessa's incredible acting (for his first role ever!!) but truly i'm just jealous of every single outfit he wears in this
Captain America: Civil War,30 Dec 2023,,False,
Percy Jackson: Sea of Monsters,29 Dec 2023,,False,
Batman: Under the Red Hood,28 Dec 2023,,False,
The Death of Superman,27 Dec 2023,,False,
Anatomy of a Fall,27 Dec 2023,★★★★,False,past all the murder yada yada the haircuts and knitwear really slayed in this one
The Holiday,27 Dec 2023,★★½,False,hottest thing in this movie is cameron diaz’s dvd collection
The Martian,26 Dec 2023,,False,
Hustlers,24 Dec 2023,,False,
The Big Sick,22 Dec 2023,★★★★,False,cinematic comfort food in the best way — i left this movie with a crush on everyone in it
"I, Tonya",20 Dec 2023,★★★★,False,for tarantino and chazelle to cast margot robbie in roles that boil down to femme fatale eye candy after she delivered a career best performance in this is an embarrassment to cinema
Percy Jackson & the Olympians: The Lightning Thief,20 Dec 2023,,False,
Priscilla,17 Dec 2023,★★★,False,mostly just made me want to the watch the virgin suicides again but nonetheless sofia coppola stan till i die  🎀
Bodies Bodies Bodies,16 Dec 2023,,False,
BlacKkKlansman,15 Dec 2023,,False,
May December,12 Dec 2023,★★★★,False,holy shit charles melton i was not familiar with your game
The Present,12 Dec 2023,★★★★,False,
(500) Days of Summer,08 Dec 2023,★★★½,False,couldn’t get into the movie because the premise of a smiths fan getting laid was too unrealistic
Mr. & Mrs. Smith,08 Dec 2023,★★★★★,False,so uh are they looking for a third or what…
The Hunger Games: The Ballad of Songbirds & Snakes,06 Dec 2023,★★½,False,
But I'm a Cheerleader,28 Nov 2023,★★★★,False,the only flaw in this movie is that it makes you choose between julie delpy and clea duvall
Saltburn,22 Nov 2023,★★★,False,if jacob elordi’s bathtub jizz is the talented mr ripley this movie is barry keoghan trying and failing to lap up every last drop
Scream 7,21 Nov 2023,½,False,
The Hunger Games: Catching Fire,20 Nov 2023,★★★★★,False,
Scott Pilgrim vs. the World,19 Nov 2023,,False,
Dumb Money,14 Nov 2023,★★½,False,
The Vow,14 Nov 2023,,False,
The Killer,01 Nov 2023,★★★½,False,
Sky High,01 Nov 2023,★★★★★,False,
Reality Bites,26 Oct 2023,★★★★,False,
Midsommar,25 Oct 2023,★★★★,False,
High School Musical 3: Senior Year,23 Oct 2023,★★½,False,
Killers of the Flower Moon,22 Oct 2023,★★★★★,False,
Ghostbusters,20 Oct 2023,★★★½,False,
Interstellar,15 Oct 2023,★★★½,False,
Sherlock Holmes,14 Oct 2023,★★★,False,
Rounders,11 Oct 2023,★★★½,False,
Totally Killer,10 Oct 2023,★★½,False,
Fair Play,09 Oct 2023,★★½,False,
Bring It On,08 Oct 2023,★★★★★,False,
Drop Dead Gorgeous,07 Oct 2023,★★★★★,True,
10 Years,05 Oct 2023,★★,False,
The Witch,04 Oct 2023,★★★★,False,
Indiana Jones and the Dial of Destiny,01 Oct 2023,★★★,False,
Happy Death Day 2U,30 Sep 2023,★★½,False,
Legally Blonde,29 Sep 2023,★★★★★,False,
Freaky,27 Sep 2023,,False,
Thelma & Louise,26 Sep 2023,,False,
BlackBerry,25 Sep 2023,★★★½,False,
How to Blow Up a Pipeline,21 Sep 2023,★★★★,False,
A Haunting in Venice,18 Sep 2023,★★½,False,
Love at First Sight,17 Sep 2023,,False,
Bottoms,17 Sep 2023,★★★★★,True,
The Batman,16 Sep 2023,★★★★,False,
Scream 4,14 Sep 2023,,False,
Frances Ha,13 Sep 2023,★★★★,False,
Sanctuary,12 Sep 2023,★★★½,False,
No Hard Feelings,10 Sep 2023,★★★,False,
Red Eye,21 Aug 2023,★★½,False,
Predestination,17 Aug 2023,,False,
"Hello, Goodbye, and Everything in Between",16 Aug 2023,★,False,
