Movie,Date Watched,Rating,Liked,Review
Killers of the Flower Moon,14 Jan 2024,★★★★,False,
Room for One More,13 Jan 2024,★★★★,False,
10 Cloverfield Lane,12 Jan 2024,★★★,False,
Hell or High Water,07 Jan 2024,★★★★,False,
Every Girl Should Be Married,26 Dec 2023,★★★,False,
The Creator,25 Dec 2023,★★★★,False,
The Blue Dahlia,22 Dec 2023,★★★,False,
Mr. Lucky,22 Dec 2023,★★★★,False,
Father Figures,17 Dec 2023,★★,False,
The Bachelor and the Bobby-Soxer,16 Dec 2023,★★★,False,
Get the Gringo,07 Dec 2023,★★★,False,
The Hunt,03 Dec 2023,★★★,False,
Crocodile Dundee,28 Nov 2023,★★★★,False,
Too Late for Tears,26 Nov 2023,★★★★★,False,
The Killer,13 Nov 2023,★★★★,False,
A Haunting in Venice,05 Nov 2023,★★★,False,
Bridesmaids,05 Nov 2023,★★★★,False,
Fair Play,22 Oct 2023,★★★★,False,
No Hard Feelings,17 Sep 2023,★★★★,False,
United 93,10 Sep 2023,★★★★,False,
Amadeus,10 Sep 2023,★★★★★,True,
The Thing,09 Sep 2023,★★★★,False,
The Ice Storm,05 Sep 2023,★★★★,False,
Executive Action,03 Sep 2023,★★★,False,
Casa de Mi Padre,24 Aug 2023,★★★,False,
Oppenheimer,17 Aug 2023,★★★★★,False,
The Flash,28 Jul 2023,★★★,False,
Mission: Impossible – Dead Reckoning Part One,15 Jul 2023,★★★★,False,
Guardians of the Galaxy Vol. 3,07 Jul 2023,★★★★,False,
Pitfall,06 Jul 2023,★★★★,False,
Lone Survivor,04 Jul 2023,★★★,False,
Nocebo,11 Jun 2023,★★★,False,
Air,28 May 2023,★★★★,False,
Misery,16 May 2023,★★★★★,False,
Blonde Venus,14 May 2023,★★★★,False,
Cocaine Bear,20 Apr 2023,★★★,False,
Ant-Man and the Wasp: Quantumania,15 Apr 2023,★★,False,
She Done Him Wrong,08 Apr 2023,★★★,False,
Jade,05 Apr 2023,★★★,False,
Dream Lover,03 Apr 2023,★★★,False,
Pleasure,01 Apr 2023,★★★,False,
Andy Murray: Resurfacing,01 Apr 2023,★★★★,False,
Creed III,31 Mar 2023,★★★,False,
John Wick: Chapter 4,26 Mar 2023,★★★★,False,
Diner,25 Mar 2023,★★★★,False,
Till,12 Mar 2023,★★★★,False,
The Company Men,05 Mar 2023,★★★,False,
That Touch of Mink,05 Mar 2023,★★★,False,
Miss Sloane,22 Feb 2023,★★★★,False,
Black Panther: Wakanda Forever,04 Feb 2023,★★★,False,
Barbarians at the Gate,25 Jan 2023,★★★,False,
The Year Earth Changed,22 Jan 2023,★★★★,False,
Emancipation,22 Jan 2023,★★★,False,
Sick,21 Jan 2023,★★★,False,
My Best Friend's Girl,18 Jan 2023,★★★,False,
Puss in Boots: The Last Wish,15 Jan 2023,★★★★,False,
Cha Cha Real Smooth,09 Jan 2023,★★★★,True,
The Menu,08 Jan 2023,★★★★,False,
National Lampoon's Van Wilder,28 Dec 2022,★★,False,
Glass Onion,24 Dec 2022,★★★★,False,
Gotti,23 Dec 2022,★,False,
Avatar: The Way of Water,18 Dec 2022,★★★★,False,
The Family Man,13 Dec 2022,★★★★,False,
Blonde,12 Dec 2022,★★★,False,
Tinker Tailor Soldier Spy,11 Dec 2022,★★★★,False,
The Good Nurse,27 Nov 2022,★★★★,False,
Old School,27 Nov 2022,★★★,False,
The Hudsucker Proxy,21 Nov 2022,★★★★,False,
Causeway,17 Nov 2022,★★★,False,
Poker Face,13 Nov 2022,★★,False,
Battleship,11 Nov 2022,★★★,False,
Get Shorty,03 Nov 2022,★★★★,False,
Barbarian,30 Oct 2022,★★★★,False,
Erin Brockovich,28 Oct 2022,★★★★,False,
District 9,26 Oct 2022,★★★★,False,
The Hunt,17 Oct 2022,★★★★,False,
Luck,13 Oct 2022,★★,False,
Licorice Pizza,13 Oct 2022,★★★★,True,
The Dreamers,06 Oct 2022,★★★,False,
Rabid,04 Oct 2022,★★★★,False,
Insidious,02 Oct 2022,★★★,False,
Hot Tub Time Machine,02 Oct 2022,★★★,False,
Bullet Train,01 Oct 2022,★★★,False,
