Movie,Date Watched,Rating,Liked,Review
Heartburn,06 Jan 2024,,False,
The Mask,06 Jan 2024,,False,
Sabrina,04 Jan 2024,,False,Greg Kinnear is underrated I have a 103 fever btw
Maestro,27 Dec 2023,,False,
The Hunger Games: Catching Fire,26 Dec 2023,,False,
The Hunger Games,26 Dec 2023,,False,
Wonka,25 Dec 2023,,False,
Snowpiercer,20 Dec 2023,,False,
Children of Men,19 Dec 2023,,True,One of my favorites. Vidiots popcorn is the best in the world. 
The Zone of Interest,18 Dec 2023,,False,
Private Life,13 Dec 2023,,False,
Nick Mullen: The Year of the Dragon,04 Dec 2023,,False,
Saltburn,29 Nov 2023,,False,
Children of Men,21 Nov 2023,,True,One of my favorites. Vidiots popcorn is the best in the world. 
May December,17 Nov 2023,,False,being an actor is so embarrassing!
Priscilla,15 Nov 2023,,False,
Killers of the Flower Moon,14 Nov 2023,,False,
Ferrari,14 Nov 2023,,False,
Forgetting Sarah Marshall,07 Nov 2023,★★★★,False,as usual this movie is a lol
No Hard Feelings,30 Oct 2023,,False,
The Big Short,30 Oct 2023,,False,
Badlands,01 Sep 2023,,True,I’d also do anything for my gf
Golda,27 Aug 2023,,False,
BS High,26 Aug 2023,,True,
Working Girls,12 Aug 2023,,False,
Blue Velvet,10 Aug 2023,,False,
Theater Camp,04 Aug 2023,,False,
Barbie,03 Aug 2023,★★★,False,
Oppenheimer,03 Aug 2023,★★★★½,False,
Come from Away,16 Jul 2023,,True,
21,27 Jun 2023,,False,
Foe,06 Jun 2023,,True,
She Said,29 May 2023,,False,
Somewhere in Queens,10 Apr 2023,,True,
Cars,10 Mar 2023,,False,I love this picture
Catch Me If You Can,10 Mar 2023,,False,Meredith grey flight attendant
Ant-Man and the Wasp: Quantumania,20 Feb 2023,½,False,the dude from I think you should leave is in this
Your Place or Mine,15 Feb 2023,★,False,
Ex Machina,03 Feb 2023,,False,
When We Were Kings,31 Jan 2023,,True,one of the best
Some Like It Hot,20 Jan 2023,★★★★★,False,I’m only wearing contact lenses from now on
Scott Pilgrim vs. the World,11 Jan 2023,,False,
Ticket to Paradise,03 Jan 2023,,False,
White Noise,03 Jan 2023,,False,noooooooooooooo
Glass Onion,24 Dec 2022,★½,False,don’t be scared … you can say this movie sucks no one will hurt you.
Bruiser,04 Nov 2022,★★★★★,True,
Bruiser,04 Nov 2022,★★★★★,False,
TÁR,08 Oct 2022,,True,
Triangle of Sadness,06 Oct 2022,,True,
Bros,03 Oct 2022,,False,
Don't Worry Darling,23 Sep 2022,,False,
You've Got Mail,02 Sep 2022,★★★★★,False,
Funny Pages,29 Aug 2022,★★★½,True,
On the Count of Three,25 Aug 2022,★★★,True,
The Notebook,25 Aug 2022,★★,False,
Bridget Jones's Diary,09 Aug 2022,,False,
Before Sunrise,03 Aug 2022,,False,
Honor Society,03 Aug 2022,,False,
Not Okay,31 Jul 2022,★,False,
On the Waterfront,27 Jul 2022,,True,
Sleepless in Seattle,26 Jul 2022,★★½,False,
The Plumber,12 Jul 2022,,False,
Top Gun: Maverick,08 Jul 2022,★★★★,False,
The Parallax View,07 Jul 2022,★★★★½,False,
Top Gun: Maverick,28 Jun 2022,★★★★,False,
Dick,19 Jun 2022,★★★½,False,
Hustle,09 Jun 2022,★★★★★,False,
Fire Island,09 Jun 2022,,False,
The Godfather: Part II,28 May 2022,★★★★★,True,
The Godfather,27 May 2022,★★★★★,False,
Senior Year,15 May 2022,★,False,
In the Mood for Love,21 Apr 2022,★★★★½,False,
All the President's Men,17 Apr 2022,,True,
The Lives of Others,11 Apr 2022,★★★★½,False,
Ambulance,06 Apr 2022,★★★★★,False,
Everything Everywhere All at Once,03 Apr 2022,★★★½,False,
Witness,03 Apr 2022,★★★,False,
The Batman,24 Mar 2022,★★★★★,False,
Cyrano,08 Mar 2022,,False,
Romy and Michele's High School Reunion,02 Mar 2022,,False,
North by Northwest,28 Feb 2022,★★★★,False,
The Worst Person in the World,28 Feb 2022,★★★★½,True,
About Time,28 Feb 2022,,False,
Horrible Bosses,27 Feb 2022,,False,
Casino Royale,27 Feb 2022,,False,
The Girl with the Dragon Tattoo,27 Feb 2022,,False,
What Happened Was...,23 Feb 2022,★★★★★,True,
The Umbrellas of Cherbourg,18 Feb 2022,★★★★½,False,
Marry Me,18 Feb 2022,,False,
The Mitchells vs. The Machines,17 Feb 2022,,False,
The Proposal,08 Feb 2022,,False,
Rear Window,26 Jan 2022,★★★★½,True,
The Tragedy of Macbeth,24 Jan 2022,★★★★,False,
Say Anything...,11 Jan 2022,★★★★,False,
Casablanca,11 Jan 2022,★★★★★,False,
Just Go with It,11 Jan 2022,★★,False,
Loves of a Blonde,04 Jan 2022,★★★,False,
The French Connection,04 Jan 2022,★★★½,True,
Jurassic Park,02 Jan 2022,,False,
West Side Story,02 Jan 2022,,False,
Spider-Man: No Way Home,01 Jan 2022,,False,
The Shop Around the Corner,27 Dec 2021,★★★★,False,
Being the Ricardos,26 Dec 2021,★★,False,
Die Hard,25 Dec 2021,,False,
Don't Look Up,25 Dec 2021,,False,
Licorice Pizza,15 Dec 2021,★★★★,True,
Laura,29 Nov 2021,,True,
An Affair to Remember,29 Nov 2021,,False,
My Big Fat Greek Wedding,22 Nov 2021,,False,
Singin' in the Rain,21 Nov 2021,★★★★★,False,
Raiders of the Lost Ark,19 Nov 2021,★★★★½,False,
Spencer,16 Nov 2021,,False,
You've Got Mail,16 Nov 2021,★★★½,False,
The French Dispatch,15 Nov 2021,,False,
The Holiday,02 Nov 2021,,False,
Halloween,23 Oct 2021,★★★½,False,
The Suicide Squad,11 Aug 2021,,False,
The Green Knight,08 Aug 2021,★★★★,True,
Sex and the City 2,22 Jul 2021,★,False,
There Will Be Blood,17 Jul 2021,,False,
Roman Holiday,08 Jul 2021,★★★★½,False,
Sleepless in Seattle,05 Jul 2021,★★½,False,
Stuart Little,19 Jun 2021,,False,
Face/Off,23 May 2021,★★★★,False,
Bad Trip,08 Apr 2021,★★★,False,
Saving Private Ryan,06 Apr 2021,★★★★,False,
Legally Blonde,04 Apr 2021,★★★,False,
Godzilla vs. Kong,04 Apr 2021,★★,False,
The Philadelphia Story,25 Mar 2021,★★★★,False,
What a Girl Wants,23 Mar 2021,★★★★★,False,
Bruiser,21 Mar 2021,★★★★★,False,
Zack Snyder's Justice League,19 Mar 2021,★★★,False,
The Social Network,16 Mar 2021,★★★★½,False,
Nomadland,16 Mar 2021,★★★★,False,
Forgetting Sarah Marshall,25 Feb 2021,★★★★,False,as usual this movie is a lol
You've Got Mail,12 Feb 2021,★★★½,False,
The Truman Show,02 Feb 2021,★★★★½,False,
Palm Springs,02 Feb 2021,★★★★,False,
Gone Girl,30 Jan 2021,★★★★,False,
It's Complicated,26 Jan 2021,★½,False,
20th Century Women,25 Jan 2021,★★★★,False,
Sex and the City,25 Jan 2021,,False,
The Departed,22 Jan 2021,★★★★,False,
The Princess Bride,21 Jan 2021,★★★★½,False,
Captain America: The First Avenger,19 Jan 2021,,False,
Iron Man 2,19 Jan 2021,★★,False,
Iron Man,18 Jan 2021,,False,
Wonder Woman 1984,04 Jan 2021,,False,
It Happened One Night,04 Jan 2021,★★★½,False,
