Movie,Date Watched,Rating,Liked,Review
All of Us Strangers,12 Jan 2024,★★★★½,True,I love a ghost story
The Dig,11 Jan 2024,★★½,False,needed 300% more archeology but the boat scene got me
The Watermelon Woman,11 Jan 2024,★★★★,False,
Whisper of the Heart,10 Jan 2024,★★★,False,
Poor Things,06 Jan 2024,★★★½,False,
The Boy and the Heron,04 Jan 2024,★★★★,False,
Casablanca,23 Dec 2023,★★★★½,False,
Godzilla Minus One,20 Dec 2023,★★★½,False,
Transformers: Rise of the Beasts,15 Dec 2023,★½,False,
The Souvenir: Part II,08 Dec 2023,★★★★,False,
Two Stage Sisters,02 Dec 2023,★★★★,False,
The Private Life of Sherlock Holmes,30 Nov 2023,★★★,False,"Impressively unbalanced portrayal of the OG dynamic detective duo. Skirts around some moments of real pathos—Wilder's hesitancy to commit is a detriment to the film, though Stephens is delightful to watch throughout. No wonder every Holmes entry since Wilder's has wanted to borrow some of this. Moffat could never."
National Treasure,23 Nov 2023,,False,
Nước,17 Nov 2023,,False,
"Kiss Me, Stupid",16 Nov 2023,★★,False,😬
"One, Two, Three",16 Nov 2023,★★★,False,
RRR,14 Nov 2023,★★★★½,False,
Willow,07 Nov 2023,★★★,False,"Really feel like I shot myself in the foot watching the show first. This has heart, but it can't live up to its own nostalgia. It's also the worst paced D&D campaign I've ever seen. Extra half star for Val Kilmer in a skirt."
Blow Out,02 Nov 2023,,False,
The Apartment,02 Nov 2023,★★★★,False,
Dirty Dancing,31 Oct 2023,,True,
The Mad Masters,26 Oct 2023,★★½,False,😬
Some Like It Hot,26 Oct 2023,★★★★,False,gets better with every rewatch
Anatomy of a Fall,25 Oct 2023,★★★★,False,
Killers of the Flower Moon,22 Oct 2023,★★★★,False,
Sorry to Bother You,20 Oct 2023,★★★½,False,
Witness for the Prosecution,19 Oct 2023,★★★★½,False,now that's how you adapt a christie
The Creator,08 Oct 2023,★★½,False,so many interesting pieces and aesthetics coming together to churn out the most heteronormative bland outdated final product. feels like a waste of an original sci-fi blockbuster.
The Rules of the Game,06 Oct 2023,★★★★,False,it just gets better with every rewatch
