Movie,Date Watched,Rating,Liked,Review
The Zone of Interest,11 Jan 2024,★★★½,False,"Certainly haunted but not haunted enough. Appreciated the experimental sound, color, and stagnancy. The museum tidying felt it detracted from experimental, lingering ends. Sandra Huller plays a perfect evil mommy"
My Best Friend's Wedding,05 Jan 2024,,False,
Drop Dead Gorgeous,28 Dec 2023,★★★,False,Doofy but the corporate angst was real
Bottoms,28 Dec 2023,★,False,Stilted non-slay
Pola X,27 Dec 2023,★★★½,False,So many images. Completely tripping over itself stumbling and loving and schizophrenic. Hard to adore hard to hate just let it melt over like a fever
A Brighter Summer Day,25 Dec 2023,★★★½,False,"Compositionally inspiring. By the midway point I felt totally in this like teen boy frustrated hypnotic entrenched groove, and while the plot did drag on, I think it really did take that long to bury all of the characters’ moral philosophies"
All of Us Strangers,23 Dec 2023,★,False,Gay guys owe me 57 MoviePass credits and 2 hours back
The Sweet East,13 Dec 2023,★★,False,Sad that this movie ended the fun in using the r word when the r word is the perfect word to describe it. Interesting social points but ultimately not a worthwhile endeavor. Looks nice on film but the third act was too nauseating to get their money’s worth on. Sorry
May December,01 Dec 2023,★★★½,False,"Todd Haynes’ movies rarely have much to say about real life and I will be interested in whether people really think this is iconic in years to come. Too Netflix-ready to be a masterpiece like Carol was, but still so entertaining and dedicated to pervasive discomfort and the humor within"
Fallen Leaves,26 Nov 2023,★★★,False,Bleakly cartoonish and beautiful
Don't Eat the Pictures: Sesame Street at the Metropolitan Museum of Art,24 Nov 2023,,False,"The little Egyptian boy was beyond annoying and the Sesame Street crew completely carried this, sans Big Bird who was also really annoying. Loved to see the Met advertised through popular culture! Amber was very emotional about it which further moved me"
A Charlie Brown Thanksgiving,23 Nov 2023,,False,Snoopy ate
The Long Day Closes,22 Nov 2023,★★★,False,Uncharming
The Gods of Times Square,18 Nov 2023,★★★★½,False,
Priscilla,11 Nov 2023,★★★½,False,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",10 Nov 2023,,False,
The Silence of the Lambs,31 Oct 2023,★★★½,False,
Anatomy of a Fall,29 Oct 2023,★★★★½,False,
Beyond the Aggressives: 25 Years Later,24 Oct 2023,,False,
Farewell My Concubine,16 Oct 2023,★★★★★,False,
"Orlando, My Political Biography",16 Oct 2023,★★,False,
The Aggressives,15 Oct 2023,,False,
The Feeling That the Time for Doing Something Has Passed,14 Oct 2023,★★★½,False,
Last Summer,10 Oct 2023,★★★★,False,
Janet Planet,08 Oct 2023,★★★★,False,
Menus Plaisirs – Les Troisgros,07 Oct 2023,★★★★★,False,
Music,04 Oct 2023,★★★,False,
A Dream Longer Than the Night,03 Oct 2023,★½,False,
The Strangler,30 Sep 2023,★★★★★,False,
The Plot Against Harry,31 Aug 2023,★★★★½,False,
News from Home,28 Aug 2023,★★★★,False,
"Red, White & Royal Blue",22 Aug 2023,★,False,
Frances Ha,16 Aug 2023,★★★★★,False,
Song to Song,08 Aug 2023,★★★★,False,
Passages,04 Aug 2023,★★,False,
The Mother and the Whore,21 Jul 2023,★★★★,False,
Barbie,20 Jul 2023,★★★½,False,
Afire,17 Jul 2023,★★★½,False,
The Wonders,16 Jul 2023,★★★★,False,
The Wonders,14 Jul 2023,★★★★½,False,
Earth Mama,29 Jun 2023,★★★½,False,
Final Destination,27 Jun 2023,★★★★,False,
Nighthawks,23 Jun 2023,★★★★½,False,
The Panic in Needle Park,18 Jun 2023,★★★★,False,
Blue Jean,16 Jun 2023,★★½,False,
Wild at Heart,12 Jun 2023,★★★★,False,
Max,08 Jun 2023,,False,
Monsieur Le Butch,08 Jun 2023,,False,
Cruising,08 Jun 2023,★★★,False,
Show Me Love,03 Jun 2023,★★★★,False,
Shadows,02 Jun 2023,★★★★½,False,
Annie Hall,27 May 2023,,False,
Romance,20 May 2023,★★★½,False,
Master Gardener,19 May 2023,★★★,False,
Possession,12 May 2023,★★★½,False,
Fat Girl,01 May 2023,★★★★,False,
Party Girl,29 Apr 2023,★★★★½,False,
Italianamerican,23 Apr 2023,,False,
Harry Potter and the Philosopher's Stone,22 Apr 2023,★★★★,False,
