Movie,Date Watched,Rating,Liked,Review
Pumping Iron,15 Jan 2024,,True,
Some Kind of Heaven,15 Jan 2024,,False,
Dersu Uzala,07 Jan 2024,★★★★★,True,
The Mask,06 Jan 2024,★★★★★,True,
Burn After Reading,26 Dec 2023,★★★½,False,
The Man Who Planted Trees,26 Dec 2023,,True,
Poor Things,18 Dec 2023,★★★★½,True,
The Zone of Interest,06 Dec 2023,★★★½,False,Animated by inspired ideas about formIntellectual at the expense of emotion Art installation cinema The dullness of evil
Dream Scenario,23 Nov 2023,★★★★,False,
The Boy and the Heron,12 Nov 2023,★★★,False,
The Killer,10 Nov 2023,★★★★,False,
Napoleon,08 Nov 2023,★★★★,False,
I Am a Sex Addict,04 Nov 2023,★★★½,True,Caveh’s a menace in a leather jacket
The Hunger Games: The Ballad of Songbirds & Snakes,25 Oct 2023,★,False,Theatre kids must b stopped 😓
Anatomy of a Fall,21 Oct 2023,★★★★½,True,
Poison,12 Oct 2023,,False,
The Rat Catcher,12 Oct 2023,★★★★½,True,
The Wonderful Story of Henry Sugar,12 Oct 2023,★★★★½,True,
Killers of the Flower Moon,09 Oct 2023,,False,
The Exorcist: Believer,03 Oct 2023,★,False,
The Nun II,01 Oct 2023,★,False,
Punch-Drunk Love,24 Sep 2023,★★★★★,True,
The Faculty,22 Sep 2023,★★★,False,
That Moment: Magnolia Diary,16 Sep 2023,,True,
Minnesota Nice,15 Sep 2023,,False,
A Haunting in Venice,14 Sep 2023,★★,False,
Jawan,12 Sep 2023,,False,
Stop Making Sense,12 Sep 2023,,True,
The Devil Wears Prada,03 Sep 2023,★★★½,False,
The Daytrippers,01 Sep 2023,★★★★,True,
Sunbelly,31 Aug 2023,,False,
The Tale of Hillbelly,31 Aug 2023,★★★★★,True,
The Lord of the Rings: The Two Towers,24 Aug 2023,,False,
The Equalizer 3,24 Aug 2023,★★★,False,
Kill Bill: Vol. 2,20 Aug 2023,★★★★½,False,
Kill Bill: Vol. 1,20 Aug 2023,★★★★★,True,Boof power progenyLike a kid in a sandboxUma uma uma 1 of 1 ultra steel
Smiley Face,15 Aug 2023,★★★,False,
The Creator,14 Aug 2023,★★★,False,
Dune,14 Aug 2023,★★★½,False,
Blue Beetle,03 Aug 2023,★,False,
Valley Girl,30 Jul 2023,,True,
Gran Turismo,26 Jul 2023,,False,
Barbie,23 Jul 2023,,False,I wonder how this will ageGreta bursting w creativityMattel selling plastic dreamsIn between is a portal to kandy kolored joy and strange pressured commentary
Sick of Myself,22 Jul 2023,★★★½,True,
Asteroid City,16 Jul 2023,,False,
Oppenheimer,09 Jul 2023,,False,
The Master,01 Jul 2023,★★★★★,True,😢😢😢😢😢😢😢😢😢😢
Mission: Impossible – Dead Reckoning Part One,28 Jun 2023,★★,False,
Fargo,18 Jun 2023,★★★★,True,
Indiana Jones and the Dial of Destiny,13 Jun 2023,★★,False,
Transformers: Rise of the Beasts,07 Jun 2023,★,False,
The Flash,07 Jun 2023,★,False,
eXistenZ,29 May 2023,★★★★,True,
Spider-Man: Across the Spider-Verse,21 May 2023,,False,
Caché,21 May 2023,★★★★,False,
The Little Mermaid,16 May 2023,★★,False,
Fast X,02 May 2023,★,False,
Guardians of the Galaxy Vol. 3,26 Apr 2023,,False,
Ravenous,23 Apr 2023,,False,
TDF Really Works,22 Apr 2023,,False,
