Movie,Date Watched,Rating,Liked,Review
The Curse,14 Jan 2024,★★★★★,False,I’ve tried to write a review or something clever or something but like… I can’t explain what has just transpired across my television. I don’t think my television can explain it. It’s literally overheating and turns off every 5 minutes now. It’s thinking too hard
Twelve Monkeys,07 Jan 2024,★★★½,False,
A Confucian Confusion,04 Jan 2024,★★★★½,False,
Mahjong,03 Jan 2024,★★★½,False,
The Iron Claw,03 Jan 2024,★★★½,False,Like listening to Jason Isbell cover “Rick Flair Drip” by Offset and Metro Boomin
The Holdovers,30 Dec 2023,★★★½,False,
Blade,29 Dec 2023,★★★½,False,
Rebel Moon - Part One: A Child of Fire,23 Dec 2023,★½,False,Morbid curiosity
Saltburn,22 Dec 2023,★★★½,False,"Do you ever see a vegetable stalk and think, “wow that’s a really emerald fennel!”"
Godzilla Minus One,20 Dec 2023,★★★,False,
Paradise Now,19 Dec 2023,★★★½,False,
The Boy and the Heron,18 Dec 2023,★★½,False,10 billion things happened
Chronicle of a Disappearance,17 Dec 2023,★★★½,False,Don’t let it disappear
The Zone of Interest,14 Dec 2023,★★★★½,False,
Poor Things,13 Dec 2023,★★★★½,False,Bella didn’t sing puttin’ on the ritz🙁🙁
Until the Light Takes Us,12 Dec 2023,★★,False,
Leave the World Behind,11 Dec 2023,★★★,False,
Eureka,10 Dec 2023,★★★★,False,"too long too long too long too long, but the last hour was super amazing. I love Koji Yakusho."
Mr. Yellow Sweatshirt,09 Dec 2023,,False,
Fallen Leaves,06 Dec 2023,★★★½,False,The dead don’t die doesn’t die
Godzilla,05 Dec 2023,★★½,False,
Dream Scenario,05 Dec 2023,★★★½,False,
Sisters,03 Dec 2023,★★★★,False,
Kiss Me Deadly,01 Dec 2023,★★★★,False,
The Angel,30 Nov 2023,★★★★½,False,👽👽👽👽👽👽👽
Fitzcarraldo,30 Nov 2023,★★★★½,False,
Farewell My Concubine,29 Nov 2023,★★★½,False,
La Ronde,28 Nov 2023,★★★★½,False,
The Cow,25 Nov 2023,★★★,False,
"Planes, Trains and Automobiles",23 Nov 2023,★★½,False,
The Philadelphia Story,22 Nov 2023,★★½,False,
Gaslight,21 Nov 2023,★★★½,False,
Notorious,20 Nov 2023,★★★★,False,
Stromboli,20 Nov 2023,★★★★,False,
Theorem,19 Nov 2023,★★★★,False,
Four Daughters,19 Nov 2023,★★★,False,
Laura,18 Nov 2023,★★★,False,
