Movie,Date Watched,Rating,Liked,Review
In the Earth,13 Jan 2024,★★★,False,
After Hours,20 May 2023,★★★★,False,
Triangle of Sadness,08 Apr 2023,★★★★,False,
Swallow,06 Apr 2023,★★★★,False,
Close,05 Apr 2023,★★★★,False,
Broker,21 Mar 2023,★★★,False,
The Fabelmans,19 Mar 2023,★★★★,False,
Everything Everywhere All at Once,18 Mar 2023,★★★½,False,
All Quiet on the Western Front,18 Mar 2023,★★★★★,False,
Women Talking,12 Mar 2023,★★★★,False,
Flee,11 Mar 2023,★★★★½,False,
Aftersun,09 Mar 2023,★★★★,False,
Blue Jean,07 Mar 2023,★★★½,False,
The Godfather,06 Mar 2023,★★★★★,False,
Ant-Man and the Wasp: Quantumania,28 Feb 2023,★★★,False,
Self Storage,25 Feb 2023,★,False,
Bull,24 Feb 2023,★★★,False,
Joyland,24 Feb 2023,★★★★,False,
Honeydew,23 Feb 2023,★★½,False,
The Whale,19 Feb 2023,★★★★,False,
Holy Spider,11 Feb 2023,★★★★,False,
Peter von Kant,08 Feb 2023,★★★,False,
TÁR,03 Feb 2023,★★★★,False,
Empire of Light,02 Feb 2023,★★½,False," Sam Mendes joins Roger Deakins once again to produce a gorgeous looking film with a great cast. Unfortunately he has little grasp of the subjects addressed in his screenplay. Supposedly set in 1981, Mendes films Micheal Ward as if he just stepped off a boat in the 1950s. The not-taking-meds trope is tired. Ward's character is given the task of explaining how awful racism is, while Olivia Colman can only speak truth in the throes of mental distress. Tricking ourselves… "
John and the Hole,02 Feb 2023,★★★,False,"Beautifully shot and well acted, this languid, wilfully blank drama offers a vice-versa scenario alongside a seemingly superfluous supblot."
The Toll,28 Jan 2023,★★,False,
Red,27 Jan 2023,★★★,False,
Enys Men,20 Jan 2023,★★½,False,
Bones and All,06 Jan 2023,★★★★,False,
The Banshees of Inisherin,06 Jan 2023,★★★★,False,
1917,27 Dec 2022,★★★★★,True,"Sam Mendes' WWI drama is immersive, emotionally engaged storytelling. Dean Charles Chapman and George Mackay are superb as the soldiers charged with a deadly, time-sensitive mission; the script allows moments of tenderness and reflection amid the peril. The other stars are Roger Deakins' photography, a masterclass in composition; and Thomas Newman's haunting score. Phenomenal work from all involved."
Glass Onion,25 Dec 2022,★★★,False,"Rian Johnson's second Benoit Blanc mystery is an enjoyable romp, making good use of Daniel Craig and Janelle Monae in particular. A neat reversal and a convoluted denouement made this ideal holiday viewing."
The Shed,25 Dec 2022,★★★,False,Entertaining vampire horror with a blue collar teen perspective that sustains the plot through the first two acts. The final act is an admittedly fun 80s throwback that squanders the intriguing premise.
Tailgate,10 Dec 2022,★★★½,False,The cat and mouse element of this thriller is enjoyable but less interesting than the clash of morals between the protagonist and his pursuer.
Living,09 Dec 2022,★★★★,False,"Oliver Hermanus is a great choice of director for this material, as a portrait of how people carrying a burden conduct themselves. Kazuo Ishiguro's script is taught and precise, capturing the limits placed on language by decorum. At the heart of it is Bill Nighy's tremendous performance; a sad, belated awakening."
Decision to Leave,08 Dec 2022,★★★★,False,"Park Chan-wook's noirish thriller is long but satisfying, with a nod to Hitchcock. Terrific performances and a dash of humour."
Revenge,28 Nov 2022,★★★,False,This film doesn't so much end as slip slide away...
In from the Side,10 Nov 2022,★★★★,True,"Long but very likeable drama blending sporting camaraderie and gay relationships. Matt Carter directs, co-writes, edits, photographs and scores the film, proving to be a talent in each area. His achievement is to produce a film that has the kind of narrative elements usually reserved for straight dramas, completely paring away worthy social realism and victim tropes. The cast work well, there's chemistry between the two leads and a range of perspectives on offer."
Up On The Glass,12 Oct 2022,★★½,False,
X,10 Oct 2022,★★★★,False,"Ti West's knowing pastiche boasts superb songs and sound design. The script nods to horror classics, while drawing parallels with porn and notions of aesthetic quality, while testing the audience's disgust threshold. A chilly, stately affair, as if Ari Aster directed Boogie Nights."
Snatch,19 Sep 2022,★★★,False,Guy Ritchie's second feature makes a simple story into a convoluted plot. A cast of familiar faces roll their tongues around the dialogue like they're chewing tobacco. Ritchie's signature tricksy cinematography suits the age of scrolling. Reasoble entertainment. 
Moffie,16 Sep 2022,★★★★,False,
Nope,15 Sep 2022,★★★½,False,
Arkansas,14 Sep 2022,★★★★,True,
Becky,13 Sep 2022,★★★,False,
The Devil to Pay,10 Sep 2022,★★★½,False,
Sequin in a Blue Room,10 Sep 2022,★★★,False,
Raising Arizona,27 Aug 2022,★★★½,False,
Dead Man Down,27 Aug 2022,★★★,False,
I Blame Society,25 Aug 2022,★★★½,False,
The Invisible Man,21 Aug 2022,★★★,False,
The Last Days on Mars,17 Aug 2022,★★★½,False,
Fantasy Island,02 Aug 2022,★★,False,
Thor: Love and Thunder,31 Jul 2022,★★★½,False,
Terminator: Dark Fate,23 Jul 2022,★★★,False,
Darlin',23 Jul 2022,★★★,False,
The Golem,21 Jul 2022,★★★,False,
Portals,17 Jul 2022,★★½,False,
Concrete Plans,18 Jun 2022,★★★,False,
Mo,17 Jun 2022,★★★½,False,
Possum,12 Jun 2022,★★★,False,
The Visit,02 Jun 2022,★★★,False,
Eve,22 May 2022,★★,False,
A Star Is Born,18 May 2022,★★★½,False,
The Way You Look Tonight,13 May 2022,★★★,False,
Hell Hath No Fury,29 Apr 2022,★,False,
The Stakelander,18 Apr 2022,★★★,False,
The Favourite,09 Apr 2022,★★★★,False,
Goodbye Seventies,01 Apr 2022,★★★,False,
The Batman,19 Mar 2022,★★★★,True,
Let Me In,13 Mar 2022,★★★★,False,
The Grief Tourist,11 Mar 2022,★★★,False,
Favorite Son,09 Mar 2022,★★★,False,
Brightburn,06 Mar 2022,★★★,True,
Death Ranch,05 Mar 2022,★½,False,
Death on the Nile,04 Mar 2022,★★★,False,
Bacurau,26 Feb 2022,★★★★,False,
Memoria,10 Feb 2022,★★★,False,
"A White, White Day",04 Feb 2022,★★★,False,
Shiver,31 Jan 2022,★,False,
Complete Strangers,14 Jan 2022,★,False,
Rituals,13 Jan 2022,★★★,False,
Sea Fever,07 Jan 2022,★★★,False,
Spider-Man: No Way Home,05 Jan 2022,★★★½,False,
Almost Mercy,01 Jan 2022,★★½,False,
Ghosts of War,28 Dec 2021,★★★,False,
Sweet Virginia,28 Dec 2021,★★★½,False,
Withnail & I,26 Dec 2021,★★★★,False,
Intrusion,23 Dec 2021,★½,False,
Single All the Way,18 Dec 2021,★★½,False,
Cleft Lip,17 Dec 2021,★½,False,
Coming Home in the Dark,07 Dec 2021,★★★½,False,
Chained,06 Dec 2021,★★,False,
The Power of the Dog,05 Dec 2021,★★★★,False,
Deadpool 2,04 Dec 2021,★★★★,False,
Escape from New York,04 Dec 2021,★★★,False,
The Hitcher,03 Dec 2021,★★,False,
No Time to Die,20 Nov 2021,★★★★,False,
Eternals,19 Nov 2021,★★½,False,
London to Brighton,07 Nov 2021,★★★,False,
The Exorcist,31 Oct 2021,★★★★★,True,
Revenge of the Creature,31 Oct 2021,★★½,False,
Creature from the Black Lagoon,31 Oct 2021,★★★½,False,
The Mummy's Hand,31 Oct 2021,★★½,False,
The Mummy,31 Oct 2021,★★★½,False,
The Invisible Man,31 Oct 2021,★★★★,False,
The Thing,30 Oct 2021,★★★★★,True,
Frankenstein Meets the Wolf Man,30 Oct 2021,★★★,False,
The Wolf Man,30 Oct 2021,★★★,False,
Matthias & Maxime,29 Oct 2021,★★★★,True,
Tom at the Farm,23 Oct 2021,★★★★,False,
Mom and Dad,21 Oct 2021,★★★,False,
The Green Knight,09 Oct 2021,★★★★,False,
Dawn of the Dead,08 Oct 2021,★★★½,False,
Here Are the Young Men,05 Oct 2021,★½,False,
The Dead Center,04 Oct 2021,★★½,False,
Surge,02 Oct 2021,★★★,False,
The Guilty,01 Oct 2021,★★★,False,
The Vanishing,20 Sep 2021,★★★½,False,
Homewrecker,17 Sep 2021,★★★,False,
Shang-Chi and the Legend of the Ten Rings,16 Sep 2021,★★★,False,
The Voyeurs,15 Sep 2021,★½,False,
Guardians of the Galaxy Vol. 2,13 Sep 2021,★★★,False,
Iron Man 3,10 Sep 2021,★★★½,False,
Loki,09 Sep 2021,★★★½,False,
Shameless,07 Sep 2021,★★½,False,
Come to Daddy,29 Aug 2021,★★★,False,
21 Bridges,28 Aug 2021,★★★,False,
The Predator,27 Aug 2021,★★½,False,
Curve,27 Aug 2021,★★,False,
Black Widow,24 Aug 2021,★★★,False,
Lords of Chaos,24 Aug 2021,★★★½,False,
Freehold,22 Aug 2021,★★★½,False,
Teacher,16 Aug 2021,★★★,False,
Introspectum Motel,08 Aug 2021,★,False,
The Swarm,06 Aug 2021,★★★½,False,
After Midnight,05 Aug 2021,★★★½,False,
Arkansas,04 Aug 2021,★★★★,True,
The Dark,02 Aug 2021,★★★★,True,
Cannibal Troll,01 Aug 2021,★½,False,
Blood Red Sky,31 Jul 2021,★★,False,
Why Don't You Just Die!,30 Jul 2021,★★★,False,
300,30 Jul 2021,★★★,False,
Rufus,29 Jul 2021,★★★,False,
Framed,28 Jul 2021,★★,False,
The Returned,25 Jul 2021,★★★,False,
VFW,24 Jul 2021,★★½,False,
Fear Street: 1994,23 Jul 2021,★,False,
The Special,22 Jul 2021,★★½,False,
Greta,20 Jul 2021,★★★,False,
The Decline,19 Jul 2021,★★★,False,
Bad Times at the El Royale,16 Jul 2021,★★★½,False,
A Classic Horror Story,14 Jul 2021,★★½,False,
Fear,10 Jul 2021,★★,False,
Extracurricular,08 Jul 2021,★★½,False,
Saint Maud,04 Jul 2021,★★★★,True,
The Cleaning Lady,27 Jun 2021,★★,False,
Harpoon,26 Jun 2021,★★★,False,
The Seventh Day,25 Jun 2021,★½,False,
Broil,24 Jun 2021,★★★,False,
Sound of Metal,19 Jun 2021,★★★★,True,
The Woman in the Window,18 Jun 2021,★★½,False,
Fantastic Four,15 Jun 2021,★,False,
"The Gangster, the Cop, the Devil",12 Jun 2021,★★★,False,
Marrowbone,10 Jun 2021,★★★,False,
Brothers' Nest,29 May 2021,★★★½,True,
Beneath,25 May 2021,★★½,False,
Pledge,23 May 2021,★★★,False,
Army of the Dead,22 May 2021,★★½,False,
Eddie the Eagle,21 May 2021,★★½,False,
Johnny Frank Garrett's Last Word,20 May 2021,★★,False,
2050,18 May 2021,★½,False,
The Hive,17 May 2021,★★½,False,
The Unthinkable,14 May 2021,★★★,False,
By the Grace of God,09 May 2021,★★★★,True,
Trailer Park of Terror,08 May 2021,★★,False,
The Babysitter: Killer Queen,07 May 2021,★★,False,
Goodnight Mommy,04 May 2021,★★★½,True,
Black Panther,03 May 2021,★★★½,False,
The Helpers,26 Apr 2021,★,False,
Hope Gap,25 Apr 2021,★★★,False,
The Land of Steady Habits,15 Apr 2021,★★★★,True,
I'm Thinking of Ending Things,13 Apr 2021,★★★,False,
Can You Ever Forgive Me?,11 Apr 2021,★★★★,True,
Nocturne,06 Apr 2021,★★½,False,
The Incident,05 Apr 2021,★½,False,
Blood Fest,02 Apr 2021,★★,False,
Excess Flesh,28 Mar 2021,★★½,False,
Savages Crossing,25 Mar 2021,★½,False,
Overlord,23 Mar 2021,★★★½,False,
Lake Artifact,21 Mar 2021,★★½,False,
The Babysitter,20 Mar 2021,★★★,False,
Pickings,18 Mar 2021,★★,False,
Sorry Angel,15 Mar 2021,★★★★,True,
Trunkfish,13 Mar 2021,★★½,False,
The Retreat,12 Mar 2021,★★½,False,
Mulligans,06 Mar 2021,★★,False,
Cop Car,06 Mar 2021,★★★½,False,
Unsane,02 Mar 2021,★★½,False,
Eat Locals,01 Mar 2021,★★½,False,
Hellbound: Hellraiser II,27 Feb 2021,★★★,False,
The Stalker,27 Feb 2021,★½,False,
Open Windows,27 Feb 2021,★,False,
Babyteeth,26 Feb 2021,★★★★,True,
Homesick,24 Feb 2021,★★★½,False,
Lowlife,22 Feb 2021,★★★,False,
Next Door,21 Feb 2021,★★★,False,
Mank,20 Feb 2021,★★★½,False,
Other People,19 Feb 2021,★★★★,True,
Killer Weekend,18 Feb 2021,★★,False,
Instant Family,06 Feb 2021,★★★,False,
Child of God,05 Feb 2021,★★★,False,
Soldiers of the Damned,02 Feb 2021,★★,False,
The Dare,02 Feb 2021,★★,False,
Double Date,01 Feb 2021,★★★,False,
The Shiny Shrimps,30 Jan 2021,★★★½,True,
It's a Sin,29 Jan 2021,★★★★,True,
Night Fare,29 Jan 2021,★★,False,
Searching,28 Jan 2021,★★★½,True,
The Rental,25 Jan 2021,★★★,False,
Boy Erased,21 Jan 2021,★★★½,False,
Summer of 85,21 Jan 2021,★★★½,True,
The Way Way Back,18 Jan 2021,★★★½,True,
Lifechanger,16 Jan 2021,★★★,False,
Baskin,16 Jan 2021,★★★,False,
Devil,14 Jan 2021,★★★,False,
Seconds Apart,13 Jan 2021,★★,False,
Pitchfork,13 Jan 2021,★★,False,
Horns,09 Jan 2021,★★★,False,
I Am Michael,08 Jan 2021,★★★,False,
The French Teacher,08 Jan 2021,★★½,False,
12 Years a Slave,05 Jan 2021,★★★★½,True,
Dracula,04 Jan 2021,★★★½,True,
Man on the Moon,04 Jan 2021,★★★★,True,
Bigger Than Life,04 Jan 2021,★★★½,True,
Black Mountain Poets,03 Jan 2021,★★★½,True,
Love at First Fight,03 Jan 2021,★★½,False,
Kingsman: The Golden Circle,02 Jan 2021,★★½,False,
A Late Quartet,29 Dec 2020,★★★½,True,
Death to 2020,28 Dec 2020,★★½,False,
SUS,28 Dec 2020,★★★½,False,
Justice League,28 Dec 2020,★★,False,
Random,25 Dec 2020,★★★½,False,
Parkland,25 Dec 2020,★★★,False,
Hounds of Love,11 Dec 2020,★★★,False,
Miles Ahead,06 Dec 2020,★★★½,False,
Miles Davis: Birth of the Cool,04 Dec 2020,★★★½,False,
BPM (Beats per Minute),01 Dec 2020,★★★★,True,
Beatriz at Dinner,30 Nov 2020,★★★,False,
Her,29 Nov 2020,★★★★,True,
Who You Think I Am,28 Nov 2020,★★★★,True,
The Day of the Lord,27 Nov 2020,★★★,False,
Sauvage,25 Nov 2020,★★★★,True,
Tales from the Lodge,20 Nov 2020,★★★½,True,
Deserted,18 Nov 2020,★★★,False,
Don't Let Them In,15 Nov 2020,★½,False,
Brimstone & Treacle,13 Nov 2020,★★★½,False,
