Movie,Date Watched,Rating,Liked,Review
The Beekeeper,15 Jan 2024,,False,
Origin,14 Jan 2024,,False,
The Teachers’ Lounge,12 Jan 2024,,False,
The Adults,05 Jan 2024,,True,"as a person of Decade-Younger Sibling experience who also flips into jarring, antic voices to mask the transmission of genuine emotion, this did make me sniffle on the plane"
The Parallax View,02 Jan 2024,,True,probably my favorite movie
American Symphony,01 Jan 2024,,False,
Sound of Freedom,01 Jan 2024,,False,
Monster,01 Jan 2024,,True,
The Mission,30 Dec 2023,,False,
Fallen Leaves,30 Dec 2023,,False,
Memory,29 Dec 2023,,False,
The End We Start From,28 Dec 2023,,False,
They Live by Night,28 Dec 2023,,True,
Laura,27 Dec 2023,,False,
Full Time,27 Dec 2023,,True,
The Iron Claw,26 Dec 2023,,True,
Dreamin' Wild,25 Dec 2023,,False,
All of Us Strangers,24 Dec 2023,,False,
How to Blow Up a Pipeline,24 Dec 2023,,True,
American Fiction,23 Dec 2023,,False,
Anyone But You,22 Dec 2023,,False,
The Royal Hotel,22 Dec 2023,,False,
Finestkind,20 Dec 2023,,False,
Blast of Silence,20 Dec 2023,,True,
Die Hard,19 Dec 2023,,True,
Napoleon,18 Dec 2023,,False,
The Holdovers,17 Dec 2023,,True,
Poor Things,15 Dec 2023,,False,
The Sicilian Clan,14 Dec 2023,,False,
The Abyss,13 Dec 2023,,True,we have no one like ed harris currently and it’s a problem
Dumb Money,12 Dec 2023,,False,
Perfect Days,10 Dec 2023,,True,
Leave the World Behind,09 Dec 2023,,False,
Eileen,06 Dec 2023,,False,
Godzilla Minus One,03 Dec 2023,,False,
May December,02 Dec 2023,,False,
Rope,30 Nov 2023,,False,
Saltburn,29 Nov 2023,,False,
Thanksgiving,28 Nov 2023,,False,
Sneakers,27 Nov 2023,,False,
Carnal Knowledge,25 Nov 2023,,True,
The Last Run,24 Nov 2023,,True,
Maestro,23 Nov 2023,,True,
Pictures of Ghosts,21 Nov 2023,,True,
Naked,20 Nov 2023,,True,
The Hunger Games: The Ballad of Songbirds & Snakes,19 Nov 2023,,False,
The Hunger Games: Mockingjay – Part 1,17 Nov 2023,,False,
Dream Scenario,17 Nov 2023,,False,
Ambulance,13 Nov 2023,,True,
Eagle Eye,12 Nov 2023,,False,
The Good Mother,11 Nov 2023,,False,
Nine Days,08 Nov 2023,,False,
The Burial,07 Nov 2023,,False,
Heat,06 Nov 2023,,True,
The Holdovers,03 Nov 2023,,True,
The Killer,02 Nov 2023,,True,
The River's Edge,01 Nov 2023,,False,
The Big Heat,31 Oct 2023,,True,
Between the Temples,30 Oct 2023,,True,
Priscilla,29 Oct 2023,,False,
Anatomy of a Fall,28 Oct 2023,,False,
The Exorcist: Believer,25 Oct 2023,,False,
The Lesson,24 Oct 2023,,False,
Killers of the Flower Moon,20 Oct 2023,,True,
The Exorcist,16 Oct 2023,,True,
Fair Play,15 Oct 2023,,False,
Pride & Prejudice,14 Oct 2023,,False,
Ferrari,13 Oct 2023,,True,
The Zone of Interest,11 Oct 2023,,True,
Janet Planet,09 Oct 2023,,False,
La Chimera,07 Oct 2023,,True,
No One Will Save You,06 Oct 2023,,False,
Blow-Up,02 Oct 2023,,False,
To Live and Die in L.A.,01 Oct 2023,,True,
The Creator,30 Sep 2023,,False,
Reptile,29 Sep 2023,,True,
Shortcomings,27 Sep 2023,,False,
Remember My Name,24 Sep 2023,,True,
Choose Me,24 Sep 2023,,True,
After Life,17 Sep 2023,,False,
A Little White Lie,16 Sep 2023,,False,
The Seven-Ups,16 Sep 2023,,False,
To Catch a Killer,15 Sep 2023,,False,
Gran Turismo,10 Sep 2023,,False,
The Eight Mountains,09 Sep 2023,,True,
The Equalizer 3,06 Sep 2023,,False,
Thunderbolt and Lightfoot,05 Sep 2023,,True,
The Plot Against Harry,05 Sep 2023,,False,
The Devil's Own,04 Sep 2023,,True,
You Are So Not Invited to My Bat Mitzvah,03 Sep 2023,,False,
The Nice Guys,02 Sep 2023,,True,
Kandahar,31 Aug 2023,,False,
Desperately Seeking Susan,30 Aug 2023,,False,
Murder by Numbers,29 Aug 2023,,False,
Bottoms,28 Aug 2023,,False,
The Innocent,27 Aug 2023,,False,
Niagara,25 Aug 2023,,True,
Heart of Stone,24 Aug 2023,,False,
Carpet Cowboys,24 Aug 2023,,True,
The Beasts,23 Aug 2023,,True,
Winter Kills,18 Aug 2023,,False,
Oldboy,16 Aug 2023,,False,
Law Abiding Citizen,12 Aug 2023,,False,let him cook
Barbie,09 Aug 2023,,False,
Oppenheimer,08 Aug 2023,,True,
Talk to Me,01 Aug 2023,,False,
The Beasts,31 Jul 2023,,True,
Non-Stop,30 Jul 2023,,False,
Single White Female,30 Jul 2023,,True,
Southland Tales,29 Jul 2023,,False,
The Man from Laramie,28 Jul 2023,,True,
Streetwise,27 Jul 2023,,False,
Stealing Beauty,27 Jul 2023,,False,
"What's Up, Doc?",26 Jul 2023,,False,
Modern Romance,25 Jul 2023,,True,
Joy Ride,24 Jul 2023,,False,
They Cloned Tyrone,23 Jul 2023,,True,
Theater Camp,21 Jul 2023,,False,
Oppenheimer,20 Jul 2023,,True,
65,18 Jul 2023,,False,
Tori and Lokita,18 Jul 2023,,True,
Afire,17 Jul 2023,,True,
Mission: Impossible – Dead Reckoning Part One,16 Jul 2023,,False,
Mission: Impossible – Fallout,15 Jul 2023,,True,
Mission: Impossible – Rogue Nation,14 Jul 2023,,True,
Mission: Impossible,13 Jul 2023,,True,
Mission: Impossible – Dead Reckoning Part One,12 Jul 2023,,False,
The Killer,11 Jul 2023,,True,
Passages,10 Jul 2023,,True,
Queen of the Deuce,09 Jul 2023,,False,
The Conformist,09 Jul 2023,,True,
Riceboy Sleeps,08 Jul 2023,,False,
Indiana Jones and the Dial of Destiny,06 Jul 2023,,False,
Contempt,03 Jul 2023,,True,
The Cathedral,01 Jul 2023,,False,
Indiana Jones and the Temple of Doom,30 Jun 2023,,False,
Raiders of the Lost Ark,26 Jun 2023,,True,
No Hard Feelings,25 Jun 2023,,False,
Asteroid City,25 Jun 2023,,True,
Extraction 2,22 Jun 2023,,False,
The Flash,20 Jun 2023,,False,
Past Lives,19 Jun 2023,,False,
The March on Rome,14 Jun 2023,,False,
Spider-Man: Across the Spider-Verse,13 Jun 2023,,False,
Margot at the Wedding,12 Jun 2023,,False,
The Seeding,11 Jun 2023,,False,
