Movie,Date Watched,Rating,Liked,Review
The Thing,15 Jan 2024,★★★★★,False,"10 minutes into this movie, which i knew nothing about, i said ""that dog is awesome"" and ""uh oh""'s filled the room"
Clockwatchers,09 Jan 2024,★★★,False,
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",09 Jan 2024,★★★★★,False,
Saltburn,01 Jan 2024,★★½,False,had a good time with my friends
Best in Show,28 Dec 2023,★★★★,False,what's not to like
Party Girl,17 Dec 2023,★★★★,False,"an essential feminist film. you can be a librarian AND a flirty, slutty, socialite"
The Daytrippers,24 Nov 2023,★★★★,False,
"Planes, Trains and Automobiles",23 Nov 2023,★★★★★,False,a delight!
Deep Red,15 Nov 2023,★★★★★,False,
Bottoms,05 Nov 2023,★★★★★,False,needed this 15 years ago
From Beyond,22 Oct 2023,★★★★,False,
Day of the Dead,19 Oct 2023,★★★★,False,
A Bay of Blood,16 Oct 2023,★★★★,False,every single shot knocked me on my ass!!!!!!
Hellraiser,04 Oct 2023,★★★★,False,
Nightbreed,03 Oct 2023,★★★,False,
The Faculty,26 Sep 2023,★★★★½,False,disgusting and star studded what more could a girl ask for
The Craft,26 Sep 2023,★★★½,False,equal parts so good and nearly unwatchable bad. had a great time beginning to end
Repo Man,26 Sep 2023,★★★★½,False,let's get sushi and not pay
An American Werewolf in London,17 Sep 2023,★★★★,False,two fellas
Carnival of Souls,08 Sep 2023,★★★★,False,daydream nightmare
Carnival of Souls,08 Sep 2023,★★★★,False,daydream nightmare
Barbie,26 Jul 2023,★★★,False,
Night of the Demons,25 Jul 2023,★★★,False,
Bring It On,25 Jul 2023,★★★★,False,
Candyman,23 Jul 2023,★★★★★,False,
Phantom Thread,15 Jul 2023,★★★★★,False,
Elvira's Haunted Hills,13 Jul 2023,★★★★,False,
Tim and Eric's Billion Dollar Movie,04 Jul 2023,★★★,False,
Hackers,04 Jul 2023,★★★★,False,
Waxwork,02 Jul 2023,★★★★,False,
Big Top Pee-wee,02 Jul 2023,★★½,False,
Body Double,21 Jun 2023,★★★★,False,
Parents,30 May 2023,★★★★,False,
Pee-wee's Big Adventure,30 Apr 2023,★★★★★,False,
Beau Is Afraid,28 Apr 2023,★★★★,False,
Repo Man,25 Apr 2023,★★★★,False,let's get sushi and not pay
The Strange Thing About the Johnsons,25 Apr 2023,,False,
"sex, lies, and videotape",22 Apr 2023,★★★★,False,
Scorpio Rising,16 Apr 2023,★★★★★,False,
