Movie,Date Watched,Rating,Liked,Review
Ready or Not,10 Jan 2024,★★★,True,"To be honest I kinda felt reminded of my family, we don’t really play games, we just wanna kill each other."
Night Swim,07 Jan 2024,★½,False,They made the new evil Captain America guy get attacked by dirty pool water. Then they attacked the audience with the worst CGI imaginable.
Ferrari,07 Jan 2024,★★★,False,Mamma mia the boredom! 
Chicken Run,03 Jan 2024,★★½,True,They sure delivered on the title!
Gran Turismo,03 Jan 2024,★★,False,"This was not Ferrari, shit."
Captain Underpants: The First Epic Movie,03 Jan 2024,★★,True,If we’re being completely honest with ourselves it’s crazy to think Captain Underpants isn’t valued the same way Shrek is at Dreamworks.
Airplane!,01 Jan 2024,★½,False,"I don’t hate it because it aged poorly, I hate it because it’s not funny."
Wonka,28 Dec 2023,★★★,True,"There are approximately 64 uses of Noodle (62 verbal, 2 written) and 19 uses of Willy (all verbal) in 2023’s Wonka."
Leo,26 Dec 2023,½,False,"If you combined Cocomelon, TikTok and heroine they would merge into this movie."
Thief,25 Dec 2023,★★★★★,True,No better way to start Christmas than with a cup of joe and the best damn action-drama film ever created.
The Iron Claw,22 Dec 2023,★★★★★,True," Holy shit.From the moment Zac Efron hit a crossbody off the top rope I was entranced. What an electrifying and beautiful film that not only pays respect to the sport of wrestling but also one of the most famous families to ever enter the squared circle.It’s mind-boggling how there isn’t even a conversation around this film for awards. The level of technicality and subtly from Efron, White, Dickinson, and Simons is wondrous. Their physicality and ring work is… "
Jason Goes to Hell: The Final Friday,17 Dec 2023,½,True,
Wonka,14 Dec 2023,★★★,True,"There are approximately 64 uses of Noodle (62 verbal, 2 written) and 19 uses of Willy (all verbal) in 2023’s Wonka."
Scott Pilgrim Takes Off,12 Dec 2023,★★★,True,"Always happy for more Scott Pilgrim content, just wish he was actually in this series."
Sideways,12 Dec 2023,★★★★½,True,
The Boys in the Boat,11 Dec 2023,★½,False,
No One Will Save You,11 Dec 2023,★★★,False,
A Charlie Brown Christmas,09 Dec 2023,,True,
Eileen,07 Dec 2023,★★★,True,
May December,04 Dec 2023,★★★★,True,
Silent Night,01 Dec 2023,★★,False,
How the Grinch Stole Christmas!,30 Nov 2023,,True,
Wish,26 Nov 2023,★★½,False,
Napoleon,22 Nov 2023,★★½,False,
Next Goal Wins,21 Nov 2023,★,False,
Thanksgiving,20 Nov 2023,★★★,True,
The Hunger Games: The Ballad of Songbirds & Snakes,19 Nov 2023,★★★,True,
No Hard Feelings,15 Nov 2023,★½,False,
Scarface,12 Nov 2023,★★★½,False,
The Holdovers,12 Nov 2023,★★★★½,True,
The Marvels,10 Nov 2023,★½,False,
The Killer,10 Nov 2023,★★★★,True,
Attack on Titan The Final Chapters: Special 2,09 Nov 2023,★★★★★,True,
Five Nights at Freddy's,06 Nov 2023,★,False,
Priscilla,06 Nov 2023,★★★★,True,
Kill Bill: Vol. 1,05 Nov 2023,★★★★½,True,
Halloween: Resurrection,31 Oct 2023,½,False,
Halloween II,31 Oct 2023,★★★★,True,
Halloween 4: The Return of Michael Myers,31 Oct 2023,★★★½,True,
The Bikeriders,25 Oct 2023,★★★,True,
The Boy and the Heron,25 Oct 2023,★★,False,
Teenage Mutant Ninja Turtles: Mutant Mayhem,25 Oct 2023,★★★½,True,
Nimona,25 Oct 2023,★★★½,True,
Saltburn,25 Oct 2023,★★★,False,
