Movie,Date Watched,Rating,Liked,Review
Anyone But You,15 Jan 2024,★★★½,False,"So tacky but so fun! Romcoms are back, baby!!!"
Society of the Snow,09 Jan 2024,★★★★½,False,Absolutely fucking brutal opening and heartwrenching throughout
Maestro,09 Jan 2024,★★★,False,Give me 2 vodka redbulls and I reckon I could conduct like that
Causeway,09 Jan 2024,★★★½,True,First half felt a bit slow but wow that second half had me emotional. Beautiful performances
Jug Face,08 Jan 2024,★½,False,I finna be in the pit
Joy Ride,07 Jan 2024,★★★,False,🎶 I was taken by the view like we were in Paris 🎵
Ginger Snaps,02 Jan 2024,★★★½,False,okay queen mother was really ride or die for her daughters
Regarding Henry,31 Dec 2023,★★½,False,"Me screaming at the screen for someone, ANYONE to pet Buddy while he's jumping up for them. PET HIM!!! WHY WONT YOU PET HIM!!!!!"
Theater Camp,31 Dec 2023,★★★★,False,Wall Street Noise kinda ate though
Shrek 2,30 Dec 2023,★★★★½,True,he croaked 😔 🐸 😨
Scream VI,26 Dec 2023,★★★★,True,Sam girl you need to take a minute and get your prescription filled bc there are only so many times your sis can walk in on you staring into space like a weirdo
A Good Person,25 Dec 2023,★★★,False,Great performances from Pugh and particularly king Morgan Freeman!
The Royal Hotel,25 Dec 2023,★★★,False,
A Bad Moms Christmas,25 Dec 2023,★★★,False,
Tangled,24 Dec 2023,★★★★½,True,
Leave the World Behind,24 Dec 2023,★½,False,
Saltburn,22 Dec 2023,★★★★½,True,
Boiling Point,19 Dec 2023,★★★★,True,
Little Women,19 Dec 2023,★★★½,False,
The Princess Switch,12 Dec 2023,★★★,False,
Shaun the Sheep: The Flight Before Christmas,11 Dec 2023,★★,False,
The Holiday,05 Dec 2023,★★★★,True,
The Family Stone,05 Dec 2023,★★★★,True,
May December,05 Dec 2023,★★★★,False,
Carol,04 Dec 2023,★★★½,True,
Die Hard,04 Dec 2023,★★★★,False,
Iron Man 3,04 Dec 2023,★★★★,True,
Love Hard,04 Dec 2023,★★★,False,
The Hunger Games: Mockingjay – Part 2,22 Nov 2023,★★★½,False,
The Hunger Games: The Ballad of Songbirds & Snakes,21 Nov 2023,★★★,False,
The Hunger Games: Mockingjay – Part 1,20 Nov 2023,★★★,False,
The Hunger Games: Catching Fire,16 Nov 2023,★★★★½,True,
They Cloned Tyrone,16 Nov 2023,★★★,False,
Taylor Swift: The Eras Tour,10 Nov 2023,★★★★★,True,
Split,09 Nov 2023,★★★,False,
The Hunger Games,07 Nov 2023,★★★★,True,
Quiz Lady,05 Nov 2023,★★★★,True,
The Silence of the Lambs,31 Oct 2023,★★★★★,True,
Dark Harvest,30 Oct 2023,★½,False,
Scream 4,30 Oct 2023,★★★★,False,
The Notebook,24 Oct 2023,★★★★,False,
The Vow,24 Oct 2023,★★★,False,
Fair Play,23 Oct 2023,★★★½,False,
Spy Kids 2: The Island of Lost Dreams,19 Oct 2023,★★★½,True,
Spy Kids,18 Oct 2023,★★★★½,True,
Mona Lisa Smile,17 Oct 2023,★★★,False,
La La Land,09 Oct 2023,★★★★★,True,
Pearl,09 Oct 2023,★★★★½,True,
Totally Killer,08 Oct 2023,★★★★,False,
Practical Magic,08 Oct 2023,★★★★½,True,
The Boogeyman,08 Oct 2023,★★★½,False,
13 Going on 30,08 Oct 2023,★★★½,False,
Fear Street: 1666,07 Oct 2023,★★★★,False,
Fear Street: 1978,03 Oct 2023,★★★,False,
Fear Street: 1994,02 Oct 2023,★★½,False,
The Nun,02 Oct 2023,★½,False,
Saw VI,01 Oct 2023,★★★,False,
Saw V,30 Sep 2023,★★,False,
Saw IV,30 Sep 2023,★½,False,
Spy Kids: Armageddon,27 Sep 2023,★,False,
Past Lives,26 Sep 2023,★★★★★,True,
Bottoms,26 Sep 2023,★★★★★,True,
The Wolf of Wall Street,26 Sep 2023,★½,False,
Interstellar,24 Sep 2023,★★★★★,True,
No One Will Save You,24 Sep 2023,★★★½,False,
The Conjuring 2,24 Sep 2023,★★½,False,
The Conjuring,23 Sep 2023,★★★★,False,
Annabelle Comes Home,23 Sep 2023,★★★,False,
Annabelle,20 Sep 2023,★★★½,False,
Future Lights,20 Sep 2023,,False,
Annabelle: Creation,20 Sep 2023,★★½,False,
Midnight Mass,19 Sep 2023,★★★,False,
Cars,16 Sep 2023,★★★★,True,
Choose Love,12 Sep 2023,★,False,
Pleasantville,12 Sep 2023,★★★½,False,
Mary Poppins,11 Sep 2023,★★★★,True,
The Little Mermaid,10 Sep 2023,★★★,False,
Babylon,09 Sep 2023,★★★★★,True,
Days of Heaven,07 Sep 2023,★★★★,False,
Vivarium,05 Sep 2023,★½,False,
The Princess Diaries 2: Royal Engagement,01 Sep 2023,★★★★,False,
The Princess Diaries,30 Aug 2023,★★★★,True,
