Movie,Date Watched,Rating,Liked,Review
Zodiac,15 Jan 2024,,True,I FEEL STRESS IN MY ELBOWS AND I AM NOT OKAY! I need to watch like Hannah Montana to detox.
Blade,11 Jan 2024,,True,what the fuck this slaps
After Hours,10 Jan 2024,★★★★★,True,
10 Things I Hate About You,10 Jan 2024,,True,the shiteth hath hiteth the faneth
Boy,06 Jan 2024,★★★★★,True,
To Live and Die in L.A.,05 Jan 2024,,True,"OKAY SO! This feels like a kettle that’s just boiling and boiling and boiling. Rips and roars from start to finish. I wish that killing Chance took maybe, a minute more of screen time. I’d also love to watch this not at 240p."
Blade II,04 Jan 2024,,False,
Blade,04 Jan 2024,,True,what the fuck this slaps
Tokyo Drifter,31 Dec 2023,,False,silly ❤️
Cruising,30 Dec 2023,,False,Re: Burns-Stuart showdown & finale - some questions: 
Three Days of the Condor,30 Dec 2023,,False,First half of this hooks you so hard but the Faye Dunaway romance is goofy as hell.
The Servant,27 Dec 2023,,True,"Fascinating!!! I had to stop watching at the midpoint to go watch Anyone But You, and I found myself thinking about The Servant the whole time. Love it when a shot sweeps from one position to the next, giving you more information as it goes. It never feels like the camera’s moving just so it can move. "
Anyone But You,26 Dec 2023,,False,
Batman,26 Dec 2023,,True,Ok well I had fun? This is fun.
Adaptation.,24 Dec 2023,,False,
Love Actually,22 Dec 2023,,False,
The Last Emperor,22 Dec 2023,,False,
Salaar: Part 1 – Ceasefire,21 Dec 2023,,False,
Asteroid City,19 Dec 2023,,False,"Would love to watch this in one go, ‘twas an interrupted viewing. This didn’t hit me like a train like The French Dispatch did, but I enjoyed it. Especially the Satyajit Ray reference, Wes you sonuva bitch. Personally I think I could’ve played that alien just as well."
Teenage Mutant Ninja Turtles: Mutant Mayhem,19 Dec 2023,,True,
Pearl,19 Dec 2023,,False,
Poor Things,17 Dec 2023,,True,
The Making of Chicken Run: Dawn of the Nugget,17 Dec 2023,,True,
Chicken Run: Dawn of the Nugget,17 Dec 2023,,True,Y’all this rocks. This is so playful. They’re having fun at Aardman.
Le Trou,15 Dec 2023,★★★★★,True,SNITCHES GET FUCKIN STITCHES!!!!! 
Jingle All the Way,14 Dec 2023,,False,
Sicario,11 Dec 2023,,True,
The Gleaners and I,10 Dec 2023,,True,
Moonstruck,09 Dec 2023,,True,
Aliens,08 Dec 2023,,True,
Predator,06 Dec 2023,,False,
