Movie,Date Watched,Rating,Liked,Review
A Woman Under the Influence,15 Jan 2024,★★★★★,False,
Age of Bloom,13 Jan 2024,★★★★½,True,
Petite Maman,09 Jan 2024,★★★★★,False,best
The Boy and the Heron,06 Jan 2024,★★★★★,False,dis how u lif
Nope,25 Dec 2023,★★★★½,False,
Scarface,23 Dec 2023,★★★★½,False,vital! tragic! don’t buy the marketing or it could happen to you!
Remember the Night,22 Dec 2023,★★★★,False,ahhhh — lots of surprises in this one…
The Muppet Christmas Carol,21 Dec 2023,,False,
Avengers: Age of Ultron,21 Dec 2023,★★★★½,False,lol w/ padre… marvel should stuck to making giant-sized TV // uh… comic book…movies
Old Joy,18 Dec 2023,★★★★,True,"me after every Kelly;‘you know what?… she’s right, ’"
It's a Wonderful Life,17 Dec 2023,★★★★★,True,wear scarves to take them off like last scene Marytake anyone out of context & they look crazylearn to ask for help don’t think you know (another) life
Puss in Boots: The Last Wish,17 Dec 2023,★★★½,False,perrito perritgoat
A Charlie Brown Christmas,11 Dec 2023,★★★★★,False,find the true meaning of Christmas?!!win moNEY MONEY MONEY?!!!
Red Desert,05 Dec 2023,★★★★½,False,
La Notte,02 Dec 2023,★★★★★,True,(de)compositions
La Notte,27 Nov 2023,★★★★★,True,(de)compositions
Babette's Feast,21 Nov 2023,★★★★★,False,"art is eternal, impact unseen, still potent.laughed butts off, swooned hearts openinstant all timerBabette — BABETTE!!"
Snake in the Eagle's Shadow,21 Nov 2023,★★★½,False,
Fire Dragon,21 Nov 2023,★★★,False,
May December,19 Nov 2023,★★★★½,False,
Nam June Paik: Moon Is the Oldest TV,19 Nov 2023,,False,
La Jetée,15 Nov 2023,★★★★★,False,
The Lord of the Rings: The Return of the King,15 Nov 2023,★★★★★,False,
The Lord of the Rings: The Two Towers,15 Nov 2023,★★★★½,False,
The Lord of the Rings: The Fellowship of the Ring,15 Nov 2023,★★★★★,True,
Pitch Black,12 Nov 2023,,False,
The Time to Live and the Time to Die,09 Nov 2023,★★★★★,False,
Anatomy of a Fall,02 Nov 2023,★★★★,False,
What Time Is It There?,01 Nov 2023,★★★★★,False,
The Nightmare Before Christmas,01 Nov 2023,★★★★★,False,best Halloween ever
Yi Yi,01 Nov 2023,★★★★★,True,
"It's the Great Pumpkin, Charlie Brown",01 Nov 2023,★★★★★,False,
Killers of the Flower Moon,23 Oct 2023,★★★★½,False,
Hamlet,19 Oct 2023,,False,
Ugetsu,12 Oct 2023,★★★,False,
Days of Heaven,08 Oct 2023,★★★★★,False,
Holy Motors,08 Oct 2023,★★★,False,
Farewell My Concubine,06 Oct 2023,★★★★,False,
Avengers: Age of Ultron,05 Oct 2023,★★★★½,False,lol w/ padre… marvel should stuck to making giant-sized TV // uh… comic book…movies
The Avengers,04 Oct 2023,★★★★★,False,
Illusions,01 Oct 2023,★★★★★,False,
Daughters of the Dust,01 Oct 2023,★★★★★,False,
A Town Called Tempest,23 Sep 2023,★★★★,False,
Hold Me While I'm Naked,23 Sep 2023,,False,
Born of the Wind,23 Sep 2023,,False,
The Craven Sluck,23 Sep 2023,,False,
Nowhere,17 Sep 2023,★★★½,True,
The End of Summer,15 Sep 2023,★★★,False,
3x3D,09 Sep 2023,★★★½,False,
Goodbye to Language,09 Sep 2023,★★,False,
Floating Weeds,08 Sep 2023,★★★★½,False,
The Goonies,03 Sep 2023,★★★★,False,
The Verdict,30 Aug 2023,★★★★,False,
The Godfather,29 Aug 2023,★★★★★,False,
Rogue One: A Star Wars Story,23 Aug 2023,★★★,False,
TÁR,20 Aug 2023,★★,False,
Afire,19 Aug 2023,★★½,False,
West Side Story,19 Aug 2023,★★★,False,
Nights of Cabiria,18 Aug 2023,★★★★½,False,
Three Times,17 Aug 2023,★★★★★,False,
The Sacrifice,09 Aug 2023,★★★½,False,
Marcel the Shell with Shoes On,05 Aug 2023,,False,
2001: A Space Odyssey,05 Aug 2023,★★★★½,False,
The Lord of the Rings: The Return of the King,05 Aug 2023,★★★★★,False,
Who Framed Roger Rabbit,30 Jul 2023,★★★★,False,
The Wiz,27 Jul 2023,★★★★★,False,
The Grandmaster,27 Jun 2023,★★★★★,False,
The Godfather,25 Jun 2023,★★★★★,False,
Vertigo,20 Jun 2023,★★★★★,False,
Fantasia,18 Jun 2023,★★★★,True,
Water Lilies,15 Jun 2023,★★★★½,False,
Paisan,14 Jun 2023,,False,
Spider-Man: Across the Spider-Verse,10 Jun 2023,★★★★½,False,
The River,07 Jun 2023,★★★★★,False,
Days,30 May 2023,★★★★★,True,
An American Tail,25 May 2023,,False,
Dust in the Wind,14 May 2023,★★★★★,False,
F for Fake,11 May 2023,★★★★★,False,
Chang Can Dunk,01 May 2023,★★★★★,False,
Barry Lyndon,01 May 2023,★★★★½,False,
Cléo from 5 to 7,24 Apr 2023,★★★★½,False,
Juno,24 Apr 2023,★★★,False,
Porco Rosso,20 Apr 2023,★★★½,False,
Showing Up,16 Apr 2023,★★★★½,False,
A Short Story,04 Apr 2023,★★★★★,False,
Taipei Story,03 Apr 2023,★★★★½,False,
Shaolin Soccer,03 Apr 2023,★★★★,False,
A Short Story,03 Apr 2023,★★★★★,False,
Andrei Rublev,28 Mar 2023,★★★★★,False,
Petite Maman,25 Mar 2023,★★★★½,False,best
Showing Up,23 Mar 2023,★★★★½,False,
Journey to Italy,23 Mar 2023,★★★★★,False,
Journey to Italy,20 Mar 2023,★★★★★,False,
A Short Story,15 Mar 2023,★★★★★,False,
Europe '51,09 Mar 2023,★★★★★,False,
Chang Can Dunk,09 Mar 2023,★★★★★,False,
Chang Can Dunk,06 Mar 2023,★★★★★,False,
The Heroic Trio,04 Mar 2023,★★★★,False,
The Hand,25 Feb 2023,★★★★★,False,
Triangle of Sadness,22 Feb 2023,★★★½,False,
Mr. Deeds Goes to Town,19 Feb 2023,★★★★½,False,
Flowers of Shanghai,11 Feb 2023,★★★★★,False,
Millennium Mambo,05 Feb 2023,★★★★½,True,
Millennium Mambo,04 Feb 2023,★★★★½,True,
"Good Men, Good Women",03 Feb 2023,★★★★★,False,
Women Talking,01 Feb 2023,★★★,False,
Stromboli,29 Jan 2023,★★★★,False,
Bringing Up Baby,25 Jan 2023,★★★★★,True,
The Lord of the Rings: The Return of the King,22 Jan 2023,★★★★★,False,
The Seven Faces of Jane,14 Jan 2023,,False,
Shin Ultraman,12 Jan 2023,★★★½,True,
The Wind Rises,06 Jan 2023,,False,
Mirror,03 Jan 2023,,False,
"Goodbye, Dragon Inn",02 Jan 2023,★★★★★,False,
Avatar: The Way of Water,31 Dec 2022,★★★★,False,
It's a Wonderful Life,31 Dec 2022,★★★★★,True,wear scarves to take them off like last scene Marytake anyone out of context & they look crazylearn to ask for help don’t think you know (another) life
Butch Cassidy and the Sundance Kid,24 Dec 2022,★★★★½,False,
Big Deal on Madonna Street,23 Dec 2022,★★★★,False,
Fanny and Alexander,23 Dec 2022,,False,
EO,17 Dec 2022,★★½,False,
Drive My Car,16 Dec 2022,★★★★½,False,
The Souvenir: Part II,16 Dec 2022,,False,
In Front of Your Face,16 Dec 2022,,False,
It's a Wonderful Life,14 Dec 2022,★★★★★,True,wear scarves to take them off like last scene Marytake anyone out of context & they look crazylearn to ask for help don’t think you know (another) life
Avatar: The Way of Water,12 Dec 2022,★★★★,False,
Wuss,11 Dec 2022,★★★★★,False,
Only the Moon Stands Still,11 Dec 2022,★★★★★,True,
La Dolce Vita,02 Dec 2022,★★★★½,False,
The Last Emperor,29 Nov 2022,★★★,False,
In the Mood for Love,27 Nov 2022,★★★★★,True,
The Fast and the Furious: Tokyo Drift,26 Nov 2022,★★★,False,
The Truman Show,23 Nov 2022,★★★,False,
A Gentle Night,23 Nov 2022,,False,
Bones and All,20 Nov 2022,★★★★,False,
Eat Drink Man Woman,19 Nov 2022,★★★★★,False,
Women Talking,19 Nov 2022,★★★★,False,
Big Daddy,19 Nov 2022,,False,
The Lord of the Rings: The Two Towers,19 Nov 2022,★★★★½,False,
Spa Night,16 Nov 2022,,False,
Moonstruck,10 Nov 2022,★★★★½,False,
Into The Violet Belly,09 Nov 2022,,False,
Further and Further Away,09 Nov 2022,,False,
The Lord of the Rings: The Fellowship of the Ring,07 Nov 2022,★★★★★,True,
The Novelist's Film,07 Nov 2022,,False,
Yi Yi,05 Nov 2022,★★★★★,True,
"BARDO, False Chronicle of a Handful of Truths",03 Nov 2022,,False,
It's Raining Frogs Outside,30 Oct 2022,,False,
Barbarian,29 Oct 2022,★★★★,False,
Three Times,25 Oct 2022,★★★★★,False,
Ali: Fear Eats the Soul,17 Oct 2022,,False,
Landscape in the Mist,14 Oct 2022,,False,
Princess Mononoke,07 Oct 2022,★★★★★,False,
Ju Dou,04 Oct 2022,★★★,False,
Red Sorghum,02 Oct 2022,★★★,False,
Rouge,28 Sep 2022,★★★★,False,
Dynasty,27 Sep 2022,★★★,False,
Maborosi,20 Sep 2022,★★★★★,False,
Dreams,19 Sep 2022,★★★,False,
An Evening,19 Sep 2022,,False,
Chan Is Missing,17 Sep 2022,★★★,False,
Wandering,07 Sep 2022,,False,
Are You Still There?,05 Sep 2022,,False,
Bruce Springsteen: The Promise – The Making of Darkness on the Edge of Town,05 Sep 2022,,False,
"4 Months, 3 Weeks and 2 Days",31 Aug 2022,,False,
Hybridity,26 Aug 2022,,False,
A City of Sadness,24 Aug 2022,★★★★½,False,
Mishima: A Life in Four Chapters,24 Aug 2022,★★★,False,
First Cow,14 Aug 2022,★★★★,True,
Yi Yi,12 Aug 2022,★★★★★,True,
Wuss,12 Aug 2022,★★★★★,False,
A New Apartment,11 Aug 2022,,False,
Three Times,10 Aug 2022,★★★★★,False,
Springsteen On Broadway,10 Aug 2022,★★★★★,False,
The Curse of Quon Gwon: When the Far East Mingles with the West,10 Aug 2022,,False,
Hannah Gadsby: Nanette,10 Aug 2022,,False,
Uncharted,10 Aug 2022,★½,False,
And So We Put Goldfish in the Pool.,09 Aug 2022,★★★★★,False,
A City of Sadness,09 Aug 2022,★★★★★,False,
My Neighbor Totoro,06 Aug 2022,★★★★★,False,
Three Colours: White,06 Aug 2022,★★★,False,
And So We Put Goldfish in the Pool.,28 Jul 2022,,False,
Big Night!,28 Jul 2022,★★½,False,
All the Crows in the World,26 Jul 2022,,False,
Virgin Blue,25 Jul 2022,★★★,False,
Retouch,21 Jul 2022,,False,
Irma Vep,21 Jul 2022,★★,False,
One-Tenth of a Millimeter Apart,20 Jul 2022,,False,
Thunder Road,20 Jul 2022,,False,
Before Sunset,18 Jul 2022,★★★,False,
Mouth to Mouth,11 Jul 2022,,True,
Everything Everywhere All at Once,09 Jul 2022,★★★★,False,
Clara Sola,09 Jul 2022,★★★★½,False,
Before Sunrise,05 Jul 2022,★★★,False,
A Summer at Grandpa's,04 Jul 2022,★★★★½,True,
No Time to Die,01 Jul 2022,★★★,False,
Floating Clouds,24 Jun 2022,★★★½,False,
Dog,22 Jun 2022,,False,
Milk,22 Jun 2022,,False,
The Hole,21 Jun 2022,★★★½,False,
Daughter of the Nile,18 Jun 2022,★★★★½,False,
Sweet Smell of Success,18 Jun 2022,★★★½,False,
Five Graves to Cairo,12 Jun 2022,★★★½,False,
La Notte,08 Jun 2022,★★★★½,True,(de)compositions
Flowers of Shanghai,05 Jun 2022,★★★★★,False,
Run Lola Run,03 Jun 2022,★★★½,False,
Millennium Mambo,02 Jun 2022,★★★★★,True,
L'Âge d'Or,01 Jun 2022,,False,
Un Chien Andalou,01 Jun 2022,,False,
An Elephant Sitting Still,29 May 2022,★★★★,False,
Petite Maman,23 May 2022,★★★★,False,best
The Unbearable Weight of Massive Talent,19 May 2022,★★,False,
Dust in the Wind,17 May 2022,★★★★★,False,
The Godfather: Part II,10 May 2022,★★★★★,False,
Spring in a Small Town,01 May 2022,★★★★★,False,
Stray Dogs,29 Apr 2022,★★★★★,False,
Kiss Me Deadly,28 Apr 2022,★★★★,False,
The Grandmaster,28 Apr 2022,★★★★★,False,
Bruce Springsteen: The Promise – The Making of Darkness on the Edge of Town,18 Apr 2022,★★★★★,False,
The Breaking Point,10 Apr 2022,★★★★,False,
Stray Dog,07 Apr 2022,★★★★,False,
Bringing Up Baby,02 Apr 2022,★★★★★,True,
His Girl Friday,02 Apr 2022,★★★★★,False,
Millennium Mambo,30 Mar 2022,★★★★★,True,
The Godfather,28 Mar 2022,★★★★★,False,
La Dolce Vita,26 Mar 2022,★★★★★,False,
Sankofa,24 Mar 2022,★★★★★,False,
"Goodbye, Dragon Inn",22 Mar 2022,★★★★★,False,
To Live,18 Mar 2022,★★★★½,False,
Iron Monkey,16 Mar 2022,★★★★½,False,
Hero,16 Mar 2022,★★★★★,True,
Days,14 Mar 2022,★★★★★,True,
Pom Poko,11 Mar 2022,★★★★,False,
The Batman,09 Mar 2022,★★,False,
Raise the Red Lantern,08 Mar 2022,★★★★★,False,
Death on the Nile,04 Mar 2022,★★,False,
What Animals See,03 Mar 2022,★★,False,
#GeorgeWashington,03 Mar 2022,½,False,
Teen Titans: Trouble in Tokyo,03 Mar 2022,★★★★,False,
Madea's Family Reunion,02 Mar 2022,★★★★,False,
The Goddess,01 Mar 2022,★★★★,False,
Nomad,22 Feb 2022,★★★★½,True,
The Gospel According to St. Matthew,22 Feb 2022,★★,False,
Raise the Red Lantern,18 Feb 2022,★★★★★,False,
Spring in a Small Town,17 Feb 2022,★★★★★,False,
A Small Town in China,16 Feb 2022,★★★★★,False,
Hard Boiled,14 Feb 2022,★★★★★,True,
Drive My Car,05 Feb 2022,★★★½,False,
The Powerpuff Girls Movie,31 Jan 2022,,False,
Buenos Aires Zero Degree: The Making of 'Happy Together',31 Jan 2022,★★★★★,False,
My Blueberry Nights,28 Jan 2022,,False,
My Blueberry Nights,28 Jan 2022,,False,
My Heart Is That Eternal Rose,28 Jan 2022,★★★★,False,
La Dolce Vita,27 Jan 2022,★★★★★,False,
La Dolce Vita,25 Jan 2022,★★★★★,False,
Three Times,23 Jan 2022,★★★★★,False,
The Hand,23 Jan 2022,★★★★★,False,
Night Falls,22 Jan 2022,,False,
Age of Bloom,20 Jan 2022,★★★★½,True,
Hard Boiled,19 Jan 2022,★★★★★,True,
"Good Men, Good Women",14 Jan 2022,★★★★★,False,
"Good Men, Good Women",12 Jan 2022,★★★★★,False,
Chitty Chitty Bang Bang,08 Jan 2022,★★★½,False,
Harry Potter 20th Anniversary: Return to Hogwarts,08 Jan 2022,,False,
"Lust, Caution",07 Jan 2022,★★★★★,False,
Fine China,06 Jan 2022,,False,
Branded to Kill,06 Jan 2022,★★★★★,False,
The Time to Live and the Time to Die,05 Jan 2022,★★★★★,False,
Paprika,05 Jan 2022,★★★★,False,
Fallen Angels,04 Jan 2022,★★★★★,False,
As Tears Go By,04 Jan 2022,★★★★½,False,
The Hand,03 Jan 2022,★★★★★,False,
Princess Mononoke,02 Jan 2022,★★★★½,False,
The Philadelphia Story,31 Dec 2021,★★★★½,True,
Buzz Lightyear of Star Command: The Adventure Begins,31 Dec 2021,★★★★,False,
Nightmare Alley,29 Dec 2021,★★★,False,
Don't Look Up,28 Dec 2021,,False,
It's a Wonderful Life,26 Dec 2021,★★★★★,True,wear scarves to take them off like last scene Marytake anyone out of context & they look crazylearn to ask for help don’t think you know (another) life
Spider-Man 2,26 Dec 2021,★★★★½,False,
A Charlie Brown Christmas,25 Dec 2021,★★★★★,False,find the true meaning of Christmas?!!win moNEY MONEY MONEY?!!!
Never-Ending Man: Hayao Miyazaki,22 Dec 2021,,False,
Spider-Man: No Way Home,22 Dec 2021,,False,
The Many Adventures of Winnie the Pooh,19 Dec 2021,,False,
Only the Moon Stands Still,19 Dec 2021,★★★★★,True,
Prisoners of the Ghostland,17 Dec 2021,★★½,False,
The Spring River Flows East,16 Dec 2021,,False,
After Life,10 Dec 2021,★★★½,False,
Millennium Mambo,10 Dec 2021,★★★★★,True,
The Assassin,08 Dec 2021,★★★★★,False,
Clara Sola,05 Dec 2021,★★★★½,False,
Tropic Thunder,02 Dec 2021,,False,
The Princess Bride,01 Dec 2021,★★★★★,False,
Over the Garden Wall,25 Nov 2021,,False,
Belfast,22 Nov 2021,★★,False,
The Rider,21 Nov 2021,★★★★½,True,
The Toll of the Sea,20 Nov 2021,,False,
Eternals,12 Nov 2021,,False,
The Power of the Dog,08 Nov 2021,★★★★,False,
"Goodbye, Dragon Inn",07 Nov 2021,★★★★½,False,
The French Dispatch,03 Nov 2021,★★★★,False,
Last Night in Soho,28 Oct 2021,★★★,False,
Passing,24 Oct 2021,★★★★,False,
Citizen Kane,20 Oct 2021,★★★★★,False,
Weekend,18 Oct 2021,★★½,False,
Kiki's Delivery Service,12 Oct 2021,★★★★½,False,
Beyond the Infinite Two Minutes,12 Oct 2021,★★★,False,
Lamb,08 Oct 2021,★★½,False,
Venom: Let There Be Carnage,03 Oct 2021,★½,False,
Daughter of the Nile,01 Oct 2021,★★★★½,False,
Happy Together,28 Sep 2021,★★★★★,False,
Dune,26 Sep 2021,★★½,False,
Howl's Moving Castle,26 Sep 2021,★★★★½,False,
The Assassin,24 Sep 2021,★★★★★,False,
The Hand,23 Sep 2021,★★★★★,False,
Center Stage,22 Sep 2021,★★★★½,True,
Mission: Impossible II,20 Sep 2021,★★½,False,
Transit,19 Sep 2021,★★★★½,False,
Only the Moon Stands Still,18 Sep 2021,★★★★★,True,
Buenos Aires Zero Degree: The Making of 'Happy Together',18 Sep 2021,★★★★★,False,
Western Stars,15 Sep 2021,★★★★½,True,
Blue Bayou,13 Sep 2021,★★,False,
2046,11 Sep 2021,★★★★★,True,
The Voyeurs,10 Sep 2021,,False,
A Brighter Summer Day,06 Sep 2021,★★★★★,False,
Shang-Chi and the Legend of the Ten Rings,05 Sep 2021,★★★★,False,
Cure,03 Sep 2021,,False,
Uncle Boonmee Who Can Recall His Past Lives,29 Aug 2021,★★★★★,False,
YẾN,28 Aug 2021,,False,
Pulang,28 Aug 2021,,False,
Suzhou River,28 Aug 2021,★★★★,False,
Days,18 Aug 2021,★★★★½,True,
Mouth to Mouth,14 Aug 2021,,True,
The Suicide Squad,14 Aug 2021,★★★,False,
Point Break,11 Aug 2021,★★★★½,False,
Million Dollar Mermaid,09 Aug 2021,★★½,False,
The Green Knight,07 Aug 2021,★★★,False,
The Awful Truth,05 Aug 2021,★★★★,False,
Chinese Odyssey 2002,04 Aug 2021,★★★★,False,
Poetry,03 Aug 2021,★★★★,False,
Paddington 2,30 Jul 2021,★★★½,False,
Burn After Reading,27 Jul 2021,★★★★,False,
In Our Time,25 Jul 2021,★★★,False,
Trick 'r Treat,25 Jul 2021,★★,False,
L'Eclisse,25 Jul 2021,★★★★½,False,
Gunpowder Milkshake,25 Jul 2021,★★½,False,
Fireworks,19 Jul 2021,★★★★★,False,
Pig,19 Jul 2021,★★★,False,
Violent Cop,17 Jul 2021,★★★½,False,
Paddington,15 Jul 2021,★★★½,False,
Black Widow,10 Jul 2021,★★★½,False,
No Sudden Move,04 Jul 2021,★★★½,False,
"That Day, on the Beach",03 Jul 2021,★★★★½,False,
Police Story 3: Super Cop,01 Jul 2021,★★½,False,
Project A,30 Jun 2021,★★½,False,
Barbara,29 Jun 2021,★★★,False,
L'Avventura,29 Jun 2021,★★★★½,False,
Only the Moon Stands Still,26 Jun 2021,★★★★★,True,
The Cranes Are Flying,25 Jun 2021,,False,
"Comrades, Almost a Love Story",23 Jun 2021,★★★★,True,
Heat,22 Jun 2021,★★★,True,
Fallen Angels,19 Jun 2021,★★★★★,False,
Red Desert,19 Jun 2021,★★★★★,False,
In the Mood for Love,16 Jun 2021,★★★★★,True,
Harry Potter and the Chamber of Secrets,13 Jun 2021,,False,
Shaolin Soccer,09 Jun 2021,★★★★,False,
Black Swell,08 Jun 2021,,False,
Bo Burnham: Inside,07 Jun 2021,,False,
"Good Men, Good Women",05 Jun 2021,★★★★½,False,
Fort Apache,05 Jun 2021,★★★★½,False,
Final Victory,05 Jun 2021,★★★½,False,
The Ballad of Buster Scruggs,04 Jun 2021,,False,
Dust in the Wind,26 May 2021,★★★★★,False,
The Red Balloon,24 May 2021,,False,
Street Angel,23 May 2021,★★★★★,True,
The Skywalk Is Gone,23 May 2021,,False,
Farewell My Concubine,20 May 2021,,False,
The Hand,06 May 2021,★★★★★,False,
F for Fake,04 May 2021,★★★★★,False,
Center Stage,03 May 2021,★★★★,True,
The Goddess,02 May 2021,★★★★,False,
Flowers of Taipei: Taiwan New Cinema,29 Apr 2021,,False,
Taste of Cherry,28 Apr 2021,,True,
Casablanca,26 Apr 2021,★★★★★,False,
Tenet,26 Apr 2021,,False,
Raging Bull,17 Apr 2021,★★★★½,False,
Cruel Story of Youth,17 Apr 2021,,True,
Buenos Aires Zero Degree: The Making of 'Happy Together',15 Apr 2021,★★★★★,False,
You Can't Take It with You,15 Apr 2021,★★★½,False,
A Rough History (of the destruction of fingerprints),15 Apr 2021,,True,
The Man Who Shot Liberty Valance,14 Apr 2021,★★★★★,False,
The Immortal Story,13 Apr 2021,,False,
A Chinese Ghost Story,12 Apr 2021,★★★,False,
Glass,08 Apr 2021,,True,
Amarcord,07 Apr 2021,★★★★★,False,
Mr. Smith Goes to Washington,05 Apr 2021,★★★★½,True,
Daughter of the Nile,03 Apr 2021,★★★★,False,
Zack Snyder's Justice League,24 Mar 2021,,False,
Batman v Superman: Dawn of Justice,15 Mar 2021,★★,False,
A City of Sadness,11 Mar 2021,★★★★★,False,
Nomad,10 Mar 2021,★★★★½,True,
Journey to Italy,02 Mar 2021,★★★★½,False,
The Lord of the Rings: The Return of the King,28 Feb 2021,★★★★★,False,
Spring in a Small Town,27 Feb 2021,★★★★,False,
Minari,25 Feb 2021,★★★★,False,
The Lord of the Rings: The Two Towers,21 Feb 2021,★★★★★,False,
The Lord of the Rings: The Fellowship of the Ring,20 Feb 2021,★★★★★,True,
Nomadland,19 Feb 2021,★★★★½,False,
Fallen Angels,18 Feb 2021,★★★★★,False,
A Summer at Grandpa's,18 Feb 2021,★★★★,True,
Eat Drink Man Woman,16 Feb 2021,★★★★★,False,
Three Times,15 Feb 2021,★★★★★,False,
