Movie,Date Watched,Rating,Liked,Review
Jules,15 Jan 2024,,False,
Vanilla Sky,15 Jan 2024,,False,
The Curse,14 Jan 2024,,False,Failing upwards. There's a really great short film at the end of this - I plead the fifth on the rest!
How to Train Your Dragon,12 Jan 2024,★★★½,True,
Soul,11 Jan 2024,★★★★½,True,"""It was scary but I like of liked that too."""
Koyaanisqatsi,10 Jan 2024,★★★★★,True,
Final Destination 3,09 Jan 2024,★★★,True,
Birth,09 Jan 2024,★★★★★,True,"""Your man is here."""
My Cousin Vinny,07 Jan 2024,★★★★½,True,
Lone Star,07 Jan 2024,★★★★½,True,"""It's their country."""
Inside Llewyn Davis,06 Jan 2024,★★★★★,True,"""...But thank you, for trying. I love you."""
Face/Off,06 Jan 2024,★★★★½,True,
Boiler Room,04 Jan 2024,★★★,True,
Demonlover,03 Jan 2024,,True,
My Cousin Vinny,02 Jan 2024,★★★★,True,
Funeral Parade of Roses,01 Jan 2024,,True,
In Fabric,01 Jan 2024,★★★,False,
Johnny Got His Gun,01 Jan 2024,★★★½,True,
High School Musical,01 Jan 2024,★★★★★,True,Starting the new year off right.
Minding the Gap,31 Dec 2023,★★★★★,True,
The Boy and the Heron,30 Dec 2023,★★★½,True,
Bad Santa,26 Dec 2023,★★★½,True,"""Don't take no shit from nobody, least of all yourself."""
It's a Wonderful Life,25 Dec 2023,★★★★★,True,
The Iron Claw,25 Dec 2023,★★★★½,True,
How the Grinch Stole Christmas!,25 Dec 2023,★★★★★,True,
"Christmas, Again",25 Dec 2023,★★★★,True,
It's a Wonderful Life,25 Dec 2023,★★★★★,True,
I Now Pronounce You Chuck & Larry,24 Dec 2023,★½,False,"Feels like you can tell which scenes Alexander Payne wrote. Adam Sandler makes out with Jessica Biel to Radiohead at one point, really weird document."
All of Us Strangers,23 Dec 2023,★★★★,True,
Lost Highway,23 Dec 2023,,True,
Be Here to Love Me,22 Dec 2023,,True,"The opening line for (Quicksilver Daydreams of) Maria is my favorite of any song I've heard, so I'm predisposed to loving this. Not to be an enabler (though I'm sure it would be the same the other way around), but some of the destructive drinks and hangs in this do seem fun."
Blaze Foley: Duct Tape Messiah,21 Dec 2023,,True,"Lots of great, entertaining anecdotes surrounding such an outstandingly captivating personally. But that brief tangent about an especially tired Blaze Foley sharing a quiet moment with his girlfriend -   performing If I Could Only Fly while they both cry - like come on I'm not made of stone."
Mulholland Drive,19 Dec 2023,,True,
Beau Is Afraid,19 Dec 2023,★★★★★,True,"A fully realized, idiosyncratic piece of feelbad vibes. Expected this to not land as well at home or show some worn elements, but this is at every minute hitting big swings out of the park"
Game Over,19 Dec 2023,★★★★,True,
Date Night,18 Dec 2023,,False,
Poor Things,17 Dec 2023,★★★★½,True,
The Zone of Interest,17 Dec 2023,★★★★★,True,What the fuck do I even say here? Totally floored.
Wonka,17 Dec 2023,★★,False,
Rebel Moon - Part One: A Child of Fire,16 Dec 2023,,True,
"Silent Night, Deadly Night Part 2",12 Dec 2023,,True,
Deep Sky,10 Dec 2023,,False,
Godzilla Minus One,10 Dec 2023,★★★★½,True,
The Boy and the Heron,10 Dec 2023,★★★½,True,
Poor Things,09 Dec 2023,★★★★★,True,
Godzilla Minus One,06 Dec 2023,★★★★½,True,
Dragged Across Concrete,05 Dec 2023,★★★½,True,
Oppenheimer,03 Dec 2023,★★★★,True,
Brawl in Cell Block 99,01 Dec 2023,★★★★,True,
Shame,01 Dec 2023,★★★★½,True,
Bone Tomahawk,01 Dec 2023,★★★★,True,
Wind River,30 Nov 2023,★★★½,True,
The Seventh Curse,27 Nov 2023,,True,
Before Midnight,26 Nov 2023,★★★★★,True,
Before Sunset,26 Nov 2023,★★★★★,True,
Before Sunrise,26 Nov 2023,★★★★★,True,
Training Day,25 Nov 2023,★★★½,True,
The Hunger Games: The Ballad of Songbirds & Snakes,25 Nov 2023,★★★,True,
Napoleon,25 Nov 2023,★★½,False,
Halloween II,25 Nov 2023,★★★½,True,
A Charlie Brown Thanksgiving,23 Nov 2023,★★½,False,
Fantastic Mr. Fox,23 Nov 2023,★★★★★,True,
Four Christmases,23 Nov 2023,★★★,False,
The Texas Chain Saw Massacre,22 Nov 2023,★★★★★,True,
Dream Scenario,20 Nov 2023,★★★,True,
Scott Pilgrim Takes Off,19 Nov 2023,,True,
The Holdovers,18 Nov 2023,★★★★,True,
Zoolander,17 Nov 2023,,False,
Italian Movie,15 Nov 2023,,False,
A Tale of Two Sisters,14 Nov 2023,★★★★½,True,
Saltburn,13 Nov 2023,★★,False,
Guardians of the Galaxy Vol. 3,13 Nov 2023,★★★★,True,
Resident Evil: Death Island,12 Nov 2023,,False,
The Marvels,10 Nov 2023,★★,False,
Quiz Lady,05 Nov 2023,,True,
The Killer,01 Nov 2023,★★★★,True,
To Live and Die in L.A.,23 Oct 2023,★★★★½,True,
Beetlejuice,23 Oct 2023,★★★½,True,
Trick 'r Treat,23 Oct 2023,,True,
When Evil Lurks,22 Oct 2023,,False,
Beauty and the Beast,22 Oct 2023,★★★★★,True,
Hulk,21 Oct 2023,★★★½,True,
Killers of the Flower Moon,19 Oct 2023,★★★★½,True,
Barbarian,17 Oct 2023,★★★★,True,
King of the Ants,17 Oct 2023,★★★,True,
It's Such a Beautiful Day,16 Oct 2023,★★★★★,True,
Poor Things,15 Oct 2023,★★★★★,True,
Star Wars: The Last Jedi,15 Oct 2023,★★★★½,True,
Ferrari,13 Oct 2023,★★★★,True,
The Fly,12 Oct 2023,★★★★★,True,
Maniac,09 Oct 2023,★★★,False,
Maniac,09 Oct 2023,½,False,
The Texas Chain Saw Massacre,09 Oct 2023,★★★★★,True,
My house walk-through,09 Oct 2023,,False,
The Exorcist,08 Oct 2023,★★★★★,True,
Over the Garden Wall,08 Oct 2023,,True,
The Frighteners,07 Oct 2023,★★★,True,
Priscilla,06 Oct 2023,★★★★½,True,
Smashed,05 Oct 2023,★★★★,True,
The Creator,05 Oct 2023,★★★,True,
Dead Ringers,02 Oct 2023,★★★★,True,
Flora and Son,01 Oct 2023,★★★,True,
Saw X,01 Oct 2023,★★★½,True,
The Swan,30 Sep 2023,,True,
The Wonderful Story of Henry Sugar,29 Sep 2023,★★★★★,True,
The Lion King,28 Sep 2023,,True,
Great Expectations,27 Sep 2023,,False,
The Hunger,25 Sep 2023,,True,
Down with Love,24 Sep 2023,★★★★,True,
Sing Street,24 Sep 2023,★★★★★,True,
Vacation Friends,23 Sep 2023,,True,
No One Will Save You,23 Sep 2023,,False,
Bottoms,18 Sep 2023,★★★★,True,
Stop Making Sense,11 Sep 2023,★★★★★,True,
Lawrence of Arabia,10 Sep 2023,★★★★★,True,
Smoking Causes Coughing,04 Sep 2023,,False,
Dead Calm,04 Sep 2023,★★★★,True,
Asteroid City,04 Sep 2023,★★★★★,True,
Batman: Mask of the Phantasm,01 Sep 2023,★★★★½,True,
Oldboy,26 Aug 2023,★★★★½,True,
Southland Tales,26 Aug 2023,,True,
Asteroid City,26 Aug 2023,★★★★★,True,
Munchausen,26 Aug 2023,,False,
The Strange Thing About the Johnsons,26 Aug 2023,★★★★½,True,
Bottoms,25 Aug 2023,★★★★½,True,
The Fountain,22 Aug 2023,★★★,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,20 Aug 2023,★★★★,True,
Oppenheimer,17 Aug 2023,,True,
Barbie,14 Aug 2023,★★★★,True,
The Apartment,13 Aug 2023,★★★★★,True,
No Hard Feelings,13 Aug 2023,★★★,True,
Talk to Me,11 Aug 2023,,False,
Pee-wee's Big Adventure,09 Aug 2023,★★★★½,True,
The Super Mario Bros. Movie,06 Aug 2023,★★½,True,
Gangs of New York,03 Aug 2023,★★★½,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,02 Aug 2023,★★★★,True,
Asteroid City,02 Aug 2023,★★★★★,True,
Kamen Rider ZO,31 Jul 2023,★★★★,True,
Shutter Island,30 Jul 2023,★★★★½,True,
The Departed,28 Jul 2023,★★★★★,True,
Crash,27 Jul 2023,★★★★★,True,
Oppenheimer,26 Jul 2023,,True,
The Happening,23 Jul 2023,★★★½,True,
Transformers: Rise of the Beasts,23 Jul 2023,★½,False,
Barbie,21 Jul 2023,★★★★½,True,
Donnie Darko,19 Jul 2023,★★★★½,True,
Don't Look Now,16 Jul 2023,★★★★½,True,
Bumblebee,16 Jul 2023,★★★,False,
Transformers: The Last Knight,16 Jul 2023,★★½,False,
Mission: Impossible – Dead Reckoning Part One,15 Jul 2023,★★★★,True,
Pain & Gain,11 Jul 2023,,True,
BlackBerry,09 Jul 2023,★★★½,True,
Asteroid City,04 Jul 2023,★★★★★,True,
Asteroid City,02 Jul 2023,,True,
The Life Aquatic with Steve Zissou,02 Jul 2023,★★★★,True,
The Iron Claw,28 Jun 2023,★★★★,True,
Superstar: The Karen Carpenter Story,26 Jun 2023,★★★★★,True,
He Was Once,26 Jun 2023,★★★½,True,
Red & Rosy,26 Jun 2023,★★★½,True,
Transformers: Age of Extinction,25 Jun 2023,★★,False,
Superman II,25 Jun 2023,★★★,False,
Superman,24 Jun 2023,★★★★★,True,
Spider-Man: Across the Spider-Verse,14 Jun 2023,★★★★½,True,
Avatar: The Way of Water,10 Jun 2023,★★★★★,True,
Spider-Man: Across the Spider-Verse,01 Jun 2023,★★★★½,True,
Bram Stoker's Dracula,30 May 2023,★★★★½,True,
Tetsuo: The Iron Man,30 May 2023,★★★★★,True,
Skinamarink,29 May 2023,★★★★½,True,
The Lost Boys,28 May 2023,,False,
Star Wars,28 May 2023,★★★★★,True,
Queen of the Damned,27 May 2023,,True,
Renfield,26 May 2023,★★,False,
The Little Mermaid,25 May 2023,★★,False,
How to Blow Up a Pipeline,22 May 2023,★★★½,True,
Fast & Furious 6,21 May 2023,★★★★,True,
BlackBerry,19 May 2023,★★★★,True,
Fast Five,18 May 2023,★★★★,True,
Fool's Paradise,15 May 2023,★★,False,
Guardians of the Galaxy Vol. 3,14 May 2023,★★★★,True,
Ready or Not,14 May 2023,★★½,False,
Indiana Jones and the Temple of Doom,13 May 2023,★★★,False,
Raiders of the Lost Ark,13 May 2023,★★★★★,True,
Fast & Furious,13 May 2023,★★,False,
Beau Is Afraid,10 May 2023,★★★★★,True,"A fully realized, idiosyncratic piece of feelbad vibes. Expected this to not land as well at home or show some worn elements, but this is at every minute hitting big swings out of the park"
Beau Is Afraid,09 May 2023,★★★★½,True,"A fully realized, idiosyncratic piece of feelbad vibes. Expected this to not land as well at home or show some worn elements, but this is at every minute hitting big swings out of the park"
The Iron Giant,08 May 2023,★★★★★,True,
The Village,08 May 2023,★★★★★,True,
Anomalisa,07 May 2023,★★★★½,True,
True Lies,07 May 2023,★★★★★,True,
Jaws,06 May 2023,★★★★,True,
Guardians of the Galaxy Vol. 3,04 May 2023,★★★★,True,
Star Wars,04 May 2023,★★★★★,True,
John Mulaney: Baby J,03 May 2023,,True,
Saw,02 May 2023,★★★½,True,
Michael,01 May 2023,★½,False,
Beau Is Afraid,30 Apr 2023,★★★★½,True,"A fully realized, idiosyncratic piece of feelbad vibes. Expected this to not land as well at home or show some worn elements, but this is at every minute hitting big swings out of the park"
The Face of Another,23 Apr 2023,★★★★½,True,
22 Jump Street,23 Apr 2023,★★★,False,
21 Jump Street,23 Apr 2023,★★★½,True,
The Book of Henry,23 Apr 2023,,False,
The Peanut Butter Solution,23 Apr 2023,★★★★★,True,
The Shining,22 Apr 2023,★★★★★,True,
xXx: State of the Union,22 Apr 2023,★★,False,
Riki-Oh: The Story of Ricky,19 Apr 2023,★★★★,True,
Evil Dead Rise,18 Apr 2023,★★★½,True,
Shrek,16 Apr 2023,★★★★,True,
Infinity Pool,13 Apr 2023,★★★★½,True,
Michael Clayton,12 Apr 2023,★★★★,True,
Shazam! Fury of the Gods,12 Apr 2023,★,False,
