Movie,Date Watched,Rating,Liked,Review
The Hunger Games: Catching Fire,15 Jan 2024,,False,
The Hunger Games: The Ballad of Songbirds & Snakes,14 Jan 2024,,False,
Poor Things,12 Jan 2024,,False,
The Hunger Games,12 Jan 2024,,False,
The Virgin Suicides,11 Jan 2024,,True,
A Rainy Day in New York,07 Jan 2024,,False,
The Talented Mr. Ripley,04 Jan 2024,,False,
Atonement,02 Jan 2024,,False,
Beautiful Boy,31 Dec 2023,,False,
Wonka,28 Dec 2023,,False,
Barbie,26 Dec 2023,★★★★★,True,"Barbie refferencing Pride and Prejudice(1995) with Colin Firth was never in my wildest imagination, but something so absolutely valid"
"Red, White & Royal Blue",26 Dec 2023,,False,
Bottoms,26 Dec 2023,,False,
Saltburn,25 Dec 2023,,False,
Quicksand,19 Dec 2023,,False,
Leave the World Behind,12 Dec 2023,,False,
Fanny and Alexander,10 Dec 2023,,True,
Priscilla,03 Dec 2023,,False,
Child's Play 2,02 Dec 2023,,False,
The Hunger Games: Catching Fire,27 Nov 2023,,False,
Dazed and Confused,21 Nov 2023,,True,
The Rat Catcher,18 Nov 2023,,False,
Fantastic Mr. Fox,18 Nov 2023,,True,
His Girl Friday,07 Nov 2023,,False,
Star Wars: The Rise of Skywalker,03 Nov 2023,,False,
Star Wars: The Last Jedi,02 Nov 2023,,False,
Killers of the Flower Moon,01 Nov 2023,,False,
Gemini Man,25 Oct 2023,,False,
How to Lose a Guy in 10 Days,04 Sep 2023,,False,
Me Before You,28 Aug 2023,,False,
Red Desert,18 Aug 2023,★★★★½,True,
Girl in the Basement,17 Aug 2023,,False,
Barbie,12 Aug 2023,★★★★★,True,"Barbie refferencing Pride and Prejudice(1995) with Colin Firth was never in my wildest imagination, but something so absolutely valid"
Drive,12 Aug 2023,,False,
The Notebook,06 Aug 2023,,False,
Past Lives,02 Aug 2023,,False,
La La Land,20 Jul 2023,★★★★★,True,
Barbie,19 Jul 2023,★★★★★,True,"Barbie refferencing Pride and Prejudice(1995) with Colin Firth was never in my wildest imagination, but something so absolutely valid"
The Whale,13 Jul 2023,,False,
Mysterious Skin,28 Jun 2023,,False,
Ran,26 Jun 2023,,True,
Asteroid City,12 Jun 2023,,True,
An Affair,04 Jun 2023,,False,
Triangle of Sadness,03 Jun 2023,,False,
The Banshees of Inisherin,30 May 2023,,True,
Aftersun,28 May 2023,,True,
Il Posto,12 May 2023,,True,
The Banshees of Inisherin,01 May 2023,,True,
The Last Laugh,29 Apr 2023,,False,
Closer,29 Mar 2023,,False,
Key Largo,27 Mar 2023,,False,
Trainspotting,20 Mar 2023,,True,
Everything Everywhere All at Once,14 Mar 2023,★★★★★,True,
Love Actually,26 Dec 2022,★★★,False,
The Red Shoes,27 Nov 2022,,True,
Freddy's Dead: The Final Nightmare,26 Nov 2022,,False,
A Nightmare on Elm Street: The Dream Child,26 Nov 2022,,False,
Bones and All,26 Nov 2022,,False,
Before Midnight,30 Oct 2022,,True,At this point I’ve just based my whole personality off of Celine. There’s not a thought or action I do without being influenced by her way of living
Before Sunset,30 Oct 2022,★★★★★,True,
Before Sunrise,30 Oct 2022,★★★★★,True,
A Nightmare on Elm Street 4: The Dream Master,29 Oct 2022,,False,
A Nightmare on Elm Street 3: Dream Warriors,29 Oct 2022,,False,
Pride & Prejudice,20 Oct 2022,,True,
Blue Is the Warmest Color,19 Oct 2022,,False,
Sick of Myself,18 Oct 2022,,True,
Dahmer – Monster: The Jeffrey Dahmer Story,13 Oct 2022,,False,
A Woman Is a Woman,29 Sep 2022,★½,False,
C'mon C'mon,22 Sep 2022,,False,
Carrie,31 Aug 2022,★★★★½,True,
The Phantom of the Opera,18 Aug 2022,,False,
Phantom of the Opera: Behind the Mask,16 Aug 2022,,False,
The Phantom of the Opera at the Royal Albert Hall,16 Aug 2022,,False,
The Phantom of the Opera,05 Aug 2022,,False,
The Big City,02 Aug 2022,,False,
"Paris, Texas",31 Jul 2022,★★★★★,True,
Apur Sansar,30 Jul 2022,,False,
Paprika,29 Jul 2022,,False,
"The Adventures of Priscilla, Queen of the Desert",28 Jul 2022,★★★★½,True,
The Lobster,27 Jul 2022,★★★★,True,
Donnie Darko,27 Jul 2022,★★★★½,True,
Elvis,26 Jul 2022,,False,
Solaris,26 Jul 2022,,True,
In the Mood for Love,25 Jul 2022,★★★★★,True,
The Shining,24 Jul 2022,,True,
Casablanca,02 Jul 2022,,False,
Clark,19 Jun 2022,,False,
Room,13 Jun 2022,,True,
The Phantom of the Opera,09 Jun 2022,,False,
Once Upon a Time… in Hollywood,05 Jun 2022,★★★½,False,
Everything Everywhere All at Once,26 May 2022,★★★★★,True,
Cléo from 5 to 7,22 May 2022,,False,
Odd Man Out,16 May 2022,,False,
Kiss of the Spider Woman,12 May 2022,,False,
The Da Vinci Code,18 Apr 2022,★,False,
The French Dispatch,18 Apr 2022,,True,
Accattone,31 Mar 2022,,False,
The Program,31 Mar 2022,,False,
The Tree of Wooden Clogs,31 Mar 2022,,False,
The Hand of God,27 Mar 2022,,False,
The King's Choice,26 Mar 2022,,False,
Tropic Thunder,26 Mar 2022,,False,
Red Rocket,13 Mar 2022,,False,
Troll Hunter,13 Mar 2022,,False,
Smokey and the Bandit,12 Mar 2022,,False,
The Power of the Dog,06 Mar 2022,,False,
Nacho Libre,06 Mar 2022,,False,
Licorice Pizza,27 Feb 2022,,True,
Breaking the Waves,15 Feb 2022,,True,
The Killing of a Sacred Deer,13 Feb 2022,★★★★½,True,
Drive My Car,06 Feb 2022,,True,
Crash,11 Jan 2022,,False,
Phenomena,04 Jan 2022,,False,
Mamma Mia!,02 Jan 2022,,False,
ABBA Forever: A Celebration,02 Jan 2022,,False,
The Bee Gees: How Can You Mend a Broken Heart,02 Jan 2022,,False,
Beatles,01 Jan 2022,,False,
Cinema Paradiso,01 Jan 2022,★★★★★,True,
The Pickup Game,29 Dec 2021,,False,
Becoming Bond,27 Dec 2021,,False,
Fanny and Alexander,26 Dec 2021,★★★★★,True,
Love Actually,19 Dec 2021,★★★,False,
Steel Magnolias,16 Dec 2021,,False,
