Movie,Date Watched,Rating,Liked,Review
Entertainment,12 Jan 2024,,True,How it feels to be a non-union actor
The Dirties,11 Jan 2024,,False,Gave me flashbacks to my high school Film Club in the worst way
I Love You Phillip Morris,11 Jan 2024,,False,I love when he dyes the prison uniform with sharpie ink
The Killing of a Sacred Deer,11 Jan 2024,,False,More like the Griffin of a Sacred Peter
The Pope of Greenwich Village,09 Jan 2024,,True,People being bad at committing crimes is easily one of my favorite genres
Promising Young Woman,08 Jan 2024,,False,"Between Clancy Brown in this and Richard E Grant in Saltburn, Fennel really knows how to cast a dad"
Summer of Sam,07 Jan 2024,,True," Probably not a film that most people would see and think “I wish I could’ve watched this with my mom” but I guess I’m not most people and neither was she. My mom was 14 in the summer of 77, living in the Woodlawn neighborhood of Yonkers right on the border of the Bronx. Throughout my life she told me stories of the Irish-Italian neighborhood where she grew up full of guys in gold cross necklaces working on their muscle… "
Saltburn,27 Dec 2023,,False,The Talented Mr Ripley for the Tik Tok crowd
Priscilla,26 Dec 2023,,False," Sadly so many of the artists I’ve idolized throughout my life have turned out to be remarkably bad people in their personal livesSophia continually twists the knife by making Elordi’s Elvis appear charming and mysterious, and the scenes at the beginning of him and Priscilla’s bizarre courtship frequently play out in a way that tugs at the heartstrings, until the context of these scenes (Priscilla being 14) is reiterated or Elvis does something inane and cruel and the viewer… "
The Invention of Lying,20 Dec 2023,,False,Eric Andre is in this movie for about three seconds and his performance is astounding
Pleasantville,13 Dec 2023,,True,Cried multiple times throughout
Saturday Night Fever,08 Dec 2023,,True,Can already feel this becoming one of my favorite movies
Velvet Goldmine,04 Dec 2023,,True,
Little Children,01 Dec 2023,,True,
Blood Ties,28 Nov 2023,,False,
Amsterdam,25 Nov 2023,,False,
Love & Mercy,12 Nov 2023,,True,
Five Nights at Freddy's,04 Nov 2023,,False,
Killers of the Flower Moon,25 Oct 2023,,True,
Candyman,22 Oct 2023,,True,
The Shining,21 Oct 2023,,True,
Jodi Arias: Dirty Little Secret,20 Oct 2023,,False,
Green Room,13 Oct 2023,,True,
Mad Monster Party?,10 Oct 2023,★★★★★,True,
The Pale Blue Eye,05 Oct 2023,,False,
New Rose Hotel,05 Oct 2023,,True,
Dracula 2000,25 Sep 2023,,False,
Cryptozoo,25 Sep 2023,,False,
Young Frankenstein,25 Sep 2023,★★★★,True,
Mary Shelley's Frankenstein,23 Sep 2023,,False,
The Slammin' Salmon,20 Sep 2023,,False,
Martin,19 Sep 2023,,True,
Return to Oz,18 Sep 2023,,True,
School for Scoundrels,03 Sep 2023,,False,
One Hour Photo,03 Sep 2023,,True,
American Splendor,03 Sep 2023,,False,
Role Models,22 Aug 2023,,False,
Superbad,22 Aug 2023,★★★★★,True,
Black Mirror: Fifteen Million Merits,21 Aug 2023,,False,
Talk to Me,16 Aug 2023,,True,
Barbie,16 Aug 2023,,True,
After Hours,16 Aug 2023,,False,
Asteroid City,16 Aug 2023,,True,
The Pee-wee Herman Show,10 Aug 2023,,True,
Watching the Detectives,10 Aug 2023,,False,
I Still See You,27 Jul 2023,,False,
Lawless,11 Jul 2023,,True,
Let's Get Lost,12 Jun 2023,,True,
Born to Be Blue,12 Jun 2023,,False,
The Souvenir,10 Jun 2023,,True,
The Killing of a Chinese Bookie,27 May 2023,,True,
Confessions of a Dangerous Mind,22 May 2023,,True,
Singin' in the Rain,20 May 2023,,True,
Chicago,15 May 2023,★★★,False,
"sex, lies, and videotape",06 May 2023,★★★★★,True,
Elvis,05 May 2023,,True,
Chungking Express,03 May 2023,,True,
A Good Person,03 May 2023,,False,
Irma Vep,27 Apr 2023,,True,
Hairspray,27 Apr 2023,,True,
John Mulaney: Baby J,25 Apr 2023,,True,
I Know This Much Is True,15 Apr 2023,★★★★★,True,
BEEF,14 Apr 2023,,True,
Jackass: The Movie,31 Mar 2023,,True,
Detachment,26 Mar 2023,,True,
The Whale,23 Feb 2023,,False,
