Movie,Date Watched,Rating,Liked,Review
Monster,12 Jan 2024,★★★★★,True,"went in blind. i thought some big creepy, parasite-style twist will be revealed from the third perspective and boy was i wrong. never have i thought that the root of it all would be so heartfelt and warm. this is soooo for me.""If only some people can have it, that's not happiness. That's just nonsense. Happiness is something anyone can have."""
A Very Good Girl,07 Jan 2024,★★★★,False,imma give it a high rating cuz its so cunty lmao
Saltburn,02 Jan 2024,★★★★,False,he literally fucked earth
Dream Scenario,30 Dec 2023,★★★★½,False,this is so unconventional and i love it
Thanksgiving,23 Dec 2023,★★,False,i love that it's all camp slasher and shit but it's still a bad movie 💀
"Shake, Rattle & Roll Extreme",17 Dec 2023,★★★½,False,"i had fun omg better than i expected!2/5 - Glitch (umm...)4/5 - Mukbang (good editing and well-paced)3/5 - Rage (It's okay, could've been better)"
Bros,14 Dec 2023,★★½,False,bruh
Leave the World Behind,11 Dec 2023,★★★,False,
Wonka,08 Dec 2023,★★★,False,diabetes
May December,02 Dec 2023,★★★½,False,
The Holdovers,01 Dec 2023,★★★★½,False,just give Paul Giamatti the oscar please
BLUE EYE SAMURAI,28 Nov 2023,★★★★½,False,episode 5 is the best thing ever
The Hunger Games: The Ballad of Songbirds & Snakes,20 Nov 2023,★★★½,False,"is it just me, or the movie is really dark?"
Third World Romance,19 Nov 2023,★★★½,False,"the long shots are so good, beb"
Inside Out,14 Nov 2023,★★★★★,False,
Oppenheimer,13 Nov 2023,★★½,False,
Quiz Lady,07 Nov 2023,★★★★½,False,
The Hunger Games: Mockingjay – Part 2,04 Nov 2023,★★★½,False,
The Hunger Games: Mockingjay – Part 1,03 Nov 2023,★★★½,False,
When Evil Lurks,01 Nov 2023,★★★,False,
A Haunting in Venice,31 Oct 2023,★★★½,False,
Five Nights at Freddy's,28 Oct 2023,★½,False,
Kiki's Delivery Service,27 Oct 2023,★★★★★,True,
The Fall of the House of Usher,21 Oct 2023,★★★½,False,
Once Upon a Studio,20 Oct 2023,,False,
Little Miss Sunshine,17 Oct 2023,★★★★★,False,
Taylor Swift: The Eras Tour,14 Oct 2023,★★★★★,False,
But I'm a Cheerleader,11 Oct 2023,★★★★½,False,
Poison,09 Oct 2023,★★★,False,
The Wonderful Story of Henry Sugar,09 Oct 2023,★★★★,False,
Totally Killer,08 Oct 2023,★★★,False,
Concrete Utopia,29 Sep 2023,★★½,False,
"tick, tick...BOOM!",27 Sep 2023,★★★★,False,
Watcher,25 Sep 2023,★★★★,False,
No One Will Save You,23 Sep 2023,★★★★,False,
Bottoms,23 Sep 2023,★★★★,False,
Ratatouille,21 Sep 2023,★★★★★,False,
Under the Silver Lake,20 Sep 2023,★★½,False,
Theater Camp,18 Sep 2023,★★★½,False,
Past Lives,15 Sep 2023,★★★★½,False,
School of Rock,14 Sep 2023,★★★★,False,
Barbie,12 Sep 2023,★★★★★,False,
Talk to Me,12 Sep 2023,★★★★,False,
Elemental,18 Aug 2023,★★★½,False,
"Red, White & Royal Blue",11 Aug 2023,★★★★★,False,
No Hard Feelings,10 Aug 2023,★★★★,False,
Us,31 Jul 2023,★★★★,False,
Joy Ride,28 Jul 2023,★★★★,False,
Little Women,24 Jul 2023,★★★★½,False,
Barbie,20 Jul 2023,★★★★★,False,
Hercules,19 Jul 2023,★★★,False,
Booksmart,18 Jul 2023,★★★★,False,
The Blackening,15 Jul 2023,★★★,False,
Asteroid City,13 Jul 2023,★★★★,False,
Nimona,09 Jul 2023,★★★★½,False,
Room,07 Jul 2023,★★★★★,False,
Paddington,01 Jul 2023,★★★★,False,
Words Bubble Up Like Soda Pop,28 Jun 2023,★★★★,False,
"The Boy, the Mole, the Fox and the Horse",26 Jun 2023,★★½,False,
Black Mirror: Demon 79,19 Jun 2023,★★★★,False,
Black Mirror: Mazey Day,19 Jun 2023,★★★,False,
Black Mirror: Beyond the Sea,18 Jun 2023,★★★★,False,
Black Mirror: Loch Henry,16 Jun 2023,★★★★½,False,
Black Mirror: Joan Is Awful,16 Jun 2023,★★★★,False,
Beau Is Afraid,14 Jun 2023,★★★★,False,
Pan's Labyrinth,13 Jun 2023,★★★★,False,
Who Framed Roger Rabbit,12 Jun 2023,★★★,False,
Werewolf by Night,07 Jun 2023,★★★★,False,
Leonor Will Never Die,06 Jun 2023,★★★½,False,
Bullet Train,04 Jun 2023,★★★½,False,
Spider-Man: Across the Spider-Verse,03 Jun 2023,★★★★★,False,
Inside the Mind of a Cat,02 Jun 2023,,True,
Spider-Man: Into the Spider-Verse,01 Jun 2023,★★★★½,False,
Incendies,30 May 2023,★★★★★,False,
The Little Mermaid,27 May 2023,★★★½,False,
Interstellar,20 May 2023,★★★★★,False,
Guardians of the Galaxy Vol. 3,19 May 2023,★★★★,False,
Cruella,18 May 2023,★★★½,False,
Shutter Island,17 May 2023,★★★★½,False,
Evil Dead Rise,12 May 2023,★★★★½,False,
Evil Dead Rise,09 May 2023,★★★★½,False,
Her,07 May 2023,★★★★½,False,
Petite Maman,06 May 2023,★★★★,False,
Dungeons & Dragons: Honor Among Thieves,05 May 2023,★★★★,False,
Scream VI,26 Apr 2023,★★½,False,
Prey,06 Apr 2023,★★★,False,
Everything Everywhere All at Once,21 Mar 2023,★★★★★,False,
Cocaine Bear,14 Mar 2023,★,False,
The Hunger Games: Catching Fire,12 Mar 2023,★★★★,False,
The Hunger Games,11 Mar 2023,★★★½,False,
Missing,10 Mar 2023,★★★★½,False,
Ocean's Eight,07 Mar 2023,★★★,False,
The Truman Show,02 Mar 2023,★★★★★,False,
The Princess and the Frog,25 Feb 2023,★★★,False,
Knock at the Cabin,25 Feb 2023,★★★,False,
The Whale,23 Feb 2023,★★★★½,False,
Moana,19 Feb 2023,★★★★★,False,
Infinity Pool,17 Feb 2023,★★★½,False,
The Little Mermaid,17 Feb 2023,★★½,False,
Ten Little Mistresses,16 Feb 2023,★★★★½,False,
Inside Llewyn Davis,13 Feb 2023,★★★,False,
Spider-Man: No Way Home,13 Feb 2023,★★★★★,False,
Shang-Chi and the Legend of the Ten Rings,12 Feb 2023,★★★★,False,
Barber's Tales,11 Feb 2023,★★★★★,False,
Black Panther: Wakanda Forever,10 Feb 2023,★★★★,False,
Sick,08 Feb 2023,★★★½,False,
Babylon,07 Feb 2023,★★★★★,False,
The Girl and The Gun,07 Feb 2023,★★★★,False,
28 Weeks Later,29 Jan 2023,★★★,False,
28 Days Later,28 Jan 2023,★★★,False,
Avatar: The Way of Water,27 Jan 2023,★★★½,False,
Avatar,26 Jan 2023,★★★½,False,
M3GAN,25 Jan 2023,★★½,False,
Puss in Boots: The Last Wish,15 Jan 2023,★★★★½,False,
The Evil Dead,11 Jan 2023,★★★,False,
Legally Blonde,11 Jan 2023,★★★,False,
Violent Night,07 Jan 2023,★,False,
The Strangers,07 Jan 2023,★★½,False,
Evil Dead,06 Jan 2023,★★★★,False,
Chicago,05 Jan 2023,★★★★,False,
Possession,05 Jan 2023,★★,False,
