Movie,Date Watched,Rating,Liked,Review
The Iron Claw,26 Dec 2023,★★★★,False,"Walks that line of a cliche sports drama, pulling from its tradition and subverting it enough to make something even more powerful. The performances easily took it over the top, grounding each scene in some rugged, stoic face just on the edge of tears. I’m here for the brothers."
May December,25 Dec 2023,★★★,False," The tabloid-ism of this film is not only at the center of its plot, but its entire construction. It is a testament to the unreal and our own infatuation with an endless stream of frivolous stories. No matter how humane we might see ourselves, those juicy details will always outweigh any interest in the truth. May December holds a mirror to such a nasty, universal habit - caking even the most sobering of stories with dramatic one-liners and orchestral hits.… "
Leave the World Behind,10 Dec 2023,★½,False,What are you trying to tell us Obama?
Dream Scenario,05 Dec 2023,★★★½,False,Great concept but ultimately felt unsure of itself and couldn’t really hold interest.
Saltburn,01 Dec 2023,★★★★,False,Just relax and enjoy the scenery.
The Hunger Games: The Ballad of Songbirds & Snakes,25 Nov 2023,★★½,False,No one vetoed the three extra broadway songs here?
Fair Play,22 Nov 2023,★★★½,False,
Dumb Money,21 Nov 2023,★★,False,
The Killer,20 Nov 2023,★★★½,False,
Killers of the Flower Moon,16 Nov 2023,★★★,False,"While I rarely hold anything against a longer runtime, this one certainly felt tedious. Mainly because there was little progression of its plot or characters. We understood the identities and actions of the three leads in the first ten minutes and not much changed to keep me intrigued. The story didn't evolve enough to warrant the time spent."
Priscilla,06 Nov 2023,★★★½,False,"I liked a lot about this, especially the patience and stillness in which it used to tell a story that could have easily gone too far in the opposite direction. However I do think this same element that created so much claustrophobia and discomfort also led bits to feel pretty tedious and too muted to really keep me in."
The Royal Hotel,03 Nov 2023,★★,False,
Anatomy of a Fall,15 Oct 2023,★★★★½,False,I will think about this for a long time.
2001: A Space Odyssey,12 Jun 2023,★★★★★,False,I felt things I have never felt before...
The Graduate,29 May 2023,★★★★½,True,Making aimlessness look so aesthetically pleasing.
"The Good, the Bad and the Ugly",24 May 2023,★★★★,False,I want this theme to play every time I walk in a room.
Air,20 May 2023,★½,False,
The Sound of Music,18 May 2023,★★★½,False,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,11 May 2023,★★★★½,True,
Charade,27 Apr 2023,★★½,False,
Lawrence of Arabia,15 Apr 2023,★★★★,False,
The Innocents,08 Apr 2023,★★★,False,
The Apartment,27 Mar 2023,★★★½,False,
North by Northwest,22 Mar 2023,★★★★,False,
Vertigo,12 Mar 2023,★★★½,False,
12 Angry Men,05 Mar 2023,★★★★½,False,
The Searchers,26 Feb 2023,★★½,False,
The Night of the Hunter,19 Feb 2023,★★★½,False,
Rear Window,12 Feb 2023,★★★★,False,
Roman Holiday,31 Jan 2023,★★★,False,
Singin' in the Rain,30 Jan 2023,★★★★½,False,
Strangers on a Train,23 Jan 2023,★★★★½,False,
Sunset Boulevard,16 Jan 2023,★★★,False,
Women Talking,14 Jan 2023,★★★★,False,
M3GAN,08 Jan 2023,★★½,False,
The Banshees of Inisherin,26 Dec 2022,★★★★,False,
Glass Onion,25 Dec 2022,★★½,False,
She Said,21 Dec 2022,★★★½,False,
The Unbearable Weight of Massive Talent,30 Nov 2022,★★½,False,
Bullet Train,30 Nov 2022,★★½,False,
The Texas Chain Saw Massacre,30 Oct 2022,★★½,False,
Rosemary's Baby,30 Oct 2022,★★★★½,False,
Psycho,26 Oct 2022,★★½,False,
Suspiria,25 Oct 2022,★★★★,False,
The Exorcist,24 Oct 2022,★★★★½,False,
Halloween,23 Oct 2022,★★★½,False,
Poltergeist,20 Oct 2022,★★,False,
Scream,18 Oct 2022,★★★½,False,
TÁR,15 Oct 2022,★★★★,False,
A Nightmare on Elm Street,12 Oct 2022,★★★½,False,
Don't Worry Darling,25 Sep 2022,★★½,False,
Pearl,21 Sep 2022,★★★½,False,
Do Revenge,20 Sep 2022,★★,False,
The Woman King,18 Sep 2022,★★★,False,
Barbarian,14 Sep 2022,★★★★,False,
Funny Pages,03 Sep 2022,★★★,False,
Fire of Love,24 Aug 2022,★★★★½,False,
Not Okay,22 Aug 2022,★★★★,False,
