Movie,Date Watched,Rating,Liked,Review
Bottoms,05 Nov 2023,★★★★★,False,The image of Rachel smiling up at her when she says “you’re supposed to be fighting me off” will be seared in my brain forever.
Shiva Baby,15 Aug 2023,★★★★★,False,"I felt this movie in the bridge of my nose—the pressure, my god."
Memento,14 Aug 2023,★★★½,False,This guy has no idea what’s going on
Slumber Party Massacre II,02 Aug 2023,★★★★½,False,*cackles*
Earth Girls Are Easy,27 Jul 2023,★★★½,False,It’s true.
Candyman,23 Jul 2023,★★★★½,False,"Ages like a fine wine. A sweet treat, dear I say. Helen forever."
Lake Placid,23 Jul 2023,★★★,False,I have not and will continue to not like water.
Showgirls,20 Jul 2023,★★★★½,False,Or you’re 🫵 going to jump 🤨 to your conclusion 😠
Phantom Thread,17 Jul 2023,★★★★★,False,One of my absolute all time favorites.
Elvira's Haunted Hills,13 Jul 2023,★★★★½,False,Freddy!!!
Kingsman: The Secret Service,13 Jul 2023,★★★★,False,
Kingsman: The Golden Circle,13 Jul 2023,★★★,False,
The Keep,10 Jul 2023,★★★★,False,
Road House,08 May 2023,★★★★★,False,I mean this so seriously: Patrick fucking Swayze.
Pee-wee's Big Adventure,01 May 2023,★★★★★,False,I’m not afraid to admit it. I’m in love with Pee-Wee Herman.
Phenomena,12 Apr 2023,★★★★★,False,
Point Break,10 Apr 2023,★★★★★,False,
The People Under the Stairs,09 Apr 2023,★★★★★,False,
Kiki's Delivery Service,28 Mar 2023,★★★★★,False,
Bottle Rocket,27 Mar 2023,★★★★½,False,
John Wick: Chapter 2,24 Mar 2023,★★★★,False,
Aftersun,26 Feb 2023,★★★★★,False,
"Hail, Caesar!",24 Feb 2023,★★★★,False,
Skinamarink,23 Feb 2023,★★★★,False,
John Wick,19 Feb 2023,★★★½,False,
Waiting for Guffman,19 Feb 2023,★★★★½,False,
M3GAN,19 Feb 2023,★★,False,
Crimson Peak,16 Feb 2023,★★★★,False,
Escape from New York,05 Feb 2023,★★★★,False,
A Lizard in a Woman's Skin,01 Feb 2023,★★★★½,False,
The Banshees of Inisherin,22 Jan 2023,★★★★,False,
Marcel the Shell with Shoes On,22 Jan 2023,★★★★★,False,
"Elvira, Mistress of the Dark",17 Jan 2023,★★★★,False,
White Noise,02 Jan 2023,★★★½,False,
Bullet Train,29 Dec 2022,★★★,False,
Anger Management,27 Dec 2022,★★★,False,
Glass Onion,25 Dec 2022,★★½,False,
The Waterboy,19 Dec 2022,★★★★★,False,
The Wedding Singer,19 Dec 2022,★★★★,False,
Semi-Pro,28 Nov 2022,★★★½,False,
Spirited,24 Nov 2022,½,False,
Idiocracy,13 Nov 2022,★★★★★,False,
Hubie Halloween,13 Nov 2022,★★★★,False,
Scream,01 Nov 2022,★★★,False,
The Blair Witch Project,30 Oct 2022,★★★★,False,
Death Spa,27 Oct 2022,★★★★,False,
Misery,25 Oct 2022,★★★★½,False,
Nosferatu,25 Oct 2022,★★★★,False,
Scream 4,23 Oct 2022,★★★,False,
Pearl,21 Oct 2022,★★★★,False,
Insidious,16 Oct 2022,★★★★,False,
A Compassionate Spy,13 Oct 2022,★★★★½,False,
The Ring,11 Oct 2022,★★★★,False,
Shutter Island,08 Oct 2022,★★★★,False,
Magic,06 Oct 2022,★★★★,False,
Bodies Bodies Bodies,05 Oct 2022,★★★½,False,
The House by the Cemetery,04 Oct 2022,★★,False,
From Dusk Till Dawn,03 Oct 2022,★★★★,False,
Ghostbusters,02 Oct 2022,★★½,False,
Barbarian,01 Oct 2022,★★★★½,False,
Prince of Darkness,01 Oct 2022,★★★,False,

Followers
sholby,timfinch,thedarkbean,carolynlalonde,bigtimetommy,t2bestmovie,rachelannebartz,wh0re4gbb,mikemcchillin,chase_hauser,_supersonick,finalbeyza,iandickens,bagglebones,oliviacrandall

Following
sholby,timfinch,rachelannebartz,wh0re4gbb,bigtimetommy,t2bestmovie,1990volvo240,bagglebones,finalbeyza,iandickens,mikemcchillin,_supersonick,lzbthvdngrnd,chase_hauser,oliviacrandall,kate_doyle
