Movie,Date Watched,Rating,Liked,Review
Layer Cake,08 Jan 2024,★★,False,
Sexy Beast,08 Jan 2024,★★★,False,
Apocalypto,03 Jan 2024,★★★★,False,
Training Day,01 Jan 2024,★★,False,
The Truman Show,26 Dec 2023,★★★★★,False,
Mission: Impossible III,26 Dec 2023,★,False,
Chinatown,24 Dec 2023,★★★★,False,
Godzilla Minus One,23 Dec 2023,★★,False,
Dream Scenario,23 Dec 2023,★★,False,"Uh, check please!!"
Gangster No. 1,22 Dec 2023,★★★,False,
Leave the World Behind,20 Dec 2023,★★,False,"Esmail just can’t seem to land most of his projects. An exciting first half with some admittedly cool shots, ultimately nosedives into a predictable, uninteresting pastiche of a techpocolyptic ending. Just watch the Black Ops 2 bad ending. As with most Netflix Studios releases, Leave the World Behind made for a better trailer than film."
The Gambler,03 Dec 2023,★★,False,
The Day After Tomorrow,02 Dec 2023,★,False,Lmao
The Manchurian Candidate,28 Nov 2023,★★★,False,"Surprisingly good for a remake, stacked cast doesn't phone it in, some great sequences."
The Ghost Writer,28 Nov 2023,★★,False,"Decent thriller, solid performances, some ""biting"" political commentary, not a particularly satisfying finale"
TÁR,23 Nov 2023,★★★★,False,Goated ending
Flight,18 Nov 2023,★★★★,False,
State of Grace,14 Nov 2023,★★,False,eh
Heat,12 Nov 2023,★★★★★,True,"Fifth watch in less than 2 years, one of the greatest action films of all time, brilliant"
The Killer,11 Nov 2023,★★,False,"Easier watch this second time around, much faster. Nice NIN score, some fun sequences, Michael's great, but ultimately a bit of a let down from Fincher, had a lot more potential"
The Killer,29 Oct 2023,★★★,False,"Easier watch this second time around, much faster. Nice NIN score, some fun sequences, Michael's great, but ultimately a bit of a let down from Fincher, had a lot more potential"
Rain Man,25 Oct 2023,★★★,False,
Killers of the Flower Moon,19 Oct 2023,★★★,False,
Insidious,19 Oct 2023,★,False,"Was this a student film or something, man"
Under the Skin,18 Oct 2023,★★★★,False,
Doom,18 Oct 2023,★,False,
The Boogeyman,17 Oct 2023,★★,False,
Burn After Reading,16 Oct 2023,★★★,False,
Fatal Attraction,16 Oct 2023,★,False,
Talladega Nights: The Ballad of Ricky Bobby,15 Oct 2023,★,False,yeah ok this sucks
The Menu,15 Oct 2023,★,False,
Wild Things,13 Oct 2023,★★★,False,
The Lobster,13 Oct 2023,★★★★,True,
The Mexican,13 Oct 2023,★,False,
American Made,11 Oct 2023,★★,False,
The Counselor,10 Oct 2023,★★★,False,
Reptile,02 Oct 2023,★★★,False,
The Bourne Legacy,01 Oct 2023,★★,False,
Solace,01 Oct 2023,★★,False,
Blade,29 Sep 2023,★,False,
Gangs of New York,29 Sep 2023,★★,False,
Body of Lies,28 Sep 2023,★★★,False,
Stealth,30 Aug 2023,★,False,
Swordfish,30 Aug 2023,★★,False,
Titane,29 Aug 2023,★,False,
Possessor,29 Aug 2023,★★★,False,
Oppenheimer,15 Aug 2023,★★★★,False,
Talk to Me,11 Aug 2023,★,False,
Face/Off,30 Jul 2023,★,False,
In the Earth,30 Jul 2023,★★,False,
Men,30 Jul 2023,★,False,
King Kong,29 Jul 2023,★★,False,
Crimes of the Future,29 Jul 2023,★★★,False,
Eastern Promises,28 Jul 2023,★★★★,False,
Casino,27 Jul 2023,★★★★,False,
Bringing Out the Dead,26 Jul 2023,★★,False,
Interstellar,25 Jul 2023,★★★★,False,
Memories,22 Jul 2023,★★,False,
The Contractor,22 Jul 2023,★★★,False,
Repo Men,22 Jul 2023,★★★,False,
Oppenheimer,22 Jul 2023,★★★★,False,
After Hours,15 Jul 2023,★★★,False,
Extraction 2,07 Jul 2023,★,False,
Asteroid City,22 Jun 2023,★★★★,False,
The Accountant,18 Jun 2023,★★★,False,
Avatar: The Way of Water,13 Jun 2023,★,False,
The Departed,11 Jun 2023,★★★★,True,
Ted K,09 Jun 2023,★★,False,
Good Will Hunting,21 May 2023,★★★★,True,
"Synecdoche, New York",07 May 2023,★★★★★,True,
The Negotiator,25 Apr 2023,★★,False,
The Alpinist,23 Apr 2023,,True,
Basic Instinct,22 Apr 2023,★★,False,
Frailty,22 Apr 2023,★★,False,
Blue Velvet,21 Apr 2023,★★★★,False,
Man on Fire,19 Apr 2023,★★,False,
Contact,18 Apr 2023,★★★,False,
Leaving Las Vegas,31 Mar 2023,★★★,False,
John Wick: Chapter 4,31 Mar 2023,★★,False,
The Terminator,26 Mar 2023,★★,False,
Live Free or Die Hard,25 Mar 2023,★★★,False,
Birdman or (The Unexpected Virtue of Ignorance),07 Mar 2023,★★★★,True,
Edge of Tomorrow,19 Feb 2023,★★★,False,
Suspect Zero,18 Feb 2023,★★,False,
Top Gun: Maverick,03 Feb 2023,★★,False,
You People,29 Jan 2023,★,False,
American Gigolo,15 Jan 2023,★★★,False,
Prey,06 Jan 2023,★,False,
American History X,02 Jan 2023,★★★★★,False,
Primal Fear,01 Jan 2023,★★★★,False,
The Cave,29 Dec 2022,★,False,
Primal Fear,27 Dec 2022,★★★★,False,
Glass Onion,25 Dec 2022,★,False,
Prisoners,18 Dec 2022,★★★★★,False,
The Stranger,17 Dec 2022,★★,False,
Captain Phillips,16 Dec 2022,★★★★★,False,
The Card Counter,12 Dec 2022,★★★★★,False,
Bullet Train,06 Dec 2022,★★,False,
The Interpreter,02 Dec 2022,★★,False,
The Banshees of Inisherin,02 Dec 2022,★★★,False,
The Silence of the Lambs,26 Nov 2022,★★★,False,
Ocean's Thirteen,17 Nov 2022,★,False,
The Devil's Own,16 Nov 2022,★,False,
Ocean's Twelve,16 Nov 2022,★★,False,
Contraband,10 Nov 2022,★,False,
The Informer,09 Nov 2022,★,False,
21,07 Nov 2022,★,False,
Man on a Ledge,03 Nov 2022,★,False,
All Quiet on the Western Front,02 Nov 2022,★★,False,
The Northman,27 Oct 2022,★★★★★,True,
Funny Games,26 Oct 2022,★★★,False,
The Fly,26 Oct 2022,★★,False,
Barbarian,25 Oct 2022,★,False,
Alien,23 Oct 2022,★★★★★,True,
Frank,22 Oct 2022,★★★,True,
District 9,18 Oct 2022,★★★,False,
The Dead Zone,18 Oct 2022,★★,False,
Dead Ringers,17 Oct 2022,★★★,False,
Bug,14 Oct 2022,★★★,False,
28 Days Later,13 Oct 2022,★★★,False,
Ambulance,05 Oct 2022,★,False,
Possibly in Michigan,04 Oct 2022,,True,
Creep,04 Oct 2022,★,False,
Transcendence,03 Oct 2022,★,False,
The Recruit,03 Oct 2022,★★,False,
RoboCop,01 Oct 2022,★,False,
Blow,29 Sep 2022,★★★,False,
Elysium,27 Sep 2022,★,False,
Road House,27 Sep 2022,★★,False,
The Guilty,26 Sep 2022,★,False,
Blood Diamond,15 Sep 2022,★★★★,False,
Thank You for Your Service,05 Sep 2022,★★★★,False,
Red Rocket,05 Sep 2022,★,False,
Demonic,04 Sep 2022,★,False,
Eastern Promises,03 Sep 2022,★★★,False,
