Movie,Date Watched,Rating,Liked,Review
Happy Hour,14 Jan 2024,★★★★★,True,This makes me feel way too deep. I can't even articulate
Love Streams,30 Nov 2023,★★★★★,True,"Always watching, always missing"
Gloria,16 Nov 2023,★★★★,True,The rare kinda Hollywood film that I so much enjoyed
Opening Night,02 Nov 2023,★★★★★,True,this movie feels life changing to me now...
About Dry Grasses,09 Oct 2023,★★★,False,too much talking for me
Faces,27 Sep 2023,★★★★★,True,"Too many faces pass by; we are left with only paralyzing emotions. At one point, if we found the pain is unknowingly familiar, it’s only because it’s natural and necessary to forget. If life is a giant Disney land, your true love might not land in the merry-go-around, but the bathroom you run into over and over again. If that’s only possible, if there’s still a slight chance, what a romance."
Wings of Desire,22 Aug 2023,★★★★★,True,"the world before the world, the time before the time, the love beyond the love"
The White Ribbon,13 Aug 2023,★★★★½,True,"Feel like my balls got cute off. So painful. Ready to kill a random person on the street, now I understand the kids"
The Eternal Memory,08 Aug 2023,★★★★★,True,"Life is so hard; having u is so lucky. Even if I m not here, u know u will be there with me."
The Wicker Man,05 Aug 2023,★★½,False,American cheaper version of Imamura. Stupid. Not a fan.
Contempt,01 Aug 2023,★★★,False,Hey man up Godard! boys don’t cry
Oppenheimer,28 Jul 2023,★★★★★,True,best nolan movie. Thank u
Entranced Earth,25 Jul 2023,★★★★,False,
Les Misérables,22 Jul 2023,★★★★½,True,
Branded to Kill,13 Jul 2023,★★★★,True,
Pigs and Battleships,11 Jul 2023,★★★★★,True,
Adieu Philippine,29 Jun 2023,★★★½,True,
Asteroid City,28 Jun 2023,★★★½,False,
The 400 Blows,27 Jun 2023,★★★★★,True,
Joyland,25 Apr 2023,★★★½,False,
Wild Tales,18 Apr 2023,★★★★★,True,
Y Tu Mamá También,21 Mar 2023,★★★★★,True,
City of God,07 Mar 2023,★★★★★,True,
Akira,05 Mar 2023,★★★★,False,
On the Empty Balcony,28 Feb 2023,,False,
Barren Lives,07 Feb 2023,★★★½,False,
The Twelve Chairs,31 Jan 2023,★★★★★,True,
The Young and the Damned,25 Jan 2023,★★★★½,True,
First Love,24 Jan 2023,,True,
No Bears,24 Jan 2023,★★★★½,True,
A Brighter Summer Day,27 Nov 2022,★★★★★,True,
The Banshees of Inisherin,25 Nov 2022,★★★★★,True,
Aftersun,09 Nov 2022,★★★★★,True,
You Resemble Me,06 Nov 2022,,True,
Blue Valentine,23 Dec 2021,,False,
Kirikou and the Sorceress,05 Dec 2021,,False,
"tick, tick...BOOM!",23 Nov 2021,★★★★,True,
Angry Harvest,04 Nov 2021,★★★★★,True,
"Aguirre, the Wrath of God",28 Oct 2021,,True,
Dune,22 Oct 2021,,False,
McCabe & Mrs. Miller,21 Oct 2021,,False,
Squid Game,14 Oct 2021,,True,
A Woman Under the Influence,14 Oct 2021,★★★★★,True,
The Nowhere Inn,17 Sep 2021,,False,
Raw,11 Sep 2021,,True,
"Bo Burnham: Words, Words, Words",11 Sep 2021,★★½,False,
Hiroshima Mon Amour,09 Sep 2021,★★★★★,True,
We Made a Beautiful Bouquet,01 Sep 2021,★★★½,True,
Holy Motors,01 Sep 2021,,False,
Promare,01 Sep 2021,,False,
Love in a Puff,01 Sep 2021,★★★★,False,
Love in a Puff,01 Sep 2021,★★★★,False,
Groundhog Day,01 Sep 2021,★★★★½,True,
Mishima: A Life in Four Chapters,01 Sep 2021,★★★★,True,
Cliff Walkers,01 Sep 2021,,False,
Himiko,01 Sep 2021,,True,
Bad Luck Banging or Loony Porn,01 Sep 2021,,False,
A Sun,01 Sep 2021,★★★★,True,
Bo Burnham: What.,01 Sep 2021,★★★★,True,
Bo Burnham: Make Happy,01 Sep 2021,★★★★½,True,
Soul,01 Sep 2021,,True,
Allen v. Farrow,17 Mar 2021,,False,
E.T. the Extra-Terrestrial,17 Mar 2021,,True,
Kung Fu Hustle,12 Mar 2021,★★★★½,True,
Annie Hall,12 Mar 2021,★★★★½,True,
Pickpocket,17 Jan 2021,,False,
Dekalog,03 Jan 2021,★★★★½,True,
Tada's Do-It-All House,10 Dec 2020,★★★½,True,
"Life, and Nothing More...",10 Dec 2020,★★★★★,True,
Opening Closing Forgetting,10 Dec 2020,★★★★★,True,
Hebei Taipei,10 Dec 2020,★★★★,False,
Turning 18,10 Dec 2020,★★★★,False,
The Archer,10 Dec 2020,,False,
Through the Years,10 Dec 2020,,False,
Liu Pi-Chia,10 Dec 2020,,False,
The Mountain,10 Dec 2020,,True,
Absent without Leave,10 Dec 2020,,True,
Bumming in Beijing: The Last Dreamers,10 Dec 2020,,True,
Vanilla Sky,13 Nov 2020,★★★★,False,
The Fiancés of Macdonald Bridge,13 Nov 2020,,False,
Nice and Easy,13 Nov 2020,,False,
Where Is the Friend's House?,13 Nov 2020,★★★★★,True,
ANPO: Art X War,17 Sep 2020,,False,
The Green Ray,29 Aug 2020,★★★★★,True,
Eastern Memories,16 Aug 2020,,False,
1917,09 Aug 2020,★★★,False,
Mahjong,06 Aug 2020,★★★★★,True,
Terrorizers,27 Jul 2020,★★★★,False,
The Neon Demon,21 Jul 2020,★½,False,
Ashes of Time,19 Jul 2020,,True,
The Great Buddha+,13 Jul 2020,★★★★½,True,
The Great Buddha+,13 Jul 2020,★★★★,True,
Hamilton,09 Jul 2020,,False,
Three Colours: Red,08 Jul 2020,★★★★,False,
Three Colours: White,07 Jul 2020,,False,
Eternity and a Day,06 Jul 2020,★★★★★,True,
Sweet and Lowdown,02 Jul 2020,,True,
Everyone Says I Love You,27 Jun 2020,,True,
The Lovers on the Bridge,27 Jun 2020,★★★★★,True,
Bullets Over Broadway,26 Jun 2020,,True,
Blue Jasmine,24 Jun 2020,,True,
Café Society,23 Jun 2020,,False,
Three Colours: Blue,23 Jun 2020,★★★★★,True,
Portrait of a Lady on Fire,21 Jun 2020,,True,
The Aviator's Wife,21 Jun 2020,★★★★★,True,
New York Stories,11 Jun 2020,,True,
The Sun Also Rises,08 Jun 2020,★★★★★,True,
The Shawshank Redemption,05 Jun 2020,★★★★,True,
Gone with the Bullets,05 Jun 2020,★★★★½,True,
I Am Not Your Negro,03 Jun 2020,,True,
"4 Months, 3 Weeks and 2 Days",03 Jun 2020,★★★★,False,
Cigarettes & Coffee,02 Jun 2020,,True,
Punch-Drunk Love,02 Jun 2020,★★★★★,True,
The Dark Knight,01 Jun 2020,★★★★½,True,
The Social Network,01 Jun 2020,★★★★½,True,
Bridge of Spies,28 May 2020,,False,
"Forward, Comrades",27 May 2020,,False,
Victory Day,27 May 2020,,False,
Uncle Boonmee Who Can Recall His Past Lives,26 May 2020,★★★★½,True,
Breathless,24 May 2020,★★★½,False,
The Widowed Witch,21 May 2020,★★★½,False,
Last Laugh,21 May 2020,★★★,False,
All These Sleepless Nights,20 May 2020,★★½,False,
Spring Tide,20 May 2020,★★★★,True,
Yi Yi,18 May 2020,★★★★★,True,
Amour,17 May 2020,★★★★★,True,
(500) Days of Summer,16 May 2020,,True,
Parasite,16 May 2020,★★★★½,True,
Catch Me If You Can,12 May 2020,,False,
The Double Life of Véronique,10 May 2020,★★★★½,True,
Shutter Island,09 May 2020,★★★★,True,
In the Heat of the Sun,08 May 2020,★★★★★,True,
Hidden Man,06 May 2020,★★★★,True,
Rainbow's Gravity,05 May 2020,,False,
Punch-Drunk Love,04 May 2020,★★★★★,True,
A Short Film About Love,04 May 2020,★★★★★,True,
Prisoners,03 May 2020,★★★★½,True,
Hear Me,02 May 2020,★★★★,True,
The Blood of a Poet,29 Apr 2020,,True,
Bicycle Thieves,28 Apr 2020,★★★★,False,
Mistress America,27 Apr 2020,★★,False,
Still Walking,26 Apr 2020,★★★★½,True,
The Apartment,25 Apr 2020,,False,
Frances Ha,25 Apr 2020,,False,
The Ballad of Narayama,23 Apr 2020,,False,
In the Mood for Love,21 Apr 2020,★★★★★,True,
Kaili Blues,20 Apr 2020,★★★½,False,
Osaka Elegy,16 Apr 2020,★★★★★,True,
The Purple Rose of Cairo,12 Apr 2020,★★★★½,True,
Your Name.,05 Apr 2020,★★★★,True,
Citizen Kane,01 Apr 2020,★★★★★,True,
Oldboy,30 Mar 2020,★★★★★,True,
Beneath,28 Mar 2020,,False,
Black Mirror: Bandersnatch,28 Mar 2020,★★★,False,
L'Atalante,26 Mar 2020,,True,
Little Women,24 Mar 2020,★★,False,
Say Anything...,23 Mar 2020,★★½,False,
Chungking Express,22 Mar 2020,★★★★★,True,
Dancer in the Dark,22 Mar 2020,★½,False,
At Land,22 Mar 2020,,True,
Pauline at the Beach,22 Mar 2020,,False,
The House That Jack Built,21 Mar 2020,★★★★,True,
Breaking the Waves,20 Mar 2020,★★★½,False,
Before Midnight,20 Mar 2020,,True,
Love Streams,19 Mar 2020,★★★★★,True,"Always watching, always missing"
1917,19 Mar 2020,★★½,False,
Vivre Sa Vie,19 Mar 2020,★★★½,False,
Band of Outsiders,18 Mar 2020,★★★★½,True,
Double Lover,18 Mar 2020,,False,
Fantastic Planet,18 Mar 2020,,False,
The Piano Teacher,17 Mar 2020,★★★★★,True,
La Jetée,12 Mar 2020,,False,
Seven Samurai,11 Mar 2020,★★★★,False,
Before Sunset,10 Mar 2020,,True,
My Night at Maud's,09 Mar 2020,,True,
Sunset Boulevard,08 Mar 2020,★★★½,False,
Amarcord,07 Mar 2020,★★★★★,True,
It Happened One Night,03 Mar 2020,,False,
Gold Diggers of 1933,27 Feb 2020,★★★½,False,
Two Men and a Wardrobe,26 Feb 2020,,False,
The Bakery Girl of Monceau,26 Feb 2020,,False,
M,25 Feb 2020,,True,
"Whisper, the Waves, the Wind",24 Feb 2020,,False,
Inherent Vice,23 Feb 2020,,True,
Grand Hotel,22 Feb 2020,,False,
The Green Ray,21 Feb 2020,,True,
Sunrise: A Song of Two Humans,20 Feb 2020,★★★★,True,
The Passion of Joan of Arc,18 Feb 2020,,False,
Fireworks,17 Feb 2020,★★★★,True,
Roman Holiday,15 Feb 2020,,False,
Before Sunrise,14 Feb 2020,★★★★½,True,
Ménilmontant,14 Feb 2020,★★★★,True,
The Holy Mountain,10 Feb 2020,,True,
The Holy Mountain,10 Feb 2020,,True,
I like America and America likes Me,10 Feb 2020,,False,
Symbiopsychotaxiplasm: Take One,10 Feb 2020,,False,
Rosemary's Baby,08 Feb 2020,★★★★½,True,
The Couple in the Cage,03 Feb 2020,,False,
Love Is Blind,02 Feb 2020,,False,
L'Avventura,01 Feb 2020,★★★★,True,
Claire's Knee,31 Jan 2020,★★★★½,True,
Love in the Afternoon,29 Jan 2020,,True,
Love Is Colder Than Death,27 Jan 2020,,True,
WHAT DID JACK DO?,27 Jan 2020,,False,
Floating Weeds,25 Jan 2020,★★★★½,True,
Eternal Sunshine of the Spotless Mind,25 Jan 2020,★★★½,False,
Fallen Angels,24 Jan 2020,★★★★,False,
"Diaries, Notes, and Sketches",22 Jan 2020,,True,
Long Day's Journey Into Night,14 Jan 2020,★★★★½,True,
System Crasher,09 Jan 2020,★★,False,
Badlands,04 Jan 2020,★★★★,False,
Almost a Comedy,01 Jan 2020,★★★½,False,
The Master,25 Dec 2019,★★★★★,True,
Ip Man 4: The Finale,21 Dec 2019,★½,False,
The Wild Goose Lake,18 Dec 2019,★★★½,True,
Hannah and Her Sisters,16 Dec 2019,★★★★½,True,
There Will Be Blood,16 Dec 2019,★★★★★,True,
Love and Death,14 Dec 2019,★★★★½,True,
Manhattan,02 Dec 2019,★★★★½,True,
Knives Out,29 Nov 2019,★★★½,False,
Stalker,23 Nov 2019,★★★★½,True,
Funny Games,16 Nov 2019,★★★★,False,
Midsommar,08 Nov 2019,★★★★,True,
2001: A Space Odyssey,07 Nov 2019,★★★★★,True,
"Paris, Texas",02 Nov 2019,★★★★★,True,
Audition,30 Oct 2019,★★★★,True,
Waves,23 Oct 2019,★★★½,True,
Blow-Up,23 Oct 2019,★★★★½,True,
The General,12 Oct 2019,★★★★,True,
Marie Antoinette,10 Oct 2019,★★★★,True,
Joker,05 Oct 2019,★★,False,
All That Heaven Allows,03 Oct 2019,★★★★,False,
The Big Lebowski,28 Sep 2019,★★★★,True,
This Changes Everything,25 Sep 2019,★★★★,False,

Followers
ennuitrouble,pickl,lucia_cyn,dist0rted_views,looseygoosey,taylorzeng,apocalypseliao,qalidqasim322,izzigreen,luigimarinus,tbrown17,lukamullen,amelia3,bguecia,rachel_suley,jniuts,jjrocks40,jaden2798,voidg4zer,andresburdman,amirhorror,jcxy,cjlin827,noratbsh,notsentimental,caidan,webernstein,victoriadam,the399blows,telizabeth,nosailize,chasemayo,huskey,comradeocean,adamkubrick,thema1,bleachness,josephineca,genatossio30001,neobhatia,imawater,jenyhuis,ph03b3,tuaha,timosha,drilreviews,wjacobson124,cantdice,iemano,_kate,comicbookguy52,btricks,torta,oliviadecamps,mayanapuri,o_serkan_o,topaz41,sherwinyu99,alicethelam,crackfox45,mrvpstn,mattgrowly,wesfilmseries,alyssacado,varghese_no1,tresor,heathercassell,marshallonfilm_,charlierau,hyunburger,anniening,oliviamiller,davemhanley83,dan_felix,theomatza,tophatattack,joblessfahadh,tiffanyz,sebogrady,cbinkan,wilsonlai,lristov,omgjaye,christo1,quentinr,jjlev

Following
ennuitrouble,deepcutpod,lucia_cyn,apocalypseliao,taylorzeng,bguecia,amelia3,timcop,jjrocks40,pbh00,angelato,andresburdman,rachel_suley,cjlin827,caidan,noratbsh,victoriadam,webernstein,the399blows,notsentimental,telizabeth,agastak,punchdrunklizzy,dog_in_a_boat,ingridgoeswest
