Movie,Date Watched,Rating,Liked,Review
Death Lends a Hand,15 Jan 2024,★★★½,True,
Ned Rifle,14 Jan 2024,★★★½,True,
Murder by the Book,13 Jan 2024,★★★½,True,
Ransom for a Dead Man,12 Jan 2024,★★★½,True,
Fay Grim,11 Jan 2024,★★★½,True,Who's fooling who?
Fool Me Once,10 Jan 2024,★★★,False,
How to Play Football,06 Jan 2024,★★★,True,
The Holdovers,31 Dec 2023,★★★★★,True,
Henry Fool,28 Dec 2023,★★★½,True,"“I’ve let myself be caught in the bloody maw of banal necessity.” So is this the theme of Henry's ""confession""?"
Mr. Skeffington,27 Dec 2023,★★★½,True,
The Godfather: Part II,25 Dec 2023,★★★★★,True,
The Godfather,24 Dec 2023,★★★★★,True,
Mrs. Parkington,21 Dec 2023,★★★½,True,
Remember the Night,16 Dec 2023,★★★★,True,
Christmas in Connecticut,13 Dec 2023,★★★★,True,
An All Dogs Christmas Carol,11 Dec 2023,★★½,False,
Charley Varrick,08 Dec 2023,★★★★,True,
A Christmas Carol,08 Dec 2023,★★★½,True,
May December,08 Dec 2023,★★★★½,True,
Christmas Carol: The Movie,07 Dec 2023,★★★,False,
Since You Went Away,06 Dec 2023,★★★★,True,
The Bishop's Wife,05 Dec 2023,★★★★,True,
A Christmas Carol,05 Dec 2023,★★★½,True,
A Christmas Carol,05 Dec 2023,★★★,False,
A Flintstones Christmas Carol,04 Dec 2023,★★★½,True,
The Stingiest Man in Town,04 Dec 2023,★★½,False,
Bugs Bunny's Christmas Carol,03 Dec 2023,★★★,True,
Prescription: Murder,01 Dec 2023,★★★½,True,
"Bah, Humduck!: A Looney Tunes Christmas",01 Dec 2023,★★★½,True,
"Planes, Trains and Automobiles",23 Nov 2023,★★★★,True,
Too Hot to Handle,22 Nov 2023,★★★½,True,
Gaslight,18 Nov 2023,★★★★,True,
The Haunting,31 Oct 2023,★★★,False,
Best Sellers,27 Oct 2023,★★★½,True,
Killers of the Flower Moon,22 Oct 2023,★★★★★,True,
