Movie,Date Watched,Rating,Liked,Review
Mean Girls,15 Jan 2024,★★★½,False,
Good Grief,14 Jan 2024,★★,False,
Meet the Fockers,14 Jan 2024,★★★★★,True,
The Substitute,13 Jan 2024,★★★½,True,
Ferrari,13 Jan 2024,★★,False,
American Fiction,12 Jan 2024,★★★★,True,
NYAD,10 Jan 2024,★★★★,True,one of those films where you get so caught up with the storytelling you forget you are watching through a screen that Annette Bening is actually not Nyad… a tour de force performance.
The Color Purple,09 Jan 2024,★★★,False,
Wonka,08 Jan 2024,★★★,False,
May December,08 Jan 2024,★★★½,False,
Mother's Day,06 Jan 2024,★★★★★,True,
A Cinderella Story,06 Jan 2024,★★★★★,True,
Poor Things,12 Dec 2023,★★★,False,"Bella Baxter really said “play him like a Ken doll.” Heart Attack, Demi Lovato (2013)"
Renaissance: A Film by Beyoncé,10 Dec 2023,★★★★★,True,
Love Affair(s),08 Dec 2023,★★★★,False,"Bergman and Woody Allen’s lovechild. a very intriguing piece where it’s impossible to look away from the screen. dynamic dialogues and impeccable direction. the shots and melodramatic score are to die for, the ensemble… irresistible."
The Holdovers,04 Dec 2023,★★★,False,"reminded me of the 2000s indie film boom… very much in the vein of The Savages, The Squid and the Whale, Juno, You Can Count On Me, etc. "
Renaissance: A Film by Beyoncé,03 Dec 2023,★★★★★,True,
Journey to Bethlehem,29 Nov 2023,★★★★,True,
The Hunger Games: The Ballad of Songbirds & Snakes,28 Nov 2023,★★★,False,
Saltburn,27 Nov 2023,★★★½,False,
Thanksgiving,25 Nov 2023,★★★½,False,
Wish,24 Nov 2023,★★★★★,True,
Priscilla,21 Nov 2023,★★,False,
Natalia Lafourcade - Mujer Divina (Homenaje A Agustín Lara),19 Nov 2023,,False,
Natalia Lafourcade - Mujer Divina (Homenaje A Agustín Lara),19 Nov 2023,,False,
Trolls Band Together,17 Nov 2023,★★★½,True,
Stray,15 Nov 2023,★★★★,False,
Voces de pasión,14 Nov 2023,★★★★½,True,
The Idiots,13 Nov 2023,★★★★,True,
The Celebration,13 Nov 2023,★★★★★,True,
Tori and Lokita,13 Nov 2023,★★★★★,True,
20th Century Women,11 Nov 2023,★★,False,
Black Orpheus,08 Nov 2023,★★,False,
Quiz Lady,07 Nov 2023,★★,False,
Moving On,07 Nov 2023,★,False,
Killers of the Flower Moon,06 Nov 2023,★★★,False,
Grey Gardens,31 Oct 2023,★★★★,True,
Grey Gardens,28 Oct 2023,★★★,False,
Love Again,27 Oct 2023,★★★★,True,
Once Upon a Time in the Caribbean,25 Oct 2023,★★,False,
West Side Story,24 Oct 2023,★★★,False,
Folklore: The Long Pond Studio Sessions,22 Oct 2023,★★★★,False,
Taylor Swift: The Eras Tour,21 Oct 2023,★★★★★,True,
The Human Voice,18 Oct 2023,★★,False,
Strange Way of Life,18 Oct 2023,★,False,
100 Years of Disney Animation: A Shorts Celebration,17 Oct 2023,★★★★,True,
Taylor Swift: The Eras Tour,15 Oct 2023,★★★★,True,
My Big Fat Greek Wedding 3,11 Oct 2023,★★★½,False,
My Big Fat Greek Wedding 2,10 Oct 2023,★,False,
My Big Fat Greek Wedding,09 Oct 2023,★★★★★,True,
The Red Shoes,08 Oct 2023,★★★★★,True,
OLIVIA RODRIGO: driving home 2 u (a SOUR film),08 Oct 2023,★★★★,True,
Freestyle,06 Oct 2023,★★★★½,True,
Bottoms,04 Oct 2023,★★★★,False,
She Said,01 Oct 2023,★★★½,False,
The Fishbowl,01 Oct 2023,★★★★,True,
You Hurt My Feelings,21 Sep 2023,★★★★,True,
Apocalypse Now,17 Sep 2023,,True,
New York Minute,09 Sep 2023,★★★★★,True,cinema peaked when MK & Ashley had less than 4 minutes Madonna & Justin Timberlake ever had.
What a Girl Wants,09 Sep 2023,★★★★★,True,we needed to protect Amanda Bynes at all costs. 🥹
The Passengers of the Night,06 Sep 2023,★★★½,False,"a wondrous, beautiful score is complimented by a cute french film."
Sun & Daughter,06 Sep 2023,★★★★,False,"espectacular. una historia simple pero efectiva en la manera que la llevan a cabo. una cinematografía majestuosa donde usan la luz natural como un mecanismo para el contexto del tiempo. el vestuario nos informa el crecimiento de sus personajes, tanto psicológico como emocional y el trayecto a la adolescencia. una actuaciones muy naturales que caen como cascada de agua fresca."
Last Film Show,05 Sep 2023,★★★★,False, this wasn’t on my must list… was originally slated to watch Leonor Will Never Die but they cancelled it cause everyone was asking for another screening of Last Film Show. had already bought my tix before the change so i stayed. mainly cause i already had my popcorn in hand. 😅🤣was pleasantly surprised that it was waaay better than the trailer let on. the real achievement is the directing and the central performance from 8 year old Bhavin Rabari. lately… 
The Night of the 12th,04 Sep 2023,★★★½,False,a fairly rounded film that gets some much needed adrenaline in the third act. 
La Syndicaliste,03 Sep 2023,★★★½,False,just because we are women that work together it doesn’t mean we are conspiring against the men.
"20,000 Species of Bees",03 Sep 2023,★★★★,True," un film encantador que nos plantea si en verdad los padres dejan a sus peques tener la libertad de escoger quienes son y la exploración, aceptación que conlleva. el tema es tratado a la perfección con diálogos entre Aitor/Cocó/Lucía y su tía, hermano y mamá. nos presentan la angustia de haber nacido en el cuerpo incorrecto y si hay manera de enmendarlo.las actuaciones son excelentes, con Sofía Otero a sus 7 años cargando con la mayoría de las escenas… "
A Radiant Girl,03 Sep 2023,★★★★,True,
Softie,01 Sep 2023,★★★★★,True,
Talk to Me,27 Aug 2023,★★★★,False,
80 for Brady,26 Aug 2023,★★★★,True,
The Young Girls of Rochefort,24 Aug 2023,★★★★,True,
Insidious: The Red Door,14 Aug 2023,★★,False,
Insidious: Chapter 2,14 Aug 2023,★★★★,False,
Insidious,13 Aug 2023,★★★★,False,
"Red, White & Royal Blue",12 Aug 2023,★★★,False,
The Miracle Club,10 Aug 2023,★★★½,False,
Barbie,09 Aug 2023,★★★,False,
Spoiler Alert,06 Aug 2023,★★★★★,True,
Ticket to Paradise,05 Aug 2023,★★★★,True,
Haunted Mansion,31 Jul 2023,★★★½,False,
Knock at the Cabin,30 Jul 2023,★★★,False,
Carmen,30 Jul 2023,★★,False,
Asteroid City,28 Jul 2023,★★★,False,
Theater Camp,26 Jul 2023,★★★★★,True,
Barbie,25 Jul 2023,★★½,False,
Oppenheimer,25 Jul 2023,★★,False,
Past Lives,20 Jul 2023,★★★★,True,
The Young Girls Turn 25,18 Jul 2023,★★★,True,
Joy Ride,17 Jul 2023,★★★★,True,
The Young Girls of Rochefort,16 Jul 2023,★★★★,True,
Indiana Jones and the Dial of Destiny,04 Jul 2023,★★½,False,
Indiana Jones and the Kingdom of the Crystal Skull,04 Jul 2023,★★★★,False,
Indiana Jones and the Last Crusade,04 Jul 2023,★★★★,True,
Indiana Jones and the Temple of Doom,02 Jul 2023,★★★,False,
Raiders of the Lost Ark,01 Jul 2023,★★★,False,
Asteroid City,27 Jun 2023,★★,False,
Santiago de las mujeres,27 Jun 2023,★★★★★,True,
No Hard Feelings,26 Jun 2023,★★★★,True,
The Flash,26 Jun 2023,★★½,False,
Blended,25 Jun 2023,★★★★,True,
Elemental,20 Jun 2023,★★★★,True,
Carl's Date,20 Jun 2023,★★★½,False,
Spider-Man: Across the Spider-Verse,20 Jun 2023,★★★,False,
