Movie,Date Watched,Rating,Liked,Review
The Call,06 Jan 2024,,True,
When Evil Lurks,11 Nov 2023,,True,
Loving Pablo,29 Oct 2023,,False,
No One Will Save You,20 Oct 2023,,True,
Oppenheimer,19 Sep 2023,,True,
Ring,02 Sep 2023,,False,
Erica,21 Aug 2023,,True,
No Country for Old Men,15 Aug 2023,,False,
Nobody,13 Aug 2023,,True,
Countdown,11 Aug 2023,,False,
Talk to Me,11 Aug 2023,,True,
6 Souls,09 Aug 2023,,False,
Monster House,05 Aug 2023,,True,
Arthur and the Invisibles,05 Aug 2023,,True,
The Cellar,05 Aug 2023,,False,
Centaur,30 Jul 2023,,True,
El Camino: A Breaking Bad Movie,29 Jul 2023,,True,
Mikulai,01 Jul 2023,,True,
The Covenant,25 Jun 2023,★★★★,True,
Megamind,10 Jun 2023,,True,
Pearl,08 Jun 2023,,True,
Evil Dead Rise,31 May 2023,★★★,False,
Guardians of the Galaxy Vol. 3,21 May 2023,★★★★,True,
The Challenge,13 May 2023,,True,
Emily,08 May 2023,,True,
Candy,01 May 2023,,True,
A Prince in Paradise,30 Apr 2023,,False,I love stupid romantic films …It’s just like mental bubblegum ( in a good way ofc)
Aftersun,16 Apr 2023,,True,
BEEF,16 Apr 2023,★★★★★,True,this is art.
Resident Evil: Extinction,14 Apr 2023,,True,
Resident Evil: Apocalypse,13 Apr 2023,,False,
Scream 4,13 Apr 2023,,False,
Scream 3,12 Apr 2023,,False,
Puss in Boots: The Last Wish,11 Apr 2023,,True,
Knock at the Cabin,07 Apr 2023,,True,
Scream 2,02 Apr 2023,,True,
The Whale,02 Apr 2023,,True,
The Jacket,29 Mar 2023,,True,
Emma.,26 Mar 2023,★★★★★,True,
Avatar: The Way of Water,17 Mar 2023,,True,
Day Watch,11 Mar 2023,,False,
The Rage,26 Feb 2023,★★★★,True,
Infinity Pool,23 Feb 2023,,True,
M3GAN,12 Feb 2023,,True,slayyyyyy
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,05 Feb 2023,★★★,False,
Léon: The Professional,03 Feb 2023,,True,
Chebi: My Fluffy Friend,22 Jan 2023,,False,
The Day After Tomorrow,17 Jan 2023,,False,
Oblivion,17 Jan 2023,,False,
Inside Out,15 Jan 2023,★★★★,False,
Major Grom: Plague Doctor,14 Jan 2023,,True,
The Devil's Backbone,12 Jan 2023,,True,
Grom: Boyhood,11 Jan 2023,,True,
The Act,02 Jan 2023,,True,
Leviathan,01 Jan 2023,,True,
Boss Level,31 Dec 2022,,False,
Black Panther: Wakanda Forever,27 Dec 2022,★★★★,True,
My Neighbor Totoro,02 Dec 2022,,True,
Night Watch,02 Dec 2022,,True,
Fall,14 Nov 2022,★★★½,True,
Enola Holmes 2,12 Nov 2022,★★★,False,
Smile,08 Nov 2022,★★★,True,
Barbie in the Nutcracker,03 Nov 2022,,True,CLARA IT’S YOU! YOU ARE THE SUGARPLUM PRINCESS!
Terrifier 2,29 Oct 2022,★★,False,
Decision to Leave,19 Oct 2022,★★★★,True,
A Fairy Tale for the Old,15 Oct 2022,,True,
Dahmer – Monster: The Jeffrey Dahmer Story,09 Oct 2022,★★★★,True,
The Black Phone,08 Oct 2022,★★★,False,
Filth,02 Oct 2022,★★★★,True,
The Girl Before,26 Sep 2022,★★★,False,
Watcher,25 Sep 2022,★½,False,
Orphan: First Kill,23 Sep 2022,,True,
Three Thousand Years of Longing,21 Sep 2022,★★★★,False,
The One,07 Sep 2022,★★★★,True,
Fear of Rain,30 Aug 2022,★★½,False,
Don't Be Afraid of the Dark,26 Aug 2022,★★½,False,
Excision,26 Aug 2022,★★★½,True,
Thor: Love and Thunder,23 Aug 2022,★★,False,
City of God,21 Aug 2022,★★½,False,
Girl in the Picture,10 Aug 2022,,True,
Enemy,07 Aug 2022,★★★½,False,
The Help,04 Aug 2022,★★★½,True,
Drive,23 Jul 2022,★★★★½,True,
Men,08 Jul 2022,★★★½,True,
Braid,07 Jul 2022,★★★★,True,
Shark Tale,05 Jul 2022,,True,
Hatching,02 Jul 2022,★★★½,False,
Whiplash,22 Jun 2022,★★★½,False,
Evolution,20 May 2022,★★★½,False,
Fantastic Beasts: The Secrets of Dumbledore,18 May 2022,★½,False,
Dogtooth,15 May 2022,,False,?????
Memento,14 May 2022,★★★★½,True,
The Green Mile,12 May 2022,★★★★½,True,
The Autopsy of Jane Doe,10 May 2022,★★½,False,
Apostle,09 May 2022,★★½,False,
The Batman,07 May 2022,★★,False,hmmmmmmm
Anybody Seen My Girl?,01 May 2022,★★,False,
The Execution,28 Apr 2022,★★★★★,True,
Scent of a Woman,22 Apr 2022,★★★,False,
Memoirs of a Geisha,22 Apr 2022,★★★,False,
Everything Everywhere All at Once,13 Apr 2022,★★★★★,True,masterpiece
Brother 2,10 Apr 2022,,True,
Brother,03 Apr 2022,,True,
Jacob's Ladder,02 Apr 2022,★★★,False,
Howl's Moving Castle,20 Mar 2022,★★★★,True,
Maquia: When the Promised Flower Blooms,07 Mar 2022,,True,I cried like a bitch wtf
Wild Things,06 Mar 2022,★★★½,False,that’s hot!!!
Uncharted,05 Mar 2022,★★½,False,
Ride Your Wave,28 Feb 2022,★★★★,False,
Titane,28 Feb 2022,★★★★,False,🤨
Encanto,26 Feb 2022,★★★½,False,
I Want to Eat Your Pancreas,26 Feb 2022,★★★½,False,
Hotarubi no Mori e,19 Feb 2022,★★★★,True,
The Superdeep,16 Feb 2022,★★½,False,
Death on the Nile,10 Feb 2022,★★★½,True,
Through My Window,05 Feb 2022,★,False,
House of Gucci,31 Jan 2022,★★★½,False,
Revolver,18 Jan 2022,★★★½,True,
The Devil Wears Prada,16 Jan 2022,★★★½,False,
Gothika,16 Jan 2022,★★½,False,
Licorice Pizza,13 Jan 2022,★★★★,True,
Schindler's List,08 Jan 2022,★★★★★,False,
Morphine,07 Jan 2022,★★★★,False,
Green Street Hooligans,05 Jan 2022,★★★½,False,
The Craft,05 Jan 2022,★★★,False,
Jackie,04 Jan 2022,★★★★,True,
Legally Blonde,04 Jan 2022,,True,
Sing 2,03 Jan 2022,★★,False,
The Stoker,02 Jan 2022,,False,
Doctor Strange,27 Dec 2021,★★★½,True,
Spencer,27 Dec 2021,★★★★½,True,
Sinister,25 Dec 2021,,True,
Spider-Man: No Way Home,23 Dec 2021,★★★★,True,
Lamb,19 Dec 2021,★★★,False,
Cargo 200,19 Dec 2021,,True,
House of Gucci,12 Dec 2021,★★★,False,
The Last Duel,07 Dec 2021,★★★★,True,
Last Night in Soho,27 Nov 2021,★½,False,
The French Dispatch,20 Nov 2021,★★★★,True,
Tangled,18 Nov 2021,,True,
Eternals,13 Nov 2021,★½,False,I think I don’t like it 🤷🏻‍♀️
After We Fell,09 Nov 2021,½,False,and I think to myself…. WHAT A FUCK
Portrait of a Lady on Fire,05 Nov 2021,★★★★★,True,
Sharp Objects,26 Oct 2021,★★★★½,True,
Ghost Stories,24 Oct 2021,★★★½,True,
Mare of Easttown,23 Oct 2021,★★★★½,True,
Venom: Let There Be Carnage,23 Oct 2021,,True,
My Son,16 Oct 2021,,True,
Squid Game,05 Oct 2021,★★★★,False,
Dune,02 Oct 2021,,True,
Midnight Mass,01 Oct 2021,★★★★½,True,
Dune,18 Sep 2021,,True,
Cinderella,12 Sep 2021,★,False,
Shang-Chi and the Legend of the Ten Rings,03 Sep 2021,★★★★,True,
Prisoners,30 Aug 2021,★★★★½,True,
The Green Knight,29 Aug 2021,★★★★,True,
The Suicide Squad,26 Aug 2021,★★★★,True,
Jungle Cruise,24 Aug 2021,★★★½,True,
The Protector,18 Aug 2021,,False,
Gabriel's Inferno,15 Aug 2021,,False,
Gabriel's Inferno: Part III,14 Aug 2021,,False,
Some Like It Hot,14 Aug 2021,★★★★★,True,
The Kissing Booth 3,12 Aug 2021,,True,
Sing,04 Aug 2021,★½,False,
A Ghost Story,31 Jul 2021,★★★★,True,
Thelma,31 Jul 2021,★★★★,True,
Old,30 Jul 2021,★★½,False,
American Ultra,24 Jul 2021,,True,
Catch Me If You Can,23 Jul 2021,,True,
The Lion King,23 Jul 2021,,True,
Old,23 Jul 2021,★★★,False,
The Dry,16 Jul 2021,★★★★,True,
Pulp Fiction,11 Jul 2021,,True,
Black Widow,09 Jul 2021,★★★★½,True,
The Words,05 Jul 2021,★★★,False,
Booksmart,04 Jul 2021,★★★★½,True,
The Matrix Reloaded,03 Jul 2021,★★★,False,
