Movie,Date Watched,Rating,Liked,Review
Saltburn,03 Jan 2024,★★★½,False,
Mission: Impossible – Dead Reckoning Part One,02 Jan 2024,★★★★,False,
Maestro,25 Dec 2023,★★★★½,False,
The Siege of Jadotville,24 Dec 2023,★★½,False,
Renaissance: A Film by Beyoncé,01 Dec 2023,★★★★½,False,
The Hunger Games: The Ballad of Songbirds & Snakes,22 Nov 2023,★★½,False,
The Killer,10 Nov 2023,★★,False,
Arrival,04 Nov 2023,★★★★★,True,
Taylor Swift: The Eras Tour,21 Oct 2023,★★★★★,False,
Talk to Me,21 Oct 2023,★★★★,False,
No Reservations,20 Aug 2023,★★★½,False,
"Red, White & Royal Blue",15 Aug 2023,★★½,False,
Barbie,23 Jul 2023,★★★,False,
Oppenheimer,22 Jul 2023,★★★★★,True,
Past Lives,19 Jul 2023,★★★★,False,
No Hard Feelings,15 Jul 2023,★★★★,False,
Insidious: The Red Door,08 Jul 2023,★★★½,False,
Indiana Jones and the Dial of Destiny,30 Jun 2023,★★½,False,
The Dry,24 Jun 2023,★★½,False,
Sleepless in Seattle,12 May 2023,★★★½,False,
Air,09 Apr 2023,★★★,False,
Four Weddings and a Funeral,19 Mar 2023,★★★,False,
Your Place or Mine,13 Feb 2023,★★★,False,Girls no one expects this to win awards just have fun
The Whale,05 Feb 2023,★★★★½,False,
Fever Pitch,26 Jan 2023,★,False,
The Secret in Their Eyes,21 Jan 2023,★★★★½,True,
M3GAN,21 Jan 2023,★★★,False,
The Banshees of Inisherin,16 Jan 2023,★★★½,False,
Still Alice,15 Jan 2023,★★★★½,True,Incredible but horrifying
Aftersun,15 Jan 2023,★★★½,True,
The Menu,06 Jan 2023,★★★,False,Shakeshack-sponsored-ass fries …
Glass Onion,28 Dec 2022,★★★★,False,First was better but enjoyed
Avatar: The Way of Water,26 Dec 2022,★★★½,False,
Me Before You,24 Dec 2022,★★★★,False,
Captain Phillips,23 Dec 2022,★★★,False,
Ava,22 Dec 2022,★★,False,
Nobody,21 Dec 2022,★★½,False,
The Fabelmans,11 Dec 2022,★★★★,True,Movies on movies stay winning
Don't Worry Darling,04 Dec 2022,★★,False,
When Harry Met Sally...,23 Nov 2022,★★★★,True,
TÁR,23 Oct 2022,★★★★,False,
Ticket to Paradise,21 Oct 2022,★★,False,
See How They Run,24 Sep 2022,★★★½,True,S’just’alright
Waves,04 Sep 2022,★★★★½,True,Once again.. alas
Amy,05 Aug 2022,★★★★,False,
Did You Hear About the Morgans?,24 Jul 2022,★½,False,
Leap Year,18 Jul 2022,★★★,False,
You've Got Mail,14 Jul 2022,★★★,False,
Elvis,03 Jul 2022,★★★★,False,
27 Dresses,04 Jun 2022,★★★★,True,
Top Gun: Maverick,04 Jun 2022,★★★★½,True,V hot
A Secret Love,22 May 2022,★★★★½,True,
Anatomy of a Scandal,22 May 2022,★★★★,True,
Boiling Point,13 May 2022,★★,False,
Gattaca,07 May 2022,★★★★,False,
Spider-Man: No Way Home,24 Apr 2022,★★★,False,
Everything Everywhere All at Once,15 Apr 2022,★★★½,False,
I Want You Back,02 Apr 2022,★★,False,
The Batman,01 Apr 2022,★★★★,True,
10 Things I Hate About You,30 Mar 2022,★★,False,
The Adam Project,27 Mar 2022,★★,False,
About Time,26 Mar 2022,★★★½,False,I thought it was Dustin O’Halloran’s movie all throughout
Free Guy,25 Mar 2022,★★½,False,
Atonement,23 Mar 2022,★★★★,True,Still laying on the couch 15 minutes after this movie’s ended
Licorice Pizza,13 Mar 2022,★★½,False,
The King's Man,11 Mar 2022,,False,This was … no words
How to Lose a Guy in 10 Days,09 Mar 2022,★★★½,True,
Midnight Mass,07 Mar 2022,★★★★,True,Why didn’t those two lay under the bridge
Marry Me,24 Feb 2022,★★,False,
The Worst Person in the World,19 Feb 2022,★★★★,True,
Maid in Manhattan,18 Feb 2022,★★,False,
Obvious Child,13 Feb 2022,★★★½,False,
The Lost Daughter,12 Feb 2022,★★,False,
Parallel Mothers,10 Feb 2022,★★½,False,
"I Love You, Man",29 Jan 2022,★★,False,
Encanto,26 Jan 2022,★★,False,
Just Like Heaven,25 Jan 2022,★★½,False,
13 Going on 30,24 Jan 2022,★★★½,True,
Red Notice,23 Jan 2022,★★½,False,
My Big Fat Greek Wedding,23 Jan 2022,★★★,True,
The English Patient,22 Jan 2022,★★★½,True,
All the President's Men,21 Jan 2022,★★★,True,
The Shawshank Redemption,19 Jan 2022,★★★★,True,
Something Borrowed,11 Jan 2022,★★★½,True,
Ex Machina,09 Jan 2022,★★½,False,
Looper,07 Jan 2022,★★,False,
Angel Has Fallen,02 Jan 2022,★★,False,
Don't Look Up,31 Dec 2021,★½,False,
