Movie,Date Watched,Rating,Liked,Review
The Empty Man,13 Jan 2024,★★★½,False,
The Cat in the Hat,04 Jan 2024,★★,False,
"New Year, New You",31 Dec 2023,★★,False,
Jingle All the Way,27 Dec 2023,★★★,False,
Ant-Man and the Wasp: Quantumania,27 Dec 2023,★★,False,
Under the Silver Lake,26 Dec 2023,★★★,False,
The Santa Clause,25 Dec 2023,★★★,True,
A Bad Moms Christmas,24 Dec 2023,★,False,
Once Upon a Deadpool,22 Dec 2023,★★½,False,
Jumper,22 Dec 2023,★★,False,
The Nightmare Before Christmas,21 Dec 2023,★★★★½,True,
Doctor Strange in the Multiverse of Madness,20 Dec 2023,★★★½,True,
Barbie,19 Dec 2023,★★★★,True,
Godzilla Minus One,16 Dec 2023,★★★★,True,
Ender's Game,13 Dec 2023,★★½,False,
Spider-Man: No Way Home,03 Dec 2023,★★★★½,True,
Die Hard,03 Dec 2023,★★★★,True,
Misery,02 Dec 2023,★★★★,False,
Trolls Band Together,25 Nov 2023,★★★,False,
The Hunger Games: The Ballad of Songbirds & Snakes,23 Nov 2023,★★★½,True,
The Super Mario Bros. Movie,15 Nov 2023,★★★,True,
Evil Dead Rise,10 Nov 2023,★★★★,True,
The Marvels,09 Nov 2023,★★★,False,
Barbie,05 Nov 2023,★★★½,True,
Bullet Train,02 Nov 2023,★★★½,True,
A Haunted House,31 Oct 2023,½,False,
Midsommar,30 Oct 2023,★★★★,False,
Saint Maud,29 Oct 2023,★★★½,False,
Evil Dead,28 Oct 2023,★★★★,False,
Five Nights at Freddy's,26 Oct 2023,★★,False,
Dragon Ball Z: Battle of Gods,18 Oct 2023,★★★,False,
Jigsaw,16 Oct 2023,★★★,False,
Winnie the Pooh: Blood and Honey,15 Oct 2023,★,False,
Let the Right One In,14 Oct 2023,★★★★,True,
V/H/S,14 Oct 2023,★★,False,
Pi,08 Oct 2023,★★★½,False,
Spiral: From the Book of Saw,06 Oct 2023,★★★,False,
The Miracle Worker,03 Oct 2023,★★½,False,
Saw X,28 Sep 2023,★★★½,True,
Knock at the Cabin,23 Sep 2023,★★★,False,
Michael Clayton,23 Sep 2023,★★★½,False,
The Princess and the Frog,20 Sep 2023,★★★½,False,
Annihilation,02 Sep 2023,★★★★½,True,
Talk to Me,01 Sep 2023,★★★½,False,
Weird: The Al Yankovic Story,27 Aug 2023,★★★,False,
Teenage Mutant Ninja Turtles: Mutant Mayhem,22 Aug 2023,★★★,False,
Asteroid City,19 Aug 2023,★★★½,False,
Sunshine,13 Aug 2023,★★★★,False,
Infinity Pool,06 Aug 2023,★★★,False,
Censor,03 Aug 2023,★★★,False,
Black Mass,03 Aug 2023,★★★,False,
Kimi,01 Aug 2023,★★★,False,
Haunted Mansion,30 Jul 2023,★★★,False,
Color Out of Space,30 Jul 2023,★★★,False,
Oppenheimer,26 Jul 2023,★★★★,True,
Pokémon: The First Movie - Mewtwo Strikes Back,23 Jul 2023,★★★,False,
Thelma,23 Jul 2023,★★★,False,
Braid,22 Jul 2023,★★½,False,
Mission: Impossible – Dead Reckoning Part One,18 Jul 2023,★★★½,False,
The To Do List,15 Jul 2023,★★½,False,
Lady in White,14 Jul 2023,★★½,False,
Locke,13 Jul 2023,★★★★,True,
Halloween II,13 Jul 2023,★★,False,
Ingrid Goes West,03 Jul 2023,★★★,False,
Jeepers Creepers: Reborn,24 Jun 2023,★,False,
The Flash,20 Jun 2023,★★★½,True,
The Flash,15 Jun 2023,★★★½,True,
Transformers: Rise of the Beasts,09 Jun 2023,★★★,False,
Spider-Man: Across the Spider-Verse,05 Jun 2023,★★★★½,True,
Tammy,03 Jun 2023,★,False,
Spider-Man: Across the Spider-Verse,01 Jun 2023,★★★★½,True,
Ticket to Paradise,27 May 2023,★★★,False,
The Lost City,21 May 2023,★★½,False,
Barbarian,16 May 2023,★★★,False,
Guardians of the Galaxy Vol. 3,04 May 2023,★★★★,True,
Return of the Jedi,02 May 2023,★★★★½,True,
The Unbearable Weight of Massive Talent,02 May 2023,★★★★,True,
Evil Dead Rise,25 Apr 2023,★★★★,True,
Pearl,17 Apr 2023,★★★½,True,
Don't Worry Darling,13 Apr 2023,★★,False,
The Super Mario Bros. Movie,05 Apr 2023,★★★,True,
Scream VI,26 Mar 2023,★★★,False,
