Movie,Date Watched,Rating,Liked,Review
Plus One,07 Jan 2024,★★★½,False,
Maestro,28 Dec 2023,★★★,False,"There are a ton of beautiful moments here, from the stunning music to more than a few heartbreaking sequences! I’m not sure this one will linger with me too much, though. As biopics go, I didn’t become quite as invested as I’d hoped for!"
Harry Potter and the Half-Blood Prince,27 Dec 2023,★★★½,False,
Neighbors,27 Dec 2023,★★★,False,
Harry Potter and the Order of the Phoenix,26 Dec 2023,★★★,False,
The Muppet Christmas Carol,24 Dec 2023,★★★★½,True,Feeling a little ashamed that I had never seen this one either!
Mission: Impossible,24 Dec 2023,★★★½,False,
Saltburn,24 Dec 2023,★★★½,False,"Absolutely not a Christmas Eve movie, but here we are! Not a ton of rewatch value with this one, but it’s pretty thrilling for one viewing. Even with so many moments played for the shock of it, Barry Keoghan plays what feels like the ultimate version of a character he’s been in several movies over the years, and he’s really great at it. Was going to give three stars, but I’m going to add another half for the very last scene, just because."
The Iron Claw,23 Dec 2023,★★★★,True,"Ended up far more invested than I thought I might! It drew me into a world I know pretty much nothing about, and everyone’s performances were top notch. Didn’t think this was a movie I’d need tissues for either, but… bring them!"
Fast Times at Ridgemont High,08 Dec 2023,★★★,False,
The Boy and the Heron,07 Dec 2023,★★★★,True,"Seeing a new Miyazaki movie in the theater is an experience I’m glad to say I’ve had, just in case this is the last chance! Incredibly imaginative, and fills you with the kind of wonder movies used to provide when you were a kid. No one else is crafting stories like this."
May December,01 Dec 2023,★★★★,True,"Such a killer screenplay! Might need to watch it again to really grasp everything this brings to the table, but I was completely riveted for every moment on the first viewing. Everyone’s performance is so strong and distinct, and the entire story is so unnerving that the feeling sticks with you in the worst way."
National Lampoon's Christmas Vacation,28 Nov 2023,★★★★,True,
Funny Farm,26 Nov 2023,★★½,False,
Holidate,25 Nov 2023,★★,False,
Father of the Bride,25 Nov 2023,★★★½,False,
Spider-Man: Across the Spider-Verse,22 Nov 2023,★★★★½,True,
The Hunger Games: The Ballad of Songbirds & Snakes,17 Nov 2023,★★★½,False,
The Holdovers,15 Nov 2023,★★★★,True,"This is easily going to join my list of best holiday movies, even if it’s maybe a little sadder than the rest! With all of its heavier moments, comedy still finds its way in so easily, and the film is baked in such a classic aesthetic that it earns a spot right alongside timeless favorites. Paul Giamatti is at his best, but Dominic Sessa and Da’Vine Joy Randolph really steal the show!"
Billie Eilish: The World's a Little Blurry,13 Nov 2023,★★★★,False,
About Fate,12 Nov 2023,★★★,False,
The Killer,12 Nov 2023,★★★½,False,"Not a ton of depth, but I’ll enjoy a grim Fincher story any time! Started strong for me, and tapered off a little towards the end. Fassbender is an ideal hitman, though!"
The Hunger Games,04 Nov 2023,★★★★,False,
Spider-Man: Across the Spider-Verse,01 Nov 2023,★★★★½,True,
No Escape,31 Oct 2023,★★★,False,
Five Nights at Freddy's,30 Oct 2023,★★,False,"I really wish this was anywhere as scary as playing the game! Definitely felt like Universal took the safest route possible making this, and besides the practical puppets being pretty cool, there’s nothing here that was enjoyable at all."
The Rocky Horror Picture Show,27 Oct 2023,★★★★,True,Yet another criminal hadn’t-seen-it-yet movie! I need to see this live.
"tick, tick...BOOM!",26 Oct 2023,★★★★½,True,
Noel Miller: STOP CRYING,24 Oct 2023,★★★½,False,
Alien,22 Oct 2023,★★★★½,True,
Cheaper by the Dozen 2,15 Oct 2023,★★★★,True,
Friday the 13th,14 Oct 2023,★★★★★,True,Literally what else could you want from a classic horror movie?
Taylor Swift: The Eras Tour,13 Oct 2023,★★★★½,True,"Missing a few of my favorite songs, but I still feel like I got the full experience!"
The Creator,07 Oct 2023,★★★½,False,
The Rat Catcher,06 Oct 2023,★★★½,False,
The Swan,06 Oct 2023,★★★½,False,
Poison,06 Oct 2023,★★★★½,True,
The Wonderful Story of Henry Sugar,06 Oct 2023,★★★★,True,
Nick Kroll: Little Big Boy,30 Sep 2023,★★★½,False,
Choose Love,24 Sep 2023,★★★,False,
Love at First Sight,21 Sep 2023,★★★★,True,
Theater Camp,17 Sep 2023,★★★★,True,
Suspiria,15 Sep 2023,★★★★½,True,
Stardust,10 Sep 2023,★★★★½,True,
Labyrinth,09 Sep 2023,★★★★,True,
Happier Than Ever: A Love Letter to Los Angeles,08 Sep 2023,★★★★,True,
The Little Mermaid,08 Sep 2023,★★½,False,
Bottoms,06 Sep 2023,★★★★½,True,
13 Going on 30,04 Sep 2023,★★★½,False,
When Harry Met Sally...,03 Sep 2023,★★★★★,True,
Dungeons & Dragons: Honor Among Thieves,01 Sep 2023,★★★½,False,
Haunted Mansion,29 Aug 2023,★½,False,
The Fast and the Furious: Tokyo Drift,11 Aug 2023,★★★½,False,
The Super Mario Bros. Movie,05 Aug 2023,★★★,False,
The Young Girls of Rochefort,28 Jul 2023,★★★★★,True,
Oppenheimer,22 Jul 2023,★★★★,True,
Barbie,22 Jul 2023,★★★★,True,
Lilo & Stitch,21 Jul 2023,★★★½,False,
The Truman Show,21 Jul 2023,★★★★★,True,
Legally Blonde,19 Jul 2023,★★★,False,
Only Yesterday,18 Jul 2023,★★★★★,True,
Titanic,17 Jul 2023,★★★★★,True,
Shiva Baby,15 Jul 2023,★★★★½,True,
Clueless,13 Jul 2023,★★★½,False,
Mission: Impossible – Dead Reckoning Part One,11 Jul 2023,★★★★,True,
Ghost in the Shell,10 Jul 2023,★★★½,False,
Her,09 Jul 2023,★★★★½,True,
Nimona,09 Jul 2023,★★★½,False,
Indiana Jones and the Dial of Destiny,07 Jul 2023,★★★,False,
The Twilight Saga: Breaking Dawn – Part 2,04 Jul 2023,★★,False,
The Twilight Saga: Breaking Dawn – Part 1,03 Jul 2023,★½,False,
The Twilight Saga: Eclipse,02 Jul 2023,★★,False,
Celeste & Jesse Forever,30 Jun 2023,★★★,False,
Past Lives,29 Jun 2023,★★★★½,True,
Asteroid City,27 Jun 2023,★★★★,True,
Hereditary,24 Jun 2023,★★★★½,True,
Polite Society,18 Jun 2023,★★★½,False,
Spider-Man: Across the Spider-Verse,05 Jun 2023,★★★★½,True,
Alice in the Cities,04 Jun 2023,★★★,False,
Spider-Man: Across the Spider-Verse,03 Jun 2023,★★★★½,True,
Forgetting Sarah Marshall,02 Jun 2023,★★★★,True,
Miss Americana,29 May 2023,★★★,False,
Navalny,28 May 2023,★★★½,False,
La La Land,27 May 2023,★★★★½,True,
How to Blow Up a Pipeline,26 May 2023,★★★★½,True,
Fast X,18 May 2023,★★★½,False,
The Parent Trap,13 May 2023,★★★★,True,
Guardians of the Galaxy Vol. 3,07 May 2023,★★★½,False,
Mamma Mia!,06 May 2023,★★★★,True,
Step Brothers,05 May 2023,★★½,False,
The Darjeeling Limited,04 May 2023,★★★★½,True,
From Here to Eternity,29 Apr 2023,★★★½,False,
Top Gun: Maverick,28 Apr 2023,★★★★,True,
Cocaine Bear,22 Apr 2023,★★,False,
Whisper of the Heart,21 Apr 2023,★★★★★,True,
A Thousand and One,16 Apr 2023,★★★★,True,
Chef,08 Apr 2023,★★★★½,True,
Air,08 Apr 2023,★★★½,False,
Game Night,07 Apr 2023,★★★½,False,
War of the Worlds,07 Apr 2023,★★★½,False,
Begin Again,06 Apr 2023,★★★,False,
Rye Lane,04 Apr 2023,★★★★½,True,
Set It Up,01 Apr 2023,★★★,False,
John Wick: Chapter 4,28 Mar 2023,★★★★,True,
Mission: Impossible – Ghost Protocol,25 Mar 2023,★★★★,True,
All the Beauty and the Bloodshed,21 Mar 2023,★★★★,True,
The Woman King,19 Mar 2023,★★★,False,
Good Will Hunting,17 Mar 2023,★★★★★,True,
Scream,11 Mar 2023,★★★★½,True,
Creed III,11 Mar 2023,★★★½,False,
Puss in Boots: The Last Wish,10 Mar 2023,★★★★,True,
Women Talking,09 Mar 2023,★★★½,False,
Triangle of Sadness,07 Mar 2023,★★★★,True,
The Twilight Saga: New Moon,05 Mar 2023,★★,False,
Twilight,04 Mar 2023,★★,False,
RRR,04 Mar 2023,★★★★½,True,
EO,26 Feb 2023,★★★½,False,
The Cabin in the Woods,25 Feb 2023,★★★½,False,
About Time,24 Feb 2023,★★★★,True,
Ant-Man and the Wasp: Quantumania,18 Feb 2023,★,False,
Rocky IV,13 Feb 2023,★★½,False,
The Sound of Music,11 Feb 2023,★★★★★,True,
Speed,10 Feb 2023,★★★★,True,
All That Breathes,08 Feb 2023,★★★½,False,
Knock at the Cabin,05 Feb 2023,★★★½,False,
My Fair Lady,05 Feb 2023,★★★,False,
Green Book,04 Feb 2023,★★,False,
Little Women,29 Jan 2023,★★★★,True,
All Quiet on the Western Front,28 Jan 2023,★★★½,False,
Everything Everywhere All at Once,28 Jan 2023,★★★★★,True,
Top Gun: Maverick,28 Jan 2023,★★★★,True,
Midnight Cowboy,27 Jan 2023,★★★★,True,
Cat Person,25 Jan 2023,★★★,False,
Theater Camp,24 Jan 2023,★★★★,True,
Two Weeks Notice,22 Jan 2023,★★★,False,
Roman Holiday,22 Jan 2023,★★★★★,True,
Metropolis,21 Jan 2023,★★★★★,True,
Kramer vs. Kramer,21 Jan 2023,★★★½,False,
White Noise,20 Jan 2023,★★★½,False,
The General,19 Jan 2023,★★★★,True,
Evil Dead II,18 Jan 2023,★★★★½,True,
Safety Last!,17 Jan 2023,★★★★½,True,
Candyman,15 Jan 2023,★★★½,False,
Creed II,14 Jan 2023,★★★,False,
Creed,14 Jan 2023,★★★½,False,
Deep Impact,13 Jan 2023,★★★,False,
The Way Way Back,12 Jan 2023,★★★★,True,
Woodstock,09 Jan 2023,★★★★,True,
Speedy,08 Jan 2023,★★★★★,True,
M3GAN,08 Jan 2023,★★★½,False,
"Paris, Texas",07 Jan 2023,★★★★★,True,
A Few Good Men,07 Jan 2023,★★★★½,True,
John Wick: Chapter 3 – Parabellum,06 Jan 2023,★★★½,False,
This Place Rules,05 Jan 2023,★★★½,False,
John Wick: Chapter 2,05 Jan 2023,★★★½,False,
John Wick,04 Jan 2023,★★★★½,True,
Glass Onion,28 Dec 2022,★★★★½,True,
The Batman,26 Dec 2022,★★★★½,True,
Babylon,26 Dec 2022,★★★★,True,
Stardust,25 Dec 2022,★★★★½,True,
Frozen II,24 Dec 2022,★★,False,
Singin' in the Rain,24 Dec 2022,★★★★½,True,
Frozen,23 Dec 2022,★★★★,True,
Elf,23 Dec 2022,★★★★,True,
Empire of Light,18 Dec 2022,★★★½,False,
Notting Hill,17 Dec 2022,★★★★½,True,
Avatar: The Way of Water,17 Dec 2022,★★★½,False,
Emily the Criminal,16 Dec 2022,★★★½,False,
Aftersun,13 Dec 2022,★★★★½,True,
Avatar,11 Dec 2022,★★★★,True,
Guillermo del Toro's Pinocchio,10 Dec 2022,★★★★,True,
Decision to Leave,09 Dec 2022,★★★★½,True,
Christmas in Connecticut,08 Dec 2022,★★★½,False,
Bros,07 Dec 2022,★★★,False,
Before the Devil Knows You're Dead,05 Dec 2022,★★,False,
When Harry Met Sally...,04 Dec 2022,★★★★★,True,
Violent Night,04 Dec 2022,★★,False,
The Banshees of Inisherin,03 Dec 2022,★★★,False,
My Architect: A Son's Journey,02 Dec 2022,★★★½,False,
Holiday,01 Dec 2022,★★★★½,True,
Dual,30 Nov 2022,★★★★,True,
Bones and All,27 Nov 2022,★★★★,True,
The Guardians of the Galaxy Holiday Special,27 Nov 2022,★★½,False,
Allegiant,26 Nov 2022,★,False,
The Fabelmans,25 Nov 2022,★★★★,True,
Insurgent,24 Nov 2022,★,False,
Christmas with You,24 Nov 2022,,False,
Divergent,23 Nov 2022,★★,False,
Beast,23 Nov 2022,★★½,False,
Disney Channel's Theme: A History Mystery,20 Nov 2022,★★★★½,True,
The Wonder,20 Nov 2022,★★★★,True,
Closed for Storm,20 Nov 2022,★★★½,False,
El Planeta,20 Nov 2022,★★½,False,
Jackie Brown,19 Nov 2022,★★★½,False,
The Menu,19 Nov 2022,★★★,False,
Cool Hand Luke,18 Nov 2022,★★★★½,True,
Insidious,14 Nov 2022,★★½,False,
Fire of Love,12 Nov 2022,★★★½,False,
Black Panther: Wakanda Forever,12 Nov 2022,★★★★,True,
"Oslo, August 31st",11 Nov 2022,★★★★,True,
Black Panther,09 Nov 2022,★★★½,True,
Ticket to Paradise,07 Nov 2022,★★★,False,
Nomadland,06 Nov 2022,★★★★½,True,
Wendell & Wild,05 Nov 2022,★★★★,True,
Crimes of the Future,04 Nov 2022,★★½,False,
See How They Run,02 Nov 2022,★★,False,
Night of the Living Dead,31 Oct 2022,★★★½,False,
Saw,30 Oct 2022,★★★★,True,
Booksmart,29 Oct 2022,★★★★½,True,
TÁR,28 Oct 2022,★★★★½,True,
An American Werewolf in London,26 Oct 2022,★★★½,False,
Barry Lyndon,22 Oct 2022,★★★★,True,
Black Adam,22 Oct 2022,★½,False,
The Conjuring 2,21 Oct 2022,★★½,False,
The Freshman,20 Oct 2022,★★★★½,True,
Up in the Air,18 Oct 2022,★★★½,False,
Avengers: Endgame,15 Oct 2022,★★★½,False,
"tick, tick...BOOM!",13 Oct 2022,★★★★½,True,
Point Break,10 Oct 2022,★★★★½,True,
Werewolf by Night,09 Oct 2022,★★★½,False,
Barbarian,25 Sep 2022,★★★,False,
My Big Fat Greek Wedding,23 Sep 2022,★★★,False,
Don't Worry Darling,22 Sep 2022,★★★,False,
Meet Cute,21 Sep 2022,★★,False,
Good Will Hunting,20 Sep 2022,★★★★★,True,
Elvis,17 Sep 2022,★★★½,False,
Freaky,16 Sep 2022,★★★,False,
Shame,15 Sep 2022,★★★½,False,
Masculin Féminin,14 Sep 2022,★★★★,True,
Pinocchio,10 Sep 2022,★,False,
Weekend,06 Sep 2022,★★★★½,True,
Hiroshima Mon Amour,04 Sep 2022,★★★★,True,
Beast,03 Sep 2022,★★½,False,
The Invitation,03 Sep 2022,★★½,False,
Jurassic World Dominion,02 Sep 2022,½,False,
We're All Going to the World's Fair,30 Aug 2022,★★★★,True,
While You Were Sleeping,29 Aug 2022,★★★½,False,
Three Thousand Years of Longing,28 Aug 2022,★★★,False,
Who Framed Roger Rabbit,27 Aug 2022,★★★,False,
Catch Me If You Can,26 Aug 2022,★★★★½,True,
The Core,26 Aug 2022,★★★,False,
The Young Girls of Rochefort,23 Aug 2022,★★★★★,True,
Source Code,22 Aug 2022,★★★★½,True,
The Devil Wears Prada,21 Aug 2022,★★★★,True,
The Proposal,21 Aug 2022,★★★,False,
Boyhood,20 Aug 2022,★★★★½,True,
Tomboy,20 Aug 2022,★★★★½,True,
Water Lilies,20 Aug 2022,★★★½,False,
The Lost City,20 Aug 2022,★★★,False,
On the Count of Three,19 Aug 2022,★★★★,True,
Whiplash,16 Aug 2022,★★★★★,True,
Uncharted,14 Aug 2022,★½,False,
Woman in the Dunes,13 Aug 2022,★★★★½,True,
Bodies Bodies Bodies,13 Aug 2022,★★★,False,
The King of Staten Island,12 Aug 2022,★★★,False,
Lady Snowblood,10 Aug 2022,★★★★,True,
Once,08 Aug 2022,★★★★½,True,
Sing Street,07 Aug 2022,★★★,False,
Bullet Train,07 Aug 2022,★★★½,False,
Kiki's Delivery Service,05 Aug 2022,★★★★★,True,
Porco Rosso,05 Aug 2022,★★★★,True,
Obvious Child,04 Aug 2022,★★★½,False,
Paddington 2,30 Jul 2022,★★★★,True,
The Housemaid,30 Jul 2022,★★★½,False,
Gattaca,29 Jul 2022,★★★½,False,
Adaptation.,26 Jul 2022,★★★★,True,
The Da Vinci Code,24 Jul 2022,★★★,False,
Police Story,23 Jul 2022,★★★★,True,
Marcel the Shell with Shoes On,23 Jul 2022,★★★★,True,
The Gray Man,22 Jul 2022,★★½,False,
Nope,21 Jul 2022,★★★★,True,
You've Got Mail,17 Jul 2022,★★★½,False,
Where the Crawdads Sing,16 Jul 2022,★,False,
Before Midnight,16 Jul 2022,★★★½,True,
Before Sunset,15 Jul 2022,★★★★½,True,
Before Sunrise,15 Jul 2022,★★★★★,True,
Caddyshack,13 Jul 2022,★★½,False,
Thor: Love and Thunder,09 Jul 2022,★★½,False,
Chef,05 Jul 2022,★★★★,True,
Sleepless in Seattle,04 Jul 2022,★★★★,True,
The Black Phone,04 Jul 2022,★★★,False,
Old,03 Jul 2022,★★½,False,
Singin' in the Rain,28 Jun 2022,★★★★½,True,
Paris Is Burning,25 Jun 2022,★★★★,True,
Meet Me in St. Louis,24 Jun 2022,★★★★,True,
Moonrise Kingdom,19 Jun 2022,★★★★,True,
Bridesmaids,18 Jun 2022,★★★,False,
"Crazy, Stupid, Love.",18 Jun 2022,★★★,False,
The Big Sleep,17 Jun 2022,★★★½,False,
When Harry Met Sally...,16 Jun 2022,★★★★★,True,
300,15 Jun 2022,★★½,False,
Armageddon,12 Jun 2022,★★★½,False,
Anchorman: The Legend of Ron Burgundy,12 Jun 2022,★★★½,False,
Bottle Rocket,11 Jun 2022,★★★,False,
Four Weddings and a Funeral,10 Jun 2022,★★★★½,True,
RRR,09 Jun 2022,★★★★½,True,
Terminator 2: Judgment Day,31 May 2022,★★★½,False,
Ambulance,28 May 2022,★★½,False,
Top Gun: Maverick,28 May 2022,★★★★,True,
The Terminator,26 May 2022,★★★★,True,
Battle: Los Angeles,21 May 2022,★,False,
Perfect Blue,20 May 2022,★★★½,False,
Prisoners,17 May 2022,★★★★½,True,
Knowing,16 May 2022,★★★,False,
Guardians of the Galaxy,12 May 2022,★★★½,False,
Sideways,11 May 2022,★★★,False,
Petite Maman,10 May 2022,★★★★½,True,
Spring Awakening: Those You've Known,07 May 2022,★★★★,True,
Doctor Strange in the Multiverse of Madness,07 May 2022,★★½,False,
Footlight Parade,06 May 2022,★★★½,False,
The Lost Weekend,05 May 2022,★★★★,True,
Turning Red,02 May 2022,★★★½,False,
Unforgiven,30 Apr 2022,★★,False,
Insomnia,29 Apr 2022,★★★½,False,
Titanic,26 Apr 2022,★★★★½,True,
Ministry of Fear,25 Apr 2022,★★★★,True,
The Northman,23 Apr 2022,★★★★,True,
Everything Everywhere All at Once,14 Apr 2022,★★★★★,True,
The Incredibles,10 Apr 2022,★★★★★,True,
You Can't Take It with You,10 Apr 2022,★★★★,True,
Incendies,09 Apr 2022,★★★★½,True,
The Card Counter,09 Apr 2022,★★★½,False,
The Red Turtle,07 Apr 2022,★★★★,True,
Me and Earl and the Dying Girl,06 Apr 2022,★★★½,False,
Princess Mononoke,03 Apr 2022,★★★★½,True,
All That Jazz,02 Apr 2022,★★★★½,True,
Lawrence of Arabia,27 Mar 2022,★★★½,False,
The Godfather: Part II,26 Mar 2022,★★★★,True,
Belfast,25 Mar 2022,★★,False,
The Godfather,22 Mar 2022,★★★★½,True,
Bad Trip,18 Mar 2022,★★½,False,
X,18 Mar 2022,★★★,False,
Brief Encounter,16 Mar 2022,★★★★½,True,
Normal People,14 Mar 2022,★★★★★,True,
Drive My Car,13 Mar 2022,★★★★,True,
Requiem for a Dream,12 Mar 2022,★★½,False,
Someone Great,11 Mar 2022,★★½,False,
Fresh,07 Mar 2022,★★★★,True,
Kiki's Delivery Service,06 Mar 2022,★★★★½,True,
The Batman,06 Mar 2022,★★★★½,True,
All About My Mother,05 Mar 2022,★★★,False,
I Want You Back,04 Mar 2022,★★★,False,
F9,04 Mar 2022,★★★½,False,
jeen-yuhs: A Kanye Trilogy,02 Mar 2022,★★★★,True,
The Story of the Kelly Gang,27 Feb 2022,★★★,False,
Almost Famous,25 Feb 2022,★★★★,True,
Best in Show,24 Feb 2022,★★★½,False,
Charli XCX: Alone Together,22 Feb 2022,★★★½,False,
Marry Me,21 Feb 2022,★,False,
Spencer,21 Feb 2022,★★★★½,True,
The Mummy,20 Feb 2022,★★★,False,
National Treasure: Book of Secrets,20 Feb 2022,★★½,False,
News of the World,19 Feb 2022,★★★,False,
Watership Down,19 Feb 2022,★★★,False,
The Hand,19 Feb 2022,★★★★,True,
"tick, tick...BOOM!",18 Feb 2022,★★★★½,True,
The Lost Daughter,18 Feb 2022,★★★½,False,
The Wages of Fear,15 Feb 2022,★★★,False,
Flee,14 Feb 2022,★★★★,True,
National Treasure,12 Feb 2022,★★★½,False,
Inside Out,11 Feb 2022,★★★★½,True,
Drunken Angel,10 Feb 2022,★★★½,False,
Ikiru,07 Feb 2022,★★★★½,True,
Jurassic Park,05 Feb 2022,★★★★½,True,
Airplane!,04 Feb 2022,★★★,False,
Parallel Mothers,01 Feb 2022,★★★½,False,
La La Land,29 Jan 2022,★★★★½,True,
Cha Cha Real Smooth,29 Jan 2022,★★★★,True,
The Fallout,28 Jan 2022,★★★½,False,
Shadow of a Doubt,27 Jan 2022,★★★,False,
The Souvenir: Part II,27 Jan 2022,★★★½,False,
Panic Room,23 Jan 2022,★★★★,True,
After Yang,23 Jan 2022,★★★★½,True,
The Worst Person in the World,22 Jan 2022,★★★★½,True,
All About Eve,21 Jan 2022,★★★★★,True,
Chicago,20 Jan 2022,★★★★,True,
To Be or Not to Be,17 Jan 2022,★★★★,True,
Big Fish,16 Jan 2022,★★★½,False,
The Tragedy of Macbeth,15 Jan 2022,★★★★½,True,
Bergman Island,14 Jan 2022,★★★★½,True,
Encanto,10 Jan 2022,★★★½,False,
Don't Look Up,08 Jan 2022,★★½,False,
The Matrix Resurrections,07 Jan 2022,★★★½,False,
Bergman Island,07 Jan 2022,★★★,False,
It's Always Fair Weather,06 Jan 2022,★★★★½,True,
A Nos Amours,03 Jan 2022,★★★½,False,
The Prestige,02 Jan 2022,★★★★★,True,
Spider-Man 3,02 Jan 2022,★★★,False,
Harry Potter 20th Anniversary: Return to Hogwarts,01 Jan 2022,★★★★½,True,
Licorice Pizza,01 Jan 2022,★★★★,True,
Looper,31 Dec 2021,★★★★,True,
My Neighbors the Yamadas,27 Dec 2021,★★★,False,
Peninsula,26 Dec 2021,★★★★,True,
Y Tu Mamá También,25 Dec 2021,★★★★½,True,
Ida,24 Dec 2021,★★★★½,True,
Nightmare Alley,23 Dec 2021,★★★½,False,
Boy,23 Dec 2021,★★★★,True,
Spider-Man 2,21 Dec 2021,★★½,False,
Spider-Man: No Way Home,20 Dec 2021,★★★½,False,
Spider-Man,19 Dec 2021,★★★,False,
The Matrix Revolutions,19 Dec 2021,★★★½,False,
The Wolf House,17 Dec 2021,★★★★,True,
Education,16 Dec 2021,★★★½,False,
West Side Story,14 Dec 2021,★★★★,True,
The Green Knight,12 Dec 2021,★★★★½,True,
The Matrix Reloaded,11 Dec 2021,★★★,False,
10 Things I Hate About You,11 Dec 2021,★★★½,False,
The Social Network,11 Dec 2021,★★★★½,True,
Harakiri,10 Dec 2021,★★★★,True,
Klaus,06 Dec 2021,★★★½,False,
Benedetta,05 Dec 2021,★★½,False,
Brokeback Mountain,04 Dec 2021,★★★★,True,
C'mon C'mon,03 Dec 2021,★★★★★,True,
The Shop Around the Corner,02 Dec 2021,★★★★½,True,
House of Gucci,01 Dec 2021,★★,False,
Disney's FastPass: A Complicated History,01 Dec 2021,★★★★★,True,
Les Misérables,28 Nov 2021,★★★½,False,
La Haine,27 Nov 2021,★★★★½,True,
The Power of the Dog,27 Nov 2021,★★★★,True,
"tick, tick...BOOM!",26 Nov 2021,★★★★½,True,
King Richard,24 Nov 2021,★★★,False,
The Town,23 Nov 2021,★★★★,True,
Red Notice,21 Nov 2021,★★½,False,
Shakespeare in Love,20 Nov 2021,★★,False,
Moonstruck,18 Nov 2021,★★★★½,True,
The French Dispatch,17 Nov 2021,★★★★½,True,
Blow-Up,16 Nov 2021,★★★½,False,
Castle in the Sky,15 Nov 2021,★★★★,True,
Stalker,14 Nov 2021,★★★★,True,
Eternals,14 Nov 2021,★★★,False,
Weathering with You,11 Nov 2021,★★★★,True,
Last Night in Soho,08 Nov 2021,★★★½,False,
Dune,07 Nov 2021,★★★★½,True,
The Electrical Life of Louis Wain,06 Nov 2021,★★★,False,
The Harder They Fall,06 Nov 2021,★★★½,False,
King Kong,05 Nov 2021,★★★,True,
No Time to Die,04 Nov 2021,★★★★,True,
Nightmare Alley,04 Nov 2021,★★★½,False,
Ocean Waves,28 Oct 2021,★★★,False,
Interstellar,27 Oct 2021,★★★★½,True,
