Movie,Date Watched,Rating,Liked,Review
Saltburn,07 Jan 2024,★★★,False,"Barry Keoghan plays himself again, with poor little rich boy spin. Needed more incest, or more follow through on the seduction threats to really sell what it wanted to be. "
The Lord of the Rings: The Two Towers,01 Jan 2024,★★★★★,True,Part two
The Lord of the Rings: The Fellowship of the Ring,01 Jan 2024,★★★★★,True,Perfect new years movie
Uncharted,29 Dec 2023,★★★,True,"To stop a bullet, a gold shield would need to be super thicc. Almost as thicc as Tom Holland’s ass."
Sound of Christmas,21 Dec 2023,★★,False,"There was no Christmas in this Christmas movie. Like, there was some, but it didn’t even snow in New York."
Stage Fright,18 Dec 2023,★★★★,False,"This was amazing, but I wish they took themselves a bit more seriously to sell the campiness."
Don't Open Till Christmas,17 Dec 2023,★★,False,Holy shit the Brits are Randy fucks.
Black Christmas,17 Dec 2023,★★★★,False,I love that the final girl is the one getting an abortion. 
Austin Powers: International Man of Mystery,15 Dec 2023,★★★,False,Watched with my teenage boy. They did not appreciate it as much as I did.
The Graduate,06 Dec 2023,★★★,False,I’m glad to see the trend of 30 something’s playing college students is a classic thing. 
Phantasm,05 Dec 2023,★★★½,False,Movie starts: oh hell yeah it’s all lesbians They talk: oh no it’s all menIt ends: are you fucking kidding me
Kill Your Darlings,01 Dec 2023,★★★★,True,Poor little rich boys.
In the Mouth of Madness,19 Nov 2023,★★★½,True,
Slave Girls from Beyond Infinity,13 Nov 2023,★★½,False,
Sleepless in Seattle,13 Nov 2023,★★★,True,
The Vast of Night,10 Nov 2023,★★★★½,True,
Five Nights at Freddy's,04 Nov 2023,★★★,True,
Bottoms,03 Nov 2023,★★★,True,
Invasion of the Body Snatchers,31 Oct 2023,★★★★,True,
Drag Me to Hell,26 Oct 2023,★★★½,True,
Rosemary's Baby,25 Oct 2023,★★★½,False,
Annabelle,24 Oct 2023,★★½,False,
Critters,21 Oct 2023,★★★,False,
Tucker and Dale vs. Evil,20 Oct 2023,★★★,False,
Saw,20 Oct 2023,★★★★,False,
The Autopsy of Jane Doe,19 Oct 2023,★★★,True,
Urban Legend,18 Oct 2023,★★★,False,
Oculus,18 Oct 2023,★★★,False,
Final Destination 2,16 Oct 2023,★★★,False,
The Lodge,14 Oct 2023,★★,False,
Candyman,13 Oct 2023,★★★★½,False,
They Live,09 Oct 2023,★★★,False,
Alien³,08 Oct 2023,★★★,False,
The Wonderful Story of Henry Sugar,07 Oct 2023,★★★,False,
Vacancy,03 Oct 2023,★★½,False,
Slumber Party Massacre,02 Oct 2023,,False,
Pontypool,30 Sep 2023,★★★,False,
Scream VI,30 Sep 2023,★★★,False,
Scream 4,29 Sep 2023,★★★½,False,
Scream,24 Sep 2023,★★★★,False,
Dungeons & Dragons: Honor Among Thieves,23 Sep 2023,★★★,True,
Cat People,16 Sep 2023,★★★,False,
Get Out,10 Sep 2023,★★★★,False,
Dracula 2000,09 Sep 2023,★★★,True,
Plan 9 from Outer Space,08 Sep 2023,★★,False,
Lifeforce,08 Sep 2023,★★★,False,
Graveyard Shift,04 Sep 2023,★★½,False,
Culpa,04 Sep 2023,★★★,False,
Dr. Terror's House of Horrors,30 Aug 2023,★★½,False,
The Return of the Vampire,30 Aug 2023,★★★,False,
976-EVIL,30 Aug 2023,★★★,False,
Gray Matter,28 Aug 2023,★★,False,
The Feels,20 Aug 2023,★★★½,False,
The City of the Dead,16 Aug 2023,★★★½,False,
Renfield,15 Aug 2023,★★★★,True,
"Red, White & Royal Blue",14 Aug 2023,★★★½,False,
The She Beast,13 Aug 2023,★★★½,False,
The Descent,11 Aug 2023,★★★,False,
Barbie,10 Aug 2023,★★★½,False,
The Final Terror,10 Aug 2023,★★,False,
The Mutations,06 Aug 2023,★★,False,
Autopsy,06 Aug 2023,★★½,False,
The Mansion of Madness,05 Aug 2023,★★½,False,
The Dunwich Horror,04 Aug 2023,★★★½,False,
Night of the Living Dead,03 Aug 2023,★★★★,False,
Predator,03 Aug 2023,★★★,False,
The Happytime Murders,01 Aug 2023,½,False,
Nimona,16 Jul 2023,★★★★,False,
John Wick: Chapter 4,11 Jul 2023,★★★★,False,
Queen of Blood,11 Jul 2023,★★,False,
Tentacles,11 Jul 2023,★★½,False,
The Boat That Rocked,02 Jul 2023,★★★½,False,
The Thing,11 Jun 2023,★★★★,False,
Vampire's Kiss,09 Jun 2023,★★★½,False,
Bodies Bodies Bodies,08 Jun 2023,★★★½,False,
All About Evil,02 Jun 2023,★★★½,False,
Pearl,27 May 2023,★★★,False,
A Simple Favor,26 May 2023,★★★,False,
Up in Smoke,17 May 2023,★★★,False,
Pulse,15 May 2023,★★★½,False,
Legally Blonde: The Musical,13 May 2023,★★★½,False,
Scream 3,10 May 2023,★★★,False,
Scream 2,10 May 2023,★★★½,False,
The Incredibly True Adventure of Two Girls in Love,06 May 2023,★★★★★,False,
Fight Club,05 May 2023,★★★,False,
Twilight,04 May 2023,★★,False,
Open Graves,20 Apr 2023,★,False,
The Innkeepers,20 Apr 2023,★★½,False,
Before Midnight,02 Apr 2023,★★★★,False,
Sinister,02 Apr 2023,★★★,False,
Death Becomes Her,20 Mar 2023,★★½,False,
The Invitation,05 Mar 2023,★★★½,False,
A Dangerous Method,04 Mar 2023,★★★,False,
Before Sunset,04 Mar 2023,★★★★★,False,
M3GAN,25 Feb 2023,★★★,False,
The Menu,19 Feb 2023,★★★★½,False,
Pitch Perfect,19 Feb 2023,★★★½,False,
Jennifer's Body,19 Feb 2023,★★★½,False,
AWOL,19 Feb 2023,½,False,
A Girl Walks Home Alone at Night,19 Feb 2023,★★★★½,False,
¡Three Amigos!,19 Feb 2023,★★½,False,
The Blob,18 Feb 2023,★★★,False,
Village of the Damned,18 Feb 2023,★★★,False,
Glass Onion,18 Feb 2023,★★½,False,
Titanic,15 Feb 2023,★★★★★,False,
Breakfast at Tiffany's,11 Feb 2023,★★★,False,
Nine to Five,11 Feb 2023,★★★★,False,
They/Them,04 Feb 2023,★★,False,
Scream,04 Feb 2023,★★★★,False,
The Retreat,04 Feb 2023,★★,False,
The Ruins,04 Feb 2023,★★★,False,
The Cabin in the Woods,13 Jan 2023,★★★★,False,
Black Narcissus,07 Jan 2023,★★★★,False,
The Hitch-Hiker,07 Jan 2023,★★,False,
Roald Dahl's Matilda the Musical,04 Jan 2023,★★★★,False,
Call Me Miss Cleo,28 Dec 2022,★★★,False,
Under The Christmas Tree,19 Dec 2022,★★★,False,
Smile,17 Dec 2022,★★★,False,
Bros,04 Dec 2022,★★,False,
Falling for Christmas,03 Dec 2022,★,False,
Coherence,27 Nov 2022,★★,False,
Only Lovers Left Alive,26 Nov 2022,★★★★,False,
The Carmilla Movie,26 Nov 2022,★★★★,False,
Little Monsters,25 Nov 2022,★½,False,
Life After Beth,25 Nov 2022,★★,False,
Tremors,25 Nov 2022,★★★★★,False,
Barbarian,31 Oct 2022,★★★,False,
The Hunger,31 Oct 2022,★★★½,False,
It Follows,30 Oct 2022,★★½,False,
The Midnight Meat Train,30 Oct 2022,★★★½,False,
The Golem: How He Came into the World,30 Oct 2022,★★★,False,
Mortuary,29 Oct 2022,★★★★,False,
Wicked City,29 Oct 2022,★★½,False,
The Amityville Curse,29 Oct 2022,★★,False,
The Curse of La Llorona,23 Oct 2022,★★,False,
Perfect Blue,22 Oct 2022,★★★★,False,
Firestarter,16 Oct 2022,★★★,False,
Kandisha,15 Oct 2022,★★★,False,
Hellraiser,14 Oct 2022,★★½,False,
The House of the Devil,06 Oct 2022,★★★★,False,
Creature from Black Lake,05 Oct 2022,★★½,False,
V/H/S,04 Oct 2022,★★,False,
X,01 Oct 2022,★★★★½,False,
The Whip and the Body,01 Oct 2022,★★,False,
The Brood,01 Oct 2022,★★★½,False,
Hungry Wives,01 Oct 2022,★★★,False,
Sleepaway Camp,01 Oct 2022,★★★,False,
Event Horizon,30 Sep 2022,★★½,False,
The Brides of Dracula,26 Sep 2022,★★★½,False,
Candyman,26 Sep 2022,★★★★½,False,
The Black Phone,24 Sep 2022,★★★,False,
Mimic,23 Sep 2022,★★,False,
Bingo Hell,13 Sep 2022,★★,False,
Best in Show,12 Sep 2022,★★★½,False,
Terrified,11 Sep 2022,★★★½,False,
