Movie,Date Watched,Rating,Liked,Review
Michael Clayton,15 Jan 2024,,True,
Ariel,12 Jan 2024,,True,
Repulsion,11 Jan 2024,,False,
Barton Fink,07 Jan 2024,,False,
Inside Llewyn Davis,06 Jan 2024,,True,
SubUrbia,30 Dec 2023,,False,
The Teachers’ Lounge,29 Dec 2023,,False,
The Zone of Interest,17 Dec 2023,,False,
Monster,10 Dec 2023,,False,
May December,29 Nov 2023,,True,saw this at IFC and the audience was loudly and  demonstratively laughing throughout. obv some parts of the movie *are* funny but it’s like melodrama makes people so uncomfortable that they have to read it as irony. fear of cringe etc.
Naked,27 Nov 2023,,False,
Matchstick Men,25 Nov 2023,,False,
Killers of the Flower Moon,24 Nov 2023,,False,
The Killer,19 Nov 2023,,False,
The Waldheim Waltz,06 Nov 2023,,False,
The Exorcist,05 Nov 2023,,False,
Saw,29 Oct 2023,,False,
The Raven,15 Oct 2023,,False,
Anatomy of a Fall,10 Oct 2023,,False,
Janet Planet,09 Oct 2023,,True,every day of my life is hell
Bottoms,06 Oct 2023,,False,
The Piano Teacher,28 Aug 2023,,True,
Piaffe,27 Aug 2023,,False,
Talk to Me,25 Aug 2023,,False,
Barbie,23 Jul 2023,,False,
Oppenheimer,21 Jul 2023,,False,Einstein jump scare
Afire,16 Jul 2023,,True,Club Sandwich is a perfect name for a novel
Johnny Mnemonic,10 Jul 2023,,False,
GoodFellas,12 Jun 2023,,True,
Bama Rush,06 Jun 2023,,False,
Before the Devil Knows You're Dead,05 Jun 2023,,False,
The Heartbreak Kid,27 May 2023,,True,thanks for the nut
Single White Female,07 May 2023,,False,
"Hail, Caesar!",03 May 2023,,False,
Poison Ivy,10 Apr 2023,,False,
Color of Night,02 Apr 2023,,False,
Kiss Me Deadly,30 Mar 2023,,False,
Chinatown,27 Mar 2023,,False,
Return to Seoul,17 Mar 2023,,True,
Loulou,05 Mar 2023,,False,i prefer a loafer who fucks
All the Beauty and the Bloodshed,05 Feb 2023,,True,
Children of Men,29 Jan 2023,,False,
Stalked by My Doctor: Patient's Revenge,28 Jan 2023,,True,
Stalked by My Doctor: The Return,28 Jan 2023,,False,
Stalked by My Doctor,28 Jan 2023,,False,
The Wailing,23 Jan 2023,,False,
The Conformist,21 Jan 2023,,False,
Kimi,16 Jan 2023,,False,
Marnie,09 Jan 2023,,True,about how heterosexual marriage is a prison for women….also about how hard it is to lose a scottish accent
Aftersun,01 Jan 2023,,False,
TÁR,28 Dec 2022,,False,
Emily the Criminal,27 Dec 2022,,False,aubrey plaza is great but this movie just kind of feels like something a focus group came up with
Glass Onion,26 Dec 2022,,False,
Knives Out,25 Dec 2022,,False,
X,23 Dec 2022,,False,
National Lampoon's Christmas Vacation,23 Dec 2022,,False,
A Snake of June,17 Dec 2022,,False,
The Eternal Daughter,11 Dec 2022,,False,
Memories of Murder,05 Dec 2022,,False,
The Hunger,06 Nov 2022,,True,
Decision to Leave,29 Oct 2022,,False,"hitchcock obv, also kind of an apple ad, nonetheless it won me over"
Kramer vs. Kramer,17 Oct 2022,,False,
Old School,10 Oct 2022,,False,
Vampire's Kiss,02 Oct 2022,,False,
Light Sleeper,28 Sep 2022,,True,love paul schrader’s diarists. saw this at the roxy for the 30th anniversary with some extremely loud performative laughers and after the q&a paul was like “what was with the nervous laughter?” lol
Barbarian,11 Sep 2022,,False,
Husbands,28 Aug 2022,,False,
Memoria,24 Aug 2022,,False,
Heat,04 Aug 2022,,True,
Miami Vice,17 Jul 2022,,False,loved jamie foxx faking an orgasm. first time i’ve heard barranquilla mentioned onscreen.
Showgirls,14 Jul 2022,,True,
Murina,10 Jul 2022,,False,
Dressed to Kill,03 Jul 2022,,False,
Sexy Beast,26 Jun 2022,,False,
How to Shoot a Crime,26 Jun 2022,,True,love the fake south street seaport marketer
In Order to Pass,25 Jun 2022,,False,
"The Golden Bowl, or Repression",25 Jun 2022,,False,
Traveling at Night,25 Jun 2022,,True,
Foolproof Illusion,25 Jun 2022,,False,
Bad Lieutenant: Port of Call – New Orleans,20 Jun 2022,,False,
Margaret,25 May 2022,,True,
The Town,17 May 2022,,False,
Happening,13 May 2022,,False,
Compliance,10 May 2022,,False,
Pulse,03 Apr 2022,,False,
Deep Water,22 Mar 2022,,False,
Game Night,06 Mar 2022,,False,
The Empty Man,21 Feb 2022,,False,
Resurrection,14 Feb 2022,,False,
The Worst Person in the World,06 Feb 2022,,True,
"Oslo, August 31st",06 Feb 2022,,False,
Jackass Forever,05 Feb 2022,,False,
Scream 2,02 Feb 2022,,False,
Simple Passion,31 Jan 2022,,False,
Gone Girl,30 Jan 2022,,False,
Ms .45,29 Jan 2022,,True,
Ratatouille,24 Jan 2022,,False,
The House That Screamed,17 Jan 2022,,False,
The House That Screamed,17 Jan 2022,,False,
A Hero,17 Jan 2022,,False,
28 Days Later,16 Jan 2022,,False,
Suspiria,09 Jan 2022,,True,
Transit,08 Jan 2022,,False,
Maneater,01 Jan 2022,,False,
Crash,31 Dec 2021,,True,
Moonstruck,31 Dec 2021,★★★★★,False,
The Muppet Christmas Carol,29 Dec 2021,,False,
Wild Things,19 Dec 2021,,False,
Videodrome,18 Dec 2021,,True,
The Power of the Dog,17 Dec 2021,,True,
Drive My Car,12 Dec 2021,,False,
Benedetta,05 Dec 2021,,True,
Boogie Nights,05 Dec 2021,,True,
Licorice Pizza,02 Dec 2021,,False,
Mi Vida Loca,23 Nov 2021,,True,
Master and Commander: The Far Side of the World,19 Nov 2021,,False,
Dune,14 Nov 2021,,True,
Prisoners,14 Nov 2021,,False,
All Too Well: The Short Film,14 Nov 2021,,False,
Spencer,08 Nov 2021,★★,False,
The Souvenir: Part II,06 Nov 2021,★★★★,True,
The First Purge,01 Nov 2021,,False,
House of Wax,31 Oct 2021,,True,
Antlers,29 Oct 2021,★,False,
No Time to Die,16 Oct 2021,,False,
Dead Ringers,03 Oct 2021,,True,
Titane,01 Oct 2021,,False,
The Assassination of Jesse James by the Coward Robert Ford,24 Sep 2021,,False,
Malignant,15 Sep 2021,,False,
The Card Counter,12 Sep 2021,,False,
Serpico,09 Sep 2021,,True,
Body Double,09 Sep 2021,,False,
After Hours,01 Sep 2021,,True,
Minority Report,25 Aug 2021,,False,
Collateral,23 Aug 2021,,True,
Manhunter,22 Aug 2021,,False,
Annette,20 Aug 2021,,False,
Eastern Promises,02 Aug 2021,,True,
Stillwater,01 Aug 2021,,False,
A History of Violence,01 Aug 2021,,False,
Clockwatchers,27 Jul 2021,,True,
Old,26 Jul 2021,,False,
Cape Fear,11 Jul 2021,,False,
Zola,07 Jul 2021,,False,
Independence Day,05 Jul 2021,,False,
The Thing,12 Jun 2021,,False,
Up,23 May 2021,,False,
Falling Down,22 May 2021,,False,
The 400 Blows,17 May 2021,,False,
The 40 Year Old Virgin,17 May 2021,,False,
M*A*S*H,05 May 2021,,False,
Blood Simple,22 Apr 2021,,False,
The Lady Eve,19 Apr 2021,,True,
Smooth Talk,18 Apr 2021,,False,
Harry Potter and the Chamber of Secrets,12 Apr 2021,,False,
8½,11 Apr 2021,,False,
Harry Potter and the Philosopher's Stone,10 Apr 2021,,False,
True Romance,03 Apr 2021,,False,
A New Leaf,31 Mar 2021,,True,
Aliens,29 Mar 2021,,False,
Alien,29 Mar 2021,,False,
Another Round,23 Mar 2021,,False,
The China Syndrome,18 Mar 2021,,False,
Speed,17 Mar 2021,,False,
Mad Max: Fury Road,13 Mar 2021,,True,
Cutter's Way,07 Mar 2021,,False,
The Red Shoes,06 Mar 2021,,True,
St. Elmo's Fire,27 Feb 2021,,False,
The Original Kings of Comedy,24 Feb 2021,,False,
The Matrix,13 Feb 2021,,False,
Demonlover,13 Feb 2021,,False,
About Time,31 Jan 2021,★★,False,
Mrs. Doubtfire,27 Jan 2021,,False,
The Assistant,23 Jan 2021,,True,
Martin Eden,16 Jan 2021,,True,
It Comes at Night,15 Jan 2021,,False,
Thief,10 Jan 2021,,False,
The Hurt Locker,02 Jan 2021,,False,
She Dies Tomorrow,01 Jan 2021,,False,
Jennifer's Body,29 Dec 2020,,True,
Days of Heaven,27 Dec 2020,,True,
Mangrove,25 Dec 2020,,False,
A Christmas Story,25 Dec 2020,,False,
Bacurau,25 Dec 2020,,True,
Bad Santa,19 Dec 2020,,False,
Jingle All the Way,18 Dec 2020,,False,
It's a Wonderful Life,13 Dec 2020,,False,
Home Alone 2: Lost in New York,06 Dec 2020,,False,
Home Alone,06 Dec 2020,,False,
Shadow of a Doubt,05 Dec 2020,,False,
Burn After Reading,05 Dec 2020,,False,
A Serious Man,03 Dec 2020,,False,
The Host,28 Nov 2020,,False,
My Best Friend's Wedding,27 Nov 2020,,False,
The Departed,20 Nov 2020,,False,
Fargo,09 Nov 2020,,False,
Scream,31 Oct 2020,,False,
The Slumber Party Massacre,31 Oct 2020,,False,
Beau Travail,22 Sep 2020,,True,
I Know What You Did Last Summer,20 Sep 2020,,False,
Tabu,20 Sep 2020,★★★★★,False,
21 Jump Street,13 Aug 2020,,False,
A Nightmare on Elm Street,12 Aug 2020,,False,
King of New York,04 Aug 2020,,False,
Raising Arizona,02 Aug 2020,,False,
Palm Springs,01 Aug 2020,,False,
Moonstruck,26 Jul 2020,★★★★★,False,
Don't Breathe,23 Jul 2020,,False,
Road House,19 Jul 2020,,False,
Starship Troopers,17 Jul 2020,,False,
Total Recall,15 Jul 2020,,False,
Point Break,08 Jul 2020,,False,
The Cabin in the Woods,05 Jul 2020,,False,
Southland Tales,04 Jul 2020,,False,
Bound,28 Jun 2020,,False,
My Neighbor Totoro,27 Jun 2020,,True,
Die Hard: With a Vengeance,26 Jun 2020,,False,
Once Upon a Time… in Hollywood,21 Jun 2020,,False,
Hearts and Minds,16 Jun 2020,,False,
Network,14 Jun 2020,,False,
"Aguirre, the Wrath of God",12 Jun 2020,,False,
Highlander,07 Jun 2020,,False,
The Age of Innocence,06 Jun 2020,,True,
Jackie Brown,01 Jun 2020,,False,
Hunger,28 May 2020,,False,
Conversations with Intellectuals About Selena,26 May 2020,,False,
Hell or High Water,24 May 2020,,False,
Wild Strawberries,23 May 2020,,False,
The Last Dance,23 May 2020,,False,
Cruising,21 May 2020,,False,
That Thing You Do!,17 May 2020,,False,
The Descent,16 May 2020,,False,
No Country for Old Men,14 May 2020,,False,
New Improved Institutional Quality: In the Environment of Liquids and Nasals a Parasitic Vowel Sometimes Develops,13 May 2020,,False,
There Will Be Blood,13 May 2020,,False,
Reds,09 May 2020,,False,
Hapax Legomena I: (nostalgia),08 May 2020,,False,
Heat,04 May 2020,,True,
Standard Gauge,01 May 2020,,False,
Night Moves,27 Apr 2020,,False,
The Searchers,24 Apr 2020,★★★★★,False,
