Movie,Date Watched,Rating,Liked,Review
Talvar,09 Jan 2024,,True,"indian version of memories of murder.its scary that all these years there is actually someone who knows everything, watching all this happening and living a normal life."
12th Fail,31 Dec 2023,,True,
Dunki,30 Dec 2023,,True,
Kho Gaye Hum Kahan,27 Dec 2023,,True,
Lootera,24 Dec 2023,,True,
Leo,03 Dec 2023,,True,
Animal,02 Dec 2023,,True,
Napoleon,29 Nov 2023,,True,
Farrey,29 Nov 2023,,True,
Killers of the Flower Moon,05 Nov 2023,,True,
Bhagwan Bharose,18 Oct 2023,,True,
Mission Raniganj,18 Oct 2023,,True,
Sapta Sagaradaache Ello – Side A,02 Oct 2023,,True,
Fukrey 3,28 Sep 2023,,True,
6ixtynin9,17 Sep 2023,,True,
"The Gangster, the Cop, the Devil",10 Sep 2023,,True,
Jawan,09 Sep 2023,,True,nice yar
Miracle in Cell No. 7,26 Aug 2023,,True,
Barbie,26 Jul 2023,,True,
Oppenheimer,23 Jul 2023,,True,
Oppenheimer,22 Jul 2023,,True,
Mission: Impossible – Dead Reckoning Part One,19 Jul 2023,,True,
The Lunchbox,09 Jul 2023,,True,
No Hard Feelings,04 Jul 2023,,True,
Bombay Talkies,25 Jun 2023,,True,murraba kuchal diya yar
The Flash,17 Jun 2023,,True,
Dev.D,16 Jun 2023,,True,ye toh masterpiece hai.
Ugly,16 Jun 2023,,True,
In the Realm of the Senses,15 Jun 2023,,True,
Pushpa: The Rise - Part 1,11 Jun 2023,,True,
No Smoking,28 May 2023,,True,
Bhediya,26 May 2023,,True,
Fast X,21 May 2023,,True,
The Covenant,19 May 2023,,True,
Charulata,17 May 2023,,True,
Night on Earth,11 May 2023,,True,
Jaws,06 May 2023,,True,
Evil Dead Rise,03 May 2023,,True,nothing just hot moms
Polite Society,03 May 2023,,True,something different
Dil Chahta Hai,30 Apr 2023,,True,
Rab Ne Bana Di Jodi,29 Apr 2023,,True,
Suzume,21 Apr 2023,,True,wish i were a chair
Munnariyippu,17 Apr 2023,,True,
Iratta,14 Apr 2023,,True,
Ela Veezha Poonchira,11 Apr 2023,,True,if shutter island was made in kerala.Fantastic film by Shahi Kabir as a directorial debut.
Tunnel,07 Apr 2023,,True,
Bholaa,02 Apr 2023,,True,
John Wick: Chapter 4,02 Apr 2023,,True,yeah
John Wick: Chapter 2,02 Apr 2023,,True,
John Wick,31 Mar 2023,,True,
10 Cloverfield Lane,20 Mar 2023,,True,
Highway,18 Mar 2023,,True,
Collateral,28 Feb 2023,,True,
Better Call Saul Presents: Slippin' Jimmy,24 Feb 2023,,True,
Fursat,11 Feb 2023,,True,
Anubhav Singh Bassi: Bas Kar Bassi,01 Feb 2023,,True,
Pathaan,28 Jan 2023,,True,
An Action Hero,27 Jan 2023,,True,
The Wind Will Carry Us,26 Jan 2023,,True,
Through the Olive Trees,26 Jan 2023,,True,"I will die and will never know what she said to my hero.perfect ending, another masterpiece."
"Life, and Nothing More...",24 Jan 2023,,True,Kiarostami & Cars.
All the Crows in the World,24 Jan 2023,,True,
Nimic,24 Jan 2023,,True,
Where Is the Friend's House?,24 Jan 2023,,True,Simple and Beautiful.
The Night,23 Jan 2023,,True,
Terrorizers,22 Jan 2023,,True,
Joyland,22 Jan 2023,,True,
Last Film Show,21 Jan 2023,,True,
Mission Majnu,20 Jan 2023,,True,
Chhatriwali,20 Jan 2023,,False,
Swades,20 Jan 2023,,True,
Paatal Lok,18 Jan 2023,,True,
Love,16 Jan 2023,,True,
Unbelievable,11 Jan 2023,,True,
The Playlist,02 Jan 2023,,True,
Mili,01 Jan 2023,,True,
Decision to Leave,24 Dec 2022,,True,
Avatar: The Way of Water,17 Dec 2022,,True,
Avatar,17 Dec 2022,,True,
Us,11 Dec 2022,,True,
Nope,10 Dec 2022,,True,
Ad Astra,07 Dec 2022,,True,
Get Out,03 Dec 2022,,True,
Uunchai,23 Nov 2022,,True,
Cast Away,20 Nov 2022,,True,
Drishyam 2,19 Nov 2022,,True,
Catch Me If You Can,13 Nov 2022,,True,
"Monica, O My Darling",13 Nov 2022,,True,
Phone Bhoot,05 Nov 2022,,True,
