Movie,Date Watched,Rating,Liked,Review
Vampyros Lesbos,15 Jan 2024,★★★½,True,very confusing!! but i do love lesbians and vampires!!!
(500) Days of Summer,14 Jan 2024,★★★★,True,no
Suspiria,13 Jan 2024,★★★½,True,red
Pearl,13 Jan 2024,★★★★★,True,all i really want is to be loved
The Brown Bunny,12 Jan 2024,★★★½,True,what the fuckkkk
Priscilla,11 Jan 2024,★★★★,True,the sequence when they’re on drugs and everything’s pink and she’s hugging the tiger statue… so lana del rey.
The Farmer's Daughters,10 Jan 2024,,True,
X,10 Jan 2024,★★★½,True,i just love southern american accents
St. Trinian's,09 Jan 2024,★★★★★,True,this is my comprehensive list of all the lesbian couples in this film based purely off of screen time together and eye contact:
Charlie's Angels: Full Throttle,09 Jan 2024,★★★,True,DREW BARRYMORE
Napoleon Dynamite,08 Jan 2024,★★★½,True,"this reminds me of the summers (2019-2020) when i became obsessed with playing swingball in my back garden. i’d spend my whole day out there, and when it was time for dinner id eat super fast so as soon as i was done i could head back out to toss the ol’ tennis ball on a string. the only sport i ever became sort of good at."
Enter the Void,08 Jan 2024,★★★★,True,i need a nap
Eternal Sunshine of the Spotless Mind,06 Jan 2024,★★★★★,True,AAAAAAAAHHHHHHHHHHHHHHH this one is a bit relatable.
Wonka,03 Jan 2024,★★★★,True,
Superbad,01 Jan 2024,★★★★½,True,
Harry Potter and the Philosopher's Stone,28 Dec 2023,★★★½,True,
John Tucker Must Die,25 Dec 2023,★★★,False,
Krampus,24 Dec 2023,★★★★,True,
The Sound of Music,24 Dec 2023,★★★★,True,
Holiday in Handcuffs,24 Dec 2023,★★,False,
The Devil Wears Prada,23 Dec 2023,★★★★,True,
Elemental,22 Dec 2023,★★★,False,
Year One,21 Dec 2023,★★,False,
The Muppet Christmas Carol,20 Dec 2023,★★★★★,True,
Drop Dead Gorgeous,18 Dec 2023,★★★★,True,
Marcel the Shell with Shoes On,15 Dec 2023,★★★★★,True,
Suburban Gothic,15 Dec 2023,★★½,True,
A Futile and Stupid Gesture,15 Dec 2023,★★★,True,
Theater Camp,15 Dec 2023,★★★★,True,
Barbie in the Nutcracker,12 Dec 2023,★★½,True,
Crashing Waves,11 Dec 2023,,True,
Post-It Love,11 Dec 2023,,False,
The Life of Death,11 Dec 2023,,True,
Cargo,11 Dec 2023,,True,
1500 Words,11 Dec 2023,,True,
Doctor Who: The Giggle,10 Dec 2023,,True,
Stephen Sondheim's Old Friends,07 Dec 2023,,True,
Doctor Who: Wild Blue Yonder,06 Dec 2023,,True,
Heathers,05 Dec 2023,★★★★★,True,
Saw II,01 Dec 2023,★★★★,True,
The Bling Ring,28 Nov 2023,★★★★,True,
Doctor Who: The Star Beast,25 Nov 2023,★★★★,True,
Buffalo '66,24 Nov 2023,★★★½,True,
Scott Pilgrim Takes Off,19 Nov 2023,★★★★★,True,
Scott Pilgrim Takes Off,17 Nov 2023,★★★★★,True,
Fight Club,16 Nov 2023,★★★★,True,
Scott Pilgrim vs. the World,15 Nov 2023,★★★★★,True,
Thirteen,14 Nov 2023,★★★★,True,
Saw II,14 Nov 2023,★★★★,True,
Creep,14 Nov 2023,★★★½,True,
Studio 666,13 Nov 2023,★★,True,
From Fish to Moon,10 Nov 2023,,True,
The Diary of a Teenage Girl,09 Nov 2023,★★★½,True,
X-Men,07 Nov 2023,★★★,True,
Ginger Snaps,07 Nov 2023,★★★★,True,
The Nice Guys,05 Nov 2023,★★★½,True,
Bottle Rocket,05 Nov 2023,★★★½,True,
Moonrise Kingdom,01 Nov 2023,★★★★★,True,
Shaun of the Dead,31 Oct 2023,★★★★★,True,
Corpse Bride,31 Oct 2023,★★★★,True,
Saw,27 Oct 2023,★★★½,True,
Nerdy Prudes Must Die,27 Oct 2023,★★★★½,True,
Making 'The Shining',22 Oct 2023,,True,
The Shining,21 Oct 2023,★★★★,True,
Perfect Blue,20 Oct 2023,★★★★½,True,
Self-Portrait with Three Women,20 Oct 2023,★★★★,True,
Ten Meter Tower,16 Oct 2023,★★★★,True,
Audition,13 Oct 2023,★★★★,True,
Totally Killer,11 Oct 2023,★★★½,True,
The Cabbage-Patch Fairy,11 Oct 2023,★★★★★,True,
Thunder Road,06 Oct 2023,★★★★,True,
Belle,04 Oct 2023,★★★,False,
Mean Girls,03 Oct 2023,★★★★½,True,
The Wonderful Story of Henry Sugar,01 Oct 2023,★★★★,True,
The Texas Chain Saw Massacre,30 Sep 2023,★★★★,True,
Under the Silver Lake,30 Sep 2023,★★★½,True,
Submarine,28 Sep 2023,★★★★★,True,
Polyester,24 Sep 2023,★★★½,True,
Mamaboy,24 Sep 2023,½,False,
Bring It On,23 Sep 2023,★★★½,True,
You Are So Not Invited to My Bat Mitzvah,18 Sep 2023,★★★,True,
The Conjuring,11 Sep 2023,★★★½,True,
Brigsby Bear,10 Sep 2023,★★★★★,True,
Fright Night,05 Sep 2023,★★★½,True,
Gambit,02 Sep 2023,★★,False,
Spider-Man: Into the Spider-Verse,01 Sep 2023,★★★★★,True,
Barbie,31 Aug 2023,★★★★★,True,
Fear Street: 1978,30 Aug 2023,★★★★★,True,
Black Bear,30 Aug 2023,★★★★,True,
Freaky,29 Aug 2023,★★★½,True,
Molly's Game,29 Aug 2023,★★★★,True,
We Have a Ghost,27 Aug 2023,★★★,True,
Margot at the Wedding,26 Aug 2023,★★★,False,
Coraline,25 Aug 2023,★★★★★,True,
Barbie,21 Aug 2023,★★★★★,True,
Without a Paddle,19 Aug 2023,★★★½,True,
A Man Called Otto,12 Aug 2023,★★,False,
Kill Bill: Vol. 1,10 Aug 2023,★★★★,True,
Barbie,03 Aug 2023,★★★★★,True,
Rye Lane,02 Aug 2023,★★★½,True,
Cry-Baby,28 Jul 2023,★★★★★,True,
Moulin Rouge!,28 Jul 2023,★★★★★,True,
Barbie,26 Jul 2023,★★★★★,True,
Wham!,23 Jul 2023,,True,
Walk Hard: The Dewey Cox Story,23 Jul 2023,★★★½,True,
Spider-Man,22 Jul 2023,★★★½,True,
Barbie,21 Jul 2023,★★★★★,True,
Sugar & Spice,21 Jul 2023,★★★★½,True,
I Love You Phillip Morris,20 Jul 2023,★★★½,True,
Greener Grass,18 Jul 2023,★★★★,True,
The Hot Chick,18 Jul 2023,★★★,True,
Thelma & Louise,18 Jul 2023,★★★★★,True,
Superbad,17 Jul 2023,★★★★½,True,
Fear Street: 1994,16 Jul 2023,★★★★★,True,
Turning Red,15 Jul 2023,★★★★,True,
The Family,14 Jul 2023,★★★,True,
Bullet Train,14 Jul 2023,★★★★,True,
The Cat in the Hat,13 Jul 2023,★★★★★,True,
The World's End,10 Jul 2023,★★★★,True,
Garfield,10 Jul 2023,★★★,True,
Shaun of the Dead,08 Jul 2023,★★★★★,True,
Renfield,02 Jul 2023,★★★,True,
The House Bunny,02 Jul 2023,★★★★★,True,
Guillermo del Toro's Pinocchio,25 Jun 2023,★★★★,True,
The Conjuring: The Devil Made Me Do It,21 Jun 2023,★★★½,True,
Scary Movie,17 Jun 2023,★★★½,True,
Forrest Gump,17 Jun 2023,★★½,False,
Plush,16 Jun 2023,★★★,True,
Scream 4,16 Jun 2023,★★★½,True,
Cla'am,15 Jun 2023,,True,
Horse Girl,15 Jun 2023,★★★★,True,
Spider-Man: Across the Spider-Verse,13 Jun 2023,★★★★★,True,
"Hello, Dolly!",13 Jun 2023,★★★★★,True,
The Bling Ring,11 Jun 2023,★★★★,True,
BURN·E,06 Jun 2023,★★★★,True,
WALL·E,06 Jun 2023,★★★★★,True,
Bodies Bodies Bodies,31 May 2023,★★★★½,True,
The House Bunny,30 May 2023,★★★★★,True,
Smiley Face,30 May 2023,★★★★★,True,
Mae Martin: SAP,30 May 2023,★★★½,True,
Charlie's Angels,30 May 2023,★★★★,True,
Jackie,18 May 2023,★★★½,True,
Scream 3,16 May 2023,★★★½,True,
This Place Rules,14 May 2023,,True,
"Maggie Simpson in ""Rogue Not Quite One""",12 May 2023,★★,False,
Palm Springs,12 May 2023,★★★★,False,
The New Mutants,09 May 2023,★★½,False,
The Witches of Eastwick,08 May 2023,★★★½,True,
A Very Brady Sequel,08 May 2023,★★★,True,
Jojo Rabbit,07 May 2023,★★★★,True,
Idiocracy,06 May 2023,★★★,False,
Rent,05 May 2023,★★★½,True,
D.E.B.S.,03 May 2023,★★★★½,True,
D.E.B.S.,03 May 2023,★★★★,True,
Cruel Intentions,02 May 2023,★★★★½,True,
Wrong Turn,01 May 2023,★★,False,
The Interview,01 May 2023,★★★,True,
The Final Destination,30 Apr 2023,★½,True,
Have a Good Trip: Adventures in Psychedelics,30 Apr 2023,★★★,False,
Slums of Beverly Hills,30 Apr 2023,★★★½,True,
Romy and Michele's High School Reunion,29 Apr 2023,★★★★½,True,
The Conjuring 2,28 Apr 2023,★★★½,True,
Welcome to the Dollhouse,27 Apr 2023,★★★★,True,
Swiss Army Man,25 Apr 2023,★★★★,True,
Cloudy with a Chance of Meatballs 2,24 Apr 2023,★★★½,True,
Phil Wang: Philly Philly Wang Wang,23 Apr 2023,★★★,True,
Cloudy with a Chance of Meatballs,23 Apr 2023,★★★★,True,
Rosaline,11 Apr 2023,★★★,True,
Hop,10 Apr 2023,★★½,True,
Ocean's Eight,08 Apr 2023,★★★½,True,
Human Capital,07 Apr 2023,★★★,True,
The Room,04 Apr 2023,★,True,
Ready or Not,02 Apr 2023,★★★★,True,
Strange World,02 Apr 2023,★★★½,True,
Forgetting Sarah Marshall,01 Apr 2023,★★★½,True,
As You Are,01 Apr 2023,★★★½,True,
Dazed and Confused,30 Mar 2023,★★★½,True,
Tragedy Girls,29 Mar 2023,★★★,False,
Crazy Rich Asians,28 Mar 2023,★★★½,True,
Jawbreaker,28 Mar 2023,★★★★,True,
Practical Magic,27 Mar 2023,★★★★★,True,
The Brady Bunch Movie,26 Mar 2023,★★★½,True,
Buffy the Vampire Slayer,19 Mar 2023,★★★½,True,
The Cat from Outer Space,19 Mar 2023,★★★★★,True,
Moulin Rouge!,11 Mar 2023,★★★★★,True,
Mad God,10 Mar 2023,★★★½,True,
Once Upon a Time… in Hollywood,09 Mar 2023,★★★★,True,
Con Air,05 Mar 2023,★★★,True,
All My Friends Are Dead,28 Feb 2023,★★★½,True,
"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",23 Feb 2023,★★★½,True,
Juno,22 Feb 2023,★★★★½,True,
Black Swan,14 Feb 2023,★★★★,True,
Somebody I Used to Know,13 Feb 2023,★★★½,True,
Your Place or Mine,12 Feb 2023,★★★,True,
Annie,10 Feb 2023,★★★½,True,
Freaky Friday,08 Feb 2023,★★★★,True,
"The Simpsons: The Good, the Bart, and the Loki",07 Feb 2023,,False,
The Simpsons: When Billie Met Lisa,07 Feb 2023,,False,
Welcome to the Club,07 Feb 2023,,False,
The Parent Trap,04 Feb 2023,★★★★,True,
Bloodbath at the House of Death,03 Feb 2023,★★,False,
The Devil's Men,28 Jan 2023,★★,False,
The Eyes of Tammy Faye,26 Jan 2023,★★★★½,True,
Glass Onion,21 Jan 2023,★★★★,True,
Heathers,21 Jan 2023,★★★★★,True,
The Menu,20 Jan 2023,★★★,False,
Buffy the Vampire Slayer,16 Jan 2023,★★★½,True,
Joe,13 Jan 2023,★★½,False,
Bananas,12 Jan 2023,★★,False,
Barbra Streisand: Becoming an Icon 1942–1984,05 Jan 2023,★★★½,True,
Nobody,01 Jan 2023,★★★½,True,
The Amazing Maurice,01 Jan 2023,★★,False,
Moonrise Kingdom,27 Dec 2022,★★★★★,True,
Krampus,24 Dec 2022,★★★★,True,
Twisted: The Untold Story of a Royal Vizier,23 Dec 2022,★★★★★,True,
A VHS Christmas Carol,22 Dec 2022,★★★½,True,
Pom Poko,07 Dec 2022,★★★½,False,
The Darjeeling Limited,03 Dec 2022,★★★★½,True,
Best in Show,01 Dec 2022,★★★½,True,
Rushmore,01 Dec 2022,★★★★,True,
Come Together,01 Dec 2022,★★★★,True,
The Darjeeling Limited,30 Nov 2022,★★★★½,True,
Diary of a Wimpy Kid: The Long Haul,30 Nov 2022,½,False,
Diary of a Wimpy Kid,30 Nov 2022,★½,False,
See How They Run,29 Nov 2022,★★★½,True,
Save Ralph,22 Nov 2022,★★★★,True,
