Movie,Date Watched,Rating,Liked,Review
Society of the Snow,12 Jan 2024,★★★½,True,I was like they are all gonna die what are they gonna ea- ohhhhhhhhhhhhhhhhhhhhhhhhhh.
American Fiction,12 Jan 2024,★★★★,True,"Put Sterling K. Brown in more movies, I demand it."
Straight Outta Compton,08 Jan 2024,★★★★,True,Kinda need a solo Dr. Dre and Ice Cube movie that goes into more depth.
Oppenheimer,06 Jan 2024,★★★★★,True,Another certified Dad movie.
BlacKkKlansman,04 Jan 2024,★★★★½,True,"I can’t imagine shooting some of these scenes multiple times, the actors must’ve felt so uncomfortable while doing it."
The Holdovers,04 Jan 2024,★★★★½,True,"Dad approved, certified Dad movie."
Avengers: Infinity War,03 Jan 2024,★★★★½,True,Pacing is crazy bad in this wow.
Sound of Freedom,03 Jan 2024,★★★½,True,If only this had a competent lead actor.
BlackBerry,03 Jan 2024,★★★★½,True,"Glenn Howerton masterclass, did not see that coming. Also the goat Jay Baruchal finally doing another movie, feels like I haven’t seen him in anything since This is the End."
Parasite,28 Dec 2023,★★★★★,True,Still one of the greatest Oscar wins I’ve seen.
Leave the World Behind,27 Dec 2023,★,False,Fuck this movie. I should’ve known I was in trouble when the opening credits rolled. Great song but like no. It put me in the mood for a sports movie but instead this shit unfolds. Whoever chose that song needs to be banned from working on films indefinitely.
Dazed and Confused,27 Dec 2023,★★★★★,True,Goat.
Oldboy,26 Dec 2023,★★★★½,True,
Maestro,25 Dec 2023,★★★★,True,
Poor Things,24 Dec 2023,★★★★½,True,
The Tax Collector,23 Dec 2023,★★½,False,
The Iron Claw,21 Dec 2023,★★★★,True,
May December,20 Dec 2023,★★★½,True,
National Lampoon's Christmas Vacation,17 Dec 2023,★★½,False,
Willy Wonka & the Chocolate Factory,17 Dec 2023,★★★★½,True,
Wonka,16 Dec 2023,★★★★,True,
Barbie,15 Dec 2023,★★★★,True,
Scarface,14 Dec 2023,★★★★★,True,
Top Gun: Maverick,13 Dec 2023,★★★★★,True,
Anchorman: The Legend of Ron Burgundy,10 Dec 2023,★★★★,True,
The Boy and the Heron,09 Dec 2023,★★½,False,
Oppenheimer,08 Dec 2023,★★★★★,True,Another certified Dad movie.
Marriage Story,07 Dec 2023,★★★★★,True,
The Abyss,06 Dec 2023,★★★★,True,
Good Time,05 Dec 2023,★★★★★,True,
Blockers,04 Dec 2023,★★★,True,
Good Boys,04 Dec 2023,★★★½,True,
Knight and Day,03 Dec 2023,★½,False,
The Social Network,02 Dec 2023,★★★★★,True,
Dream Scenario,01 Dec 2023,★★½,False,
Saltburn,30 Nov 2023,★★★½,True,
Godzilla Minus One,30 Nov 2023,★★★★½,True,
Thanksgiving,29 Nov 2023,★★★½,True,
Napoleon,29 Nov 2023,★★★,True,
The Hunger Games: Catching Fire,26 Nov 2023,★★★★,True,
NYAD,23 Nov 2023,★★★★,True,
The Hunger Games: The Ballad of Songbirds & Snakes,21 Nov 2023,★★½,False,
The House,19 Nov 2023,★½,False,
The Fast and the Furious,17 Nov 2023,★★★★½,True,
The Killer,16 Nov 2023,★★★★,True,
Plane,15 Nov 2023,★★★,True,
Mommy,14 Nov 2023,★★★★½,True,
The Talented Mr. Ripley,12 Nov 2023,★★★½,True,
Twilight,10 Nov 2023,★★½,False,
The Holdovers,09 Nov 2023,★★★★½,True,"Dad approved, certified Dad movie."
It's a Wonderful Knife,09 Nov 2023,★,False,
Focus,08 Nov 2023,★★,False,
Oppenheimer,08 Nov 2023,★★★★★,True,Another certified Dad movie.
Unfinished Business,07 Nov 2023,★★½,False,
Priscilla,03 Nov 2023,★★★½,True,
Dawn of the Dead,01 Nov 2023,★★★★,True,
Anatomy of a Fall,01 Nov 2023,★★★★,True,
Warm Bodies,30 Oct 2023,★★½,False,
Five Nights at Freddy's,29 Oct 2023,★★,False,
No Hard Feelings,23 Oct 2023,★★★,True,
Strays,22 Oct 2023,★★★,True,
Tropic Thunder,22 Oct 2023,★★★,True,
Ma,21 Oct 2023,★★½,False,
Hot Tub Time Machine,21 Oct 2023,★★★½,True,
Killers of the Flower Moon,20 Oct 2023,★★★½,True,
Leaving Las Vegas,19 Oct 2023,★★★½,True,
DodgeBall: A True Underdog Story,18 Oct 2023,★★★½,True,
The Big Short,17 Oct 2023,★★★★½,True,
Skin,15 Oct 2023,★★★★,True,
Dumb Money,13 Oct 2023,★★★½,True,
The Girl with the Dragon Tattoo,06 Oct 2023,★★★★,True,
The Hobbit: The Battle of the Five Armies,01 Oct 2023,★★★★,True,
The Creator,29 Sep 2023,★★★★,True,
The Hobbit: The Desolation of Smaug,28 Sep 2023,★★★½,True,
The Hobbit: An Unexpected Journey,27 Sep 2023,★★★½,True,
Dazed and Confused,24 Sep 2023,★★★★★,True,Goat.
Sky High,24 Sep 2023,★★★½,True,
The Machine,24 Sep 2023,½,False,
Sanctuary,22 Sep 2023,★★★★,True,
Ice Age: The Meltdown,20 Sep 2023,★★,False,
Beautiful Boy,20 Sep 2023,★★★★,True,
Zero Dark Thirty,19 Sep 2023,★★★★,True,
United 93,19 Sep 2023,★★★★½,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,19 Sep 2023,★★★,True,
Unfriended: Dark Web,19 Sep 2023,★★★,True,
Percy Jackson & the Olympians: The Lightning Thief,18 Sep 2023,★★,False,
Chef,15 Sep 2023,★★★★★,True,
Theater Camp,15 Sep 2023,★★★★½,True,
"Crazy, Stupid, Love.",15 Sep 2023,★★★★★,True,
Aftersun,14 Sep 2023,★★★★★,True,
Indiana Jones and the Temple of Doom,13 Sep 2023,★★★½,True,
Creep,12 Sep 2023,★★★★½,True,
Booksmart,12 Sep 2023,★★½,False,
Superbad,08 Sep 2023,★★★★½,True,
Death Race 2000,05 Sep 2023,★★★★,True,
Jaws,04 Sep 2023,★★★★½,True,
Doctor Sleep,03 Sep 2023,★★★★½,True,
Drinking Buddies,03 Sep 2023,★★½,False,
Easy A,03 Sep 2023,★★★,True,
Ratatouille,03 Sep 2023,★★★★★,True,
Ted 2,01 Sep 2023,★★★½,True,
The Wolf of Wall Street,01 Sep 2023,★★★★★,True,
Sausage Party,30 Aug 2023,★★★,True,
Licorice Pizza,30 Aug 2023,★★½,False,
Birdman or (The Unexpected Virtue of Ignorance),28 Aug 2023,★★★★½,True,
Scott Pilgrim vs. the World,27 Aug 2023,★★★½,True,
Shaun of the Dead,26 Aug 2023,★★★★,True,
The World's End,26 Aug 2023,★★★½,True,
Hot Fuzz,23 Aug 2023,★★★★,True,
The Breakfast Club,23 Aug 2023,★★★★½,True,
Kill Bill: Vol. 2,22 Aug 2023,★★★,True,
Kill Bill: Vol. 1,22 Aug 2023,★★★★½,True,
Kids,21 Aug 2023,★★,False,
Bones and All,20 Aug 2023,★★★★,True,
Talk to Me,19 Aug 2023,★★★½,True,
Borat Subsequent Moviefilm,17 Aug 2023,★★★★,True,
Zombieland,16 Aug 2023,★★★½,True,
American Honey,15 Aug 2023,★★★★½,True,
Shrek 2,15 Aug 2023,★★★★½,True,
Guardians of the Galaxy Vol. 3,14 Aug 2023,★★★★½,True,
The Amazing Spider-Man 2,14 Aug 2023,★★★,True,
Uncle Buck,13 Aug 2023,★★★½,True,
Transformers: Dark of the Moon,04 Aug 2023,★★★★½,True,
The Super Mario Bros. Movie,03 Aug 2023,★★★,True,
Transformers: Rise of the Beasts,02 Aug 2023,★½,False,
Animal Kingdom,02 Aug 2023,★★½,False,
The Perks of Being a Wallflower,01 Aug 2023,★★★★★,True,
Transformers,01 Aug 2023,★★★½,True,
Transformers: Revenge of the Fallen,31 Jul 2023,★★,False,
The Assassination of Jesse James by the Coward Robert Ford,30 Jul 2023,★★,False,
Scary Movie 3,29 Jul 2023,★★½,False,
Oppenheimer,28 Jul 2023,★★★★★,True,Another certified Dad movie.
The Hurt Locker,26 Jul 2023,★★★★½,True,
Diary of a Wimpy Kid: Dog Days,26 Jul 2023,★★★,True,
About Last Night,25 Jul 2023,★★★,True,
Top Five,24 Jul 2023,★★★½,True,
American Sniper,24 Jul 2023,★★★★½,True,
Ted,23 Jul 2023,★★★★½,True,
Inglourious Basterds,23 Jul 2023,★★★★★,True,
Interstellar,22 Jul 2023,★★★★★,True,
Oppenheimer,20 Jul 2023,★★★★½,True,Another certified Dad movie.
Barbie,20 Jul 2023,★★★★,True,
Godzilla,19 Jul 2023,★★½,False,
Pirates of the Caribbean: The Curse of the Black Pearl,19 Jul 2023,★★★,True,
Waves,18 Jul 2023,★★★★★,True,
La La Land,17 Jul 2023,★★★★,True,
Master and Commander: The Far Side of the World,16 Jul 2023,★★★½,True,
The Lego Batman Movie,16 Jul 2023,★★★★½,True,
Mission: Impossible III,14 Jul 2023,★★★½,True,
Mission: Impossible – Fallout,13 Jul 2023,★★★★½,True,
Chevalier,13 Jul 2023,★★½,False,
Tag,12 Jul 2023,★½,False,
Mission: Impossible – Dead Reckoning Part One,12 Jul 2023,★★★★,True,
Mission: Impossible – Rogue Nation,10 Jul 2023,★★★★½,True,
Insidious: Chapter 2,10 Jul 2023,★★★½,True,
Extraction 2,09 Jul 2023,★★★½,True,
Insidious,09 Jul 2023,★★★½,True,
The Batman,09 Jul 2023,★★★★½,True,
American Reunion,08 Jul 2023,★★★★,True,
American Wedding,07 Jul 2023,★★★½,True,
Indiana Jones and the Dial of Destiny,06 Jul 2023,★★★½,True,
Closer,05 Jul 2023,★★½,False,
Sicario,05 Jul 2023,★★★★★,True,
"The Goods: Live Hard, Sell Hard",04 Jul 2023,★½,False,
Election,04 Jul 2023,★★★★½,True,
Magic Mike's Last Dance,02 Jul 2023,★★★,True,
Past Lives,01 Jul 2023,★★★★½,True,
Red Dawn,28 Jun 2023,★½,False,
This Is the End,28 Jun 2023,★★★★½,True,
Evil Dead Rise,26 Jun 2023,★★★½,True,
John Wick: Chapter 4,25 Jun 2023,★★★★★,True,
Grown Ups,24 Jun 2023,★,False,
Caddyshack,23 Jun 2023,★★★★½,True,
Asteroid City,23 Jun 2023,★★★,True,
Boogie Nights,21 Jun 2023,★★★★★,True,
Renfield,20 Jun 2023,★★★,True,
Reality,20 Jun 2023,★★★,True,
The Flash,19 Jun 2023,★★★,True,
Blade Runner 2049,15 Jun 2023,★★★★½,True,
In Time,13 Jun 2023,★★★,True,
Happy Gilmore,13 Jun 2023,★★★½,True,
Grown Ups 2,12 Jun 2023,★★,False,
Non-Stop,11 Jun 2023,★★★½,True,
Knock Knock,11 Jun 2023,★★½,False,
White House Down,11 Jun 2023,★★★★,True,
The Other Guys,09 Jun 2023,★★★★½,True,
Fast Five,08 Jun 2023,★★★★½,True,
Spider-Man: Across the Spider-Verse,06 Jun 2023,★★★★½,True,
Spider-Man: Into the Spider-Verse,05 Jun 2023,★★★★,True,
The Matrix,31 May 2023,★★★★½,True,
Taken 3,31 May 2023,★★,False,
Fast X,24 May 2023,★★★,True,
Air,23 May 2023,★★★½,True,
Mulholland Drive,18 May 2023,★★★★,True,
The Suicide Squad,16 May 2023,★★★★,True,
Taken 2,08 May 2023,★½,False,
Keanu,08 May 2023,★★★½,True,
Guardians of the Galaxy Vol. 3,04 May 2023,★★★★½,True,
Beau Is Afraid,02 May 2023,★★½,False,
Kung Fu Panda 3,01 May 2023,★★★½,True,
mother!,01 May 2023,★★★★,True,
Munich,29 Apr 2023,★★½,False,
Noah,29 Apr 2023,★★★★,True,
Batman Begins,29 Apr 2023,★★★★½,True,
Over the Hedge,29 Apr 2023,★★★★,True,
Project X,28 Apr 2023,★★★★,True,
Johnny English Reborn,28 Apr 2023,★★★★½,True,
Jackass Number Two,28 Apr 2023,★★★½,True,
The Lion King,27 Apr 2023,★★★★,True,
The Sandlot,26 Apr 2023,★★★½,True,
Scream VI,25 Apr 2023,★★½,False,
Bottle Rocket,25 Apr 2023,★★★,True,
Once Upon a Time… in Hollywood,24 Apr 2023,★★★★½,True,
Scary Movie,24 Apr 2023,★★★,True,
Thank You for Smoking,20 Apr 2023,★★★★½,True,
Hot Summer Nights,19 Apr 2023,★★,False,
The Beach Bum,18 Apr 2023,★★★,True,
Spring Breakers,17 Apr 2023,★★★,True,
The Hangover,16 Apr 2023,★★★★★,True,
Entourage,14 Apr 2023,★★★½,True,
Michael Clayton,14 Apr 2023,★★,False,
The Godfather,13 Apr 2023,★★★★★,True,
The Grifters,12 Apr 2023,★★½,False,
80 for Brady,10 Apr 2023,★★,False,
Ride Along,07 Apr 2023,★★,False,
Cloudy with a Chance of Meatballs,07 Apr 2023,★★½,False,
Avatar: The Way of Water,06 Apr 2023,★★★★,True,
Nerve,06 Apr 2023,★½,False,
Man on Fire,05 Apr 2023,★★,False,
Tetris,03 Apr 2023,★★★★,True,
Friday,02 Apr 2023,★½,False,
Ready Player One,02 Apr 2023,★★★★,True,
After Hours,02 Apr 2023,★★★½,True,
Bruiser,31 Mar 2023,★★★★,True,
Rye Lane,31 Mar 2023,★★½,False,
"I, Tonya",30 Mar 2023,★★★½,True,
Dune,29 Mar 2023,★★★★,True,
Bringing Out the Dead,27 Mar 2023,★★★★,True,
Whiplash,26 Mar 2023,★★★★★,True,
Sinister,26 Mar 2023,★★★★,True,
The Departed,25 Mar 2023,★★★★★,True,
John Wick: Chapter 4,23 Mar 2023,★★★★★,True,
The Rock,22 Mar 2023,★★★★,True,
The To Do List,21 Mar 2023,★★★½,True,
Harry Potter and the Deathly Hallows: Part 2,21 Mar 2023,★★★★★,True,
Harry Potter and the Deathly Hallows: Part 1,20 Mar 2023,★★★★½,True,
Harry Potter and the Half-Blood Prince,20 Mar 2023,★★★★½,True,
To Leslie,20 Mar 2023,★★½,False,
Harry Potter and the Order of the Phoenix,19 Mar 2023,★★★★½,True,
Harry Potter and the Goblet of Fire,15 Mar 2023,★★★★½,True,
John Wick: Chapter 3 – Parabellum,14 Mar 2023,★★★★★,True,
Marcel the Shell with Shoes On,14 Mar 2023,★★★,True,
Creed III,13 Mar 2023,★★★★,True,
Ant-Man and the Wasp: Quantumania,13 Mar 2023,★★★,True,
Cocaine Bear,13 Mar 2023,★★★½,True,
Forgetting Sarah Marshall,10 Mar 2023,★★,False,
Slumdog Millionaire,09 Mar 2023,★★★★,True,
The Wrestler,09 Mar 2023,★★★★½,True,
Milk,08 Mar 2023,★★★★½,True,
Misery,06 Mar 2023,★★★★,True,
Moon,06 Mar 2023,★★★½,True,
Nope,05 Mar 2023,★★★★½,True,
The Heat,05 Mar 2023,★,False,
R.I.P.D.,04 Mar 2023,★,False,
Mad Max: Fury Road,03 Mar 2023,★★★★★,True,
"South Park: Bigger, Longer & Uncut",03 Mar 2023,★★½,False,
Sin City,28 Feb 2023,★★★½,True,
What's Eating Gilbert Grape,28 Feb 2023,★★★½,True,
Stand by Me,27 Feb 2023,★★★½,True,
Stillwater,26 Feb 2023,★★★½,True,
M3GAN,25 Feb 2023,★★★,True,
Daddy Longlegs,23 Feb 2023,★★½,False,
Sharper,22 Feb 2023,★★★★,True,
Good Time,21 Feb 2023,★★★★★,True,
Lenny Cooke,21 Feb 2023,★★½,False,
Heaven Knows What,21 Feb 2023,★★★½,True,
Uncut Gems,20 Feb 2023,★★★★★,True,
The Hangover Part II,17 Feb 2023,★★★★,True,
American History X,17 Feb 2023,★★★★★,True,
Fight Club,16 Feb 2023,★★★★★,True,
The Game,15 Feb 2023,★★★★★,True,
Lady Bird,14 Feb 2023,★★★★½,True,
Infinity Pool,14 Feb 2023,★★★★,True,
3:10 to Yuma,13 Feb 2023,★★½,False,
The Son,13 Feb 2023,★★,False,
Sex Tape,11 Feb 2023,★★,False,
Mean Girls,11 Feb 2023,★★★,True,
Movie 43,11 Feb 2023,★,False,
Catch Me If You Can,10 Feb 2023,★★★★,True,
Violent Night,09 Feb 2023,★★,False,
Edge of Tomorrow,09 Feb 2023,★★★★½,True,
Snake Eyes,08 Feb 2023,★★★,True,
The Adventures of Tintin,07 Feb 2023,★★★½,True,
Minority Report,07 Feb 2023,★★★★½,True,
Battleship,06 Feb 2023,½,False,
Everything Everywhere All at Once,06 Feb 2023,★★★★½,True,
The Revenant,05 Feb 2023,★★★★½,True,
Man of Steel,04 Feb 2023,★★★★,True,
The Change-Up,04 Feb 2023,★★★½,True,
Knock at the Cabin,03 Feb 2023,★★★★,True,
Women Talking,03 Feb 2023,★★★½,True,
Missing,03 Feb 2023,★★★★,True,
Magic Mike XXL,02 Feb 2023,★★★½,True,
The Prestige,02 Feb 2023,★★★★½,True,
The Place Beyond the Pines,01 Feb 2023,★★★★½,True,
Babylon,31 Jan 2023,★★★★½,True,
Don't Breathe,31 Jan 2023,★★★★,True,
Our Friend,30 Jan 2023,★★★★½,True,
Enola Holmes 2,30 Jan 2023,★★★,True,
30 Minutes or Less,29 Jan 2023,★★★,True,
The Lego Movie,28 Jan 2023,★★★½,True,
Foxcatcher,27 Jan 2023,★★★★,True,
You People,27 Jan 2023,★★★,True,
KSI: In Real Life,27 Jan 2023,★★★,True,
Real Steel,25 Jan 2023,★★★,True,
The Lighthouse,25 Jan 2023,★★★★½,True,
Spotlight,25 Jan 2023,★★★★,True,
Creed II,23 Jan 2023,★★★½,True,
Creed,23 Jan 2023,★★★★,True,
The Interview,21 Jan 2023,★★★★,True,
Alien: Covenant,20 Jan 2023,★★★½,True,
Prometheus,20 Jan 2023,★★★½,True,
Pineapple Express,20 Jan 2023,★★★★,True,
Guillermo del Toro's Pinocchio,19 Jan 2023,★★★,True,
She Said,18 Jan 2023,★★★½,True,
The Bad Guys,18 Jan 2023,★★★,True,
Aftersun,18 Jan 2023,★★★★★,True,
Bros,17 Jan 2023,★½,False,
The Outfit,17 Jan 2023,★★★½,True,
Zoolander,14 Jan 2023,★★★½,True,
The Conjuring,13 Jan 2023,★★★★,True,
Goon,13 Jan 2023,★★★★½,True,
The Cabin in the Woods,13 Jan 2023,★★★½,True,
American Pie 2,13 Jan 2023,★★★½,True,
Terminator 2: Judgment Day,10 Jan 2023,★★★★★,True,
Titanic,08 Jan 2023,★★★★,True,
Babylon,07 Jan 2023,★★★★½,True,
The Whale,07 Jan 2023,★★★★½,True,
That's My Boy,06 Jan 2023,★★★,True,
Aftersun,06 Jan 2023,★★★★★,True,
Aliens,05 Jan 2023,★★★★½,True,
Puss in Boots: The Last Wish,04 Jan 2023,★★★½,True,
Alien,04 Jan 2023,★★★★,True,
American Pie,03 Jan 2023,★★★★★,True,
White Noise,01 Jan 2023,★★½,False,
Wedding Crashers,29 Dec 2022,★★★★,True,
American Hustle,27 Dec 2022,★★★★,True,
Burnt,26 Dec 2022,★★,False,
Emily the Criminal,26 Dec 2022,★★★½,True,
Glass Onion,23 Dec 2022,★★★★,True,
Babylon,22 Dec 2022,★★★★½,True,
The Banshees of Inisherin,19 Dec 2022,★★★★½,True,
"BARDO, False Chronicle of a Handful of Truths",19 Dec 2022,★½,False,
Pirates of the Caribbean: At World's End,16 Dec 2022,★★★,True,
Avatar: The Way of Water,15 Dec 2022,★★★★½,True,
Pirates of the Caribbean: Dead Man's Chest,14 Dec 2022,★★★,True,
Don't Breathe 2,13 Dec 2022,★★★,True,
Decision to Leave,13 Dec 2022,★★★★,True,
Pearl,12 Dec 2022,★★,False,
Triangle of Sadness,09 Dec 2022,★★★★,True,
Smile,07 Dec 2022,★★★½,True,
The Fighter,07 Dec 2022,★★★★★,True,
Amsterdam,06 Dec 2022,★★½,False,
Walk the Line,05 Dec 2022,★★★½,True,
Signs,05 Dec 2022,★★★,True,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",04 Dec 2022,★★,False,
Fast Times at Ridgemont High,02 Dec 2022,★★★★,True,
Sr.,02 Dec 2022,★★½,False,
Indiana Jones and the Kingdom of the Crystal Skull,02 Dec 2022,★½,False,
The Meyerowitz Stories (New and Selected),01 Dec 2022,★★★★,True,
Blue Jasmine,30 Nov 2022,★★★½,True,
Stronger,30 Nov 2022,★★★★½,True,
Sabotage,29 Nov 2022,★★,False,
Warrior,28 Nov 2022,★★★★½,True,
Stutz,27 Nov 2022,★★★,True,
Top Gun: Maverick,26 Nov 2022,★★★★★,True,
The Fabelmans,24 Nov 2022,★★★½,True,
Bones and All,22 Nov 2022,★★★★,True,
Everything Everywhere All at Once,20 Nov 2022,★★★★★,True,
The Menu,19 Nov 2022,★★★★,True,
Ambulance,17 Nov 2022,★★★½,True,
The Wonder,17 Nov 2022,★★★,True,
Training Day,15 Nov 2022,★★★★★,True,
The Banshees of Inisherin,11 Nov 2022,★★★★½,True,
Armageddon Time,11 Nov 2022,★★★½,True,
Black Panther: Wakanda Forever,11 Nov 2022,★★★★,True,
Being John Malkovich,10 Nov 2022,★★★,True,
Crimes of the Future,09 Nov 2022,★★½,False,
Weird: The Al Yankovic Story,09 Nov 2022,★★½,False,
Adaptation.,08 Nov 2022,★★★★,True,
Don't Worry Darling,07 Nov 2022,★★½,False,
Neighbors,06 Nov 2022,★★★,True,
"Three Billboards Outside Ebbing, Missouri",05 Nov 2022,★★★★½,True,
Causeway,05 Nov 2022,★★★½,True,
Till,04 Nov 2022,★★★★,True,
The Banshees of Inisherin,04 Nov 2022,,True,
TÁR,04 Nov 2022,★★★★,True,
The Woman King,04 Nov 2022,★★★★,True,
See How They Run,03 Nov 2022,★★★,True,
A Million Ways to Die in the West,01 Nov 2022,★★,False,
The Stranger,01 Nov 2022,★★★,True,
Red Rocket,31 Oct 2022,★★★★★,True,
Entergalactic,31 Oct 2022,★★★½,True,
The Unbearable Weight of Massive Talent,31 Oct 2022,★★★★,True,
Okja,30 Oct 2022,★★★½,True,
Wendell & Wild,30 Oct 2022,★★★,True,
Black Adam,28 Oct 2022,★★½,False,
All Quiet on the Western Front,28 Oct 2022,★★★★,True,
The Good Nurse,26 Oct 2022,★★★½,True,
Barbarian,25 Oct 2022,★★★★,True,
Petite Maman,25 Oct 2022,★★★,True,
The Secret Life of Walter Mitty,23 Oct 2022,★★★½,True,
Inception,22 Oct 2022,★★★★★,True,
The Blair Witch Project,21 Oct 2022,★★,False,
Raymond & Ray,21 Oct 2022,★★½,False,
Rear Window,18 Oct 2022,★★★½,True,
Ring,17 Oct 2022,★★★,True,
Dope,14 Oct 2022,★★★½,True,
22 Jump Street,12 Oct 2022,★★★½,True,
The Pursuit of Happyness,11 Oct 2022,★★★★★,True,
Beast,10 Oct 2022,★★★★,True,
The Redeem Team,09 Oct 2022,★★★½,True,
Joker,07 Oct 2022,★★★★½,True,
Spectre,05 Oct 2022,★★,False,
Pleasure,05 Oct 2022,★★★½,True,
Casablanca,05 Oct 2022,★★★,True,
Jackass: The Movie,04 Oct 2022,★★★,True,
Let's Be Cops,04 Oct 2022,★½,False,
Anchorman 2: The Legend Continues,03 Oct 2022,★★★★½,True,
Anchorman: The Legend of Ron Burgundy,02 Oct 2022,★★★★,True,
Transformers: Dark of the Moon,02 Oct 2022,★★★★½,True,
Spy,01 Oct 2022,★★★★½,True,
Jackass Forever,01 Oct 2022,★★★★½,True,
The Greatest Beer Run Ever,30 Sep 2022,★★★½,True,
The Silence of the Lambs,29 Sep 2022,★★★★½,True,
Road Trip,28 Sep 2022,★★★★½,True,
Blonde,28 Sep 2022,★★,False,
