Movie,Date Watched,Rating,Liked,Review
Fallen Leaves,14 Jan 2024,★★★,False,Annoying long island couple talking through the movie
Breaking the Waves,28 Dec 2023,★★★½,False,
Beau Is Afraid,27 Dec 2023,★★★½,False,Huh
CODA,25 Dec 2023,★★★★½,False,🧏🏻‍♀️🎶😭🎣🐠🐟🐠🐟🐠🐟🐠🐟🐠🐟🐠🐟🐠
Memory,21 Dec 2023,★★★½,False,
Poor Things,16 Dec 2023,★★★★,False,-1/2 a star because the first time I tried to see it the entire movie theater got up and ran about 3/4 of the way through. Thought i was in a terror attack. Turns out it was a false alarm. 2nd time was better
Saltburn,24 Nov 2023,★★★½,False,
Killers of the Flower Moon,19 Nov 2023,★★★★½,False,
Double Indemnity,06 Nov 2023,★★★★½,False,I would also do this
Stop Making Sense,29 Oct 2023,★★★★½,False,Jacob burns film center after tallman mountain hike on a 70 degree day in late october
Flora and Son,01 Oct 2023,★★★,False,Alamo party Diwali fireworks almost left my glasses on a piano at 180 maiden ln
Moneyball,25 Sep 2023,★★★½,False,
Sympathy for Mr. Vengeance,10 Sep 2023,★★★★,False,:(Syndicated
Oldboy,24 Aug 2023,★★★★,False,
Tie Me Up! Tie Me Down!,12 Aug 2023,★★★★,False,😬
Oppenheimer,08 Aug 2023,★★★½,False,imax loud
Barbie,24 Jul 2023,★★★★,False,come on greta let's get meta
Asteroid City,24 Jun 2023,★★★★½,False,Bird
Past Lives,14 Jun 2023,★★★★★,True,
BlackBerry,02 May 2023,★★★★,False,
Animal House,30 Mar 2023,★★★½,False,
Elevator to the Gallows,24 Mar 2023,★★★★,False,
Popstar: Never Stop Never Stopping,19 Mar 2023,★★★★½,False,
Jules and Jim,11 Mar 2023,★★★★,False,
Marcel the Shell with Shoes On,04 Mar 2023,★★★★½,False,
Infinity Pool,12 Feb 2023,★★★,False,
Turn Every Page - The Adventures of Robert Caro and Robert Gottlieb,22 Jan 2023,★★★★½,False,
TÁR,14 Jan 2023,★★★★½,True,
Women Talking,08 Jan 2023,★★★,False,
Triangle of Sadness,02 Jan 2023,★★★,False,
Aftersun,31 Dec 2022,★★★★½,False,
Klute,29 Dec 2022,★★★½,False,
Enron: The Smartest Guys in the Room,25 Dec 2022,★★★½,False,
Love,25 Dec 2022,★★★,False,
After Yang,25 Dec 2022,★★★,False,
The Fabelmans,24 Dec 2022,★★★★½,False,
Mad Max: Fury Road,24 Dec 2022,★★★★,False,
The Menu,23 Dec 2022,★★★½,False,
The Whale,21 Dec 2022,★★★½,False,
EO,20 Dec 2022,★★★½,False,
Meru,18 Dec 2022,★★★★,False,
Eyes Wide Shut,17 Dec 2022,★★★★½,True,
The Banshees of Inisherin,16 Dec 2022,★★★★½,False,
The Piano Teacher,15 Dec 2022,★★★½,False,
Decision to Leave,15 Dec 2022,★★★★,False,
Bones and All,10 Dec 2022,★★★★,False,
We're All Going to the World's Fair,28 Nov 2022,★★½,False,
Misery,26 Nov 2022,★★★★,False,
Barbarian,25 Nov 2022,★★★½,False,
Waiting for Guffman,20 Nov 2022,★★★★,False,
On the Town,25 Sep 2022,★★★½,False,
Capitalism: A Love Story,23 Aug 2022,★★★½,False,
A Goofy Movie,22 Aug 2022,★★★★½,False,
Funny Games,10 Aug 2022,★★★,False,
Nope,09 Aug 2022,★★★½,False,
Bodies Bodies Bodies,02 Aug 2022,★★★½,False,
Roger & Me,23 Jun 2022,★★★½,False,
Beavis and Butt-Head Do America,06 Jun 2022,★★★½,False,
The Northman,14 May 2022,★★★★,False,
"Paris, Texas",09 May 2022,★★★★,False,
Bonnie and Clyde,07 May 2022,★★★½,False,
Full Metal Jacket,07 May 2022,★★★★½,True,
The Unbearable Weight of Massive Talent,26 Apr 2022,★★★,False,
