Movie,Date Watched,Rating,Liked,Review
How a Mosquito Operates,15 Jan 2024,★★★★,False,disgusting and terrifying i hate this
The Unchanging Sea,15 Jan 2024,★★★,False,
A Corner in Wheat,15 Jan 2024,★★★,False,dudes are going crazy in the wheat pit
"Princess Nicotine; or, The Smoke Fairy",15 Jan 2024,★★★,False,
The Lonely Villa,15 Jan 2024,★★★,False,
Edgar Allan Poe,15 Jan 2024,★★★,False,por algum motivo esse filme me deu a ideia que o timothee chalamet faria um bom poe numa biografia
The Usual Suspects,14 Jan 2024,★★★½,True,
Diana Bathing,14 Jan 2024,★★★,False,
Those Awful Hats,14 Jan 2024,★★★½,False,
Bathing Forbidden,14 Jan 2024,★★★½,False,achei elas mto fofas queridas
Lupin the Third: Sweet Lost Night,13 Jan 2024,★★★½,False,
The Penalty,13 Jan 2024,★★★½,False,"Lon chaney is amazing as always, but i think The Unknown it’s a better movie of this genre. That said, this is another example of an specific trope i hate, the one where a woman (usually a spy) gives up her ideals and motivation bc she fell in love with the protagonist (and most of the time it doesn’t even makes sense for her to like him, like in this movie)."
The Fabulous World of Jules Verne,12 Jan 2024,★★★★,True,I just know wes anderson would love this
Shanghai Express,06 Jan 2024,★★★½,False,"Good movie, but something about the way it treats it’s female characters just rubs me the wrong way"
Gone Girl,05 Jan 2024,,True,
The Haunting of Hill House,05 Jan 2024,,True,
Humorous Phases of Funny Faces,03 Jan 2024,★★★,False,
New York Subway,03 Jan 2024,,False,eu quero tanto um metro em porto alegre vo chora
The Gay Shoe Clerk,03 Jan 2024,★★★½,False,more like bisexual shoe clerk
Gulliver's Travels Among the Lilliputians and the Giants,03 Jan 2024,★★★½,False,
Jack and the Beanstalk,03 Jan 2024,★★½,False,
Circular Panorama of Electric Tower,03 Jan 2024,,False,
"What Happened on Twenty-Third Street, New York City",03 Jan 2024,★★★,True,
Birth of the Pearl,03 Jan 2024,★★★½,True,pra quem nao sabe eu nasci assim
The Enchanted Drawing,03 Jan 2024,★★★,False,
Faust and Marguerite,03 Jan 2024,★★½,False,
Uncle Josh's Nightmare,03 Jan 2024,★★,False,The fact that this is a 2 minute short and I still didn’t pay attention to all of it says a lot
Something Good — Negro Kiss,03 Jan 2024,★★★★,True,this got my cheeks hurting from smiling so much
Seminary Girls,03 Jan 2024,★★★½,True,
The Kiss,03 Jan 2024,★★★,True,
"The Execution of Mary, Queen of Scots",03 Jan 2024,★★★★,True,
Annabelle Serpentine Dance,03 Jan 2024,★★½,False,
Annie Oakley,03 Jan 2024,★★★½,True,
Caicedo (with Pole),03 Jan 2024,★★,False,
Chinese Laundry Scene,03 Jan 2024,★★★½,True,
Carmencita,03 Jan 2024,★★★½,False,
"Luis Martinetti, Contortionist",03 Jan 2024,,False,
Blacksmith Scene,03 Jan 2024,,True,
Lupin the Third: Green vs Red,03 Jan 2024,★★★½,True,
Cinderella III: A Twist in Time,29 Dec 2023,★★★,True,
The Curse of the Crying Woman,29 Dec 2023,★★½,False,
Cinderella,28 Dec 2023,,True,
Mobile Suit Gundam 0080: War in the Pocket,27 Dec 2023,★★★★½,True,
Needle in a Haystack,26 Dec 2023,★★★,False,
Undercover: How to Operate Behind Enemy Lines,24 Dec 2023,★★★½,False,
Why We Fight: The Nazis Strike,23 Dec 2023,★★★,False,
Ballet Mécanique,23 Dec 2023,★★★★,True,
The Nightingale's Voice,23 Dec 2023,★★★★,False,
Lupin the 3rd: The Elusiveness of the Fog,22 Dec 2023,★★½,False,
Black Magic,19 Dec 2023,★★★,False,
Monty Python and the Holy Grail,17 Dec 2023,★★★½,False,
Kung Fu Panda,17 Dec 2023,★★★½,True,
Vamos Fallá do Norte,15 Dec 2023,,False,
Macaco Feio… Macaco Bonito,15 Dec 2023,★½,False,
Voyage au Brésil,15 Dec 2023,★★★★,True,
O Novo Palácio da Câmara dos Deputados,15 Dec 2023,,False,
Reunion in France,14 Dec 2023,★★★,False,
Anna Boleyn,13 Dec 2023,★★★,False,
Spider-Man: Into the Spider-Verse,13 Dec 2023,★★★★,True,
Homicidal,10 Dec 2023,★★★★,True,
Spider-Man: Across the Spider-Verse,10 Dec 2023,★★★★★,True,
Homicidal,04 Dec 2023,★★★★,True,
Lupin the Third: Angel Tactics,03 Dec 2023,★★★,False,
Homicidal,02 Dec 2023,★★★★,True,
Family Scenes,27 Nov 2023,★★★½,True,
Mobile Suit Gundam III: Encounters in Space,26 Nov 2023,★★★,False,
No Rastro do Eldorado,23 Nov 2023,,False,
Flying Tigers,16 Nov 2023,★★½,False,
Cinderella,12 Nov 2023,★★★★,True,
Teen Beach Movie,12 Nov 2023,★★★,True,
The President,04 Nov 2023,★★★½,False,
Mobile Suit Gundam II: Soldiers of Sorrow,04 Nov 2023,★★★,False,
Lupin the Third: Swallowtail Tattoo,02 Nov 2023,★★★,False,
Taste of Fear,29 Oct 2023,★★★½,False,
Mobile Suit Gundam I,29 Oct 2023,★★★½,False,
Brasil Pitoresco : Viagens de Cornélio Pires,25 Oct 2023,,False,
O Segredo do Corcunda,25 Oct 2023,★★½,False,
Desperate Journey,25 Oct 2023,★★★,False,
The Hallucinations of Baron Munchausen,23 Oct 2023,★★★,False,
Whimsical Illusions,23 Oct 2023,★★★,False,
The Diabolic Tenant,23 Oct 2023,★★★½,False,
The Golden Beetle,23 Oct 2023,★★★½,False,
The Red Spectre,23 Oct 2023,★★★,False,
Lupin the Third: Operation: Return the Treasure,23 Oct 2023,★★★½,False,
Night Tide,22 Oct 2023,★★★,False,
Future Boy Conan,21 Oct 2023,★★★★,False,
Mysterious Island,21 Oct 2023,★★★½,False,
In Which We Serve,15 Oct 2023,★★★,False,
Retribuição,15 Oct 2023,★★★,False,
A Real Nave Itália no Rio Grande do Sul,15 Oct 2023,★★½,False,
Aqui e Acolá em Terra Mineira,15 Oct 2023,,False,
Creature from the Haunted Sea,14 Oct 2023,★★,False,
A Funny Shave,12 Oct 2023,★★★,False,
The Hilarious Posters,12 Oct 2023,★★★½,True,
The Hairdresser,12 Oct 2023,★★★★★,True,
The Living Playing Cards,12 Oct 2023,★★★½,True,
The Mermaid,12 Oct 2023,★★★½,False,
The Melomaniac,12 Oct 2023,★★★½,False,
The Inn Where No Man Rests,12 Oct 2023,★★★,False,
Uncle Josh at the Moving Picture Show,12 Oct 2023,★★★,False,
Robinson Crusoe,12 Oct 2023,★★★½,False,
History of a Crime,12 Oct 2023,★★★½,False,
The Countryman and the Cinematograph,12 Oct 2023,★★★½,False,
Joan of Arc,12 Oct 2023,★★★½,True,
The Dreyfus Affair,11 Oct 2023,,True,
Blitz Wolf,11 Oct 2023,★★★★,True,
Lupin the Third: Episode 0: First Contact,11 Oct 2023,★★★,True,
The Curse of the Werewolf,08 Oct 2023,★★★,False,
Somewhere I'll Find You,07 Oct 2023,★★½,False,
A Sociedade Anonyma Fábrica Votorantim,05 Oct 2023,★★★,False,
Puphedz: The Tattle-Tale Heart,05 Oct 2023,★★★½,True,
Cyrano de Bergerac,04 Oct 2023,★★★★½,True,
Going to Bed Under Difficulties,04 Oct 2023,★★★½,False,
The Fat and Lean Wrestling Match,04 Oct 2023,★★★★,True,
The Pillar of Fire,04 Oct 2023,★★★½,False,
The Temptation of St. Anthony,04 Oct 2023,,False,
The Four Troublesome Heads,04 Oct 2023,★★★★½,True,
The Astronomer's Dream,04 Oct 2023,★★★★,True,
The Arrival of a Train at La Ciotat,04 Oct 2023,,True,
Snowball Fight,04 Oct 2023,★★★★★,True,
The Bewitched Inn,04 Oct 2023,★★½,False,
Demolition of a Wall,04 Oct 2023,,True,
The Vanishing Lady,04 Oct 2023,★★★,False,
Baby's Meal,04 Oct 2023,★★★★,True,
Workers Leaving the Lumière Factory,04 Oct 2023,,False,
Boat Leaving the Port,04 Oct 2023,,False,
Falling Cat,04 Oct 2023,,True,
Mosquinha,04 Oct 2023,,True,
Lupin the Third: Alcatraz Connection,03 Oct 2023,★★★,True,
High School Musical 3: Senior Year,01 Oct 2023,★★★½,True,
How to Lose a Guy in 10 Days,01 Oct 2023,★★★★,True,
No Hard Feelings,01 Oct 2023,★½,False,
Mother Joan of the Angels,29 Sep 2023,★★★½,False,
The Texas Chain Saw Massacre,27 Sep 2023,★★★★,True,
The Crazy Ray,26 Sep 2023,★★,False,
In the Land of the Amazons,26 Sep 2023,★★★½,False,
3000 Leagues in Search of Mother,25 Sep 2023,★★★★,True,
Bluebeard,25 Sep 2023,★★★,False,
Eye Exam,23 Sep 2023,★★★½,False,
The Texas Chain Saw Massacre,23 Sep 2023,★★★★,True,
Wake Island,20 Sep 2023,★★★½,False,
The Oyster Princess,18 Sep 2023,★★★½,True,
Nimona,17 Sep 2023,★★★,True,
Black Mirror: Bandersnatch,17 Sep 2023,★★★½,False,
Lupin the Third: Missed by a Dollar,15 Sep 2023,★★★,False,
The Tell-Tale Heart,09 Sep 2023,★★★½,False,
Meshes of the Afternoon,08 Sep 2023,,False,
Woman in the Moon,08 Sep 2023,★★★½,True,
Asteroid City,04 Sep 2023,★★★★,True,
Here's the Plan,29 Aug 2023,★★★½,True,
The City of the Dead,27 Aug 2023,★★★½,True,
What Was the Carnival of 1920!,27 Aug 2023,★★★★,True,
Exemplo Regenerador,27 Aug 2023,★★½,False,
Prelude to War,27 Aug 2023,★★★½,False,
Cidade de Bebedouro - Est. de São Paulo,27 Aug 2023,★★★,False,
Carnaval em Curitiba,27 Aug 2023,★★½,False,
Akrobatisches Potpourri,25 Aug 2023,,False,
