Movie,Date Watched,Rating,Liked,Review
Everything Everywhere All at Once,24 Apr 2022,★★★★★,True,if you have adhd you will love this movie
House of Gucci,07 Apr 2022,★★,False,
The Souvenir: Part II,05 Jan 2022,★★★★½,False,
Window Water Baby Moving,04 Jan 2022,,True,
The Worst Person in the World,30 Dec 2021,★★★★½,True,
Parallel Mothers,29 Dec 2021,★★★½,False,Thinking about the inexplicable shot of Janis’ furry Birkenstocks that served no purpose until I realized it was product placement
Three Colours: Red,09 Dec 2021,★★★★½,False,
Licorice Pizza,28 Nov 2021,★★★½,False,
Asparagus,23 Nov 2021,,True,
The Power of the Dog,23 Nov 2021,★★★★½,True,
Hereditary,20 Nov 2021,★★★½,False,
Whip It,16 Nov 2021,★★½,False,
Sicario,15 Aug 2021,★★★★,False,
One from the Heart,08 Aug 2021,★★★,False,the most beautiful spectacle with the most goddamn boring characters
12 Angry Men,01 Jul 2021,,True,
Lola Montès,18 May 2021,,False,
The Killing of a Sacred Deer,10 May 2021,★★½,False,no
Juliet of the Spirits,10 May 2021,★★★★½,False,what the hell. I’m freaking out. This was great
8½,05 May 2021,,False,
Atlantics,04 May 2021,,True,
Up in the Air,03 May 2021,,False,
La Dolce Vita,03 May 2021,,True,
Paris Is Burning,29 Apr 2021,,True,
Nights of Cabiria,28 Apr 2021,,True,
I Vitelloni,26 Apr 2021,,False,
Sound of Metal,22 Apr 2021,,True,
Imitation of Life,14 Apr 2021,,True,
Written on the Wind,05 Apr 2021,,False,
The Earrings of Madame de...,24 Mar 2021,,False,
The White Sheik,16 Mar 2021,,False,
Letter from an Unknown Woman,10 Mar 2021,,True,
Winter's Bone,01 Mar 2021,★★★½,False,
Never Rarely Sometimes Always,28 Feb 2021,★★★★★,True,
The Scarlet Empress,24 Feb 2021,,True,
Shithouse,04 Feb 2021,★,False,infuriating
Minari,30 Dec 2020,★★★★★,False,
Nomadland,30 Dec 2020,,True,
BPM (Beats per Minute),18 Dec 2020,,True,
Ex Machina,10 Nov 2020,★★★★,False,
Y Tu Mamá También,26 Oct 2020,,True,
Silver Linings Playbook,18 Oct 2020,★★★★½,True,
A Nos Amours,15 Oct 2020,,False,
World of Tomorrow,09 Oct 2020,,True,
Marriage Story,01 Oct 2020,,True,
An Easy Girl,28 Sep 2020,,False,
Climax,22 Sep 2020,,False,
Unrelated,17 Sep 2020,,True,
I'm Thinking of Ending Things,11 Sep 2020,,False,I guess wes film Letterboxd hated this but I...kind of loved it? feeling controversial
Howl's Moving Castle,04 Sep 2020,,True,
Spirited Away,31 Aug 2020,,True,
Class Action Park,30 Aug 2020,,False,
I May Destroy You,24 Aug 2020,★★★★★,True,
Punch-Drunk Love,21 Aug 2020,★★★★★,True,
Stop Making Sense,18 Aug 2020,,True,
La Ciénaga,17 Aug 2020,★★★★½,True,
The Cranes Are Flying,15 Aug 2020,★★★★½,True,
Sweetie,12 Aug 2020,★★★,False,
We Are the Best!,05 Aug 2020,,True,
Mustang,04 Aug 2020,★★★★½,True,
Late Spring,03 Aug 2020,,True,
All About My Mother,01 Aug 2020,★★★★½,True,
Women on the Verge of a Nervous Breakdown,28 Jul 2020,,True,
Pulp Fiction,26 Jul 2020,★★★★½,True,holds up
The Red Shoes,20 Jul 2020,★★★★½,True,
Dogtooth,17 Jul 2020,★★★★,False,what
Me and You and Everyone We Know,17 Jul 2020,,False,
Pina,16 Jul 2020,,True,
Weekend,11 Jul 2020,,True,
La Haine,09 Jul 2020,,True,
Never Rarely Sometimes Always,29 Jun 2020,★★★★½,True,
But I'm a Cheerleader,26 Jun 2020,,False,
Black Girl,23 Jun 2020,,False,
The Watermelon Woman,06 Jun 2020,,False,
13th,31 May 2020,,False,see it if you haven’t! your criterion watchlists can wait
Safe,30 May 2020,★★★★½,True,
The Magnificent Ambersons,29 May 2020,★★★,False,
Fish Tank,27 May 2020,★★★★★,False,
Grey Gardens,26 May 2020,,False,
Mrs. America,25 May 2020,★★★★½,False,
The Great Buster: A Celebration,19 May 2020,,False,big crush on Buster
GoodFellas,19 May 2020,★★★★½,False,
Tampopo,18 May 2020,★★★★½,True,so joyful and delicious
Fourteen,16 May 2020,★★★½,False,
Ema,07 May 2020,★★★½,False,
Flowers of Shanghai,07 May 2020,★★★★,False,
Normal People,07 May 2020,★★★★,False,
La Ciénaga,02 May 2020,★★★★½,True,
Water Lilies,01 May 2020,★★★★,True,
The Hole,27 Apr 2020,★★★★,False,
"You're Sleeping, Nicole",25 Apr 2020,★★★½,False,
American Honey,17 Apr 2020,★★★★★,False,
Wasp,17 Apr 2020,,True,
Nobody Knows,15 Apr 2020,★★★★½,False,
Maborosi,13 Apr 2020,,True,
The Favourite,11 Apr 2020,★★★★½,False,
The Handmaiden,10 Apr 2020,,True,
The Host,05 Apr 2020,,False,
Unbelievable,03 Apr 2020,★★★★,False,
American Movie,18 Mar 2020,,True,
Queen & Slim,28 Feb 2020,,False,
The World of Us,25 Feb 2020,,False,
Early Summer,24 Feb 2020,,False,
Burning,12 Feb 2020,,False,
Dog Day Afternoon,08 Feb 2020,,True,
Chungking Express,29 Jan 2020,,False,
Peking Opera Blues,27 Jan 2020,,False,
Waves,12 Jan 2020,,False,
Honey Boy,07 Jan 2020,,False,
The Irishman,05 Jan 2020,,False,
1917,02 Jan 2020,,False,
Uncut Gems,28 Dec 2019,,True,
Where Is the Friend's House?,26 Dec 2019,,False,
Little Women,23 Dec 2019,,False,
Portrait of a Lady on Fire,21 Dec 2019,,False,
Jojo Rabbit,21 Dec 2019,,False,
Knives Out,18 Dec 2019,,False,
The Act of Killing,13 Dec 2019,,False,
The Tale,11 Dec 2019,,False,
Mike Birbiglia: The New One,03 Dec 2019,,False,
Marriage Story,01 Dec 2019,,True,
Parasite,30 Nov 2019,,False,
The Thin Blue Line,21 Nov 2019,,False,
Sherman's March,07 Nov 2019,,False,
Shirkers,27 Aug 2019,,False,
In the Mood for Love,25 Aug 2019,★★★★★,False,
Fat Girl,23 Aug 2019,,False,
It Happened One Night,20 Aug 2019,,True,
Drugstore Cowboy,05 Aug 2019,,False,
Once Upon a Time… in Hollywood,31 Jul 2019,,False,
The Farewell,18 Jul 2019,,False,
Drop Dead Gorgeous,13 Jul 2019,,False,
Midsommar,11 Jul 2019,★★★★,False,
American Honey,09 Jul 2019,★★★★★,False,
Booksmart,05 Jun 2019,,False,
Dazed and Confused,01 Jun 2019,,False,
Amazing Grace,01 Jun 2019,,False,
The Souvenir,31 May 2019,,False,
Tampopo,25 Apr 2019,,True,so joyful and delicious
Us,05 Apr 2019,,False,
Mommy,04 Apr 2019,,False,
8½,02 Apr 2019,,False,
High Life,27 Mar 2019,,False,
Do the Right Thing,14 Mar 2019,,False,
Landline,11 Mar 2019,★★★,False,
The Squid and the Whale,11 Mar 2019,★★½,False,
Can You Ever Forgive Me?,09 Mar 2019,,False,
Wings of Desire,03 Mar 2019,,False,
The Graduate,01 Mar 2019,,True,
Beau Travail,15 Feb 2019,,False,
