Movie,Date Watched,Rating,Liked,Review
The Boy and the Heron,14 Jan 2024,★★★★½,False,
GoodFellas,09 Jan 2024,★★★½,False,
Saltburn,05 Jan 2024,★★★,False,
Firefly,31 Dec 2023,★★★★,False,
Mallari,27 Dec 2023,★★★,False,"""Ang isang tao ay kabuuan ng kanyang mga desisyon....mga minamahal....at mga pagkakamali"
Monster,13 Oct 2023,★★★★½,False,
Past Lives,12 Sep 2023,★★★★½,False,
Hyphen,31 Aug 2023,★★★★,False,The movie is giving Lost in Translation/Happy Together/Chungking Express/In the Mood for Love/Days of Being Wild vibes. Gusto ko na rin pumunta ng Bacolod.
Big Night!,27 Aug 2023,★★★,False,
Emergency Declaration,08 Aug 2023,★★★,False,
Holy Spider,25 May 2023,★★★½,False,
BEEF,20 Apr 2023,,False,
Close,08 Feb 2023,★★★★★,False,
Plan 75,14 Jan 2023,★★★,False,
Aftersun,01 Jan 2023,★★★★,False,
Deleter,27 Dec 2022,★★★,False,
Nope,02 Sep 2022,★★★★,False,
Diabolique,18 Aug 2022,★★★★,False,
Harakiri,05 Aug 2022,★★★★½,False,
The Vanishing,26 Jul 2022,★★★★★,False,
Wheel of Fortune and Fantasy,07 Jul 2022,★★★★★,True,
"Paris, Texas",30 Jun 2022,★★★★,False,
Everything Everywhere All at Once,02 Jun 2022,★★★★½,False,
Manila by Night,26 May 2022,★★★★½,True,
"Quo Vadis, Aida?",05 May 2022,★★★★★,False,
Certified Copy,02 May 2022,★★★½,False,
Beyond the Infinite Two Minutes,31 Mar 2022,★★★★½,True,
The Worst Person in the World,24 Mar 2022,★★★★½,False,
This Is My Country,15 Mar 2022,★★★★,False,
Redeeming Love,24 Feb 2022,★★,False,
Texas Chainsaw Massacre,24 Feb 2022,★½,False,
Moral,18 Jan 2022,★★★★½,False,
The Lost Daughter,04 Jan 2022,★★★½,False,
Memories of Murder,27 Dec 2021,★★★★★,True,Bong Joon-Ho's magnum opus aka. the movie that made me a cinephile
Cleaners,22 Dec 2021,★★★★½,True,
Drive My Car,17 Dec 2021,★★★★★,True,
Petite Maman,17 Dec 2021,★★★★½,False,
When a Woman Ascends the Stairs,08 Nov 2021,★★★★½,False,
Midnight Mass,01 Nov 2021,★★★★,False,
Amadeus,23 Oct 2021,★★★★★,False,
Titane,20 Oct 2021,★★★★,False,
Kisses,18 Oct 2021,★★★★★,False,
Street of Shame,17 Oct 2021,★★★★★,True,
As the Gods Will,12 Oct 2021,★★★★,False,
Squid Game,01 Oct 2021,★★★★½,False,
Respect,21 Sep 2021,★★★★,False,
Crying Ladies,17 Sep 2021,★★★★½,False,
Cure,04 Sep 2021,★★★★½,True,
The Stepmother,01 Sep 2021,★★★★,False,Daserb ang grandslam actingan eleganza ni Tita Sharon Cuneta! Ito nga yung role na bumasag sa birheng perpetwal na laging imahen sa kaniya sa mga pelikula.
The Happiness of the Katakuris,17 Aug 2021,★★★½,False,
Network,15 Aug 2021,★★★★½,False,
Sunset Boulevard,19 Jul 2021,★★★★½,False,
Come and See,18 Jul 2021,★★★★★,True,
Fireworks,11 Jul 2021,★★★★½,False,
Ode to Nothing,08 Jul 2021,★★★★★,False,
Ang Tanging Ina,06 Jul 2021,★★★★½,False,
World of Tomorrow,02 Jul 2021,★★★★★,False,
Miss Americana,30 Jun 2021,★★★★,False,
Fallen Angels,29 Jun 2021,★★★½,False,
Eight Hours of Terror,29 Jun 2021,★★★★,False,
Heart Attack,27 Jun 2021,★★★★★,True,
Luca,27 Jun 2021,★★★★★,False,
Tanabata's Wife,20 Jun 2021,★★★★,False,
Drive,13 Jun 2021,★★★★,False,
A Tale of Two Sisters,06 Jun 2021,★★★½,False,
Gonjiam: Haunted Asylum,29 May 2021,★★★½,False,
The Housemaid,22 May 2021,★★★,False,
La Vie en Rose,11 May 2021,★★★★½,False,
The Piano Teacher,09 May 2021,★★★★½,False,
The Lion King,08 May 2021,★★★½,False,
The Mitchells vs. The Machines,06 May 2021,★★★★,False,
Pieta,03 May 2021,★★★★½,True,Promising Young Woman????
Promising Young Woman,02 May 2021,★★★★½,True,
The Taste of Tea,29 Apr 2021,★★★★½,False,
Good Morning,27 Apr 2021,★★★★½,False,
Let Them All Talk,26 Apr 2021,★★★½,False,
Midnight Runners,21 Apr 2021,★★★½,False,ganito dapat kapogi and genuine ang mga police pero tangina pa rin ng mga kapulisan!!!
