Movie,Date Watched,Rating,Liked,Review
The Skin I Live In,15 Jan 2024,,False,
The Piano Teacher,15 Jan 2024,★★★★,True,
13 Going on 30,12 Jan 2024,★★★½,True,
The God of Cookery,09 Jan 2024,★★★★,True,
The Iron Claw,08 Jan 2024,★★★½,True,
From Beijing with Love,07 Jan 2024,★★★½,True,
Taboo,06 Jan 2024,,False,
The Alphabet,30 Dec 2023,,False,
Thanksgiving,28 Dec 2023,★★★,True,
Saltburn,28 Dec 2023,★★★½,True,
Paradise Now,27 Dec 2023,,True,
The Knight Before Christmas,25 Dec 2023,★★½,False,
My Winnipeg,20 Dec 2023,,True,
Poor Things,18 Dec 2023,★★★★★,True,"How marvelous! Bizzaro pastel steampunk vibes abound;satisfying Lighthouse level dialogue reminiscent of a Guy Maddin film; wonderful art direction; a pulsatingly dissonant score; a women’s journey into self-discovery, liberation and autonomy; deeply deeply weird deeply deeply human, just sweet cinematic ecstasy for me all the way through."
Easy A,15 Dec 2023,,False,
The Boy and the Heron,11 Dec 2023,★★★★,True,
Far from Heaven,10 Dec 2023,★★★½,True,
Enchanted,09 Dec 2023,★★★,False,
In the Mood for Love,07 Dec 2023,★★★★★,True,
Velvet Goldmine,04 Dec 2023,★★★,False,
May December,03 Dec 2023,★★★★½,True,
Godzilla Minus One,02 Dec 2023,★★★★,True,
Sunrise: A Song of Two Humans,30 Nov 2023,★★★★½,True,
Innocence,22 Nov 2023,★★★,False,
Killers of the Flower Moon,12 Nov 2023,,False,
The Holdovers,11 Nov 2023,★★★½,True,
Tampopo,11 Nov 2023,,True,
The Killer,10 Nov 2023,★★★½,False,
Afire,06 Nov 2023,★★★½,False,
All That Heaven Allows,05 Nov 2023,★★★★★,True,
The Forbidden Room,04 Nov 2023,★★★★★,True,
Sky High,04 Nov 2023,,True,
Final Destination,03 Nov 2023,★★½,False,
Casino,02 Nov 2023,★★★★,True,
The Sweet East,25 Oct 2023,★★★★,True,
Perfect Days,25 Oct 2023,★★★,False,
Kubi,25 Oct 2023,★★★,True,
Monster,24 Oct 2023,★★★★,True,
Eileen,22 Oct 2023,★★★,False,
La Chimera,22 Oct 2023,★★★½,False,
The Taste of Things,22 Oct 2023,★★★★,False,
Saw X,21 Oct 2023,★★★,False,
Red Rooms,21 Oct 2023,★★★,False,
Dream Scenario,20 Oct 2023,★★★★½,True,
Saw,20 Oct 2023,★★★,False,
A Nightmare on Elm Street 3: Dream Warriors,19 Oct 2023,★★★½,True,
The Night of the Hunter,15 Oct 2023,★★★★,False,
Little Death,11 Oct 2023,,False,
My Heart Is That Eternal Rose,09 Oct 2023,★★★★½,False,
Typhoon Club,30 Sep 2023,,False,
P. P. Rider,30 Sep 2023,★★★★,True,
The Wonderful Story of Henry Sugar,29 Sep 2023,★★★★,True,
How to Lose a Guy in 10 Days,22 Sep 2023,★★,False,
Bottoms,21 Sep 2023,★★★★,True,
8½,16 Sep 2023,,True,
The Conjuring,13 Sep 2023,★★½,False,
Chinatown,11 Sep 2023,,True,
The Babysitter,10 Sep 2023,★★,False,
Who Killed Captain Alex?,08 Sep 2023,,False,
Clue,07 Sep 2023,,False,
Angst,04 Sep 2023,★★★★,False,
Bottoms,04 Sep 2023,★★★★,True,
Redline,03 Sep 2023,★★★★½,True,
My Cousin Vinny,03 Sep 2023,★★★★,True,
He's All That,31 Aug 2023,★,False,
No Hard Feelings,29 Aug 2023,★★★,False,
Hush,26 Aug 2023,★★★,False,
Southland Tales,26 Aug 2023,★★★★★,True,
