Movie,Date Watched,Rating,Liked,Review
Poor Things,13 Jan 2024,★★★★,False,"I didn’t really care for any of the Brothel scenes, probably a 9/10 without that"
Anyone But You,11 Jan 2024,★★★,False,does the job! I think they should’ve fleshed out Glen Powell’s crack addiction a bit more
Aquaman and the Lost Kingdom,10 Jan 2024,★★,False,bit embarrassed to be watching a superhero movie in the cinema in 2024
Blended,08 Jan 2024,★★,False,
Riki-Oh: The Story of Ricky,08 Jan 2024,★★★★,False,Riki-Oh I didn’t know it was gonna be like this !!
Star Wars,30 Dec 2023,,False,
In Time,25 Dec 2023,★★★,False,"as Mark Corrigan would say, Christmas always ends with a blockbuster to see you home, and this is a solid one for the drowsy xmas atmosphere. Trying to explain the premise to my tipsy-sleepy parents and Graham was way harder than it should've been. "
Godzilla Minus One,20 Dec 2023,★★★★★,False,If you don’t cry at the end then I’m not sure we can be friends
The Night Before,18 Dec 2023,,False,
Middleditch & Schwartz,07 Dec 2023,,False,
Saltburn,07 Dec 2023,,False,
Lenny Cooke,27 Nov 2023,★★★★,False," bro imagine the guy who arguably loses you your dream of being drafted in the NBA is Lebron James, the highest scorer in the NBA of all time.They talking about how Lenny went undrafted in 2002, bro Lebron is still hooping today! He’s still winning his team games and getting triple doubles, 21 years later.I can’t imagine but the final 30 minutes of this help you imagine and it’s so upsetting. Makes the documentary. Guy’s singing Let Me… "
The Killer,20 Nov 2023,★★★★,False,
The Killer,11 Nov 2023,★★★½,False,
Interstellar,05 Nov 2023,,True,
The Driver,02 Nov 2023,★★★★,False,"It’s wild the success you can garner if you just do a soft remake of a movie from 40 years ago. The vast majority of the generation won’t know that there’s a cooler version of that movie from the 70s with Bruce Dern and Ryan O Neal (now top 3 actors for me, maybe. King of the 70s, the greatest decade of cinema)"
The Last Boy Scout,02 Nov 2023,★★★½,False,"always rate depressed Bruce Willis, really adds another layer to the stubble"
Bottoms,01 Nov 2023,★★★★,False,Tee pee scene very funny
The Texas Chainsaw Massacre 2,31 Oct 2023,★★★½,False,takes a while to appreciate
Killers of the Flower Moon,25 Oct 2023,★★★★,False,that’s a paddlin’
Life Is Sweet,23 Oct 2023,★★★★½,False,
The Gambler,22 Oct 2023,★★★½,False,
The In-Laws,19 Oct 2023,★★★★,False,
The Wicker Man,17 Oct 2023,★★★★½,False,
Animal House,10 Oct 2023,★★★½,False,
Celeste & Jesse Forever,09 Oct 2023,★★★,False,
Like Crazy,08 Oct 2023,★★★,False,
One Day,07 Oct 2023,★★★½,False,
The Tree of Life,06 Oct 2023,★★★★½,True,
Annie Hall,05 Oct 2023,★★★★,False,
Tommy Boy,04 Oct 2023,★★★½,False,
The Descent,04 Oct 2023,★★★,False,
The Dirties,03 Oct 2023,★★★,False,
Point Break,02 Oct 2023,★★★★,False,
Human Traffic,02 Oct 2023,★★★½,False,
The Dirty Dozen,30 Sep 2023,★★★★,False,
The Creator,28 Sep 2023,★★★,False,
A Rainy Day in New York,24 Sep 2023,★½,False,
Colossal,24 Sep 2023,★★★½,False,
Smiley Face,21 Sep 2023,★★★½,False,
Friday,20 Sep 2023,★★★★,False,
Major League,19 Sep 2023,★★★★½,True,
Moonstruck,18 Sep 2023,★★★★,False,
Major League,16 Sep 2023,★★★★½,True,
Rollerball,14 Sep 2023,★★★½,False,
Pride,12 Sep 2023,★★★½,False,
Love Story,09 Sep 2023,★★★½,False,
Jay and Silent Bob Strike Back,29 Aug 2023,★★★½,False,
Clerks,28 Aug 2023,★★★★,False,
2001: A Space Odyssey,22 Aug 2023,,False,
Drop Dead Gorgeous,18 Aug 2023,★★★★,False,
They Live,14 Aug 2023,★★★★,False,
Eight Legged Freaks,10 Aug 2023,★★½,False,
The Meg,08 Aug 2023,★★½,False,
Meg 2: The Trench,06 Aug 2023,★★½,False,
Mission: Impossible – Dead Reckoning Part One,29 Jul 2023,★★★½,False,
Talk to Me,29 Jul 2023,★★★½,False,
Oppenheimer,27 Jul 2023,★★★★,False,
Paddington,23 Jul 2023,★★★½,False,
BlackBerry,22 Jul 2023,★★★½,False,
Star Wars: Episode III – Revenge of the Sith,21 Jul 2023,,False,
To Live and Die in L.A.,20 Jul 2023,★★★★,False,
Assault on Precinct 13,18 Jul 2023,★★★★½,False,
Hereditary,17 Jul 2023,,False,
MacGruber,16 Jul 2023,★★★,False,
BlackBerry,14 Jul 2023,★★★½,False,
Normal People,10 Jul 2023,,False,
Brief Encounter,06 Jul 2023,★★★★,False,
No Hard Feelings,04 Jul 2023,★★★,False,
Double Team,03 Jul 2023,★★★½,False,
Speed,30 Jun 2023,,False,
Luca,25 Jun 2023,★★★½,False,
Kickboxer,23 Jun 2023,★★★,False,
Bad Lieutenant,19 Jun 2023,★★★½,False,
Spider-Man: Across the Spider-Verse,16 Jun 2023,★★★★,False,
Begin Again,12 Jun 2023,★★★,False,
Serpico,12 Jun 2023,,False,
Wayne's World 2,11 Jun 2023,★★★,False,
National Theatre Live: Fleabag,06 Jun 2023,,False,
The Super Mario Bros. Movie,05 Jun 2023,★★★,False,
In the Heat of the Night,02 Jun 2023,★★★★,False,
Molly's Game,31 May 2023,★★★,False,
Thunderbolt and Lightfoot,31 May 2023,★★★½,False,
Bridget Jones's Diary,31 May 2023,,False,
Repo Man,29 May 2023,★★★★,False,
Bones and All,29 May 2023,★★★,False,
Seconds,29 May 2023,★★★★,False,
Modern Romance,28 May 2023,★★★½,False,
Before Sunrise,27 May 2023,★★★★½,True,
The Parallax View,26 May 2023,,False,
Love & Basketball,25 May 2023,★★★★,False,
Fast X,21 May 2023,★★★,False,
Air,20 May 2023,★★★½,False,
Fast Five,20 May 2023,,False,
The Fast and the Furious,20 May 2023,,False,
Aliens,19 May 2023,★★★★★,True,
The Chaser,18 May 2023,★★★½,False,
Snake Eyes,14 May 2023,★★★½,False,
Ginger Snaps,13 May 2023,★★★,False,
Guardians of the Galaxy Vol. 3,11 May 2023,★★★½,False,
American Psycho,08 May 2023,,False,
Bloodsport,07 May 2023,★★★½,False,
Sunshine Cleaning,07 May 2023,★★★,False,
Alien,05 May 2023,,False,
Star Wars,04 May 2023,,False,
Total Recall,03 May 2023,,False,
Crimson Tide,01 May 2023,★★★★,False,
"They Shoot Horses, Don't They?",30 Apr 2023,★★★★,False,
Death at a Funeral,30 Apr 2023,★★★½,False,
About Time,30 Apr 2023,★★★½,False,
Evil Dead Rise,29 Apr 2023,★★★,False,
BEEF,29 Apr 2023,,False,
Taken,28 Apr 2023,,False,
The Book of Eli,26 Apr 2023,★★★,False,
Fall,22 Apr 2023,★★,False,
Dawn of the Dead,21 Apr 2023,★★★½,False,
From Dusk Till Dawn,20 Apr 2023,,False,
Cashback,20 Apr 2023,★★★,False,
The Rules of Attraction,15 Apr 2023,★★★,False,
Saved!,15 Apr 2023,★★★½,False,
Just My Luck,15 Apr 2023,★★,False,
The Sadness,12 Apr 2023,★★★½,False,
The Slumber Party Massacre,11 Apr 2023,★★★,False,
Big Night,11 Apr 2023,★★★★,False,
The Long Good Friday,10 Apr 2023,★★★★,False,
Dungeons & Dragons: Honor Among Thieves,07 Apr 2023,★★★½,False,
Subway Monkey Hour,06 Apr 2023,,False,
Paper Moon,04 Apr 2023,★★★★½,True,
Rye Lane,03 Apr 2023,,True,
The Butterfly Effect,31 Mar 2023,★★★½,False,
Commando,28 Mar 2023,★★★½,False,
Swarm,27 Mar 2023,,False,
I May Destroy You,27 Mar 2023,,False,
John Wick: Chapter 4,26 Mar 2023,★★★★½,False,
Creed III,23 Mar 2023,★★★½,False,
All That Jazz,20 Mar 2023,★★★★,False,
Hush,17 Mar 2023,★★★,False,
Stranger Than Fiction,17 Mar 2023,★★★½,False,
The Birdcage,16 Mar 2023,★★★½,False,
Boy,15 Mar 2023,★★★½,False,
American Graffiti,14 Mar 2023,,False,
The Long Goodbye,14 Mar 2023,★★★★,False,
Still Alice,14 Mar 2023,★★★★,False,
Nowhere,13 Mar 2023,★★★½,False,
Gifted,12 Mar 2023,★★★½,False,
Dead Ringers,10 Mar 2023,★★★½,False,
Tremors,10 Mar 2023,,False,
Get Shorty,10 Mar 2023,★★★,False,
Happy-Go-Lucky,09 Mar 2023,★★★½,False,
Creed II,09 Mar 2023,,False,
The Brood,09 Mar 2023,★★★½,False,
The Hunt for Red October,05 Mar 2023,★★★,False,
Creed,04 Mar 2023,,False,
Rocky Balboa,26 Feb 2023,,False,
Skate Kitchen,26 Feb 2023,★★★,False,
Down with Love,26 Feb 2023,★★★½,False,
Shallow Grave,25 Feb 2023,★★★★,False,
The Bridges of Madison County,25 Feb 2023,★★★★,True,
Aftersun,21 Feb 2023,★★★,False,
