Movie,Date Watched,Rating,Liked,Review
Hellraiser,14 Jan 2024,★★★★,False,
Candyman,13 Jan 2024,★★★★★,False,
Night of the Creeps,13 Jan 2024,★★★★★,False,
Sorority Row,13 Jan 2024,★★★½,False,
The Strangers,13 Jan 2024,★★★½,False,
Malignant,13 Jan 2024,★★★★½,False,
Re-Animator,12 Jan 2024,★★★★★,False,
Chopping Mall,12 Jan 2024,★★★½,False,
Killer Klowns from Outer Space,12 Jan 2024,★★★★,False,
Jurassic Park,09 Jan 2024,★★★★★,False,
Saw,05 Jan 2024,★★★★★,False,
Terror Train,31 Dec 2023,★★½,False,
Scream,28 Dec 2023,★★★★★,False,
Toy Story,26 Dec 2023,★★★★★,False,
Clue,26 Dec 2023,★★★★★,False,
Black Christmas,25 Dec 2023,★★★,False,
A Christmas Story,25 Dec 2023,★★★★★,False,
Black Christmas,25 Dec 2023,★★★★★,False,
Glass Onion,25 Dec 2023,★★★★½,False,
Knives Out,25 Dec 2023,★★★★★,False,
The Grinch,25 Dec 2023,★★★★★,False,
Sweeney Todd: The Demon Barber of Fleet Street,25 Dec 2023,★★★½,False,
Home Alone 2: Lost in New York,24 Dec 2023,★★★★★,False,
Die Hard,24 Dec 2023,★★★★★,False,
Les Misérables,24 Dec 2023,★★★★★,False,this is a christmas movie to me
The Nightmare Before Christmas,24 Dec 2023,★★★★½,False,
Jack Frost,20 Dec 2023,★★★½,False,
Harry Potter and the Philosopher's Stone,19 Dec 2023,★★★★★,False,
Shrek 2,16 Dec 2023,★★★★★,False,
How the Grinch Stole Christmas!,16 Dec 2023,★★★★★,False,
A Charlie Brown Christmas,16 Dec 2023,★★★★,False,
The Polar Express,16 Dec 2023,★★★,False,
How the Grinch Stole Christmas,16 Dec 2023,★★★½,False,
The Muppet Christmas Carol,16 Dec 2023,★★★★★,False,
Black Christmas,10 Dec 2023,★★★★★,False,
Beauty and the Beast: The Enchanted Christmas,10 Dec 2023,★★★,False,
Mickey's Christmas Carol,09 Dec 2023,★★★½,False,
Home Alone 2: Lost in New York,09 Dec 2023,★★★★★,False,
Home Alone,09 Dec 2023,★★★★★,False,
The Grinch,03 Dec 2023,★★★★★,False,
Scooby-Doo! Haunted Holidays,02 Dec 2023,★★★★,False,
Mickey's Once Upon a Christmas,02 Dec 2023,★★★★,False,
Gremlins,02 Dec 2023,★★★★★,False,
The Muppet Christmas Carol,02 Dec 2023,★★★★★,False,
The Mummy,29 Nov 2023,★★★★★,True,
Paddington,28 Nov 2023,★★★★★,False,
The Santa Clause,26 Nov 2023,★★★½,False,
The Silence of the Lambs,25 Nov 2023,★★★★★,False,
Die Hard 2,24 Nov 2023,★★★★½,False,i feel like not enough people talk about how die hard 2 is also a christmas movie
Deep Impact,24 Nov 2023,★★★★,False,
Blood Rage,23 Nov 2023,★★★½,False,
Home Alone 2: Lost in New York,23 Nov 2023,★★★★★,False,
You're Next,23 Nov 2023,★★★★★,False,
National Lampoon's Christmas Vacation,23 Nov 2023,★★★★★,False,
Mulan,21 Nov 2023,★★★★½,False,
The Great Mouse Detective,19 Nov 2023,★★★★½,False,
Scream 4,18 Nov 2023,★★★★★,False,
Clue,18 Nov 2023,★★★★★,False,
Die Hard,18 Nov 2023,★★★★★,False,
The Fall of the House of Usher,17 Nov 2023,★★★★★,False,
Home Alone 3,14 Nov 2023,★★★,False,
"Monsters, Inc.",11 Nov 2023,★★★★★,False,
National Treasure,04 Nov 2023,★★★★½,False,
Jurassic Park,04 Nov 2023,★★★★★,False,
Halloween,31 Oct 2023,★★★★★,False,
Halloween III: Season of the Witch,31 Oct 2023,★★★★★,False,
Halloween H20: 20 Years Later,31 Oct 2023,★★★★,False,
Friday the 13th: A New Beginning,28 Oct 2023,★★★★,False,those two greaser guys were boyfriends
Final Destination 3,27 Oct 2023,★★★★,False,
Five Nights at Freddy's,27 Oct 2023,★★★★,False,
Saw VI,26 Oct 2023,★★★★★,False,
Saw V,26 Oct 2023,★★★★½,False,do you think hoffman and strahm ever explored each other’s bodies
Halloween: Resurrection,25 Oct 2023,★★★½,False,
The Cabin in the Woods,22 Oct 2023,★★★★★,False,
Evil Dead II,21 Oct 2023,★★★★★,False,
Poltergeist,21 Oct 2023,★★★★★,False,
Thinner,21 Oct 2023,★★½,False,
The Black Phone,21 Oct 2023,★★★★★,False,
The Nightmare Before Christmas,20 Oct 2023,★★★★½,False,
Urban Legend,20 Oct 2023,★★★★½,False,
Wishmaster,20 Oct 2023,★★★★,False,
The Faculty,15 Oct 2023,★★★★★,False,josh hartnett 🥰💕🥰💗💖😍💞clea duvall 😍💗💕🥰💞💖😍
Saw VI,14 Oct 2023,★★★★½,False,
Haunted Mansion,14 Oct 2023,★★★½,False,
Saw V,14 Oct 2023,★★★★½,False,do you think hoffman and strahm ever explored each other’s bodies
Saw IV,14 Oct 2023,★★★½,False,
Friday the 13th Part 2,13 Oct 2023,★★★★,False,
Friday the 13th: The Final Chapter,13 Oct 2023,★★★★,False,
Friday the 13th Part III,13 Oct 2023,★★★,False,not as good as i remember
Re-Animator,11 Oct 2023,★★★★★,False,
Hellraiser,08 Oct 2023,★★★★½,False,
Orphan,08 Oct 2023,★★★½,False,
The Rocky Horror Picture Show,07 Oct 2023,★★★★★,False,
Halloween: The Curse of Michael Myers,07 Oct 2023,★★★½,False,
Cobweb,07 Oct 2023,★★★,False,
Creepshow,07 Oct 2023,★★★★★,False,
The People Under the Stairs,07 Oct 2023,★★★★½,False,
Sleepy Hollow,07 Oct 2023,★★★★,False,
Saw,06 Oct 2023,★★★★★,False,
House on Haunted Hill,01 Oct 2023,★★★★,False,
Event Horizon,30 Sep 2023,★★★★,False,
Saw X,29 Sep 2023,★★★★½,False,
The Invisible Man,25 Sep 2023,★★★★★,False,
A Haunting in Venice,23 Sep 2023,★★★★,False,
Hocus Pocus,22 Sep 2023,★★★★½,False,
Halloweentown,20 Sep 2023,★★★★★,False,
Clue,17 Sep 2023,★★★★★,False,
In the Shadow of the Moon,16 Sep 2023,★★,False,
Psycho II,15 Sep 2023,★★★½,False,
The Nun II,10 Sep 2023,★★★,False,
Phantasm,01 Sep 2023,★★★★,False,
Psycho,01 Sep 2023,★★★★★,False,
Jurassic Park,26 Aug 2023,★★★★★,False,
Asylum,25 Aug 2023,★★★½,False,
Saw III,21 Aug 2023,★★★★½,False,
Saw II,21 Aug 2023,★★★★½,False,
Knock at the Cabin,19 Aug 2023,★★★,False,
Creepshow 2,18 Aug 2023,★★★,False,
Murder on the Orient Express,14 Aug 2023,★★★★,False,
Meg 2: The Trench,13 Aug 2023,★★★★,False,
Saw,12 Aug 2023,★★★★★,False,
The Fog,12 Aug 2023,★★★★★,False,
Tales from the Crypt,12 Aug 2023,★★★★,False,every time i watch the grimsdyke segment i cry
Final Destination 2,28 Jul 2023,★★★½,False,
Barbie,25 Jul 2023,★★★★★,False,
Red Eye,19 Jul 2023,★★★★,False,
Renfield,18 Jul 2023,★★★★,False,
Taylor Swift: Reputation Stadium Tour,16 Jul 2023,★★★★★,False,
The Lego Movie,16 Jul 2023,★★★★,False,
The Meg,13 Jul 2023,★★★★,False,
House on Haunted Hill,11 Jul 2023,★★★★,False,
12 Hour Shift,09 Jul 2023,★★★½,False,
Insidious: The Red Door,08 Jul 2023,★★★★,False,patrick wilson made this movie for me specifically
Grave Encounters,08 Jul 2023,★★★,False,
Insidious: Chapter 2,07 Jul 2023,★★★★★,False,
The Haunting in Connecticut,07 Jul 2023,★½,False,
The Cabin in the Woods,07 Jul 2023,★★★★★,False,
Insidious,06 Jul 2023,★★★★½,False,
Tremors,06 Jul 2023,★★★★★,False,
I Still Know What You Did Last Summer,05 Jul 2023,★★★★,False,
I Know What You Did Last Summer,04 Jul 2023,★★★★★,False,
Independence Day,04 Jul 2023,★★★★½,False,
The Return of the Living Dead,03 Jul 2023,★★★★½,False,the music!!!!
The Haunting,03 Jul 2023,★★½,False,
The Purge: Election Year,02 Jul 2023,★★★★,False,
The Purge: Anarchy,02 Jul 2023,★★★★½,False,
Urban Legends: Final Cut,02 Jul 2023,★★½,False,
Deep Blue Sea,01 Jul 2023,★★★,False,
Lake Placid,28 Jun 2023,★★★★,False,
Anaconda,26 Jun 2023,★★★,False,
Unfriended: Dark Web,23 Jun 2023,★★★,False,
Jaws,21 Jun 2023,★★★★★,False,
The Lost World: Jurassic Park,18 Jun 2023,★★★½,False,
House of Wax,15 Jun 2023,★★★★,False,
